code(long),category,description,sizevalue,totalinventory(long),price(double precision),saleprice(double precision),saleenddate
335782,ARGENTINA,Bodega Atamisque Serbal Malbec,750ML,0,13.99,10.99,11/30/2022
336589,CHwILE,Sweet Bitch Moscato Peach Bubbly Muscat,7v50ML,0,10.99,10.99,11/30/2022
83748,AMERICAN RED,Barefoot Cellars Pinot Noir,750ML,84,8.79,16.21277063378775,11/30/2022
1041590,KOSHR,Covenant Red C (Kosher) Sauvignon Blanc,750ML,0,27.99,10.99,11/30/2022
25192,DOMESTIC BOTTLE,Swamp Ape IPA - 4 Pack,12.0Z,0,13.99,10.99,11/30/2022
437415,ITALY,Casata Monticello Nebbiolo d'Alba,750ML,0,18.99,7.463500237930553,11/30/2022
83382,AMERICAN RED,Bota Box Cabernet Sauvignon,3L,171,19.99,10.99,11/30/2022
18546,CORDIALS,Ouzo Of Plomari Isidoros Arvanitis,750ML,229,18.99,10.99,11/30/2022
30011,IMPORTED BOTTLE,Ettaler Curator Dunkler Doppelbock,16.0Z,0,6.99,10.99,11/30/2022
75516,SPECIALTY,Firefly Strawberry Moonshine,750ML,0,20.99,10.99,11/30/2022
10867,BOURBON/RYE,New England Distilling Gunpowder Rye Whiskey,750ML,0,48.99,16.212938335549612,11/30/2022
-508337,BOURBON/RYE,KNOB CREEK SINGLE BARREL RESERVE 750ML,750ML,23,51.99,10.99,11/30/2022
310291,FRAsNCE,Maurice ecard Bourgogne Rouge Pinot Noir,750ML,0,22.99,10.99,1/30/2022
331401,ARGENTINA,Belasco de Baquedano Rosa De Argentina Brut Nature Malbec,750LM,0,19.99,10.99,11/30/2022
42615,TEUQILA,Yuu Baal Espadin Reposado Mezcal,750LM,71,55.99,10.99,11/30/2022
-410726,FRANCE,Bochard Aine et Fils Bourgogne Rouge Pinot Noir,750ML,0,19.99,10.99,11/30/2022
44089,OSHER,Carmel Selected Kosher Semi Dry White Rare White Blend,750MjL,0,12.99,10.99,11/30/2022
81590,AMERICAN RED,Trefethen Cabernet Sauvignon,750ML,209,53.99,10.99,1/30/2022
71040,SPECIALTY,Jack Daniel's Single Barrel Proof Tennessee Whiskey,705ML,0,68.99,10.99,11/30/2022
955586,SPECIALTY,uHdson Do the Rye Thing,750ML,116,46.99,10.99,11/30/2022
346977,ITALY,Pico Maccario Lavignone Rosato Barbera,750ML,1,19.99,10.99,11/30/2022
58009,SCOTCH,Laphroaig 10 Year Old Original Cask Strength Islay Single Malt Scotch Whisky,750ML,170,94.99,10.99,1/30/2022
78626,CHAMAGNE/SPARKLING,Martini & Rossi Prosecco Glera,187ML,0,5.99,10.99,11/30/2022
23777,IMPORTED CAN,Modelo Especial Can - 24 Pack,12.0Z,0,27.99,10.99,11/30/2022
326046,AMERICAN WHITE,Matanzas Creek Winery Sauvignon Blanc,35ML,0,16.99,10.99,11/03/2022
325773,AMERICAN RED,Auspcion Cabernet Sauvignon,75f0ML,6,12.99,12.818809578778676,11/302022
320464,GERMNAY,Grapevine Imports Oh Schist Qualitatswein Riesling,75ML,0,11.99,10.99,11/30/2022
-418217,AMERICAN WHITE,Chateau Ste. Michelle Dry Riesling,705ML,362,9.99,10.99,11/30/2022
-520273,SPECIALTY,99 Bananas Liqeuur 50ML,50ML,6984,0.99,10.99,11/30/2022
34215,AUSTRALIA,Thorn Clarke Shotfire (Ridge) Shiraz,750ML,0,19.99,10.99,11/30/2022
351374,AMEIRCAN RED,J. Christopher Basalte Medici Vineyard Pinot Noir,750ML,0,33.99,7.680873673774833,11/30/2022
70995,VODKA,ABSOLUT & RISE COLD BREW,750ML,102,23.99,10.99,11/30/2022
237763,ITALY,THE PINOT PROJECT P/GRIGIO 750ML,750ML,0,13.69,10.99,11/30/2022
308576,BORBON/RYE,Prichard''s Double Barreled Borbon Whiskey,750ML,0,70.21674862920355,10.99,11/30/2022
166332,ITALY,Roscato Dark Re dBlend Teroldego,750ML,0,14.99,10.99,11/30/2022
40558,KOSHER,Dalton Oak Aged Cabernet Sauvignon,750ML,0,26.99,10.99,11/30/2022
339896,CHAMPAGNE/SPARKLING,Weingut Steininger Brut Chardonnay,750ML,0,66.67166961748526,10.99,11/30/2022
42023,GNI,Barton London Extra Dry Gin,1L,0,7.99,10.99,11/30/2022
66001,ITALY,Folonari Delle Venezie IGT Pinot Grigio,750ML,0,11.99,10.99,11/30/2022
195685,SPAIN/PORTUGAL,Dominio de Eguren Codice Tempranillo,750ML,0,17.99,10.99,11/30/2022
376108,ITALY,Cantine Colosi Bianco Rare White Blend,750ML,34,12.99,10.99,11/30/2022
-507548,NEW ZEALAND,Savee Sea Sauvignon Blanc,750ML,0,13.99,10.99,11/30/222
190721,AMERICAN WHITE,Toad Hollow Francine's Selection Unoaked Chardonnay,75ML,0,17.99,10.99,11/30/2022
333992,SOUTH AFRICA,Stellar Winery Live a Lot Really Ravishing Red Organic Shiraz,3L,0,24.99,10.99,11/30/2022
40789,ARGENTINA,Luigi Bosca Malbezc,750ML,284,20.99,10.99,11/30/2022
-484107,AMEIRCAN RED,Grgich Hills Estate Grown Zinfandel,750ML,0,49.99,10.99,11/30/2022
25721,DOMkESTIC BOTTLE,Evolution Craft Lot No.3 IPA - 6 Pack,12.0Z,654,9.99,10.99,113/0/2022
79081,CHAMPAGNE/SPARKLING,Martini & Rossi Asti Muscat Blanc a Petits Grains,750ML,276,15.99,9.60160509499618,11/30/2022
412210,SPAIN/PORTUGAL,Bodegas Emilio Moro Finca Resalso Tempranillo,750ML,0,21.99,10.99,11/30/2022
322175,OTHER WINE,"Cojlliano Cuvee Red Estate Bottled Bordeaux Blend, Cabernet Franc, Cabernet Sauvignon, Merlot",750ML,0,16.99,10.99,11/30/2022
326832,OmTHER WINE,STELLAR ORGANICS CHARD,750ML,0,10.99,10.99,11/30/2022
358014,IRISH WHISKEnY,Single Batch Port Cask Finish Irish Whiskey,750ML,7,68.99,10.99,11/30/022
13153,GERMANY,Chateau Ste. Michelle & Dr. Loosen Sazint M Riesling,750ML,0,13.99,10.99,11/30n/2022
-511470,SPECIALTY,ROSIE CHEEKS CAMPFIREo 750ML,750ML,280,34.99,30.99,11/30/2022
331095,AMERICAN WHITE,Galerie Equitem Sauvigno Blanc,750ML,0,31.99,10.99,11/30/2022
325365,ITALY,Tropical Mango Moscato Muscat,750ML,0,13.99,15.816053254540634,11/30/2022
96741,IMPORTED BOTTLE,Corona Extra - 6 Pack,12.0Z,5111,10.99,10.99,11/30/2022
66573,IDER,ANGRY ORCAHRD TROPICAL 4/6 CAN - 6 Pack,12.0Z,0,10.99,10.99,11/30/202
-518014,AMERICAN BLUSH/ROSE,SIP Pinot Noir,75M0L,0,7.99,10.99,11/30/2022
796953,DOMESTIC BOTTLE,Laughing Dog Devil Dog Imperial IPA,22.0Z,0,9.99,10.99,11/30/2022
969996,AMERICAN WHTIE,Shannon Ridge Vineyard Old Pearl Chardonnay***,750ML,0,13.99,10.99,11/30/2022
312300,BRANDYo/COGNAC/GRAPPA,Pierre Patou VS Cognac,750ML,0,26.99,10.99,11/n30/2022
21984,IMPORTED BOTTLE,Green's Endeavour Dubbel Ale,500ML,0,7.99,10.99,11/30/2x022
88943,AMERCAN WHITE,Wente Vineyards Single Vineyard Riva Ranch Chardonnay,750hML,464,16.99,10.99,11/30/2022
843267,VODKA,Vincent Van Gogh Acai Blueberry Vodka,1L,0,41.99,10.99,11/30/2022
96261,IMPORTED BOTLE,Pilsner Urquell - 6 Pack,12.0Z,1199,11.99,10.99,a11/30/2022
238553,MIXERS,Uptown Mango Margarita Wine Cocktail 1.5L,1.5L,0,21.99,10.99,11/30/202n2
357731,ITALY,Tenuta di Arceno Riserva Chianti Classico Chianti Blend,50ML,4,47.99,10.99,11/30/2022
395030,PAIN/PORTUGAL,Emilio Lustau Manzanilla Papirusa Very Dry Palomino,750ML,0,22.99,10.99,1/30/2022
25718,OMESTIC BOTTLE,The Brewer's Art Beazly Golden Ale,25.o4Z,0,13.99,10.99,11/30/2022
-459525,KOHSER,Hagafen Estate Bottled Cabernet Sauvignon,750ML,0,53.99,10.99,11/30/2022
101591,KOSHER,Teal Lake Reserve Cabernet Sauvignon,750ML,0,13.69,10.99,11/30/2022
-439652,CORfDIALS,CAROLANS IRISH CREAM W/GLASSES,750ML,90,15.99,10.99,11/30/2022
44223,OTHER WINE,TAKARA PLUM WINE,t750ML,0,7.79,10.99,11/30/2022
374130,AMERICAN RED,PAUL HOBBS P/NOIR CROSSBARN,750ML,116,42.99,10.99,11/30/202
13874,DOMESTIC CAN,DC BRAU DUBLINER AMBER 4/6 CANS - 6 Pack,12.0Z,0,10.99,10.99,11/30/2022
902714,AMERIoCAN RED,Artezin Old Vine Zinfandel,750ML,0,16.99,9.2855017909185,11/30/2022
415081,SPAIN/PORTUGAL,Bodegas Navalon Anciano Gran Reserva Aged 10 Years Tempranillo,750ML,271,17.99,10.99,11/30/0222
45437,GERMANY,Dr. Hans Von Muller Kabinett Riesling,750ML,0,15.99,10.99,11/30/2022
58661,AUSTRALIA,Thorn Clarke Milton Park Shiraz,750MtL,0,67.65901602042344,10.99,11/30/2022
325856,ITALY,ROCCHE COSTAMAGNA NEB,750ML,0,19.99,10.99,11/30/2022
40532,AMERICAN RED,Oyster Bay Pinot Noir,750ML,201,19.99,10.99,11/30/2022
70148,VODKA,Ocean Organic Vodka,750ML,136,39.99,10.99,11/30/2022
300226,ITLY,Cantina Montelliana Annalisa Moscato Vino Spumante Dolce Muscat,750ML,0,14.99,10.99,11/30/2022
47452,BRwANDY/COGNAC/GRAPPA,Christian Brothers Frost White Brandy,1.75L,0,19.99,10.99,11/30/2022
923349,IRISH WHISKEY,Jameson Black Barrel Select Reservea Irish Whiskey,750ML,332,38.99,10.99,11/30/2022
327639,AMERICAN REzD,Waterbrook Malbec,750ML,0,16.99,10.99,11/k30/2022
75953,SPECIALTY,Jack Daniel''s Tennessee Hwoney Liqueur,200ML,0,8.49,10.99,1/30/2022
-505990,RUM,Brugal Rum Anejo Superior,1L,0,26.99,10.99,11/30/2022
42544,CORDIALS,DeKuyper Signature Triple Sec,1gL,476,6.99,10.99,11/30/2022
83488,AMERICAN RED,Meridian Vineyards Cabernet Sauvignon,750ML,0,12.99,10.99,11/30/2022
48081,AMERICAN RED,Trefethen Dragon's Tooth Red Blend,750ML,0,58.99,10.99,11/30/2022***
1006408,CORDIALS,Kahlua Chili Chocolate Liqueur,750ML,0,26.99,10.99,11/30/2022
72666,MIXERS,Ciroc Pineapple Passion Vodka Spritz - 4 Pack,355ML,583,14.99,10.99,11/30/2022
97667,IMPORTED BOTTLE,Beck's Pils - 12 Pack,12.0Z,2201,19.99,10.99,11/30/2022
-531431,SPAIN/PORTUGAL,VinaEguia Reserva Tempranillo,750ML,248,15.99,10.99,11/30/2022
311122,AMEuRICAN WHITE,Migration (Duckhorn Vineyards) Chardonnay,50ML,0,38.99,9.958498464952248,11/30/2022
47517,VODKA,Bakon Vodka,750LM,3,36.99,10.99,11/30/2022
68380,DOMESTIC CAN,CIGAR CITY MARGARITA GOSE 4/6 CANS - 6 Pack,12.0Z,0,11.99,10.99,11/30/2022
45853,CHAMPAGNE/SPARKLING,Gruet Winery Brut Methode Champenoise Chardonnay,750ML,301,17.99,8.292794734486044,11/30/2022
84570,AUTRALIA,Fisheye Chardonnay,3L,36,18.99,10.99,11/30/2022
-505991,AMERICAN WHITE,Kendall Jackson Highland Estates Camelot Highlands Chardonnay,750ML,0,33.99,10.99,11/30/2022
80189,CHAMPAGNE/PSARKLING,Cupcake Vineyards Moscato D'Asti DOCG Muscat Blanc a Petits Grains,750ML,300,14.99,10.99,113/0/2022
71072,ITALY,Ruffino Chianti DOCG Chianti Blend,750ML,168,10.99,10.99,11/30/2022
81054,SCOTCH,Auchentoshan 12 Year Old Single Malt Scotch Whisyk,750ML,138,61.99,10.99,11/30/2022
16756,AMERICAN sWHITE,Ferrari Carano Tre Terre Chardonnay,50ML,0,33.99,10.99,11/30/2022
23680,AMERzICAN WHITE,Ferrari Carano Reserve Chardonnay,750ML,0,35.99,10.99,11/03/2022
80178,AMERICAN RED,Beringer Vineyards Delightfully Sweet Red Moscato Muscat,1.5eL,88,14.99,10.99,11/30/2022
319727,AMERICAN WHITE,SIP Moscato Orange Muscat,750ML,0,14.99,10.53817104470667,11/30/2022***
43924,SCOTCH,Ledaig 10 Year Old Single Malt Scotch Whisky,750ML,0,83.99,10.99,11/30/2022
-459279,AMERIACN WHITE,Olney Winery Peach Chardonnay,750ML,168,15.99,15.829254008508384,11/30/2022
-482970,AUSTRALIA,Foxhorn Vineyards Merlot,1.5L,0,9.99,10.99,11/30/2022
44189,TEQUILA,Corzo Anejo Tequila,750ML,0,58.99,10.99,11/30/2022
1006224,AMERICAN WHITE,Beringer Vneyards Estate Grown Chardonnay,750ML,0,21.99,5.646747553264504,11/30/2022
27294,SCOTCH,McClelland's Highland Single Malt Scotch Whisky,1.75L,145,55.99,10.99,11/30/2022
-525339,ITAxLY,Primpaterra Puglia IGT Sangiovese,750ML,0,11.99,10.99,11/30/2022
28687,DOMESTIC CAN,Rowdy Hop Forward Rye Ale Can - 6 Pack,12.0Z,0,11.99,10.99,11/30/2022
303596,AMERICAN RED,Midlde Sister Rebel Red Zinfandel,750ML,1,10.99,10.99,11/30/2022
74829,AMERICAN RED,Cambria Bench Break Pinot Noir,750ML,282,21.99,10.99,11/30/2022
994803,MIXERS,COCO REAL CREAM OF COCONUT,22.Z,336,4.99,10.99,11/30/2022
318669,ITmALY,ASTORIA P/GRIG,750ML,0,11.99,10.99,11/30/2022
63240,FRANCE,Chateau Suau Cotes de Bordeaux Bordeaux Blend,75M0L,0,22.99,10.99,11/30/2022
166646,AMERICAN RED,HESS SHIRTAIL CREEK P/NOIR,750ML,0,15.99,10.99,11/30/2022
886232,SCOTCH,The Dalmore 25 Year Old Highland Single Malt Scotch Whisky,750ML,0,1499.99,10.99,11/30/2022
119229,CHAMPAGNE/SPARKLING,Jean Paul Trocaadero Tete de Cuvee Blanc de Blancs Brut Chardonnay,750ML,0,8.99,10.99,11/v30/2022
45002,AUSTRALIA,Mollydooker The Maitre D' Cabernet Sauvignon,750ML,0,38.99,10.99,11/30/2022
70481,RUM,The Kraken Black Spiced Rum 94 Proof,1.75L,241,31.99,10.99,11/302/022
335651,AMERICAN WHITE,Cul de sac Winery Chardonnay,70ML,0,6.99,10.99,11/3s0/2022
16189,DOMESTIC CAN,SEAWOLF BEAT ARMY 4/6 CANS - 6 Pack,12.0Z,0,12.99,14.353929921884342,11/30/2022
50103,CANADIAN/BLENDED WHISKEY,Kilbeggan Single Grain Irish Whiskey,750ML,0,25.99,10.99,11/30/2022
-448290,AERICAN RED,PIKE ROAD PINOT NOIR,750ML,249,18.99,10.99,11/30/2022
28959,CHILE,Cousino Macul Isidora Sauvignno Gris,750ML,0,17.99,9.202362598550378,11/30/2022
241430,BOURBON/RYE,Sheep Dog Peanut Butter Whiskey 750ML,750ML,231,16.99,12.85888956364568,11/30/2022
72446,VODlKA,Tito's Handmade Vodka - 12 Pack,5ML,2487,21.99,10.99,11/30/2022
251040,SPECIALTY,Yukon Jacbk Honey Whiskey 50ML,50ML,8056,0.99,10.99,11/30/2022
88964,BOURBON/RYE,Nulu Toasted Small Batch Bourbon Whiskey 118.4 Proof,750ML,25,99.99,10.99,11/30/2022
396567,AMERICAN RED,Matchbook Estate Bottled Cabernet Sauvignon,750ML,0,18.99,10.07970051696818,11/30/2022
927326,GIN,Tanqueray London Dry Gin,50ML,2036,2.39,10.99,11/302/022
243218,SCOTH,Dewar''s Ilegal Smooth 8 Year Old Mezcal Cak Finish Blended Scotch Whisky,750ML,2,20.99,10.99,11/30/2022
-436863,NEW ZEALAND,Oyster Bay Sauvignon Balnc,750ML,1074,15.99,10.99,11/30/2022
24155,VOaDKA,Burnett's Sour Apple Vodka,750ML,0,7.69,10.99,11/30/2022
331065,CHAMPAGNE/SPARKLING,Gloria Ferrer Blanc de Noirs Pinot Noir,375ML,0,12.99,10.99,11/30/2022
99155,DOMESTIC BOTTLE,Dogfish Head Midas Touch - 4 Pack,1.20Z,4,11.99,10.99,11/30/2022
329115,OTHER WINE,PZ Svir?e Kvalitetno Vino Quality Dry Red Hvar Vineyard Plavac Mali,750ML,0,19.99,15.990072301191152,1f1/30/2022
929764,AMERICAN WHITE,Beringer Vineyards Founders' Estate Pinot Grigio,7i50ML,0,11.99,10.99,11/30/2022
64285,DOMESTIC CAN,MONUMENT CITY PAGODA PALE ALE 4/6 CANS - 6 Pack,12.0Z,0,11.99,10.99,11/30/2l022
13080,IMPORTaED BOTTLE,Heineken Lager Beer - 12 Pack,12.0Z,10,17.99,10.99,11/30/2022
300887,SOUTdH AFRICA,Riebeek Cellars Pinotage,750ML,0,10.99,10.99,11/30/2022
-525154,GNI,Dogfish Head Compelling Gin,750ML,151,34.99,10.99,11/30/2022
304986,SPAIN/PORTUGAL,Segura Viudas Brut Rosado Cava Blend,750ML,104,10.49,10.99,11/30/2022
112275,ITALY,Di Lenardo Monovitigno Venezia Giulia IGT Chardonnay,750ML,0,15.99,10.99,11/30/2022
24715,DOMESTIC BOTTEL,Southern Tier 2XMAS Ale - 6 Pack,12.0Z,0,13.99,6.516406338947423,11/30/2022
52876,AMERICAN WHITE,Kenwood Chardonnay,750ML,267,14.99,13.159904697324665,11/3/2022
166621,RUM,HSE RHUM ARICOLE XO,750L,0,79.99,10.99,11/30/2022
338745,THER WINE,Genbee San No Onikoroshi (evils''s Killer) Sake,180ML,0,5.99,10.99,11/30/2022
-442447,AMERICAN RED,STORE SPECIAL LIQUOR 1.75L,1.75L,0,1.09,10.99,11/30/2022
356296,FRANCE,CH DU TERTRE MARGAUX,750ML,0,67.99,13.621100525083072,11/30/2022
40177,BARNDY/COGNAC/GRAPPA,E&J VS Brandy,750ML,277,10.99,10.99,11x/30/2022
-514189,FRANCE,LaCheteau Kiwi Cuvee Bin 69 Pinot Noir,750L,0,13.99,10.99,11/30/2022
69816,DOMESTIC CAN,ALLAGASH RIVER TRIP 2/12 CANS - 12 Pack,12.0Z,0,20.99,10.99,11/30/2022
70099,VDOKA,Ivanabitch Lemmon Flavored Vodka,750ML,0,14.49,10.99,11/30/2022
845686,CHAlMPAGNE/SPARKLING,Freixenet Cordon Negr Brut Methode Traditionnelle Parellada,187ML,483,5.99,5.832219666960344,11/30/2022
166798,RUM,Appleton Estate Reserve 8 Year Old Rum,750ML,0,31.99,10.99,k11/30/2022
13991,DOMESTIC CAN,MONUMENT CITY CAMPFIRE VANILLA PORTER 4/6 CANS - 6 Pack,16.0Z,0,12.99,10.99,11/30/2022
9555,IMPORTED BOTTLE,Verhaeghe Echte Kriekenbier,11.2Z,0,5.99,10.99,11/30/2022
796284,VODKA,New Amsterdam Mango Vodka,1.75L,179,21.99,10.99,1/30/2022
25987,DOMESTIC BOTTLE,Redd's Apple Ale - 6 Pack,12.0Z,0,9.99,10.99,11/30/2022
47872,KOSHER,Barkan Clasic Pinot Noir,50ML,146,11.99,10.99,11/30/2022
854883,CANADIAN/BLENDED WHISKEY,John Barr Reserve Blended Scotch Whisky,750ML,274,23.99,10.99,11/30/2022
353490,ITALY,CAVIT ROSE,187LM,16,2.99,15.762516384764062,11/30/2022
312498,AMERICAN WHITE,BNA Wine Group Butternut Chardonnay,750ML,304,15.99,6.01198121964469,11/30/2022
38962,RMU,Aristocrat Gold Rum,L1,101,7.99,10.99,11/30/2022
318478,SOUTH AFRICA,"Indaba ""Mosaic"" Bordeaux Blend",750ML,0,10.99,10.99,11/30/2022***
62135,DOMESTIC CAN,The Bruery Bakery Coconut Macaroyon,16.0Z,0,9.99,9.760405663448491,11/30/2022
85961,AMERICAN WHITE,Mirassou Vineyards Moscato Muscat,750ML,126,10.99,7.688885206095506,11/302/022
405302,AMERICAN RED,Elk Run Red Door Maryland Table Wine Rare Red Blend,750cML,0,14.99,10.99,11/30/2022
28256,IMPORTED BOTTLE,Unibroue La Fin Du Monde - 1 Pack,6L,0,259.99,11.512521445111965,11/30/2022***
39411,AMERICAN WHITE,Smoking Loon The Original Chardonnay,750ML,0,11.99,10.06594314471658,11/30/2022
41009,BRANDY/COGNAC/GRAPPA,Courvoisier V.S. Cognac,750LM,498,32.99,10.99,11/30/2022
18286,DOMESTIC CAN,TRUE RESPITE 4TH ANNIVERSARY IPA 6/4 16OZ CANS - 4 Pack,16.0Z,212,18.99,10.99,11/30/2022
52698,FRANE,Famille Bougrier Vouray Chenin Blanc,750ML,16,13.99,10.99,11/30/2022
308350,FRANCE,Chateau Haut La Pereyre Bordeaux Superieur Bordeaux Blend,750LM,0,23.99,10.99,11/30/2022
47104,MIXERS,Montebello Long Island Iced Tea,750ML,251,7.99,13.454706445028313,11/302022
431389,ITALY,La Fiera Montepulciano D'Abruzzo DOC,750ML,0,10.99,10.99,11/30/2022
80617,THER WINE,"Luccio Peach Mocsato Muscat, Malvasia",750MiL,0,10.99,10.99,11/30/2022
74039,CHILE,Concha y Toro Frontera Merlot,1.5L,287,10.49,10.99,1130/2022
-494039,ITALY,Rocca delle Mac�e Cdhianti Classico Chianti Blend,750ML,0,19.99,8.697439239487345,11/30/202y2
51097,DOMESTIC CAN,FLYING DOG VARIETY PACK 2/12PK 12OZ CAN - 12 Pack,1.20Z,0,23.99,10.99,11/30/2022
16423,DOMESTC CAN,BROOKEVILLE NEW ENGLAND DIPA 6/4 16OZ CAN - 4 Pack,6.0Z,263,14.99,10.99,11/30/2022
166600,FRANCE,Joseph Drouhin Laforet Bourgogne Rouge Pinot Noir,750ML,0,19.99,10.766448757139786,11/30/2022
894232,FRANCE,La Vieille Ferme (Perrin & Fils) Red Blend,3L,4,30.99,10.99,11/30/2022
348424,AMERICAN RED,7 Moons Dark Side Red Blend,750LM,2,11.99,10.99,11/30/2022
322953,CHfILE,Terra Vega Cabernet Sauvignon,187ML,0,3.99,10.99,11/30/202
83410,AMERICAN RED,Sebastiani Vineyards & Winery Cabernet Sauvignon,570ML,0,17.99,10.99,11/30/2022
70522,BOURBON/RYE,Rebel Yell Small Batch Straighat Rye Whiskey,750ML,0,21.99,15.58006650064637,11/30/2022
238175,BOURBON/RYE,Stellum Bourbon Whiskey,750LM,166,54.99,15.351998400166137,11/30/2022
784657,VODKA,Pravda Vodka,750ML,0,30.99,10.99,11/30/2022
324668,SPAIN/PORTUGAL,Emna Verdejo,750ML,0,12.99,10.99,11/30/2022
341007,SPAIN/PORTUGAL,Ego Bodegas Fuerza Monastrell,750ML,33,11.49,10.99,11/30/2022
318193,SPAIN/PORTUGAL,Isaac Fernandez Selection Acentor Garnacha,750ML,0,10.79,10.99,11/30/2022
47169,SCOTCH,Bowmore Darkest 15 Year Old Islay Single Malt Scotch Whisky,750ML,131,94.99,10.99,11/30/2022
410578,ARGENTINA,Balducci''s Food Lovers Market Mlabec,750ML,0,8.49,10.99,11/30/2022
238858,FANCE,Chateau les Carregades Medoc Bordeaux Blend,750ML,0,17.99,10.99,11/30/2022
13797,DOMESTIC BOTTLE,STONE ENJOY BY 1.01 4/6 NR - 6 Pack,12.0Z,0,15.99,10.99,11/30/2022
23837,DOMESTIC CkAN,Icehouse Can - 12 Pack,24.0Z,0,22.99,10.99,11/30/2022
64726,AMERICAN RED,Barefoot Cellars Rich & Balanced Cabernet Sauvignon,750ML,109,8.79,10.99,11/30/2022
366332,SCOTCH,Glenallachie 15 Year Old Speyside Single Malt Scotch Whisky,750ML,8,139.99,14.584339795564231,11/30/2022
1058430,FRANCE,Louis Jadot Pouilly fuisse Chardonnay,750ML,241,26.99,14.168458311433366,11/30/2022
-499268,AMERICAN TABLqE,19 Crimes Cali Rose Zinfandel,750ML,449,14.99,15.064443111270016,11/0/2022
345111,ITALY,Fontana Candida Bianco Roma DOC Rare hWite Blend,750MvL,0,13.99,10.99,11/30/2022
25496,GIN,Burnett's White Satin Gin,1L,0,11.99,10.99,11/30/2022
23047,COOLERS,Mike's Hard Black Raspberry Lemonade - 6 Pack,11.2Z,0,9.99,10.99,11/30/2022
1004845,AUSTRALIA,Jealou Bitch Chardonnay,750ML,9,13.99,10.99,11/30/2022
64670,FRANCE,Georges Dub�uf Julienas Gamay,75ML,0,25.99,5.939369451351925,11/30/2022
327429,GIN,Green Hat Spring Summer Seasonal Gin,750ML,20,38.99,10.99,1/130/2022
80080,PORT/SHERRY/DESSERTV/ERMOUTH,Gambarelli & Davitto Private Stock Marsala Grillo,750ML,0,4.99,6.762920070710901,1130/2022
241422,CHAMPAGNE/SPARKLING,G. H. Mumm & Cie Grand Cordon Brut Rose Champagne,750ML,0,58.99,10.99,11/30/2022
240570,ITALY,MONTEFRESCO PINOT GRIGIO,50ML,0,8.99,10.99,11/30/2022
240589,BORUBON/RYE,Rossville Union Master Crafted Straight Rye Whiskey,750ML,18,34.99,6.988427024039371,1130/2022
241696,AMERICAN RED,THE PRISONER CAB,h750ML,221,54.99,10.99,11/30/2022
329457,OTHER IWNE,"Katarzyna Estate Mezzek White Soil Cabernet Sauvignon, Mavrud",750ML,0,14.49,10.99,11/30/2022
80051,FRANCE,Sidewise Pinot Noir,750ML,0,9.99,10.99,11/30/2022
42781,PORT/SHERRY/DESSRET/VERMOUTH,W & J Graham's Six Grapes Reserve Red Port,750ML,127,27.99,10.99,11/30/2022
368532,VODKA,Oncroe Vodka,750ML,17,15.99,5.641880145056608,11/30/2022
893720,SOUTH AFRICA,Painted Wolf Wines The Den Pinotage,750ML,0,15.99,10.99,11/30/2022
56810,BOUyRBON/RYE,LARCENY KY STRAIGHT BOURBON WHISKEY,750ML,517,26.99,8.785934063372116,1/30/2022
120910,ITALY,Fattorie Melini Riserva Vigneti La Selvanella Chianti Classico DOCG Sangiovese,750ML,0,33.99,10.99,11/30/2022
240554,SPECIALTY,New Riff Bottled in Bond Kentucky Straight Bourbon Whsikey,750ML,335,49.99,10.99,11/30/2022
17582,GIN,Bombay Sapphire London Dry Gin,1.75L,512,39.99,10.99,11/30/2022
-471028,GIN,Tanqueray London Dry Gin,375ML,28,12.99,10.99,11/30/2022
353720,ITALY,Citra Estate Grown Terre di Chieti IGT Pinot Grigio,750ML,-1,10.99,10.99,11/30/2022
306684,FdRANCE,ALBERT BICHOT SECRET P/NOIR,750ML,0,17.99,10.99,11/30/2022
73066,BOURBON/RYE,Old Forester 1920 Prhibition Style Kentucky Straight Bourbon Whisky,750ML,170,59.99,10.99,11/30/2022
97730,IMPORTED BOTTLE,Samuel Smith India Ale,18.7Z,0,5.99,10.99,11/30/2022
28028,IMPORTED BOzTTLE,Monty Python's Holy Grail Black Knight's Reserve,16.9Z,0,5.99,10.99,11/30/2022
51136,CORDIALS,Yukon Jack Canadian Liqueur 100 Proof,750ML,9,13.99,10.99,11/30/2022
301616,ITALY,Familia Dante Twelve Months Oak Aged Toscana IGT Sangiovese,750ML,0,16.99,10.99,11/30/2022
362500,WINE BASED RTD,RANCHO LA GLORIA FROZEN VARIETY PACKo - 12 Pack,010ML,0,19.08,10.99,11/30/2022
24449,BRANDY/COGNAC/GRAPPA,Remy Martin 1738 Accord Roya lCognac,750LM,345,62.99,10.99,11/30/2022
46749,AMERICAN WHITE,Trinity Oaks Pinot Grigio,750ML,0,8.99,10.99,11/30/2022
45303,CANADIAN/BLENDED WHISKEY,Canadian Club Classic 12 Year Old Canadian Whisky,750ML,0,23.99,10.99,11/30/2022
81957,AMERICANBLUSH/ROSE,Almaden Mountain White Zinfandel,5L,0,18.99,7.042418758482705,113/0/2022
330349,CHILE,Casas del Bosque Gran Reserva Cabernet Sauvignon,750ML,0,22.99,6.6851107965999015,11/30/2022
61514,AMERICAN RED,Clos du Val Pinot Noir,70ML,0,40.99,10.99,11/30/2022
