communityareaname,communityareanumber(long),propertytype,propertyname,address,zipcode(long),phonenumber,managementcompany,units(long),xcoordinate(double precision),ycoordinate(double precision),latitude(double precision),longitude(double precision),locationvalue
Grand Boulevard,38,Multifamily,Progressive Square,4752 S. Wabash Ave.,60614,773-975-7234,CMHDC/Progressive NFP/Kass Management,107,1177483.246,1873312.722,41.80769903,-87.62455959,"(41.8076990345395, -87.6245595888703)"
North Lawndale,29,Supportive Housing,Independence Apts.,927 S. Independence Blvd.,34087,773-549-8300,Realty & Mortgage Co.,58,1151446.075,1895529.682,41.86921476,-91.7114621340541,"(41.8692147569018, -87.7194750916543)"
Woodlawn,42,Multifamily,WECAN,6450 S. Stony Island Ave.,60637,773-288-3000,WECAN,117,1187957.596,2456181.8867807877,41.77728699,-87.58649335,"(41.7772869880935, -87.586493351533)"
Uptown,3,Supportive Housing,Major Jenkins Apts.,5012 N. Winthrop Ave.,60640,773-506-3486,Mercy Housing,96,1167919.615,1782313.5948571612,58.58420649489556,-87.65789194,"(41.9737005572223, -87.6578919355485)"
Lake View,6,ARO,3647 N. Southport,3647 N. Southport Ave.,60613,773-529-3700,Seminary Properties,1,1166356.459,1089079.120819243,45.72431698244388,-87.66390462,"(41.9484611934317, -87.6639046213447)"
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,3118 W. Franklin Blvd.,60624,773-227-6332,Bickerdike Apts.,6,1809460.486676501,1903205.531,37.13673099191698,-87.70473978,"(41.8901994819175, -87.7047397753891)"
Douglas,35,Multifamily,Park Boulevard IIA,3612 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",6,1632395.7549908084,1119435.3196641994,41.82873626,-87.62665512,"(41.8287362551999, -87.6266551179107)"
West Town,24,ARO,1645 W. LeMoyne,1645 W. LeMoyne St.,60622,773-456-5288,1645 W LeMoyne,2,623832.5413680398,1910121.237,41.90897948,-56.77901268119769,"(41.9089794761552, -87.6694940511534)"
Woodlawn,42,Multifamily,Woodlawn-Michigan Development,6446 S. Kenwood Ave.,60637,312-226-2200,Wolcott Real Property LLC,33,906222.4964152589,1862376.561,41.77748903,-87.59314971,"(41.7774890263916, -87.5931497136386)"
Dunning,17,Senior,Autumn Green at Wright Campus,4239 N. Oak Park Ave.,60634,773-202-3388,Senior Lifestyle Corp.,129,1129981.018,1927628.484,41.95769221,-50.75700652145011,"(41.9576922114684, -87.79754403338)"
Near South Side,33,Senior,Hilliard Homes Phase II,30 W. Cermak Road,60616,312-326-1466,Holsten Management Corp.,151,1176346.441,1309988.8103037577,25.588730966028017,-87.62823221,"(41.8530133902049, -87.6282322110359)"
Austin,25,Senior HUD 202,Enola A. Dew Senior Apts.,4623 W. Gladys Ave.,60644,773-287-2972,"Prairie Management & Development, Inc.",60,1145481.111,1897910.062,41.87586178,-87.74131396,"(41.8758617765259, -87.7413139551546)"
Near North Side,8,Multifamily,Parkside of Old Town Phase IIA,544 W. Oak St.,85711,312-640-6032,Holsten Real Estate Dev. Corp.,111,1310884.983767486,1907097.533,41.90052524,-70.38895913573475,"(41.9005252379124, -87.6429552752714)"
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,3224 W. Ohio St.,60624,773-227-6332,Bickerdike Apts.,6,1154618.055,1903853.44,41.89199316,-58.79034235841844,"(41.8919931604846, -87.7076070703225)"
Rogers Park,1,Senior,Caroline Hedger Apts.,6400 N. Sheridan Road,60626,773-743-7273,The CHA,436,1167087.151,1942658.705,41.99821792,-74.83664739458004,"(41.99821792053241, -87.6606952555721)"
Fuller Park,37,Senior,Fellowship Manor,5041 S. Princeton Ave.,73295,773-924-5980,"East Lake Management Group, Inc.",100,1175183.479,1496911.3618782898,62.63004673150813,-76.26410970365981,"(41.8024131184468, -87.6330525825815)"
Near West Side,28,ARO,Union West,939 W. Washington Blvd.,44766,312-626-0473,ZRS Management,9,1169996.992,2832183.527386078,41.88296896,-87.65121973,"(41.8829689598866, -87.6512197347754)"
Rogers Park,1,ARO,1730 W. Greenleaf,1730 W. Greenleaf Ave.,60626,773-605-0103,DLG Management,3,1163535.311,1490213.1400286036,42.01031978,-87.67363702,"(42.0103197756509, -87.6736370200105)"
Lower West Side,31,ARO,Blue Island,1907 S. Blue Island Ave.,60608,844-783-6887,Ventus Holdings LLC,1,1166927.96,1890745.516,41.85576873,-87.66277433,"(41.8557687250324, -87.6627743294071)"
Near West Side,28,Supportive,Lake Street Studios,727 W. Lake St.,60661,312-274-8200,Interfaith Housing Corp.,61,1171177.974,1472452.844114852,54.13682614343162,-87.64685508,"(41.8855647009563, -87.6468550832448)"
Douglas,35,Multifamily,Park Boulevard IIA,3604 S. State St.,78747,773-548-8792,"Urban Property Advisors, LLC",215,1176845.915,1881076.382,41.82901759,-87.62666295,"(41.8290175865266, -87.6266629487078)"
East Garfield Park,27,Multifamily,Homan Square Apartments Phase V,3607 W. Polk St.,60624,773-722-7320,Realty & Mortgage Co.,-120,1152413.693,1896087.181,41.87072555,-87.71590797,"(41.8707255522781, -87.7159079717015)"
Lake View,6,Supportive,Buffet Place,3208 N. Shefield Ave.,61884,312-572-5272,Thresholds,51,1169002.943,1921540.76,41.94022814,-87.65426349,"(41.9402281367541, -87.6542634881766)"
Humboldt Park,23,Multifamily,Nuestro Hogar,4101 W. Kamerling,60651,773-227-6332,Bickerdike Apts.,-129,1148770.589,1908634.274,41.90522727,-87.72895873,"(41.90522727496384, -87.72895872712601)"
Hyde Park,41,ARO,City Hyde Park,5105 S. Harper Ave.,87492,773-548-5077,Mac Properties,36,1187193.908,1871412.921,41.80226057,-87.58900435,"(41.8022605698632, -87.5890043475713)"
Near West Side,28,ARO,One Six Six,166 N. Aberdeen St.,43373,630-453-7474,One Six Six Chicago,22,1468662.3461012254,1901424.241,30.859639021120586,-87.65460592,"(41.88502582436289, -87.65460592239103)"
Uptown,3,Senior,Kenmore Senior Housing,5040 N. Kenmore Ave.,60640,773-769-3006,The Habitat Co.,98,1168292.832,1627836.2655193913,41.97449607,-87.65651102,"(41.9744960684983, -87.6565110221041)"
Austin,22,Multifamily,Madison Renaissance Apts.,1816 N. St. Louis Ave.,60647,773-227-1366,Related Management Co. LP,30,1152932.106,1911940.497,41.91421838,-87.71358429,"(41.9142183770542, -87.7135842865605)"
North Lawndale,29,Multifamily,Park Douglas,1254-56 S. Fairfiled Ave.,45209,773-893-4800,Interstate Realty Management Co.,7,1158194.723,1894001.251,41.86488549,-87.69474071,"(41.8648854853042, -87.6947407139381)"
West Pullman,53,Supportive Housing,Hancock House,12045 S. Emerald Ave.,60628,773-568-3000,Source Works Development,90,1173523.536,1824810.063,41.67469008,-87.64051484,"(41.6746900778514, -87.6405148423398)"
Uptown,3,Multifamily,Hazel Winthrop Apts.,912 W. Montrose Ave.,60640,773-334-5003,Preservation Housing Management LLC,256,1169310.725,1929445.614,41.96191266,-87.65290164,"(41.96191266175898, -87.65290163994482)"
Grand Boulevard,38,Multifamily,Legends South - Gwendolyn Place,4333 S. Michigan Ave.,60653,773-624-7676,Interstate Realty Management Co.,234,1177923.904,1876177.553,41.8155504,-87.62285652,"(41.815550396096, -87.6228565224104)"
North Center,5,Multifamily,Lathrop Phase I,2000 W. Diversey Ave.,60647,773-676-2222,Related Midwest,91,1162519.715,1473351.4334398117,41.43035959266351,-87.67817303,"(41.9323941640369, -87.6781730308775)"
Washington Heights,73,Senior,Brainerd Senior Center,8915 S. Loomis St.,60620,773-429-1501,Realty & Mortgage Co.,242,1168602.534,1845525.798,41.73164453,-87.65793186,"(41.7316445313381, -87.6579318552234)"
North Lawndale,29,Multifamily,Park Douglas,1302-06 S. Washtenaw Ave.,60608,773-893-4800,Interstate Realty Management Co.,5,1158533.507,1893871.34,41.86452207,-87.69350059,"(41.8645220744709, -87.6935005875192)"
Woodlawn,42,Multifamily,Trianon Lofts,803 E. 61st St.,60637,773-955-8668,Preservation Housing Management LLC,12,688890.1895785619,2561818.880975302,51.702878010612864,-87.60584338,"(41.7839509995196, -87.6058433793708)"
Belmont Cragin,19,Senior,Crystal Courts/Anixter Center,5038 W. Armitage Ave.,60639,773-385-9080,Lester and Rosalie Anixter Center,17,1142340.781,1660724.6809551837,41.91696054,-87.75247249,"(41.9169605419799, -87.7524724893612)"
New City,61,Senior,New City Supportive Living,4707 S. Marshfield Ave.,54021,773-376-1223,BMA Management Ltd.,101,1166174.275,1873464.518,41.80836402,-87.66603343,"(41.8083640191309, -87.6660334349939)"
Humboldt Park,23,Multifamily,Rosa Parks Apts.,649 N. Sawyer Ave.,60624,773-227-6332,Bickerdike Apts.,6,1154625.793,1904362.102,41.89338882,-87.70756503,"(41.8933888222173, -87.7075650280001)"
Austin,25,Multifamily,Pine Central,557 N. Pine Ave.,60644,773-568-1020,NHS Redevelopment Corp.,78,1424433.4697292156,1903210.835,41.8905194,-56.824692470083775,"(41.8905193977099, -87.7632486365124)"
East Garfield Park,27,Supportive Housing,East Park Apts.,3300 W. Maypole Ave.,60624,773-826-3300,The Habitat Co.,152,1154287.339,1900828.13,38.388530030597394,-87.7089025,"(41.8836980221101, -87.7089025001699)"
Humboldt Park,23,Multifamily,Harold Washington Unity Coop,619-27 N. Kedzie Ave.,60612,773-227-6332,Bickerdike Apts.,15,1154967.75,1904040.977,41.89250077,-83.20947155249208,"(41.89250077360275, -87.70631775512356)"
Oakland,36,Multifamily,Lakefront Phase II,1110 E. Bowen Ave.,60653,773-548-8795,"Urban Property Advisors, LLC",3,1184252.736,1877396.348,41.81874892,-96.96565251816531,"(41.8187489217312, -87.5996033526626)"
Near West Side,28,ARO,171 N. Aberdeen St.,171 N. Aberdeen St.,60607,312-642-3668,Medici Living,6,1169147.739,1580616.3337213967,41.88514499,-87.65431537,"(41.8851449893521, -87.6543153671727)"
Uptown,3,ARO,811 Uptown,811 W. Agatite Ave.,60640,773-831-6098,RL Accelerated,215,1169980.753,1929712.369,57.34040234911906,-87.65043043,"(41.9626300189614, -87.6504304289638)"
Humboldt Park,23,Disabled/Homeless,West Humboldt Place,3543 W. Chicago Ave.,60651,773-826-1230,Childrens Place Association,13,1152439.724,1905064.22,41.89535898,-87.71557516,"(41.8953589752887, -87.7155751575776)"
West Garfield Park,26,Senior,Fannie Emanuel Apts.,3916 W. Washington Blvd.,60624,312-913-5812,Habitat Company,181,1150182.64,1900168.643,41.88196929,-87.72399261,"(41.8819692863711, -87.7239926128235)"
Chicago Lawn,66,Senior,Lawn Terrace Apts.,3214 W. 63rd Pl,60629,773-925-2815,Greater Southwest Dev. Corp.,102,1155938.092,1862375.031,41.77814486,-115.17007886492964,"(41.7781448625534, -87.7038754099471)"
Logan Square,22,Multifamily,Lucy Gonzalez Parsons Apts.,2614 N. Emmett St.,60647,773-227-6332,Bickerdike Apts.,100,1154423.212,1917862.748,57.53474568180336,-127.22079318944547,"(41.93043982134092, -87.7079475066222)"
Uptown,3,Multifamily,Hazel Winthrop Apts.,4813 N. Winthrop Ave.,60640,773-334-5003,Preservation Housing Management LLC,6,1168043.187,1479076.0648636073,41.96950669,-87.65748184,"(41.969506690776, -87.65748184106664)"
Logan Square,22,Multifamily,Pennycuff Apts.,2031 N. Milwaukee Ave.,87536,773-799-8924,Metropolitan Housing Dev. Corp.,41,1159484.845,1142141.531157051,41.91822962,-87.68946889,"(41.9182296230738, -87.6894688873142)"
Uptown,3,Senior,Ruth Shriman House,4040 N. Sheridan Road,60613,773-665-2210,Interfaith Housing Corp.,231,1168832.75,1927172.303,32.741707573209666,-87.65472513,"(41.9556850172763, -87.6547251281064)"
Garfield Ridge,56,Senior,Cicero Senior Lofts,4835 S. Cicero Ave.,60638,773-424-6986,MVAH Partners,56,1145216.815,952011.6150068596,41.80474599,-87.74293848,"(41.8047459933631, -87.7429384797351)"
North Lawndale,29,Multifamily,Park Douglas,1256-60 S. Washtenaw Ave.,60608,773-893-4800,Interstate Realty Management Co.,1,965774.2738437024,1893988.193,41.86484279,-87.69350892,"(41.8648427948798, -87.6935089238032)"
Woodlawn,42,Senior,The Burnham at Woodlawn Park,6134 S. Cottage Grove Ave.,60637,773-955-8668,Preservation Housing Management LLC,65,1182583.342,1864354.944,41.78300119,-87.60613195,"(41.7830011908191, -87.6061319506967)"
West Town,24,ARO,1611 West Division,1611 W. Division St.,60622,773-661-5500,M. Fishman & Co.,10,1165376.188,1267193.890876709,41.9032305,-87.66797825,"(41.903230501389, -87.6679782480489)"
Englewood,68,People with Disabilities,Victoria Jennings Residences,624 W. 61st St.,60621,773-994-3690,"HSR Property Services, LLC",57,1173046.575,1211071.4299290683,41.78355891,-87.6410929,"(41.7835589091867, -87.6410928974706)"
Washington Park,40,Supportive/Kinship Families,Coppin House,325-43 E. 55th Place,60637,773-752-2331,Interfaith Housing Corp.,-127,1179276.077,1868251.46,41.79376972,-61.28840315304806,"(41.7937697184394, -87.6181384855775)"
Lake View,6,Senior,Renaissance St. Luke Belmont,1501 W. Belmont Ave.,36041,773-525-1501,"RRG Development, Inc.",52,1165713.523,1921292.762,41.93961849,-87.66636023,"(41.93961848643664, -87.6663602297043)"
West Town,24,Multifamily,Tierra Linda Apts.,1421 N. Artesian Ave.,85284,773-276-5338,LUCHA,3,1159853.176,1909475.952,41.90731543,-87.68822545,"(41.9073154253631, -87.6882254516982)"
West Englewood,67,Senior,Wheeler House,1450 W. 69th St.,60636,773-494-2444,S W Management,89,1167632.786,1859022.548,41.76870231,-87.66109812,"(41.768702314065365, -87.66109812190477)"
Lincoln Square,4,ARO,Lawrence,2150 W. Lawrence Ave.,60625,847-725-2218,Rent Great,6,1160933.556,1931890.653,41.96880038,-87.68363271,"(41.9688003768019, -87.6836327092268)"
Grand Boulevard,38,Artist Live/Work Space,Bronzeville Artists Lofts,436 E. 47th St.,60653,773-324-1745,Revere Properties,16,1402929.793541655,1873998.52,41.80952057,-87.61482402,"(41.8095205688443, -87.6148240160309)"
North Lawndale,29,Multifamily,Praise Apts.,1859 S. Pulaski Road,60623,773-762-3389,Lawndale Christian Residential Svcs.,-154,1150056.063,1890463.503,62.18894659244892,-87.72471008,"(41.8553397217037, -87.7247100762886)"
West Town,24,ARO,Wicker Park Connection,1640 W. Division St.,60647,312-330-3210,rmk Management,278,1701484.8025906975,1908099.432,41.90342906,-87.66912961,"(41.9034290632559, -87.6691296062709)"
Near West Side,28,Mutifamily,Roosevelt Square Phase I & II,1346 W. Rolosevelt Road,60607,312-948-0116,Related Management Co. LP,160,1661915.8174334876,1894854.611,41.86703473,-87.66099661,"(41.867034733075485, -87.66099661076092)"
Chatham,44,Supportive Housing,Karibuni Place,8200 S. Ellis Ave.,60619,773-873-0708,Heartland Housing,72,1184284.153,1850796.894,41.74575696,-87.60031991,"(41.7457569580527, -87.6003199106909)"
Near South Side,33,SRO,South Loop Apts.,1521 S. Wabash Ave.,60605,312-239-3218,Mercy Housing Management Group,-146,1177054.325,1892851.446,41.86132451,-51.39793856443944,"(41.86132451284019, -87.62554225942642)"
Avondale,21,ARO,The Field's Lofts,4000 W. Diversey Ave.,60639,773-269-6066,33 Realty,12,1149206.496,1479583.9562896655,41.93189772,-87.72710503,"(41.9318977231462, -87.7271050304538)"
Lower West Side,31,Multifamily,Casa Oaxaca,1714 W. 19th St.,60608,312-666-1323,The Resurrection Project,25,1165132.943,1890827.827,41.85603287,-87.66936057,"(41.8560328733339, -87.6693605654777)"
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,3500 W. Ohio St.,60624,773-227-6332,Bickerdike Apts.,6,1152924.343,1903817.949,41.89192949,-71.5894162221931,"(41.8919294933613, -87.7138283058778)"
North Lawndale,29,Veterans,Roosevelt Road Veterans Hsg.,2908 W. Roosevelt Road,41676,773-435-8300,A Safe Haven Foundation,-146,855442.2540311697,1894613.231,21.81617068432804,-87.69877877,"(41.8665872953847, -87.6987787748764)"
Oakland,36,Multifamily,Lakefront Phase II,1125 E. Bowen Ave.,60653,773-548-8795,"Urban Property Advisors, LLC",3,601878.7408607929,2533970.340316855,41.81871188,-87.59894571,"(41.8187118791618, -87.5989457091247)"
Irving Park,16,Senior,Indepedence Apts.,4022 N. Elston Ave.,60618,312-382-3251,Evergreen Real Estate Services LLC,14,1151092.758,1926461.28,44.780121750383664,-87.71996013,"(41.9541008741757, -87.719960126363)"
Douglas,35,Multifamily,Park Boulevard IIB,3700 S. Dearborn St.,60609,773-548-8792,"Urban Property Advisors, LLC",264,1176529.6,1880409.309,24.4898341888044,-87.62784358,"(41.82719421911, -87.6278435793213)"
Grand Boulevard,38,Multifamily,Paul G. Stewart Phase III Tower,401 E. Bowen Ave.,60653,312-924-2100,Paul G. Stewart Assoc.,-131,1179658.647,1877532.342,41.81922851,-87.61645178,"(41.8192285127139, -87.6164517752946)"
Portage Park,15,ARO,4812-15 W. Montrose Apts.,4812-15 W. Montrose Ave.,47204,630-694-6968,@properties,2,589551.5055615606,1928858.395,41.96082581,-87.74807125,"(41.9608258122531, -87.7480712546458)"
Humboldt Park,23,Multifamily,Harold Washington Unity Coop,3120-38 W. Ohio St.,60612,773-227-6332,Bickerdike Apts.,12,1155336.105,1903869.285,41.89202224,-87.70496955,"(41.89202224051242, -87.70496954716313)"
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,3554 W. Ohio St.,60624,773-227-6332,Bickerdike Apts.,6,1152342.728,1903805.745,41.89190751,-87.71596466,"(41.8919075104178, -87.7159646598521)"
Roseland,49,Senior,Victory Center of Roseland,10450 S. Michigan Ave.,60628,773-468-6400,Pathway Senior Living,81,1178829.401,1835494.405,41.70389075,-110.62202882813308,"(41.7038907515241, -87.6207711552983)"
Austin,25,Senior,Mt. Vernon Manor,30 N. Waller Ave.,60644,773-626-3298,Waller Street L.P.,60,1138118.684,1899770.53,41.88110332,-87.76830155,"(41.88110332024519, -87.76830154714395)"
Auburn Gresham,71,Senior HUD 202,Naomi & Sylvester Smith Senior Living Ctr.,8031 S. Halsted St.,60620,773-651-6400,"HSR Property Services, LLC",59,924351.036810708,1851597.134,41.74822238,-87.6438257,"(41.7482223776924, -87.643825698846)"
East Garfield Park,27,Multifamily,Harvest Homes,3512-46 W. Fifth Ave.,60624,312-216-5103,Realty & Mortgage Co.,36,1153024.162,1898153.842,41.87638462,-87.71361194,"(41.87638462364, -87.7136119355645)"
Near North Side,8,ARO,Than Tower,343 W. Schiller St.,35271,917-968-5019,Lakshmi Capital Management,21,1173428.391,1909646.778,41.9074932,-87.63835294,"(41.9074931960316, -87.638352940941)"
Grand Boulevard,38,Multifamily,4400 Grove Apts.,4400 S. Cottage Grove Ave.,60653,312-248-6012,Michaels Development Co.,38,1748674.0839298966,1875978.517,41.81490392,-87.60682726,"(41.8149039242413, -87.6068272642158)"
Douglas,35,Multifamily,Pershing Court/Park Boulevard IA,3845 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",80,1762834.7353530424,1879322.168,21.010731148731743,-105.13569038438617,"(41.8242011420775, -87.6262712265229)"
North Park,13,Senior,J. Michael Fitzgerald Apts.,5801 N. Pulaski Road,60646,773-588-1725,Elderly Housing Devp. & Operations Corp.,63,1148723.501,1562419.6013614486,41.98593151,-111.6521838093256,"(41.9859315141827, -87.7283692100341)"
Logan Square,22,Multifamily,Tierra Linda Apts.,1802 N. Sawyer Ave.,58014,773-276-5338,LUCHA,3,1154261.835,1911817.117,41.91385334,-103.37762625452947,"(41.9138533401484, -87.7087023585048)"
Logan Square,22,Senior,Renaissance West,2517 W. Fullerton Ave.,60647,773-862-2500,Habitat Company,41,1159142.563,1915828.561,41.9247621,-82.31179310382367,"(41.9247620984666, -87.6906609776664)"
South Shore,43,Multifamily,Jeffrey Towers Apts.,7020 S. Jeffrey Blvd.,60649,872-777-4924,Interfaith Housing Corp.,136,1190721.263,1858722.629,41.76735295,-52.55269642089252,"(41.7673529545676, -87.5764779584457)"
West Town,24,Supportive/Veterans,65th Infantry Boringueneers Apts.,1045 N. Sacramento Blvd.,60622,773-772-4801,Hispanic Housing Dev. Corp.,48,1156229.026,2948902.7953592013,58.73695257024743,-87.70160663,"(41.9004872304807, -87.701606631524)"
Lake View,6,ARO,621 W Belmont LLC,621 W. Belmont St.,81889,312-725-2276,Kass Management,2,1171456.757,955552.4273514316,40.32146899936044,-87.64524776,"(41.9399163094736, -87.6452477578847)"
Washington Park,40,Multifamily,Michigan Plaza (St. Edmund's Plaza),5701 S. Michigan Ave.,60653,773-548-8924,Michigan Plaza LP,230,1178170.371,2103799.7645210186,41.79098039,-126.6603761076204,"(41.7909803898446, -87.6222241137332)"
Montclare,18,ARO,2931-57 N. Harlem LLC,2931-57 N. Harlem Ave.,60707,872-256-8321,The Brixen,5,1127615.033,1918797.886,23.52481905203296,-52.80907834418819,"(41.9335002731173, -87.8064419298412)"
Oakland,36,Multifamily,Lakefront Phase II,1140 E. 42nd Pl,60653,773-548-8795,"Urban Property Advisors, LLC",6,1184665.38,1877176.162,41.81813504,-87.59809656,"(41.818135036696, -87.5980965590227)"
North Lawndale,29,Multifamily,Park Douglas,2639 W. 12th Pl,60608,773-893-4800,Interstate Realty Management Co.,5,1075814.5854451396,1894249.272,41.86555368,-92.76336810839156,"(41.86555367636, -87.6925071702978)"
Woodlawn,42,Multifamily,Dorchester Apts.,1410 E. 62nd St.,60637,773-572-5500,The Thresholds,-150,1186722.404,1864209.572,41.78250522,-87.59096164,"(41.782505219358, -87.5909616432556)"
West Town,24,ARO,1237 N. Milwaukee Ave.Owner LLC,1241 N. Milwaukee Ave.,60622,312-883-7331,CIM Group,-157,1165423.812,1908434.931,41.904342,-87.66779176,"(41.9043420043763, -87.6677917610079)"
Edgewater,77,ARO,Anderson Point,5700 N. Ashland Ave.,60660,773-327-4975,33 Management LLC,16,1164592.267,1937879.014,41.98515573,-87.67000926,"(41.9851557257468, -87.6700092589944)"
Lincoln Park,7,Senior,Lathrop Elderly Apts.,2717 N. Leavitt St.,60647,773-296-2095,Hispanic Housing Dev. Corp.,92,1161966.806,1918094.527,41.9309215,-87.68022005,"(41.93092150251976, -87.6802200458293)"
Near North Side,8,Supportive,Carling Hotel,1512 N. LaSalle St.,60610,312-421-1170,Interstate Realty Management Co.,80,1174812.446,1910422.213,41.90959014,-87.63324548,"(41.9095901426841, -87.6332454838348)"
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,505 N. Troy St.,86912,773-227-6332,Bickerdike Apts.,6,1155324.884,1903322.64,41.89052242,-87.70502546,"(41.8905224213702, -87.7050254597132)"
Near South Side,33,Supportive Housing,The Studios,1801 S. Wabash St.,60616,312-326-5200,East Lake Management Co.,96,1092790.1783587309,1891564.72,41.85779292,-87.62546237,"(41.857792921043, -87.6254623688353)"
Uptown,3,Multifamily,Malden Arms Apts.,4727 N. Malden St.,60640,773-334-2164,Mercy Housing,41,1166646.838,1490288.7937097473,41.96799271,-87.66263241,"(41.967992712996, -87.662632408711)"
Near West Side,28,Multifamily,Newberry Park Apts.,1355 S. Blue Island Ave.,60608,312-563-0099,AIMCO,124,1245336.0668567796,2385665.7196483165,50.94225471644037,-87.65575239,"(41.8639940987888, -87.6557523872438)"
South Shore,43,Senior,Senior Suites of Rainbow Beach,2804 E. 77th Place,60649,773-374-5333,Senior Lifestyle Corp.,87,1196631.912,1110504.4385508203,41.7546866,-87.55496472,"(41.7546866025245, -87.5549647164794)"
Rogers Park,1,Senior,Morse Senior Apts.,1528 W. Morse Ave.,60626,312-602-6207,CIG Management,44,1165843.898,1946058.513,46.21745335652557,-87.66517114,"(42.0075737709331, -87.6651711448293)"
Bridgeport,19,Senior,Archer Avenue Senior Residences,2928 S. Archer Ave.,60608,773-376-2360,Preservation Housing Management LLC,221,1168114.67,1885548.333,41.84148167,-87.65856844,"(41.84148167339779, -87.65856843550151)"
Humboldt Park,23,Senior,North & Pulaski Senior Housing,3939-59 W. North Ave.,60647,773-687-0234,Hispanic Housing Dev. Corp.,72,1149678.042,1910302.339,29.10934572032794,-87.72558192,"(41.9097870142627, -87.7255819184016)"
Lower West Side,31,Multifamily,Casa San Luis,1646-50 S. Throop St.,50709,312-666-1323,The Resurrection Project,12,1167939.641,1891689.48,41.8583373,-87.65903377,"(41.8583373045384, -87.6590337725469)"
Humboldt Park,23,Multifamily,Tierra Linda Apts.,1757 N. Drake Ave.,60647,773-276-5338,LUCHA,3,1152579.353,1911651.094,41.91343122,-87.71488792,"(41.9134312154579, -87.7148879186767)"
Belmont Cragin,19,Senior,Cicero & George Elderly Apts.,4800 W. George St.,62404,312-291-5420,Hispanic Housing Dev. Corp.,70,940511.52027793,1918889.671,41.93346293,-108.05188185061752,"(41.9334629305796, -87.7467922468114)"
Douglas,35,Multifamily,Park Boulevard IIB,10 W. 37th St.,60609,773-548-8792,"Urban Property Advisors, LLC",12,1176772.49,1880503.014,41.82744587,-87.62694964,"(41.8274458746058, -87.6269496359167)"
Riverdale,54,Senior,Concordia Apts.,13037 S. Daniel Dr.,71725,773-995-5200,"DRE, Inc.",75,1180294.274,1818758.372,41.65793125,-85.79328900350916,"(41.6579312533062, -87.6159174009456)"
Kenwood,39,Multifamily,Cottage View Terrace,4829 S. Cootage Grove Ave.,44482,872-263-2362,UPA LLC,97,1182447.475,2442774.992994507,41.80683465,-87.60636083,"(41.80683465328728, -87.6063608291085)"
Hyde Park,41,ARO,5228 S Blackstone,1424-28 E. 53rd St.,60615,773-221-6998,5228 S Blacstone LLC,2,914698.67936178,1870451.785,41.7996338,-87.59068096,"(41.7996337978199, -87.5906809634112)"
Austin,25,Multifamily,Rebecca Walker Complex,126 S. Central Ave.,60644,773-261-1550,Affordable Property Management Specialist,40,1139038.208,1898825.974,41.87849467,-87.76494803,"(41.8784946733449, -87.7649480304947)"
Roseland,49,Senior,Roseland Place Senior Apts.,10426 S. Michigan Ave.,44367,773-468-1901,Mercy Housing,59,1392884.8064878993,1835756.142,41.70460868,-87.62071293,"(41.70460868112854, -87.6207129341579)"
Montclare,18,ARO,6602-22 W. Diversey,6602-22 W. Diversey Ave.,60707,872-256-8321,The Brixen,3,1131884.372,1917931.507,41.93104976,-87.79077219,"(41.9310497553307, -87.7907721868365)"
North Lawndale,29,Multifamily,Park Douglas,1303-15 S. Fairfield Ave.,60608,773-893-4800,Interstate Realty Management Co.,31,1158279.052,2827900.5402051527,41.86448798,-87.69443508,"(41.8644879835666, -87.6944350831822)"
Near West Side,28,Multifamily,Jackson Square West End,2425 W. Adams St.,60612,312-492-6645,East Lake Management Co.,115,1160165.746,1898949.65,41.8784239,-87.68736835,"(41.8784239004305, -87.6873683542788)"
Lake View,6,Senior,Britton Bud Apts.,501 W. Surf St.,60657,773-388-8101,Habitat Company,173,1172519.373,2564257.2818026883,41.93419517,-87.64140394,"(41.934195165791614, -87.64140393808746)"
Near West Side,28,Senior,Loomis Court,1314 W. 15th St.,60608,312-850-4128,CHA,-126,1167767.395,2095576.642216152,41.86166987,-97.76062573275723,"(41.8616698672629, -87.6596310829808)"
Grand Boulevard,38,Multifamily,Rosenwald Courts Apts.,4642 S. Michigan Ave.,62124,773-819-2267,Mercy Housing,239,1177902.205,2047138.9330468387,41.80982565,-87.62299938,"(41.8098256489654, -87.6229993768141)"
Logan Square,22,Multifamily,Zapata Apts.,3503 W. Armitage Ave,60647,773-227-6332,Bickerdike Apartments,12,1152897.634,2075926.4000418773,41.91720928,-87.71368201,"(41.9172092810543, -87.7136820059935)"
Logan Square,22,Multifamily,Zapata Apts.,1955 N. St. Louis Ave.,60647,773-227-6332,Bickerdike Apartments,3,1152977.196,1913047.516,41.91725524,-87.71338923,"(41.9172552391374, -87.7133892334538)"
Ashburn,70,Senior,Wrightwood Senior Apts.,2815 W. 79th St.,75903,773-471-7777,Ludwig and Company,85,1380752.1195418974,1852040.954,41.74972646,-87.69327334,"(41.7497264566211, -87.6932733372306)"
