AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,OBJECTID
7132,POLICE OFFICER                     ,M,B ,30 - 39,32,4TH DIVISION                                           ,1ST PLATOON                                            ,9,1416
7133,POLICE SERGEANT                    ,F,W ,30 - 39,32,WELLNESS UNIT                                          ,STAFF                                                  ,9,1417
7135,POLICE OFFICER                     ,F,W ,30 - 39,32,3RD DIVISION                                           ,3RD PLATOON                                            ,9,1418
7134,POLICE OFFICER                     ,M,W ,30 - 39,33,TRAINING                                               ,IN-SERVICE TRAINING UNIT                               ,9,1419
7136,POLICE OFFICER                     ,M,W ,30 - 39,32,3RD DIVISION                                           ,1ST PLATOON                                            ,9,1420
7137,POLICE OFFICER                     ,M,W ,40 - 49,40,VIOLENT CRIME UNIT                                     ,SQUAD 1                                                ,9,1421
7138,POLICE OFFICER                     ,M,B ,30 - 39,38,6TH DIVISION                                           ,RESOURCE OFFICERS                                      ,9,1422
7140,POLICE SERGEANT                    ,M,W ,30 - 39,36,CIS HOMICIDE                                           ,SQUAD 2                                                ,9,1423
7141,POLICE OFFICER                     ,M,W ,30 - 39,34,1ST DIVISION                                           ,DETECTIVES                                             ,9,1424
7142,POLICE OFFICER                     ,F,W ,30 - 39,32,8TH DIVISION                                           ,DETECTIVES                                             ,9,1425
7143,POLICE OFFICER                     ,M,W ,30 - 39,39,FOCUSED INTELLIGENCE UNIT                              ,FIREARMS INTELLIGENCE SQUAD                            ,9,1426
7144,POLICE SERGEANT                    ,M,W ,30 - 39,33,2ND DIVISION                                           ,1ST PLATOON                                            ,8,1427
7145,POLICE OFFICER                     ,M,W ,30 - 39,33,CANINE UNIT                                            ,2ND PLATOON                                            ,8,1428
7146,POLICE OFFICER                     ,M,W ,30 - 39,37,2ND DIVISION                                           ,1ST PLATOON                                            ,8,1429
7147,POLICE OFFICER                     ,M,W ,30 - 39,37,NARCOTICS                                              ,INTERDICTION SQUAD                                     ,8,1430
7148,POLICE OFFICER                     ,F,W ,40 - 49,44,1ST DIVISION                                           ,BIKE PLATOON                                           ,8,1431
7149,POLICE OFFICER                     ,M,W ,30 - 39,32,3RD DIVISION                                           ,1ST PLATOON                                            ,8,1432
7150,POLICE SERGEANT                    ,M,W ,30 - 39,32,VIOLENT CRIME UNIT                                     ,SQUAD 2                                                ,8,1433
7152,POLICE OFFICER                     ,M,W ,30 - 39,32,FOCUSED INTELLIGENCE UNIT                              ,FIREARMS INTELLIGENCE SQUAD                            ,8,1434
7153,POLICE SERGEANT                    ,F,W ,30 - 39,33,1ST DIVISION                                           ,2ND PLATOON                                            ,8,1435
7154,POLICE OFFICER                     ,F,B ,30 - 39,38,2ND DIVISION                                           ,2ND PLATOON                                            ,8,1436
7155,POLICE OFFICER                     ,M,W ,50 - 59,54,1ST DIVISION                                           ,BIKE PLATOON                                           ,8,1437
7156,POLICE OFFICER                     ,M,B ,30 - 39,39,CIS HOMICIDE                                           ,SQUAD 3                                                ,8,1438
7157,POLICE OFFICER                     ,M,B ,30 - 39,35,4TH DIVISION                                           ,1ST PLATOON                                            ,8,1439
7139,POLICE SERGEANT                    ,M,W ,30 - 39,36,4TH DIVISION                                           ,1ST PLATOON                                            ,9,1440
7158,POLICE OFFICER                     ,M,B ,30 - 39,34,7TH DIVISION                                           ,3RD PLATOON                                            ,8,1441
7166,POLICE OFFICER                     ,M,W ,30 - 39,34,3RD DIVISION                                           ,1ST PLATOON                                            ,8,1442
7159,POLICE OFFICER                     ,M,W ,30 - 39,38,8TH DIVISION                                           ,2ND PLATOON                                            ,8,1443
7160,POLICE OFFICER                     ,M,W ,30 - 39,35,3RD DIVISION                                           ,2ND PLATOON                                            ,8,1444
7161,POLICE OFFICER                     ,M,W ,30 - 39,32,FOCUSED INTELLIGENCE UNIT                              ,FIREARMS INTELLIGENCE SQUAD                            ,8,1445
7162,POLICE OFFICER                     ,M,W ,30 - 39,36,1ST DIVISION                                           ,2ND PLATOON                                            ,8,1446
7163,POLICE OFFICER                     ,M,W ,30 - 39,33,6TH DIVISION                                           ,1ST PLATOON                                            ,8,1447
7164,POLICE OFFICER                     ,M,H ,30 - 39,35,8TH DIVISION                                           ,1ST PLATOON                                            ,8,1448
7165,POLICE OFFICER                     ,M,W ,30 - 39,33,1ST DIVISION                                           ,DETECTIVES                                             ,8,1449
7169,POLICE OFFICER                     ,M,B ,30 - 39,35,4TH DIVISION                                           ,2ND PLATOON                                            ,8,1450
7171,POLICE OFFICER                     ,M,W ,30 - 39,32,3RD DIVISION                                           ,1ST PLATOON                                            ,8,1451
7173,POLICE SERGEANT                    ,M,W ,30 - 39,33,1ST DIVISION                                           ,2ND PLATOON                                            ,8,1452
7174,POLICE OFFICER                     ,M,B ,30 - 39,31,3RD DIVISION                                           ,1ST PLATOON                                            ,8,1453
7167,POLICE OFFICER                     ,M,W ,50 - 59,52,6TH DIVISION                                           ,1ST PLATOON                                            ,8,1454
7168,POLICE OFFICER                     ,M,W ,30 - 39,30,CIS HOMICIDE                                           ,SQUAD 2                                                ,8,1455
7170,POLICE OFFICER                     ,F,W ,30 - 39,34,1ST DIVISION                                           ,RESOURCE OFFICERS                                      ,8,1456
7176,POLICE OFFICER                     ,M,B ,30 - 39,31,6TH DIVISION                                           ,2ND PLATOON                                            ,8,1457
7177,POLICE OFFICER                     ,M,W ,30 - 39,35,3RD DIVISION                                           ,1ST PLATOON                                            ,8,1458
7178,POLICE OFFICER                     ,M,W ,30 - 39,31,8TH DIVISION                                           ,2ND PLATOON                                            ,8,1459
7180,POLICE SERGEANT                    ,M,W ,40 - 49,44,1ST DIVISION                                           ,1ST PLATOON                                            ,8,1460
7182,POLICE OFFICER                     ,M,W ,30 - 39,36,RECORDS MANAGEMENT                                     ,LMPD SERVICE CENTER                                    ,8,1461
7183,POLICE OFFICER                     ,M,W ,30 - 39,34,4TH DIVISION                                           ,1ST PLATOON                                            ,8,1462
7181,POLICE OFFICER                     ,F,W ,30 - 39,32,2ND DIVISION                                           ,2ND PLATOON                                            ,8,1463
7184,POLICE OFFICER                     ,M,W ,30 - 39,34,2ND DIVISION                                           ,1ST PLATOON                                            ,8,1464
7172,POLICE OFFICER                     ,M,W ,40 - 49,41,TRAINING                                               ,RECRUITS                                               ,8,1465
7179,POLICE OFFICER                     ,M,W ,30 - 39,35,5TH DIVISION                                           ,DETECTIVES                                             ,8,1466
7175,POLICE OFFICER                     ,F,W ,30 - 39,32,2ND DIVISION                                           ,DETECTIVES                                             ,8,1467
7185,POLICE OFFICER                     ,M,W ,30 - 39,32,5TH DIVISION                                           ,DETECTIVES                                             ,8,1468
7197,POLICE OFFICER                     ,M,B ,30 - 39,38,2ND DIVISION                                           ,HALO/DRO                                               ,8,1469
7226,POLICE OFFICER                     ,M,W ,30 - 39,31,3RD DIVISION                                           ,DETECTIVES                                             ,8,1470
7232,POLICE OFFICER                     ,M,W ,30 - 39,34,3RD DIVISION                                           ,1ST PLATOON                                            ,8,1471
7189,POLICE OFFICER                     ,M,W ,40 - 49,46,3RD DIVISION                                           ,2ND PLATOON                                            ,8,1472
7205,POLICE OFFICER                     ,F,W ,30 - 39,33,3RD DIVISION                                           ,DETECTIVES                                             ,7,1473
7215,POLICE OFFICER                     ,F,W ,40 - 49,41,MOUNTED PATROL                                         ,STAFF                                                  ,8,1474
7190,POLICE OFFICER                     ,F,B ,30 - 39,39,1ST DIVISION                                           ,2ND PLATOON                                            ,8,1475
7216,POLICE OFFICER                     ,M,W ,40 - 49,45,1ST DIVISION                                           ,1ST PLATOON                                            ,8,1476
7229,POLICE OFFICER                     ,M,W ,30 - 39,33,1ST DIVISION                                           ,BIKE PLATOON                                           ,8,1477
7191,POLICE SERGEANT                    ,M,W ,30 - 39,35,1ST DIVISION                                           ,DETECTIVES                                             ,8,1478
7227,POLICE OFFICER                     ,F,W ,30 - 39,32,SCHOOL RESOURCE OFFICERS                               ,STAFF                                                  ,8,1479
7231,POLICE OFFICER                     ,F,W ,30 - 39,32,2ND DIVISION                                           ,HALO/DRO                                               ,8,1480
7219,POLICE LIEUTENANT                  ,M,W ,30 - 39,31,3RD DIVISION                                           ,STAFF                                                  ,8,1481
7194,POLICE OFFICER                     ,M,W ,30 - 39,36,VIOLENT CRIME UNIT                                     ,SQUAD 2                                                ,8,1482
7218,POLICE OFFICER                     ,M,W ,30 - 39,35,1ST DIVISION                                           ,2ND PLATOON                                            ,8,1483
7195,POLICE OFFICER                     ,M,W ,30 - 39,36,1ST DIVISION                                           ,3RD PLATOON                                            ,8,1484
7196,POLICE OFFICER                     ,M,W ,30 - 39,38,FOCUSED INTELLIGENCE UNIT                              ,FIREARMS INTELLIGENCE SQUAD                            ,8,1485
7217,POLICE OFFICER                     ,M,W ,30 - 39,35,CIS HOMICIDE                                           ,SQUAD 1                                                ,8,1486
7228,POLICE OFFICER                     ,M,W ,40 - 49,44,4TH DIVISION                                           ,1ST PLATOON                                            ,8,1487
7199,POLICE OFFICER                     ,M,W ,30 - 39,38,5TH DIVISION                                           ,1ST PLATOON                                            ,8,1488
7224,POLICE OFFICER                     ,M,A ,30 - 39,35,3RD DIVISION                                           ,1ST PLATOON                                            ,8,1489
7223,POLICE OFFICER                     ,F,W ,30 - 39,31,1ST DIVISION                                           ,2ND PLATOON                                            ,8,1490
7213,POLICE OFFICER                     ,M,H ,30 - 39,34,7TH DIVISION                                           ,2ND PLATOON                                            ,8,1491
7221,POLICE OFFICER                     ,M,W ,30 - 39,33,3RD DIVISION                                           ,1ST PLATOON                                            ,8,1492
7198,POLICE OFFICER                     ,M,B ,40 - 49,45,3RD DIVISION                                           ,2ND PLATOON                                            ,8,1493
7220,POLICE SERGEANT                    ,M,W ,30 - 39,33,1ST DIVISION                                           ,2ND PLATOON                                            ,8,1494
7211,POLICE OFFICER                     ,M,W ,30 - 39,31,6TH DIVISION                                           ,2ND PLATOON                                            ,8,1495
7210,POLICE OFFICER                     ,M,W ,30 - 39,37,1ST DIVISION                                           ,2ND PLATOON                                            ,8,1496
7209,POLICE SERGEANT                    ,M,W ,30 - 39,35,2ND DIVISION                                           ,2ND PLATOON                                            ,8,1497
7208,POLICE OFFICER                     ,F,B ,40 - 49,42,4TH DIVISION                                           ,1ST PLATOON                                            ,8,1498
7207,POLICE SERGEANT                    ,M,W ,40 - 49,40,7TH DIVISION                                           ,2ND PLATOON                                            ,8,1499
7201,POLICE OFFICER                     ,M,W ,30 - 39,34,SWAT UNIT                                              ,SQUAD 1                                                ,8,1500
7202,POLICE OFFICER                     ,M,W ,30 - 39,35,3RD DIVISION                                           ,1ST PLATOON                                            ,7,1501
7200,POLICE OFFICER                     ,F,W ,30 - 39,36,6TH DIVISION                                           ,1ST PLATOON                                            ,8,1502
7206,POLICE OFFICER                     ,M,W ,30 - 39,32,CANINE UNIT                                            ,3RD PLATOON                                            ,8,1503
7204,POLICE OFFICER                     ,M,A ,30 - 39,34,8TH DIVISION                                           ,1ST PLATOON                                            ,8,1504
7203,POLICE OFFICER                     ,M,W ,30 - 39,34,5TH DIVISION                                           ,2ND PLATOON                                            ,8,1505
7212,POLICE OFFICER                     ,M,B ,30 - 39,31,1ST DIVISION                                           ,RESOURCE OFFICERS                                      ,8,1506
7233,POLICE OFFICER                     ,M,W ,30 - 39,37,SWAT UNIT                                              ,SQUAD 2                                                ,8,1507
7235,POLICE OFFICER                     ,F,W ,30 - 39,31,CIS SPECIAL VICTIMS                                    ,CRIMES AGAINST CHILDREN                                ,8,1508
7236,POLICE OFFICER                     ,M,W ,30 - 39,32,CIS HOMICIDE                                           ,SQUAD 3                                                ,8,1509
7237,POLICE OFFICER                     ,M,W ,30 - 39,35,7TH DIVISION                                           ,2ND PLATOON                                            ,8,1510
7238,POLICE OFFICER                     ,M,W ,30 - 39,32,4TH DIVISION                                           ,3RD PLATOON                                            ,8,1511
7239,POLICE OFFICER                     ,M,W ,30 - 39,30,1ST DIVISION                                           ,1ST PLATOON                                            ,8,1512
7193,POLICE OFFICER                     ,M,W ,OVER 60,61,6TH DIVISION                                           ,3RD PLATOON                                            ,8,1513
7242,POLICE SERGEANT                    ,M,W ,40 - 49,40,1ST DIVISION                                           ,2ND PLATOON                                            ,8,1514
7243,POLICE OFFICER                     ,M,W ,40 - 49,49,CIS HOMICIDE                                           ,SQUAD 4                                                ,8,1515
7234,POLICE OFFICER                     ,M,W ,50 - 59,57,3RD DIVISION                                           ,STAFF                                                  ,8,1516
7241,POLICE OFFICER                     ,M,W ,30 - 39,35,CIS SPECIAL VICTIMS                                    ,CRIMES AGAINST CHILDREN                                ,8,1517
7245,POLICE OFFICER                     ,M,W ,30 - 39,38,VIOLENT CRIME UNIT                                     ,SQUAD 1                                                ,8,1518
7246,POLICE OFFICER                     ,M,H ,40 - 49,47,7TH DIVISION                                           ,2ND PLATOON                                            ,13,1519
7244,POLICE OFFICER                     ,M,B ,30 - 39,35,3RD DIVISION                                           ,1ST PLATOON                                            ,8,1520
7247,POLICE OFFICER                     ,M,W ,30 - 39,30,TECHNICAL SERVICES                                     ,TECHNICAL SERVICES                                     ,8,1521
7249,POLICE SERGEANT                    ,M,W ,30 - 39,33,4TH DIVISION                                           ,DETECTIVES                                             ,8,1522
7250,POLICE OFFICER                     ,M,B ,30 - 39,34,CIS ROBBERY                                            ,2ND PLATOON                                            ,8,1523
7251,POLICE OFFICER                     ,M,W ,30 - 39,33,AIR PATROL                                             ,STAFF                                                  ,8,1524
7252,POLICE OFFICER                     ,M,W ,30 - 39,36,3RD DIVISION                                           ,1ST PLATOON                                            ,8,1525
7253,POLICE OFFICER                     ,M,W ,30 - 39,38,1ST DIVISION                                           ,DETECTIVES                                             ,7,1526
7254,POLICE OFFICER                     ,M,B ,30 - 39,39,STRATEGIC PLANNING                                     ,STAFF                                                  ,8,1527
7269,POLICE OFFICER                     ,F,B ,30 - 39,34,7TH DIVISION                                           ,1ST PLATOON                                            ,8,1528
7240,POLICE OFFICER                     ,M,W ,30 - 39,37,SWAT UNIT                                              ,SQUAD 2                                                ,8,1529
7255,POLICE OFFICER                     ,M,W ,40 - 49,40,1ST DIVISION                                           ,BIKE PLATOON                                           ,8,1530
7266,POLICE OFFICER                     ,M,B ,30 - 39,39,1ST DIVISION                                           ,1ST PLATOON                                            ,8,1531
7267,POLICE OFFICER                     ,M,W ,30 - 39,37,3RD DIVISION                                           ,1ST PLATOON                                            ,8,1532
7268,POLICE OFFICER                     ,F,W ,30 - 39,37,2ND DIVISION                                           ,DETECTIVES                                             ,8,1533
7256,POLICE OFFICER                     ,M,B ,30 - 39,34,6TH DIVISION                                           ,2ND PLATOON                                            ,8,1534
7258,POLICE OFFICER                     ,M,W ,30 - 39,37,4TH DIVISION                                           ,1ST PLATOON                                            ,8,1535
7259,POLICE OFFICER                     ,F,W ,40 - 49,47,4TH DIVISION                                           ,3RD PLATOON                                            ,8,1536
7261,POLICE OFFICER                     ,M,W ,40 - 49,41,SUPPORT UNIT                                           ,SCRIPT TEAM                                            ,8,1537
7262,POLICE OFFICER                     ,M,W ,30 - 39,39,4TH DIVISION                                           ,DETECTIVES                                             ,8,1538
7263,POLICE OFFICER                     ,M,A ,30 - 39,36,3RD DIVISION                                           ,1ST PLATOON                                            ,8,1539
7257,POLICE OFFICER                     ,M,W ,30 - 39,35,4TH DIVISION                                           ,DETECTIVES                                             ,8,1540
7264,POLICE OFFICER                     ,M,W ,30 - 39,38,3RD DIVISION                                           ,1ST PLATOON                                            ,8,1541
7273,POLICE OFFICER                     ,M,A ,40 - 49,45,4TH DIVISION                                           ,2ND PLATOON                                            ,8,1542
7248,POLICE OFFICER                     ,M,W ,40 - 49,40,5TH DIVISION                                           ,DETECTIVES                                             ,8,1543
7271,POLICE SERGEANT                    ,M,W ,30 - 39,32,VIOLENT CRIME UNIT                                     ,SQUAD 1                                                ,8,1544
7272,POLICE OFFICER                     ,M,B ,30 - 39,37,7TH DIVISION                                           ,1ST PLATOON                                            ,8,1545
7274,POLICE OFFICER                     ,M,W ,21 - 29,29,RECORDS MANAGEMENT                                     ,LMPD SERVICE CENTER                                    ,7,1546
7275,POLICE OFFICER                     ,M,W ,40 - 49,46,4TH DIVISION                                           ,DETECTIVES                                             ,7,1547
7276,POLICE OFFICER                     ,M,W ,30 - 39,38,6TH DIVISION                                           ,2ND PLATOON                                            ,7,1548
7278,POLICE OFFICER                     ,M,W ,30 - 39,36,7TH DIVISION                                           ,1ST PLATOON                                            ,7,1549
7279,POLICE OFFICER                     ,M,H ,40 - 49,42,TECHNICAL SERVICES                                     ,TECHNICAL SERVICES                                     ,7,1550
7280,POLICE OFFICER                     ,M,B ,40 - 49,43,5TH DIVISION                                           ,1ST PLATOON                                            ,7,1551
7282,POLICE OFFICER                     ,F,W ,30 - 39,32,2ND DIVISION                                           ,DETECTIVES                                             ,7,1552
7283,POLICE OFFICER                     ,M,W ,30 - 39,31,CIS SPECIAL VICTIMS                                    ,SEX CRIMES                                             ,7,1553
7284,POLICE OFFICER                     ,M,W ,30 - 39,30,5TH DIVISION                                           ,1ST PLATOON                                            ,7,1554
7285,POLICE OFFICER                     ,M,W ,30 - 39,32,ADMINISTRATIVE SERVICES DIVISION                       ,STAFF                                                  ,7,1555
7300,POLICE OFFICER                     ,M,W ,30 - 39,35,3RD DIVISION                                           ,3RD PLATOON                                            ,7,1556
7288,POLICE OFFICER                     ,M,W ,30 - 39,34,1ST DIVISION                                           ,DETECTIVES                                             ,7,1557
7289,POLICE OFFICER                     ,F,W ,30 - 39,32,CIS SPECIAL VICTIMS                                    ,CRIMES AGAINST CHILDREN                                ,7,1558
7290,POLICE OFFICER                     ,M,W ,30 - 39,31,FOCUSED INTELLIGENCE UNIT                              ,MAJOR CASE SQUAD                                       ,7,1559
7291,POLICE OFFICER                     ,M,W ,40 - 49,40,1ST DIVISION                                           ,BIKE PLATOON                                           ,7,1560
7292,POLICE OFFICER                     ,M,W ,30 - 39,32,FOCUSED INTELLIGENCE UNIT                              ,MAJOR CASE SQUAD                                       ,7,1561
7294,POLICE OFFICER                     ,M,W ,30 - 39,30,6TH DIVISION                                           ,DETECTIVES                                             ,7,1562
7295,POLICE OFFICER                     ,M,W ,30 - 39,32,3RD DIVISION                                           ,2ND PLATOON                                            ,7,1563
7296,POLICE OFFICER                     ,F,W ,30 - 39,37,4TH DIVISION                                           ,1ST PLATOON                                            ,7,1564
7297,POLICE OFFICER                     ,M,B ,30 - 39,34,7TH DIVISION                                           ,1ST PLATOON                                            ,7,1565
7298,POLICE OFFICER                     ,F,W ,30 - 39,35,4TH DIVISION                                           ,1ST PLATOON                                            ,7,1566
7286,POLICE OFFICER                     ,F,W ,30 - 39,32,CANINE UNIT                                            ,2ND PLATOON                                            ,6,1567
7281,POLICE SERGEANT                    ,F,W ,30 - 39,34,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,7,1568
7293,POLICE OFFICER                     ,M,W ,30 - 39,31,MAJOR CASE UNIT                                        ,MAJOR CASE SQUAD                                       ,7,1569
7301,POLICE OFFICER                     ,M,H ,30 - 39,33,4TH DIVISION                                           ,1ST PLATOON                                            ,7,1570
7303,POLICE OFFICER                     ,F,W ,21 - 29,29,6TH DIVISION                                           ,1ST PLATOON                                            ,7,1571
7305,POLICE OFFICER                     ,M,W ,21 - 29,29,1ST DIVISION                                           ,DETECTIVES                                             ,7,1572
7306,POLICE OFFICER                     ,M,W ,30 - 39,30,5TH DIVISION                                           ,1ST PLATOON                                            ,7,1573
7307,POLICE OFFICER                     ,M,W ,30 - 39,32,6TH DIVISION                                           ,1ST PLATOON                                            ,7,1574
7304,POLICE OFFICER                     ,M,B ,30 - 39,36,5TH DIVISION                                           ,2ND PLATOON                                            ,7,1575
7308,POLICE OFFICER                     ,M,W ,30 - 39,31,8TH DIVISION                                           ,2ND PLATOON                                            ,7,1576
7309,POLICE OFFICER                     ,M,B ,30 - 39,34,2ND DIVISION                                           ,2ND PLATOON                                            ,7,1577
7310,POLICE OFFICER                     ,M,W ,30 - 39,32,2ND DIVISION                                           ,2ND PLATOON                                            ,7,1578
7311,POLICE OFFICER                     ,M,W ,30 - 39,33,1ST DIVISION                                           ,DETECTIVES                                             ,7,1579
7312,POLICE OFFICER                     ,M,B ,30 - 39,36,2ND DIVISION                                           ,2ND PLATOON                                            ,7,1580
7313,POLICE OFFICER                     ,F,W ,30 - 39,38,8TH DIVISION                                           ,1ST PLATOON                                            ,7,1581
7314,POLICE OFFICER                     ,M,W ,30 - 39,30,4TH DIVISION                                           ,2ND PLATOON                                            ,7,1582
7315,POLICE OFFICER                     ,M,W ,30 - 39,31,7TH DIVISION                                           ,2ND PLATOON                                            ,7,1583
7316,POLICE OFFICER                     ,M,W ,30 - 39,31,8TH DIVISION                                           ,RESOURCE OFFICERS                                      ,7,1584
7318,POLICE OFFICER                     ,F,W ,30 - 39,35,5TH DIVISION                                           ,2ND PLATOON                                            ,7,1585
7319,POLICE SERGEANT                    ,M,W ,30 - 39,31,2ND DIVISION                                           ,1ST PLATOON                                            ,7,1586
7320,POLICE OFFICER                     ,M,B ,30 - 39,31,5TH DIVISION                                           ,DETECTIVES                                             ,7,1587
7322,POLICE OFFICER                     ,M,W ,30 - 39,30,VIOLENT CRIME UNIT                                     ,SQUAD 1                                                ,7,1588
7287,POLICE OFFICER                     ,M,W ,30 - 39,36,1ST DIVISION                                           ,2ND PLATOON                                            ,7,1589
7321,POLICE OFFICER                     ,M,B ,30 - 39,38,TRAFFIC                                                ,3RD PLATOON                                            ,7,1590
7323,POLICE OFFICER                     ,M,W ,40 - 49,42,VIOLENT CRIME UNIT                                     ,SQUAD 1                                                ,7,1591
7325,POLICE OFFICER                     ,M,W ,21 - 29,29,1ST DIVISION                                           ,1ST PLATOON                                            ,7,1592
7326,POLICE OFFICER                     ,F,W ,30 - 39,33,2ND DIVISION                                           ,1ST PLATOON                                            ,7,1593
7328,POLICE OFFICER                     ,M,A ,30 - 39,36,2ND DIVISION                                           ,1ST PLATOON                                            ,7,1594
7329,POLICE OFFICER                     ,M,B ,30 - 39,33,SWAT UNIT                                              ,SQUAD 2                                                ,7,1595
7330,POLICE SERGEANT                    ,M,B ,40 - 49,48,4TH DIVISION                                           ,2ND PLATOON                                            ,7,1596
7331,POLICE OFFICER                     ,M,W ,30 - 39,32,TRAINING                                               ,BASIC ACADEMY                                          ,7,1597
7332,POLICE OFFICER                     ,M,A ,30 - 39,34,3RD DIVISION                                           ,2ND PLATOON                                            ,7,1598
7333,POLICE OFFICER                     ,M,B ,30 - 39,35,TRAINING                                               ,FIREARMS TRAINING UNIT                                 ,7,1599
7334,POLICE OFFICER                     ,M,W ,30 - 39,34,4TH DIVISION                                           ,DETECTIVES                                             ,7,1600
7336,POLICE OFFICER                     ,M,W ,30 - 39,36,3RD DIVISION                                           ,1ST PLATOON                                            ,7,1601
7337,POLICE SERGEANT                    ,M,W ,30 - 39,35,4TH DIVISION                                           ,2ND PLATOON                                            ,7,1602
7338,POLICE OFFICER                     ,M,W ,30 - 39,35,6TH DIVISION                                           ,1ST PLATOON                                            ,7,1603
7339,POLICE OFFICER                     ,M,W ,40 - 49,41,3RD DIVISION                                           ,1ST PLATOON                                            ,7,1604
7340,POLICE OFFICER                     ,M,W ,30 - 39,34,3RD DIVISION                                           ,1ST PLATOON                                            ,7,1605
7341,POLICE OFFICER                     ,M,W ,30 - 39,31,6TH DIVISION                                           ,DETECTIVES                                             ,7,1606
7342,POLICE OFFICER                     ,M,W ,30 - 39,33,CIS HOMICIDE                                           ,SQUAD 3                                                ,7,1607
7343,POLICE OFFICER                     ,F,W ,30 - 39,38,2ND DIVISION                                           ,2ND PLATOON                                            ,7,1608
7345,POLICE OFFICER                     ,F,W ,30 - 39,31,RIVER PATROL                                           ,STAFF                                                  ,7,1609
7346,POLICE OFFICER                     ,M,B ,40 - 49,46,ADMINISTRATIVE SERVICES DIVISION                       ,RECRUITING AND SELECTION                               ,7,1610
7347,POLICE OFFICER                     ,F,B ,30 - 39,30,1ST DIVISION                                           ,1ST PLATOON                                            ,7,1611
7348,POLICE OFFICER                     ,M,W ,30 - 39,31,7TH DIVISION                                           ,1ST PLATOON                                            ,7,1612
7344,POLICE OFFICER                     ,M,B ,40 - 49,40,4TH DIVISION                                           ,2ND PLATOON                                            ,7,1613
7349,POLICE OFFICER                     ,M,W ,21 - 29,29,2ND DIVISION                                           ,1ST PLATOON                                            ,6,1614
7350,POLICE OFFICER                     ,M,B ,21 - 29,29,1ST DIVISION                                           ,1ST PLATOON                                            ,6,1615
7351,POLICE OFFICER                     ,M,B ,30 - 39,34,4TH DIVISION                                           ,2ND PLATOON                                            ,6,1616
7352,POLICE OFFICER                     ,M,W ,30 - 39,34,4TH DIVISION                                           ,2ND PLATOON                                            ,6,1617
7354,POLICE OFFICER                     ,M,W ,30 - 39,32,7TH DIVISION                                           ,1ST PLATOON                                            ,6,1618
7355,POLICE OFFICER                     ,F,W ,30 - 39,31,8TH DIVISION                                           ,1ST PLATOON                                            ,6,1619
7356,POLICE OFFICER                     ,F,W ,21 - 29,28,CIS HOMICIDE                                           ,SQUAD 3                                                ,6,1620
7357,POLICE OFFICER                     ,M,W ,30 - 39,37,2ND DIVISION                                           ,STAFF                                                  ,6,1621
7358,POLICE OFFICER                     ,M,W ,21 - 29,29,8TH DIVISION                                           ,1ST PLATOON                                            ,6,1622
7359,POLICE OFFICER                     ,M,B ,30 - 39,39,8TH DIVISION                                           ,1ST PLATOON                                            ,6,1623
7361,POLICE OFFICER                     ,M,W ,40 - 49,41,1ST DIVISION                                           ,DETECTIVES                                             ,6,1624
7360,POLICE OFFICER                     ,M,W ,30 - 39,36,4TH DIVISION                                           ,1ST PLATOON                                            ,6,1625
7362,POLICE OFFICER                     ,M,W ,30 - 39,31,3RD DIVISION                                           ,1ST PLATOON                                            ,6,1626
7363,POLICE OFFICER                     ,M,W ,30 - 39,32,2ND DIVISION                                           ,1ST PLATOON                                            ,6,1627
7365,POLICE OFFICER                     ,F,W ,30 - 39,32,CIS SPECIAL VICTIMS                                    ,DOMESTIC VIOLENCE UNIT                                 ,6,1628
7366,POLICE OFFICER                     ,M,W ,30 - 39,35,6TH DIVISION                                           ,1ST PLATOON                                            ,6,1629
7369,POLICE OFFICER                     ,M,W ,30 - 39,30,8TH DIVISION                                           ,1ST PLATOON                                            ,6,1630
7370,POLICE OFFICER                     ,M,H ,30 - 39,37,8TH DIVISION                                           ,2ND PLATOON                                            ,6,1631
7371,POLICE OFFICER                     ,M,W ,30 - 39,31,CIS SPECIAL VICTIMS                                    ,SEX CRIMES                                             ,6,1632
7372,POLICE OFFICER                     ,M,W ,30 - 39,32,7TH DIVISION                                           ,2ND PLATOON                                            ,6,1633
7373,POLICE OFFICER                     ,M,W ,30 - 39,31,CIS HOMICIDE                                           ,SQUAD 4                                                ,6,1634
7374,POLICE OFFICER                     ,F,W ,30 - 39,33,2ND DIVISION                                           ,1ST PLATOON                                            ,6,1635
7376,POLICE OFFICER                     ,F,B ,30 - 39,34,CIS ROBBERY                                            ,2ND PLATOON                                            ,6,1636
7379,POLICE OFFICER                     ,M,W ,30 - 39,32,7TH DIVISION                                           ,2ND PLATOON                                            ,6,1637
7380,POLICE OFFICER                     ,M,W ,30 - 39,30,4TH DIVISION                                           ,1ST PLATOON                                            ,6,1638
7381,POLICE OFFICER                     ,M,W ,30 - 39,34,2ND DIVISION                                           ,1ST PLATOON                                            ,6,1639
7383,POLICE OFFICER                     ,M,W ,30 - 39,33,6TH DIVISION                                           ,1ST PLATOON                                            ,6,1640
7411,POLICE OFFICER                     ,M,W ,40 - 49,43,6TH DIVISION                                           ,2ND PLATOON                                            ,6,1641
