Year,OSHPD_ID,Facility Name,County,Type of Ownership,Hospital Type,Teaching,Small/Rural,Average Licensed Beds,Average Available Beds,Average Staffed Beds,Bad Debts,Charity Care,Location
2015,106196403,KAISER FDN HOSP - DOWNEY,Los Angeles,Non-Profit,Kaiser Foundation Health,,,352,352,185,$0.00,$0.00,"DOWNEY, California
(33.940946, -118.12752)"
2014,106334048,KAISER FDN HOSP - MORENO VALLEY,Riverside,Non-Profit,Kaiser Foundation Health,,,71,71,36,$0.00,$0.00,"MORENO VALLEY, California
(33.917114, -117.261144)"
2015,106560508,ST. JOHN'S PLEASANT VALLEY HOSPITAL,Ventura,Non-Profit,Comparable,,,155,153,103,$7137411.00,$454628.00,"CAMARILLO, California
(34.225403, -119.050667)"
2015,106331164,DESERT REGIONAL MEDICAL CENTER,Riverside,Investor,Comparable,,,385,351,257,$14573494.00,$11952099.00,"PALM SPRINGS, California
(33.830302, -116.546843)"
2015,106334048,KAISER FDN HOSP - MORENO VALLEY,Riverside,Non-Profit,Kaiser Foundation Health,,,101,99,35,$0.00,$0.00,"MORENO VALLEY, California
(33.917114, -117.261144)"
2015,106380964,CALIFORNIA PACIFIC MEDICAL CENTER-ST LUKES CAMPUS,San Francisco,Non-Profit,Comparable,,,174,174,125,$2042539.00,$5640825.00,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2015,106540798,SIERRA VIEW MEDICAL CENTER,Tulare,District,Comparable,,,167,167,167,$4031204.00,$5686205.00,"PORTERVILLE, California
(36.073039, -119.016146)"
2014,106014132,KAISER FDN HOSP - FREMONT,Alameda,Non-Profit,Kaiser Foundation Health,,,106,106,34,$0.00,$0.00,"FREMONT, California
(37.550195, -121.980829)"
2014,106392232,ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,San Joaquin,Non-Profit,Comparable,,,35,35,35,$1730257.00,$113237.00,"STOCKTON, California
(37.957541, -121.292451)"
2015,106084001,SUTTER COAST HOSPITAL,Del Norte,Non-Profit,Comparable,,Rural,49,49,23,$1446055.00,$2936634.00,"CRESCENT CITY, California
(41.754772, -124.204373)"
2015,106190758,PROVIDENCE SAINT JOSEPH MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,414,307,257,$15755709.00,$21624359.00,"BURBANK, California
(34.182052, -118.307476)"
2015,106300225,ORANGE COAST MEMORIAL MEDICAL CENTER,Orange,Non-Profit,Comparable,,,218,218,127,$4603077.00,$3310699.00,"FOUNTAIN VALLEY, California
(33.708975, -117.951323)"
2015,106431506,KAISER FDN HOSP - SAN JOSE,Santa Clara,Non-Profit,Kaiser Foundation Health,,,247,247,107,$0.00,$0.00,"SAN JOSE, California
(37.334807, -121.888128)"
2014,106040962,ENLOE MEDICAL CENTER-ESPLANADE CAMPUS,Butte,Non-Profit,Comparable,,,298,277,190,$19711432.00,$21445927.00,"CHICO, California
(39.728956, -121.838779)"
2014,106105051,COALINGA STATE HOSPITAL,Fresno,State,State Hospitals,,,1500,1213,1213,$0.00,$0.00,"COALINGA, California
(36.139801, -120.360264)"
2014,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,Orange,Non-Profit,Comparable,,,223,223,223,$10015870.00,$1918532.00,"ANAHEIM, California
(33.834492, -117.915638)"
2015,106010776,CHILDREN'S HOSPITAL AND RESEARCH CENTER OF OAKLAND,Alameda,Non-Profit,Comparable,,,190,190,190,$634603.00,$4250725.00,"OAKLAND, California
(37.804828, -122.27248)"
2015,106370782,UNIVERSITY OF CALIFORNIA - SAN DIEGO MEDICAL CENTER,San Diego,Non-Profit,Comparable,Teaching,,563,542,542,$16896270.00,$176466008.00,"SAN DIEGO, California
(32.71576, -117.163817)"
2015,106430763,EL CAMINO HOSPITAL,Santa Clara,Non-Profit,Comparable,,,443,443,443,$14386428.00,$12730257.00,"MOUNTAIN VIEW, California
(37.39008, -122.08139)"
2014,106014050,VALLEYCARE MEDICAL CENTER,Alameda,Non-Profit,Comparable,,,242,222,98,$15751511.00,$7231093.00,"PLEASANTON, California
(37.656667, -121.878923)"
2015,106010846,HIGHLAND HOSPITAL,Alameda,City/County,Comparable,Teaching,,475,453,421,$52049051.00,$0.00,"OAKLAND, California
(37.804828, -122.27248)"
2014,106071018,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,Contra Costa,Non-Profit,Comparable,,,267,237,120,$25467300.00,$32354252.00,"CONCORD, California
(37.979103, -122.031333)"
2015,106040937,OROVILLE HOSPITAL,Butte,Non-Profit,Comparable,,,133,133,133,$4227586.00,$6617060.00,"OROVILLE, California
(39.512339, -121.554608)"
2014,106560473,COMMUNITY MEMORIAL HOSPITAL - SAN BUENAVENTURA,Ventura,Non-Profit,Comparable,,,242,242,125,$10829333.00,$9056116.00,"VENTURA, California
(34.280832, -119.293107)"
2014,106190522,GLENDALE MEMORIAL HOSPITAL & HEALTH CENTER,Los Angeles,Non-Profit,Comparable,,,334,321,167,$128091.00,$10827.00,"GLENDALE, California
(34.148138, -118.246437)"
2015,106344017,SUTTER CENTER FOR PSYCHIATRY,Sacramento,Non-Profit,Comparable,,,73,73,62,$-80790.00,$1617941.00,"SACRAMENTO, California
(38.582087, -121.50012)"
2015,106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,Alameda,Investor,Comparable,,,99,99,99,$24780.00,$0.00,"SAN LEANDRO, California
(37.728364, -122.158612)"
2015,106013687,MERRITT PERALTA INSTITUTE CDRH,Alameda,Non-Profit,Comparable,,,24,24,22,$0.00,$72320.00,"OAKLAND, California
(37.804828, -122.27248)"
2015,106171395,SUTTER LAKESIDE HOSPITAL,Lake,Non-Profit,Comparable,,Rural,30,30,20,$1711197.00,$1856102.00,"LAKEPORT, California
(39.043171, -122.915171)"
2014,106190687,SANTA MONICA-UCLA MEDICAL CENTER & ORTHOPAEDIC,Los Angeles,Non-Profit,Comparable,,,265,265,265,$11227149.00,$4401362.00,"SANTA MONICA, California
(34.010932, -118.491512)"
2015,106240942,MERCY MEDICAL CENTER - MERCED,Merced,Non-Profit,Comparable,,,186,186,125,$10559000.00,$0.00,"MERCED, California
(37.306968, -120.481971)"
2014,106060870,COLUSA REGIONAL MEDICAL CENTER,Colusa,Non-Profit,Comparable,,Rural,48,48,36,$3483590.00,$293791.00,"COLUSA, California
(39.209238, -122.008373)"
2014,106034002,SUTTER AMADOR HOSPITAL,Amador,Non-Profit,Comparable,,Rural,52,52,29,$2603786.00,$4609055.00,"JACKSON, California
(38.347604, -120.772295)"
2015,106190176,CITY OF HOPE HELFORD CLINICAL RES HOSPITAL,Los Angeles,Non-Profit,Comparable,,,217,215,215,$21547678.00,$40581528.00,"DUARTE, California
(34.139586, -117.973256)"
2015,106364502,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,San Bernardino,Non-Profit,Comparable,,,343,343,246,$11974943.00,$3027665.00,"LOMA LINDA, California
(34.048261, -117.261123)"
2014,106190434,KAISER FDN HOSP - WEST LA,Los Angeles,Non-Profit,Kaiser Foundation Health,,,305,305,106,$0.00,$0.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2015,106190429,KAISER FDN HOSP - LOS ANGELES,Los Angeles,Non-Profit,Kaiser Foundation Health,Teaching,,528,460,310,$0.00,$0.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2015,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,Riverside,Non-Profit,Comparable,,,106,106,106,$9911342.00,$0.00,"MURRIETA, California
(33.559752, -117.220777)"
2015,106301234,LA PALMA INTERCOMMUNITY HOSPITAL,Orange,Investor,Comparable,,,141,141,141,$4912360.00,$0.00,"LA PALMA, California
(33.849902, -118.037303)"
2015,106340951,METHODIST HOSPITAL OF SACRAMENTO,Sacramento,Non-Profit,Comparable,,,329,329,329,$16764000.00,$8178000.00,"SACRAMENTO, California
(38.582087, -121.50012)"
2015,106291053,TAHOE FOREST HOSPITAL,Nevada,District,Comparable,,Rural,62,62,62,$344492.00,$6111055.00,"TRUCKEE, California
(39.328161, -120.184054)"
2015,106190352,GREATER EL MONTE COMMUNITY HOSPITAL,Los Angeles,Investor,Comparable,,,117,117,117,$5595262.00,$50807.00,"SOUTH EL MONTE, California
(34.043996, -118.046258)"
2015,106364121,BALLARD REHAB HOSPITAL,San Bernardino,Investor,Comparable,,,60,60,60,$489047.00,$0.00,"SAN BERNARDINO, California
(34.108323, -117.29415)"
2015,106484044,KAISER FDN HOSP - VACAVILLE,Solano,Non-Profit,Kaiser Foundation Health,,,140,140,66,$0.00,$0.00,"VACAVILLE, California
(38.349747, -121.995003)"
2015,106521041,ST. ELIZABETH COMMUNITY HOSPITAL,Tehama,Non-Profit,Comparable,,Rural,76,66,66,$11662800.00,$0.00,"RED BLUFF, California
(40.176607, -122.234146)"
2015,106196405,PALMDALE REGIONAL MEDICAL CENTER,Los Angeles,Investor,Comparable,,,157,102,102,$13737828.00,$14742150.00,"PALMDALE, California
(34.576469, -118.116103)"
2015,106344011,SACRAMENTO COUNTY MENTAL HEALTH CENTER-PHF,Sacramento,City/County,Psychiatric Health Facilities,,,50,50,50,$0.00,$0.00,"SACRAMENTO, California
(38.582087, -121.50012)"
2015,106361318,SAN ANTONIO COMMUNITY HOSPITAL,San Bernardino,Non-Profit,Comparable,,,279,279,279,$-3704859.00,$25297548.00,"UPLAND, California
(34.099737, -117.650985)"
2015,106190525,LONG BEACH MEMORIAL MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,Teaching,,458,458,324,$5278154.00,$14084335.00,"LONG BEACH, California
(33.767168, -118.193723)"
2015,106190148,CENTINELA HOSPITAL MEDICAL CENTER,Los Angeles,Investor,Comparable,,,369,343,189,$17413715.00,$5507247.00,"INGLEWOOD, California
(33.961767, -118.353336)"
2014,106190529,METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,Los Angeles,Non-Profit,Comparable,,,400,286,286,$14178411.00,$4664026.00,"ARCADIA, California
(34.136534, -118.040889)"
2015,106304079,HEALTHSOUTH TUSTIN REHAB HOSPITAL,Orange,Investor,Comparable,,,48,48,40,$302500.00,$0.00,"TUSTIN, California
(33.742072, -117.818805)"
2015,106301340,ST. JOSEPH HOSPITAL - ORANGE,Orange,Non-Profit,Comparable,,,491,379,379,$8863221.00,$33539270.00,"ORANGE, California
(33.791489, -117.853096)"
2015,106190431,KAISER FDN HOSP - SOUTH BAY,Los Angeles,Non-Profit,Kaiser Foundation Health,,,293,262,123,$0.00,$0.00,"HARBOR CITY, California
(33.790001, -118.296898)"
2015,106394003,SAN JOAQUIN COUNTY MENTAL HEALTH - PHF,San Joaquin,City/County,Psychiatric Health Facilities,,,16,16,16,$0.00,$0.00,"STOCKTON, California
(37.957541, -121.292451)"
2015,106190081,BEVERLY HOSPITAL,Los Angeles,Non-Profit,Comparable,,,224,185,105,$9808935.00,$1106688.00,"MONTEBELLO, California
(34.019457, -118.116473)"
2015,106370673,RADY CHILDREN'S HOSPITAL-SAN DIEGO,San Diego,Non-Profit,Comparable,Teaching,,522,386,318,$8558008.00,$7526645.00,"SAN DIEGO, California
(32.71576, -117.163817)"
2015,106044006,BUTTE COUNTY MENTAL HEALTH - PHF,Butte,City/County,Psychiatric Health Facilities,,,16,16,16,$0.00,$0.00,"CHICO, California
(39.728956, -121.838779)"
2015,106010967,ST. ROSE HOSPITAL,Alameda,Non-Profit,Comparable,,,217,209,189,$11891184.00,$2645040.00,"HAYWARD, California
(37.672111, -122.083963)"
2014,106190796,RONALD REAGAN UCLA MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,Teaching,,466,466,466,$17842521.00,$5391465.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2015,106141338,SOUTHERN INYO HOSPITAL,Inyo,District,Comparable,,Rural,37,37,37,$420534.00,$2362.00,"LONE PINE, California
(36.604908, -118.062968)"
2014,106090933,MARSHALL MEDICAL CENTER.,El Dorado,Non-Profit,Comparable,,Rural,113,113,113,$11675389.00,$7732206.00,"PLACERVILLE, California
(38.729652, -120.799147)"
2015,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,Orange,Non-Profit,Comparable,,,223,223,223,$10137970.00,$573471.00,"ANAHEIM, California
(33.834492, -117.915638)"
2015,106190555,CEDARS-SINAI MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,Teaching,,886,865,865,$-15977983.00,$12216381.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2014,106420483,GOLETA VALLEY COTTAGE HOSPITAL,Santa Barbara,Non-Profit,Comparable,,,122,80,80,$2053865.00,$1338363.00,"SANTA BARBARA, California
(34.420867, -119.698342)"
2015,106491001,PETALUMA VALLEY HOSPITAL,Sonoma,Non-Profit,Comparable,,,80,59,25,$5989446.00,$960601.00,"PETALUMA, California
(38.232474, -122.636846)"
2015,106190053,ST. MARY MEDICAL CENTER - LONG BEACH,Los Angeles,Non-Profit,Comparable,,,302,302,158,$11191473.00,$3731.00,"LONG BEACH, California
(33.767168, -118.193723)"
2015,106500867,EMANUEL MEDICAL CENTER,Stanislaus,Non-Profit,Comparable,,,209,209,105,$9890193.00,$1127801.00,"TURLOCK, California
(37.492749, -120.848984)"
2015,106150706,DELANO REGIONAL MEDICAL CENTER,Kern,Non-Profit,Comparable,,,156,156,156,$3867102.00,$0.00,"DELANO, California
(35.767097, -119.249731)"
2015,106434051,CHILDRENS RECOVERY CENTER OF NORTHERN CALIFORNIA,Santa Clara,Investor,Comparable,,,29,27,23,$0.00,$0.00,"CAMPBELL, California
(37.28766, -121.942432)"
2014,106380857,KAISER FDN HOSP - GEARY (S.F.),San Francisco,Non-Profit,Kaiser Foundation Health,Teaching,,247,247,136,$0.00,$0.00,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2015,106491076,SONOMA VALLEY HOSPITAL,Sonoma,District,Comparable,,,75,64,44,$735000.00,$382972.00,"SONOMA, California
(38.291962, -122.458003)"
2015,106270744,COMMUNITY HOSPITAL OF MONTEREY PENINSULA,Monterey,Non-Profit,Comparable,,,258,220,220,$4823103.00,$11199266.00,"MONTEREY, California
(36.596808, -121.897127)"
2015,106554011,SONORA REGIONAL MEDICAL CENTER-GREENLEY,Tuolumne,Non-Profit,Comparable,,Rural,152,152,126,$6580073.00,$3987020.00,"SONORA, California
(37.982943, -120.382117)"
2015,106190636,CITRUS VALLEY MEDICAL CENTER-QV CAMPUS,Los Angeles,Non-Profit,Comparable,,,518,518,313,$14122051.00,$6018292.00,"WEST COVINA, California
(34.068896, -117.938239)"
2015,106314029,TELECARE PLACER COUNTY  PHF,Placer,Investor,Psychiatric Health Facilities,,,16,16,16,$0.00,$0.00,"ROSEVILLE, California
(38.74806, -121.285202)"
2014,106370744,SCRIPPS MERCY HOSPITAL,San Diego,Non-Profit,Comparable,Teaching,,684,591,405,$17382676.00,$136401467.00,"SAN DIEGO, California
(32.71576, -117.163817)"
2015,106191228,LAC/USC MEDICAL CENTER,Los Angeles,City/County,Comparable,Teaching,,676,633,534,$14779369.00,$0.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2015,106320986,PLUMAS DISTRICT HOSPITAL,Plumas,District,Comparable,,Rural,25,25,25,$-223299.00,$0.00,"QUINCY, California
(39.936754, -120.948961)"
2015,106410806,KAISER FDN HOSP - SOUTH SAN FRANCISCO,San Mateo,Non-Profit,Kaiser Foundation Health,,,120,120,53,$0.00,$0.00,"SOUTH SAN FRANCISCO, California
(37.65568, -122.412482)"
2015,106190673,SAN DIMAS COMMUNITY HOSPITAL,Los Angeles,Investor,Comparable,,,101,101,101,$5572308.00,$334935.00,"SAN DIMAS, California
(34.106678, -117.802753)"
2015,106370744,SCRIPPS MERCY HOSPITAL,San Diego,Non-Profit,Comparable,Teaching,,684,548,387,$9956055.00,$85389644.00,"SAN DIEGO, California
(32.71576, -117.163817)"
2015,106105051,COALINGA STATE HOSPITAL,Fresno,State,State Hospitals,,,1500,1257,1257,$0.00,$0.00,"COALINGA, California
(36.139801, -120.360264)"
2015,106370787,PROMISE HOSPITAL OF SAN DIEGO,San Diego,Investor,Comparable,,,57,57,30,$0.00,$0.00,"SAN DIEGO, California
(32.71576, -117.163817)"
2014,106390923,LODI MEMORIAL HOSPITAL,San Joaquin,Non-Profit,Comparable,,,214,190,110,$17238481.00,$3800165.00,"LODI, California
(38.135674, -121.279196)"
2015,106260011,MAMMOTH HOSPITAL,Mono,District,Comparable,,Rural,17,17,17,$746812.00,$916407.00,"MAMMOTH LAKES, California
(37.64696, -118.967479)"
2015,106370714,SHARP GROSSMONT HOSPITAL,San Diego,Non-Profit,Comparable,,,528,484,352,$11173982.00,$30992197.00,"LA MESA, California
(32.766157, -117.024725)"
2015,106434218,KAISER PERMANENTE PHF - SANTA CLARA,Santa Clara,Non-Profit,Psychiatric Health Facilities,,,24,24,24,$0.00,$0.00,"SANTA CLARA, California
(37.352395, -121.953076)"
2014,106014233,EDEN MEDICAL CENTER,Alameda,Non-Profit,Comparable,,,130,130,120,$5970028.00,$29968742.00,"CASTRO VALLEY, California
(37.698547, -122.073956)"
2015,106190547,MONTEREY PARK HOSPITAL,Los Angeles,Investor,Comparable,,,101,101,50,$5842301.00,$312683.00,"MONTEREY PARK, California
(34.062407, -118.127542)"
2015,106420491,LOMPOC VALLEY MEDICAL CENTER,Santa Barbara,District,Comparable,,Rural,170,170,170,$3803323.00,$1436510.00,"LOMPOC, California
(34.653385, -120.457727)"
2014,106381154,UCSF MEDICAL CENTER,San Francisco,Non-Profit,Comparable,Teaching,,660,660,660,$63476134.00,$157142.00,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2015,106190200,SAN GABRIEL VALLEY MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,273,273,273,$7684264.00,$1241536.00,"SAN GABRIEL, California
(34.099203, -118.107229)"
2014,106364451,TOTALLY KIDS REHABILITATION HOSPITAL,San Bernardino,Non-Profit,Comparable,,,81,81,81,$0.00,$123300.00,"LOMA LINDA, California
(34.048261, -117.261123)"
2014,106150761,MERCY HOSPITAL - BAKERSFIELD,Kern,Non-Profit,Comparable,,,222,222,134,$10545475.00,$16041686.00,"BAKERSFIELD, California
(35.373405, -119.018911)"
2015,106194010,AMERICAN RECOVERY CENTER,Los Angeles,Non-Profit,Comparable,,,173,173,173,$0.00,$0.00,"POMONA, California
(34.055118, -117.750048)"
2015,106430779,GOOD SAMARITAN HOSPITAL - SAN JOSE,Santa Clara,Investor,Comparable,,,474,376,361,$16914254.00,$777774.00,"SAN JOSE, California
(37.334807, -121.888128)"
2014,106481015,ST. HELENA HOSPITAL - BEHAVIORAL HEALTH,Solano,Non-Profit,Comparable,,,61,61,55,$-165610.00,$252202.00,"VALLEJO, California
(38.101088, -122.254959)"
2015,106034002,SUTTER AMADOR HOSPITAL,Amador,Non-Profit,Comparable,,Rural,52,52,31,$2973178.00,$2468514.00,"JACKSON, California
(38.347604, -120.772295)"
2015,106430705,REGIONAL MEDICAL CENTER OF SAN JOSE,Santa Clara,Investor,Comparable,,,249,249,249,$43095672.00,$28919854.00,"SAN JOSE, California
(37.334807, -121.888128)"
2015,106340950,MERCY SAN JUAN HOSPITAL,Sacramento,Non-Profit,Comparable,,,370,370,370,$30820000.00,$19243000.00,"CARMICHAEL, California
(38.636604, -121.327265)"
2015,106104023,SAN JOAQUIN VALLEY REHAB HOSPITAL,Fresno,Investor,Comparable,,,62,62,62,$351390.00,$0.00,"FRESNO, California
(36.731654, -119.785856)"
2014,106370745,SHARP MESA VISTA HOSPITAL,San Diego,Non-Profit,Comparable,,,149,149,103,$532029.00,$13614828.00,"SAN DIEGO, California
(32.71576, -117.163817)"
2014,106110889,GLENN MEDICAL CENTER,Glenn,Non-Profit,Comparable,,Rural,47,15,15,$1406449.00,$0.00,"WILLOWS, California
(39.520518, -122.198176)"
2015,106010782,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,Alameda,Non-Profit,Comparable,,,50,50,7,$-28650.00,$151339.00,"OAKLAND, California
(37.804828, -122.27248)"
2015,106400683,ATASCADERO STATE HOSPITAL,San Luis Obispo,State,State Hospitals,,,1275,1184,1184,$0.00,$0.00,"ATASCADERO, California
(35.480769, -120.666437)"
2014,106210992,KAISER FDN HOSP - SAN RAFAEL,Marin,Non-Profit,Kaiser Foundation Health,,,116,116,44,$0.00,$0.00,"SAN RAFAEL, California
(37.974575, -122.531868)"
2014,106364188,KINDRED HOSPITAL - RANCHO,San Bernardino,Non-Profit,Comparable,,,55,55,51,$106650.00,$0.00,"RANCHO CUCAMONGA, California
(34.106399, -117.575764)"
2014,106196168,EARL & LORRAINE MILLER CHILDRENS HOSPITAL,Los Angeles,Non-Profit,Comparable,,,371,371,218,$1646694.00,$4205432.00,"LONG BEACH, California
(33.767168, -118.193723)"
2014,106190150,KEDREN COMMUNITY MENTAL HEALTH CENTER,Los Angeles,Non-Profit,Comparable,,,72,72,72,$0.00,$0.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2014,106380842,JEWISH HOME,San Francisco,Non-Profit,LTC Emphasis,,,491,416,364,$642744.00,$103027.00,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2014,106190243,DOWNEY REGIONAL MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,199,199,181,$5143683.00,$1224606.00,"DOWNEY, California
(33.940946, -118.12752)"
2015,106190812,VALLEY PRESBYTERIAN HOSPITAL,Los Angeles,Non-Profit,Comparable,,,350,348,196,$5477439.00,$1314409.00,"VAN NUYS, California
(34.186699, -118.448097)"
2014,106196403,KAISER FDN HOSP - DOWNEY,Los Angeles,Non-Profit,Kaiser Foundation Health,,,352,352,186,$0.00,$0.00,"DOWNEY, California
(33.940946, -118.12752)"
2014,106171395,SUTTER LAKESIDE HOSPITAL,Lake,Non-Profit,Comparable,,Rural,30,30,21,$3064496.00,$2879489.00,"LAKEPORT, California
(39.043171, -122.915171)"
2015,106430837,O'CONNOR HOSPITAL,Santa Clara,Non-Profit,Comparable,,,358,260,202,$4252655.00,$4122284.00,"SAN JOSE, California
(37.334807, -121.888128)"
2015,106190159,GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,107,107,28,$1084232.00,$1867570.00,"HAWAIIAN GARDENS, California
(33.829474, -118.081829)"
2014,106301317,SADDLEBACK MEMORIAL MEDICAL CENTER,Orange,Non-Profit,Comparable,,,325,325,152,$14092210.00,$8115217.00,"LAGUNA HILLS, California
(33.612927, -117.710412)"
2015,106380939,SAN FRANCISCO GENERAL HOSPITAL MEDICAL CENTER,San Francisco,City/County,Comparable,Teaching,,539,446,383,$78193653.00,$40477135.00,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2015,106104062,KAISER FDN HOSP - FRESNO,Fresno,Non-Profit,Kaiser Foundation Health,,,169,169,72,$0.00,$0.00,"FRESNO, California
(36.731654, -119.785856)"
2015,106150722,BAKERSFIELD MEMORIAL HOSPITAL,Kern,Non-Profit,Comparable,,,426,403,403,$8352349.00,$10636002.00,"BAKERSFIELD, California
(35.373405, -119.018911)"
2015,106230949,FRANK R HOWARD MEMORIAL HOSPITAL,Mendocino,Non-Profit,Comparable,,Rural,25,25,21,$1584388.00,$0.00,"WILLITS, California
(39.409044, -123.353523)"
2014,106380960,ST. FRANCIS MEMORIAL HOSPITAL,San Francisco,Non-Profit,Comparable,,,288,170,107,$18680240.00,$29987058.00,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2014,106410806,KAISER FDN HOSP - SOUTH SAN FRANCISCO,San Mateo,Non-Profit,Kaiser Foundation Health,,,120,120,50,$0.00,$0.00,"SOUTH SAN FRANCISCO, California
(37.65568, -122.412482)"
2015,106070904,DOCTORS MEDICAL CENTER - SAN PABLO,Contra Costa,Investor,Comparable,,,124,124,7,$3805698.00,$0.00,"SAN PABLO, California
(37.960632, -122.34148)"
2015,106382715,CHINESE HOSPITAL,San Francisco,Non-Profit,Comparable,,,54,52,20,$317017.00,$275103.00,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2014,106090793,BARTON MEMORIAL HOSPITAL,El Dorado,Non-Profit,Comparable,,Rural,111,111,111,$12537334.00,$3184667.00,"SOUTH LAKE TAHOE, California
(38.941539, -119.977191)"
2015,106374024,AURORA SAN DIEGO,San Diego,Investor,Comparable,,,80,80,70,$668730.00,$477366.00,"SAN DIEGO, California
(32.71576, -117.163817)"
2015,106404046,SAN LUIS OBISPO CO - PHF,San Luis Obispo,City/County,Psychiatric Health Facilities,,,16,16,9,$0.00,$0.00,"SAN LUIS OBISPO, California
(35.282619, -120.660014)"
2015,106560492,LOS ROBLES HOSPITAL & MEDICAL CENTER,Ventura,Investor,Comparable,,,404,385,385,$10762208.00,$5672833.00,"THOUSAND OAKS, California
(34.176083, -118.848743)"
2015,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,Imperial,District,Comparable,,,107,107,107,$7900692.00,$1716877.00,"BRAWLEY, California
(32.978688, -115.539429)"
2015,106364144,DESERT VALLEY HOSPITAL,San Bernardino,Investor,Comparable,,,148,148,148,$4477828.00,$483015.00,"VICTORVILLE, California
(34.5121, -117.323632)"
2015,106190930,RESNICK NEUROPSYCHIATRIC HOSPITAL AT UCLA,Los Angeles,Non-Profit,Comparable,,,74,74,74,$1214903.00,$0.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2014,106380929,CALIFORNIA PACIFIC MEDICAL CENTER,San Francisco,Non-Profit,Comparable,Teaching,,951,951,528,$-3666601.00,$30902105.00,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2015,106560481,VENTURA COUNTY MEDICAL CENTER,Ventura,City/County,Comparable,Teaching,,272,259,134,$51884435.00,$0.00,"VENTURA, California
(34.280832, -119.293107)"
2015,106220733,JOHN C FREMONT HEALTHCARE DISTRICT,Mariposa,District,Comparable,,Rural,34,33,33,$813260.00,$316084.00,"MARIPOSA, California
(37.484274, -119.964786)"
2015,106210992,KAISER FDN HOSP - SAN RAFAEL,Marin,Non-Profit,Kaiser Foundation Health,,,116,116,47,$0.00,$0.00,"SAN RAFAEL, California
(37.974575, -122.531868)"
2014,106444012,SUTTER MATERNITY & SURGERY CENTER,Santa Cruz,Non-Profit,Comparable,,,30,30,16,$1875982.00,$2297565.00,"SANTA CRUZ, California
(36.97414, -122.028795)"
2014,106420522,SANTA YNEZ VALLEY COTTAGE HOSPITAL,Santa Barbara,Non-Profit,Comparable,,Rural,11,11,11,$698407.00,$194118.00,"SOLVANG, California
(34.595998, -120.138008)"
2014,106184008,BANNER LASSEN MEDICAL CENTER,Lassen,Non-Profit,Comparable,,Rural,25,25,25,$2082583.00,$1738859.00,"SUSANVILLE, California
(40.415483, -120.648932)"
2015,106474007,FAIRCHILD MEDICAL CENTER,Siskiyou,Non-Profit,Comparable,,Rural,28,25,25,$5234656.00,$912430.00,"YREKA, California
(41.731582, -122.635649)"
2014,106374049,SHARP MCDONALD CENTER,San Diego,Non-Profit,Comparable,,,16,14,10,$103892.00,$84035.00,"SAN DIEGO, California
(32.71576, -117.163817)"
2014,106190568,NORTHRIDGE HOSPITAL MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,409,409,174,$10052306.00,$2813935.00,"NORTHRIDGE, California
(34.228298, -118.535797)"
2014,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,Riverside,Non-Profit,Comparable,,,106,106,106,$18102498.00,$0.00,"MURRIETA, California
(33.559752, -117.220777)"
2015,106380965,ST. MARY'S MEDICAL CENTER - SAN FRANCISCO,San Francisco,Non-Profit,Comparable,Teaching,,403,232,84,$10423905.00,$7526166.00,"SAN FRANCISCO, California
(37.78008, -122.420168)"
