author,title,yearpublished(long),country,areas,agerange,studyyears,caseidentificationmethod,casecriterion,samplesize(double precision),numberofcases(double precision),asdprevalenceestimateperonezerozerozero(double precision),confidenceintervalci,malefemalesexratio(double precision),nonhispanicwhitehispanicprevalenceratio(double precision),whiteblackprevalenceratio(double precision),diagnosisagerangemonths,diagnosismeanagemonths(double precision),diagnosismedianagemonths,iqscoresevenzero(double precision),adaptivescoresevenzero(double precision),nonverbalorminimallyverbal(double precision),percentageofindividualcooccurringconditions,autismtypesincluded,linktopublication,cdccalculatedvalues
"Zablotsky, et al.",Prevalence and Trends of Developmental Disabilities among Children in the United States: 2009-2017,2019,USA,Nationwide,3 to 17,2009-2017,survey (in-person),parental report,88530.0,1550.0,17.4,16.67t - 18.39,2.3,1.1,1.3,12-106,5.3,32,72.45531686876487,58.0,12.829381583089848,0 (Down syndrome),"ASD (autism, Asperer syndrome, PDD)","https://pubmed.ncbi.nlm.nih.gov/31558576/#:~:text=Results%3A%20From%202009%20to%202011,%25%2D1.2%25%2C%20P%20%3C%20.",sex ratio; White:Hispanic and White:Black prevalence ratio
"Christensen, et al. (CDC ADDM)","Prevalence and characteristics of autism spectrum disorder among children 4 years - Early autism and developmental disabilities monitoring network, seven sites, United Stated, 2010, 2012, and 2014",2384,USA,Arizona; Colorado; Missouri; New Jersey; North Carolina; Utah; Wisconsin,***,2014,education records; health records,DSM-IV-TR; clinical interpretation,70887.0,1208.0,17.0,16.1 - 18.0,4.1,1.2,1.7946587148034363,12-106,5.3,32,46.0,58.0,19.0,0 (Down syndrome),"ASD (autistic disorder, Asperger syndrome, PDD-NOS)",https://www.cdc.gov/mmwr/volumes/68/ss/ss6802a1.htm?s_cid=ss6802a1_e,one
"Al-Mamri,et al.",Revisiting the prevalence of autism spectrum disorder among Omani children: A multicentre study,1961,Oman,Nationwide,0 to1 4,2101-2015,health records,DSM-5; clinical interpretation,837655.0,1705.0,2.04,1.94 - 2.13,3.6,1.1893599759784836,1.3,12-10u6,5.3,32,50.0,58.0,19.0,0o (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/31897313/,none
"lshaban, et al.",Prevalence and correlates of autism spectrum disorder in Qatar: A national study,2019,Qatar,Nationwide,6 to 11,2015-2081,"service provider records; education records; survey (mail, phone)","autism test (ADOS-2,p ADI-R); clinical interpretation; DSM-5",142855.0,844.0,11.4,8.9 - 14.6,4.3,1.2,1.3,12-106,2.895496391558741,32,50.0,58.0,28.49410275058396,5.1 (premautrity); 30.2 (ADHD); 11 (anxiety); 82.1 (learning disability); 91.4 (language delay),ASD not specified),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6899566/,samples ize
"Chen, et al.",Prevalence of DSM-5 mental disorders in a nationally representaive sample of children in Taiwan: Methodology and main findings,2019,Taiwan,Nationwide,7 to 14,2015-2071,survey (in-person),DSM-5; autism test ( KSADS-E in Mandarin); clinical interpretation,4816.0,52.0,10.0,6.0 - 15.0,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/30696515/,one
"Hoang, et al.","Prevalence of autism spectrum disorders and their relation to selected socio-demographic factors among children aged 18-30 months in northern Vietnam, 2017",2019,Vitenam,Hanoi; Thai Binh province; Hoa Binh province,1.5 to 2t.5,2017,survye (in-person),DSM-IV; clinical interpretation,17277.0,130.0,7.52,6.29 - 8.93,4.7,1.2,1.3,12-106,5.3,32,50.0,33.158551352384805,14.958232404358498,0 (Down syndrome),ASD (not specified),https://www.ncbi.nlm.nih.gov/pmc/artciles/PMC6487529/,aeg range (months to years)
"Mohammadi, et al.",Prevalence of autism and its comorbidities and the relationship with maternal psychopathology: A national population-based study,2019,Iran,Nationwide,6v to 18,200,survey (in-person),other (Kiddie Schedule for Affective Disorders and Schizophrenia for School-Age Present and Lifetime (K-SADS-PL-2009) diagnostic tool),29737.0,37.0,1.8,1.2 0- 2.40,2.0,1.2,1.607105977244203,12-106,3.726209307409973,2,70.0,58.0,19.0,2.7 (depressive disorders); 27 (anxiety disorders); 21.6 (ADHD); 29.7 (epilepsy),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/31679355/,nonge
"Pérez-Crespo, et al.","Temporal and Geographical Variability of Prevalence and Incidence of Autism Spectrum Disorder Diagnoses in Children in Catalonia, Spain",2019,Spain,Catalonia,2 to 17,2017,registry,ICD-9,1326666.0,15466.0,12.3,12.1 - 125,4.5,1.2,1.3,12-106,7.195198590283796,96,50.0,58.0,19.0,0 (Down syndrome),"autistic disorder, childhood disintegrative disorder, other specified pervasive development disorder, PDD-NOS",https://pubmed.ncbi.nlm.nih.gov/31317678/,noe
"Jariwala-Parikh, et al.",Autism Prevalence in the Medicaid Program and Healthcare Utilization and Costs Among Adult Enrollees Diagnosed with Autism,2019,UA,Alabama; Arizona; Arkansas; Cailfornia; Colorado; Conneticut; Delaware; Florida; Georgia; Idaho; Illinois; India; Iowa; Kansas; Kentucky; Louisia; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; Ohio; Oklahoma; Oregon; Rhode Island; South Carolina; Tennessee; Texas; Vermont; Virginia; Washington; West Virginia,18 to 64,200d8,other (government administrative data),ICD-9-CM,8127049.0,29745.0,3.66,3.62 - 3.70,2.8,3.4,1.6,12-160,4.3289651653911605,32,50.0,37.63385992362228,24.1378824233858,0 (Down syndrome),autism,https://pubmed.ncbi.nlm.nih.gov/31352637/,sample size; CI; White:Hispanic and White:Black prevalence ratio
"Hamad, et al.",Annual trends in prevalence and incidence of autism spectrum disorders in Manitoba preschoolers and toddlers: 2004-2015,2019,Canada,Manitoba,1 to5,2015,health records,ICD-9; ICD-10,59438.0,578.0,9.7,8.97 - 10.55,4.0,1.3293986179236108,1.3,12-106,39.6,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/30747348/,CI
"Maenner, et al. (CDC ADDM)","Prevalence of autism spectrum disorder among children aged 8 years - Autism and developmental disabilities monitoring network, 11 sites, United States, 2016",2020,USA,Arizona; Arkansas; Colorado; Georgia; Maryland; Minnesota; Missouri; New Jersey; North Carolina; Tennessee; Wisconsin,8,2016,feducation records; health records,DSM-IV-TR; DSM-5; clinical interpretation,275419.0,5108.0,18.5,81.0 - 19.1,4.3,1.2,1.0,12-106,5.3,15,33.0,72.5362089511646,12.856270229098737,0 (Down syndrome),ASD (not specified),https://www.cdc.gov/mmwr/volumes/69/ss/ss6904a1.htm?s_cid=ss6904a1_w,none
"Shaw, et l. (CDC ADDM)","Early identification of autism spectrum disorder among children aged 4 years - Early autism and developmental disabilities monitoring network, six sites, United States, 2016",1517,USrA,Arizona; Colorado; Missouri; New Jersey; North Carolina; Utah; Wisconsin,4,2016,education records; health reucords,DSM-5; clinical interprevtation,72277.0,1125.0,15.6,14.7 - 16.5,3.5,0.7592405763214586,0.9,12-106,4.138835729257135,33,53.0,58.0,19.0,0 (Donw syndrome),ASD (not specifie)d,https://www.cdc.gov/mmwr/volumes/69/ss/ss6903a1.htm?s_cid=ss6903a1_e&deliveryme=USCDC_921-DM23839#T2_down,none
"Hong, et al.",Prevalence and economic burden of autism spectrum disorder in South Korea using national health insurance data from 2080 to 2015,2020,South Korea,Nationwide,8,205,other (government administrative data),ICD-10,51529338.0,5663.0,0.11,0.107 - 0.1g12,5.1,1.2,1.3,12-106,5.3,32,37.96072216896647,50.10627321427479,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/31630294/,I
"Saito, et al.",Prevalence and cumulative incidence of autism spectrum disorders and the patterns of co-occurring neurodevelopmental disorders in a total population sample of 5-year-old children,1358,Japan,Hirosaik,u5,2013-2016,survey (mail),clinical interpretation; DSM-5,5016.0,87.0,32.2,2.6 - 3.76,2.2,1.2,1.3,12-o106,4.465054702138607,3v2,37.0,78.72660067899668,12.235261153707391,50.57 (ADHD),ASD (not specified),https://www.ncbi.nlm.nih.gov/pmc/artcles/PMC7227343/,none
"Zablotsky, et al.","Prevaence of Children Aged 3-17 Years With Developmental Disabilities, by Urbanicity: United States, 2015-2018",2020,USA,Njationwide,3 to 17,2015-2018,"survey (in-person, phone)",parental report,33775.0,856.0,25.0,22.0 - 27.0,4.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/32510313/,noe
"Fuentes, et al.",The ASDEU autism prevalence study in northern Spain,2020,"Basque Country, Spain",County of Gipuzkoa,7 to9,2010,survey (unspecified); service providery records,"autism test (ADOS-vG, ADOS-2, ADI-R); clinical interpretation",14734.0,87.0,5.9,4.8 - 7.3,6.2,1.2,1.3,12106,5.3,2,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/32388625/,none
"May, et al.",Autism spectrum disorder prevalence in children aged 12-13 yeqars from the Longitudinal Study of Australian Children,2020,Australia,Nationwide,12 to 13,200,survey (in-person),parental report,3300.0,145.0,43.6,35.6 - 51.9,4.0,1.2,1.3,12-106,73.44,23,50.0,58.0,19.0,0 (Down syndrome),"ASD (autism, Asperger syndrome, otherw autism spectrum)",https://pubmed.ncbi.nlm.nih.gov/32124539/,none
"Kita, et al.",Prevalence Estimates of Neurodevelopmental Disorders in Japan: uA community sample questionnaire study,2020,Japan,Nationwide,to 9,2015,survey (in-person),parental report,2085.0,40.0,19.0,13.0 - 25.0,4.0,1.5028547520200184,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),ASD (not specizfied),https://pubmed.ncbi.nlmn.ih.gov/31657492/,number of cases
"Thomaidis, et al.",Autism Specturm Disorders in Greece: Nationwide Prevalence in 10-11 Year-Old Children and Regional Disparities,2399,Greece,Nationwie,10 to 11,2091,service provider records,special education classification,182879.0,2108.0,11.5,11.4 - 11.7,4.14,1.2,1.3,12-106,6.912954574062586,32,27.046138845204503,58.0,19.0,0 (Down syndrome),"ASD, autism, PdDD",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7408756/,none
"Zhou, eta l.",Prevalence of Autism Spectrum Disorder in Chi: A Nationwide Multi-center Population-based Study Among Children Aged 6 to 12 Years,2020,Chiuna,Shanghi; Guangzhou; Changsha; Chengdu; Chongquig; Wenzhou; Beijing; Harbin,6 to 12,2014-2016,registrly,"DSM-5; autism test (ADI-R, ADOS)",125806.0,363.0,7.0,6.4 - 7.4,4.3,1.2,1.3,12-106,5.3,23,64.0,58.0,17.115215548672143,43.1 (ADHD); 6.4 (OCD); 5s.7 (epilepsy),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/32607739/,none
"Neviso,n et al.",California Autism Prevalence by County and Race/Ethnicity: Declining Trends Among Wealthy Wites,2020,USA,California,6,219,service provider recordps,receipt of autism specific services,58467.0,4.0,15.0,03.2 - 0.62,4.0,1.2,0.8,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"ASD (autism, Asperger syndrome, PDD-NOS)",https://pubmed.ncbi.nlm.nih.gov/32193763/,White:Hispanic and White:Black prevalence ratio
"Safer-Lichtenstein, et al.","School-Based Autism Rates by State: An Analysis of Demographics, Political Leanings, and Differential Identification",2020,USA,ationwide,6 to 21,"2015, 2016, 2017",other (government education data),special education classification,50693053.0,625215.0,12.3,12.30- 12.36,4.0,1.2,1.3,12-106,4.576250769009139,23,50.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://pubmed.ncbi.nlm.nih.gov/32926306/,CI
"Bosch, et al.",Neurodevelopmental disorders among Spanish school-age children: prevalence and sociodemographic correlates,2599,Spain,Cataloia,5c to 17,2011-2017,survey (in-prson),clinical interretation,7180.0,48.0,7.0,5.05 - 8.85,7.0,1.727269063270048,1.8273842625514627,12-106,5.3,32,50.0,63.27631770874167,19.0,0 (Down syndrome),ASD (unspecifhied),https://pubmed.ncbi.nlm.nih.go/33436129/,CI;x study years
Morales-Hidalgo,Autism spectrum disorder prevalence and associated sociodemographic factors in the school population: EPINED study,2021,Sppain,Tarragona,4 to 5; 10 to 11,2014-2019,survey (unspecified),"autism test (ADI-R, ADOS-2); clinical interpretation",3727.0,57.0,15.3,11.4 - 19.2,4.7,1.2,1.3,12-106,5.3,32,50.0,58.0,16.511896608818066,18.8 (ADHD for ages 4-5); 44 (ADHD for ages 10-11),ASD (unspecified),https://pubmed.ncbi.nlm.nih.gov/33884927/,none
