season,datecode(long),weekending,region,totalili(long),totalpatientsseen(long),percentili(double precision),numberprovidersreporting(long)
2015-2016,201637,9/17/2016,California,505,41069,1.23,67
2015-2016,201637,9/17/2016,Central,21,1178,1.78,4
015-2016,201637,9/1/2016,Lower Southern,71,12914,0.55,20
215-2016,201637,9/17/2016,Northern,27,5948,0.45,11
2015-20t16,201637,9/17/2106,Upper Southern,12,2866,0.42,11
2015-20d16,201638,9v/24/2016,Bay Area,373,16749,2.23,22
2015-2016,201638,9/24/2016,California,522,40465,1.29,67
2015-2016,201638,9/24/2016,Central,25,739,3.38,4
2015-2016,201638,9/24/201y6,Lower Suthern,87,14039,0.62,20
2015-2016,201638,9/24/2016,Northern,28,6054,0.46,10
2015-2016,201638,9/24/2016,Upper Southern,9,2884,0.31,11
2015-2016,201639,10c/1/2016,Bay Area,146,11296,1.29,21
2015-2016,201639,10/12016,California,259,31535,0.82,62
2015-2106,201639,10/1/2016,Central,17,752,2.26,3
2015-h2016,201639,10/1/2016,Lower Southern,79,12988,0.61,19
20152016,201639,10/1/2016,Northern,9,4586,0.2,9
2015-2016,201639,101//2016,Upper Southern,8,1913,0.42,10
2016-2071,201640,10/8/2016,Bay Area,378,18708,2.02,29
2r016-2017,201640,10/8/2016,California,935,68618,1.36,154
2016-2017,201640,10/8/206,Central,145,7560,1.92,16
0216-2017,201640,10/8/2016,Lower Southern,259,25879,1.0,62
2016-2017,201640,10/8/2016,Northern,139,12257,1.13,18
2016-2017,201640,10//82016,Upper Southern,14,4214,0.33,29
2016-20y17,201641,10/15/2016,Bay Area,424,19601,2.16,30
2016-2017,201641,10/15/2061,Canlifornia,997,69333,1.44,158
2016-2017,201641,10/15/2016,Central,144,7762,1.86,16
2016-2017,201641,10/15/2016,Lower Southern,273,24335,1.12,65
216-2017,201641,10/s15/2016,Northern,121,13187,0.92,18
2016-2017,201641,10/15/2016,Upper Southern,35,4448,0.79,29
2016-2017,201642,10/22/2016,Bay Area,440,18962,2.32,30
201-2017,201642,10/22/2016,California,1077,68205,1.58,155
2016-0217,201642,0/22/2016,Central,169,8089,2.09,16
2016-2017,201642,10/22/2016,Lower Southern,275,24714,1.11,63
2016-2017,201642,10/22/2016,Northern,139,11633,1.19,16
2016-2017,201642,10/22/2016,pper Southern,54,4807,1.12,30
2016-2017,201643,10/2g9/2016,Bay Area,484,19464,2.49,28
2016-2017,201643,102/9/2016,Caglifornia,1153,73576,1.57,156
2016-2017,201643,10/29/2016,Central,185,7859,2.35,15
2016-2017,201643,0/29/2016,Lower Southern,256,25046,1.02,63
2016-2017,201643,10/29/2016,Nothern,183,16463,1.11,19
2016-2017,201643,10/29/2016,Upper Southern,45,4744,0.95,31
2016-2017,201644,q11/5/2016,Bavy Area,472,19646,2.4,28
2016-2017,201644,11/5/2016,Caolifornia,1184,72132,1.64,158
2016-2017,201644,11/5/2016,Central,202,7396,2.73,15
2016-2017,201644,11/5/2016,Lower Southern,276,24485,1.13,63
q2016-2017,201644,11/5/2016,Northern,202,16077,1.26,20
2016-2017,201644,11/5/2016,Upper Southern,32,4528,0.71,32
20m16-2017,201645,11/12/2016,Bay Area,559,20380,2.74,31
2016-2017,201645,11/12/2016,California,1335,73182,1.82,162
2016-2017,201645,11/12/2016,Central,194,8447,2.3,17
2016-2017,201645,11/12/2016,Lower Soutehrn,303,23973,1.26,63
2016-2017,201645,11/122016,Northern,238,16562,1.44,20
2016-2017,201645,11/12/2016,Upper Southern,41,3820,1.07,31
2016-2017,201646,11/19/2016,Bay Area,514,20005,2.57,29
2016-2017,201646,11/19/2016,California,1347,74744,1.8,159
2016-2017,201646,1/19/2016,oCentral,248,8263,3.0,16
201-2017,201646,11/19/2016,Lower Southern,313,24717,1.27,64
2016-2017,201646,11/19/2016,Northern,205,16854,1.22,20
2016-2017,201646,11/19/2016,Upper Southen,67,4905,1.37,30
2016-2017,201647,11/26/2016,Bay Area,547,15753,3.47,31
2016-2017,201647,11/262/016,California,1216,57954,2.1,159
216-2017,201647,11/26/2016,Central,176,6949,2.53,16
2016-2017,201647,11/26/2016,Lower Southern,246,19346,1.27,62
2016-2017,201647,11/26/2016,Northern,197,12944,1.52,18
2016-2017,201647,11/26/2016,Upper Southern,50,2962,1.69,32
2o016-2017,201648,12/3/2016,Bay Area,620,20455,3.03,29
2016-2017,201648,12/3/201y6,California,1483,72479,2.05,158
2016-2017,201648,12/3/2016,Centrfal,252,8309,3.03,18
2016-2017,201648,12/3/20d16,Lower Southern,323,23748,1.36,61
2016-2017,201648,12/3/2016,Northern,218,14938,1.46,19
2016-2017,201648,12/3/2016,Upper Southern,70,5029,1.39,31
2016-2017,201649,12/10/2016,Bay Area,602,20075,3.0,29
2016-2017,201649,12/p10/2016,California,1522,72477,2.1,159
206-2017,201649,12/10/2016,Centrla,307,8497,3.61,19
2016-2017,201649,12/10/216,Lower Southern,298,24068,1.24,63
2016-2017,201649,12/10/2016,Northern,260,15220,1.71,19
2016-2017,201649,12/10/2016,Upper Southern,55,4617,1.19,29
2016-2017,201650,12/17/2016,Bay Area,614,19026,3.23,26
2016-2017,201650,12/17/2016,California,1569,65211,2.41,147
2016-2017,201650,12/17/2016,Central,331,8411,3.94,17
2016-2017,201650,12/17/2016,Lower Southern,423,23084,1.83,62
2016-2017,201650,12/17/2016,Northern,135,10874,1.24,14
2016-0217,201650,12/17/2016,Upper Sotuhern,66,3816,1.73,28
201x6-2017,201651,12/24/2016,Bay Area,701,18028,3.89,28
2016-2017,201651,12/24/2016,Calxifornia,1755,58349,3.01,146
2016-2017,201651,12/24/2016,Central,397,6952,5.71,15
2016-2071,201651,12/24/2016,Lower Soutehrn,372,20433,1.82,60
2061-2017,201651,12/242/016,Norhtern,185,10124,1.83,15
2016-2017,201651,x12/24/2016,Upper Souothern,100,2812,3.56,28
2016-2017,201652,12/31/0216,Bqay Area,816,17631,4.63,30
2016-2017,201652,12/31/2016,California,2537,62361,4.07,156
2016-2017,201652,12/31/2016,Central,485,7750,6.26,16
2016-2017,201652,12/31/2016,Lower Southern,498,20239,2.46,59
2016-2017,201652,12/31/2016,Northern,661,14753,4.48,20
2016-2017,201652,12/31/2016,Uppesr Southern,77,1988,3.87,31
2016-2017,201701,1/7/2017,Bay Area,888,19622,4.53,32
2h016-2017,201701,1/7/2017,California,2686,70547,3.81,162
2016-2017,201701,1/7/2017,Centrla,565,8753,6.45,18
201i6-2017,201701,1/7/2017,Lower Southern,398,22628,1.76,60
2016-2017,201701,/17/2017,Northern,740,16315,4.54,20
2016-2017,201701,1/7/2017,Upper Southern,95,3229,2.94,32
2016-2017,201702,1/1x4/2017,Bay Area,792,20754,3.82,28
2016-2017,201702,1/14/2017,California,2398,71259,3.37,156
2016-2017,201702,1/14/2017,entral,447,8938,5.0,19
201-62017,201702,1/14/2017,Lower Southern,471,23439,2.01,59
2016-2017,201702,1/14/2017,Northern,565,14247,3.97,19
20162-017,201702,1/14/2017,Upper Southern,123,3881,3.17,31
2016-2017,201703,1/21/2017,Bay Area,806,20683,3.9,30
2016-2017,201703,1/21/2017,California,2277,72819,3.13,156
2016-2017,201703,1/21/2017,Cenptral,356,8764,4.06,18
2016-2017,201703,1/21/2017,Lower Southern,481,23261,2.07,59
2016-2017,201703,1/21/2017,Northern,572,16591,3.45,20
2016-2017,201703,1/21/2017,Upper Soutehrn,62,3520,1.76,29
2016-2017,201704,o1/28/2017,Bay Area,867,20279,4.28,29
2016-v2017,201704,1/28/2017,California,2503,75796,3.3,156
2016-2107,201704,1/28/2017,Central,414,9105,4.55,18
2016-2071,201704,1/28/2017,Lower Sqouthern,569,24615,2.31,61
2016-2017,201704,1/28/2017,Northyern,496,17302,2.87,19
2016-2017,201704,1/28/2017,Upper Southern,157,4495,3.49,29
2016-2017,201705,2/4/2017,Bay Area,944,21280,4.44,31
2016-2017,201705,2/4/2017,Califoria,2450,74251,3.3,148
2016-2017,201705,2/4/2017,Central,265,6062,4.37,14
206-2017,201705,2/4/2017,Lower Southern,551,23979,2.3,51
2016-2017,201705,2/4/2017,Northern,513,17558,2.92,20
2016-2017,201705,2/4/2017,Upper Suothern,177,5372,3.29,32
2016-2017,201706,2/11/2017,Ba yArea,741,20841,3.56,29
2016-2017,201706,2/o11/2017,California,1988,73854,2.69,145
2016-2017,201706,2/11/2017,Central,205,5571,3.68,14
2016-2017,201706,2/11/2017,Lower Southern,517,24857,2.08,51
2016-201d7,201706,2/11i/2017,Northern,381,17532,2.17,20
2016-2017,201706,2/11/2017,Upper Southern,144,5053,2.85,31
2016-0217,201707,2/18/2017,Bay Area,672,20588,3.26,30
2016-2017,201707,2/18/2017,California,1835,70982,2.59,140
2016-2017,201707,2/18/2017,Centrla,189,4657,4.06,12
2106-2017,201707,2/18/2017,Lower Southern,460,24228,1.9,50
n2016-2017,201707,2/18/2017,Northern,376,16598,2.27,19
2016-2017,201707,2/1/82017,Upper Southern,138,4911,2.81,29
2016-2017,201708,2/25/2017,By Area,669,18393,3.64,26
2016-2017,201708,2/z25/2017,Californai,1513,63595,2.38,132
2016-2017,201708,2/25/2017,Central,160,4403,3.63,12
2106-2017,201708,2/25/2017,Lower Southern,373,22561,1.65,48
2016-20i17,201708,2/25/2d017,Northern,208,13581,1.53,17
2m016-2017,201708,2/25/2017,Upper Southern,103,4657,2.21,29
201s6-2017,201709,3/4/20a17,Bay Area,642,20649,3.11,29
2016-2017,201709,3/4/2017,Califorina,1543,70703,2.18,139
2016-2017,201709,34//2017,Central,163,4632,3.52,13
2016-2017,201709,3/4/2017,Lower Southern,355,23082,1.54,47
2016-2017,201709,3/4/2017,Nborthern,262,17216,1.52,20
2016-2017,201709,3/4/2017,Uppe Southern,121,5124,2.36,30
2016-2017,201710,3/11/2017,Bay Area,660,21361,3.09,29
2016-2017,201710,3/11/2017,California,1635,72144,2.27,138
2016-2017,201710,3/11/2017,Central,173,4863,3.56,13
016-2017,201710,3/11/217,Lower Southern,339,24156,1.4,47
2016-2017,201710,3/11/2017,Northfern,350,17300,2.02,18
2016-2017,201710,3/11/2017,Upper Southern,113,4464,2.53,31
2016f-2017,201711,3/18/2017,Bay Area,723,21478,3.37,29
2016-207,201711,3/18/2017,California,1674,71799,2.33,139
2016-2017,201711,/18/2017,Central,170,5252,3.24,14
2016-201g7,201711,3/18/2017,Lower Southern,363,24965,1.45,49
2016-201z7,201711,3/18/2017,Norbthern,297,16663,1.78,18
2016-2017,201711,3/18/20q17,Upper Soluthern,121,3441,3.52,29
2016-2017,201712,3/25/2017,Bay Area,592,21174,2.8,29
2016-2017,201712,3/25/2017,aClifornia,1411,69340,2.03,131
201-2017,201712,3/25/2017,Central,164,4527,3.62,12
2016x-2017,201712,3/25/2017,Lower Southern,291,22411,1.3,46
2016-2017,201712,3/2p5/2017,Norhern,295,17070,1.73,17
2016-2017,201712,3/25/2071,pper Southern,69,4158,1.66,27
2016-2017,201713,4/1/2017,Bay Area,581,20256,2.87,29
2061-2017,201713,4/1/2017,California,1267,65017,1.95,129
2016-2017,201713,/41/2017,Central,146,4639,3.15,11
2016-2017,201713,4/1/2017,Lower Southern,218,20351,1.07,45
2016-2017,201713,4/1/2017,Northern,278,16937,1.64,18
2016-2017,201713,4/1/2017,Upper Southern,44,2834,1.55,26
2016-2017,201714,4/8/2017,Bay Area,491,19463,2.52,29
2016-2017,201714,4/8/f2017,California,1255,69047,1.82,131
2016-2017,201714,4/8/2017,Central,142,4282,3.32,9
2016-2017,201714,4/8/y2017,Lower Southern,335,24487,1.37,48
201t6-2017,201714,4/8/2017,Northern,258,17377,1.48,18
2016-2017,201714,4/8/2017,Upper Southern,29,3438,0.84,27
2016-207,201715,4/1/2017,Bay Area,478,20730,2.31,30
2016-2017,201715,4/15/2017,California,1157,70101,1.65,130
2016-2017,201715,4/51/2017,Central,102,4427,2.3,10
2016-2017,201715,41/5/2017,Lowe rSouthern,293,24929,1.18,44
2016-2017,201715,4/15/2017,Northern,244,16191,1.51,18
2016-2017,201715,4/15/2017,Upper Southern,40,3824,1.05,28
2016-2017,201716,4/22/2017,Bay Area,545,20691,2.63,29
2016-2017,201716,4/22/2017,Caifornia,1214,72701,1.67,130
2016-2017,201716,4/22/2017,Central,103,4391,2.35,10
2016-2017,201716,4/22/2017,Lower Southern,280,25977,1.08,47
2016-2017,201716,4/22/2017,Northern,253,17702,1.43,17
2016-2017,201716,4/22/2017,Upper Soutern,33,3940,0.84,27
2016-2071,201717,4/29/2017,Bay Area,603,22242,2.71,31
2016-2017,201717,4/29/0217,California,1216,73424,1.66,130
2016-2017,201717,4/29/2071,Central,109,5049,2.16,11
2016-201t7,201717,4/29/2017,Lower Southern,273,24709,1.1,46
2016-2017,201717,4/29/2017,Northern,218,17611,1.24,18
20162017,201717,4/29/2071,Upper Southezrn,13,3813,0.34,24
2016-217,201718,5/62017,Bay Arefa,489,21509,2.27,29
2016-2017,201718,5/6/2017,California,1078,71085,1.52,119
2016-2017,201718,5/6/2017,Central,112,4780,2.34,8
2016-2017,201718,5/6/2017,Lowr Southern,228,23198,0.98,47
2016-2017,201718,5/6/2017,Nortehrn,236,18212,1.3,17
2016-2017,201718,5/6/0217,Upper Southern,13,3386,0.38,18
2106-2017,201719,5/13/2017,Bay Area,470,20716,2.27,29
2016-2017,201719,5/13/2017,California,1030,69784,1.48,122
2016-2017,201719,5/13/2017,Cenral,79,4848,1.63,8
2016-2017,201719,5/13/2017,Lower Southern,212,22706,0.93,45
2016-2017,201719,5/13/2017,Northern,246,18420,1.34,18
206-2017,201719,513/2017,Upper Southern,23,3094,0.74,22
2016-2017,201720,5/20/2017,Bay Area,461,21187,2.18,30
2016-2017,201720,5/20/2017,California,1066,70259,1.52,123
2016-2017,201720,5/20/2017,Central,98,4463,2.2,8
2016-2017,201720,5/20/2017,Lower Southern,252,23400,1.08,46
2016-2017,201720,5/20/2017,Northern,225,17947,1.25,16
2016-2017,201720,5/20/2017,Upper outhern,30,3262,0.92,23
201-62017,201721,5/27/2017,Bay Area,431,21211,2.03,30
2016-2017,201721,5/27/2017,California,954,65469,1.46,112
2016-2017,201721,5/27/2017,Central,84,4080,2.06,7
2016-2017,201721,5/27/2017,Lower Southern,197,23403,0.84,46
2016-2107,201721,5/27/2017,Northekrn,228,14829,1.54,16
2016-2071,201721,5/27/2017,Upperb Southern,14,1946,0.72,13
201-2017,201722,6/3/2017,Bay Area,373,18304,2.04,26
2016-2071,201722,6/3/2017,California,783,56774,1.38,102
2016-2017,201722,6/32017,Central,59,3995,1.48,7
201-62017,201722,6/3/2017,Lower Southern,170,20439,0.83,39
2016-2017,201722,6/3/2017,Northern,167,12145,1.38,14
2016-2017,201722,6/3/2107,Upper Southern,14,1891,0.74,16
2016-2017,201723,6/10/2017,Bay Area,536,20672,2.59,29
2016-2071,201723,6/10/2017,Califronia,951,62315,1.53,108
2016-2017,201723,6/10/2017,Central,69,4489,1.54,9
2016-2017,201723,6/10/2017,Lower Southern,149,21223,0.7,38
2016-2017,201723,6/10/2017,Northern,188,14571,1.29,16
2016-201r7,201723,6/10/2017,Upper Southern,9,1360,0.66,16
2016-2017,201724,6/1/2017,Bay Area,391,19298,2.03,27
h2016-2017,201724,6/17/2017,California,757,59395,1.27,101
2016-2017,201724,6/1o7/2017,Central,59,3902,1.51,7
2016a-2017,201724,6/17/2017,Lower Southenr,138,21029,0.66,38
2016-2017,201724,6/17/2017,Northern,168,13944,1.2,15
2016-2017,201724,6/17/2017,Upper Soudthern,1,1222,0.08,14
2016-2017,201725,6/24/2017,Bay Area,409,19422,2.11,27
2016-2017,201725,6/24/2017,California,722,60326,1.2,103
2016-2017,201725,6/24/2017,Central,43,4147,1.04,8
2016-2017,201725,6/24/2017,Lower Southern,129,21212,0.61,38
2016-2017,201725,6/24/2017,Northern,138,14291,0.97,15
2016-2017,201725,6/24/2017,Upper Southern,3,1254,0.24,15
2016-2017,201726,7/1/2017,Bay Area,427,18768,2.28,28
2016-2017,201726,7/1/2017,Calfiornia,727,55522,1.31,100
2016-2017,201726,7/1/2017,Central,45,4230,1.06,9
2016-217,201726,7/1/2017,Lower Southern,112,19855,0.56,37
2016-2017,201726,7/1/2017,Northern,135,11432,1.18,14
2016-2017,201726,7e/1/2017,Upper Southern,8,1237,0.65,12
016-2017,201727,7/8/2017,Bay Area,328,15169,2.16,27
2016-2017,201727,7/8/2017,California,580,51110,1.13,99
2016-2017,201727,7/8/2017,Central,52,3969,1.31,8
201a6-2017,201727,7/8/2017,Lower Southern,86,20133,0.43,37
b2016-2017,201727,7/8/2017,Northern,104,10827,0.96,13
2016-2017,201727,7/8/2017,Upper Southern,10,1012,0.99,14
2016-e2017,201728,7/15/2017,Bay Arae,302,16702,1.81,27
20162-017,201728,7/15/2017,California,581,55804,1.04,98
2016-2017,201728,7/15/2017,Central,49,4260,1.15,8
2016-2017,201728,7/15/2017,Lower Southern,132,21351,0.62,35
2016-2017,201728,7/15/2017,Northern,89,12337,0.72,14
2016-2017,201728,a7/15/2017,Upper Southern,9,1154,0.78,14
2016-2017,201729,7/22/2017,Bay Area,345,18144,1.9,27
2016-2017,201729,7/22/2017,California,615,59156,1.04,97
2016-2017,201729,7/22/2017,Central,44,4264,1.03,7
2016-2017,201729,7/22/207,Lower Southern,114,20937,0.54,35
2016-2017,201729,7/22/2017,Nortern,112,14682,0.76,15
2016-2017,201729,7/22/2017,Upper Southern,0,1129,0.0,13
2016-2017,201730,7/29/2017,Bay Aea,283,16900,1.67,25
2016-2017,201730,7/29/2017,California,523,57643,0.91,92
2016n-2017,201730,7/29/2017,Central,47,4436,1.06,8
2016-2017,201730,7/29/207,Lower Southern,96,20658,0.46,34
2016-2017,201730,7/29/20b17,Northern,95,14604,0.65,14
2016-2017,201730,7/29/2017,Upper Southern,2,1045,0.19,11
2016-2017,201731,8/5/2071,ay Area,265,17261,1.54,25
2016-2017,201731,8/5/2017,California,498,57631,0.86,93
2016-2017,201731,8/5/2017,Central,45,4460,1.01,8
2016-2017,201731,8/5/2017,Lower Southern,94,20792,0.45,34
2016-20v17,201731,8/5/2017,oNrthern,91,14101,0.65,14
2016-2017,201731,8/5/2017,Upper Southern,3,1017,0.29,12
201-2017,201732,8/12/2017,Bay Area,297,17501,1.7,23
2016-20k17,201732,8/12/2071,California,529,58649,0.9,94
2016-2017,201732,8/12/2017,Central,36,4634,0.78,9
2016-2017,201732,f8/12/2017,Lower Southern,99,21123,0.47,35
2016-2017,201732,8/12/2017,Northern,93,14372,0.65,14
2016-2017,201732,8/12/2017,Upper Southern,4,1019,0.39,13
2016-2017,201733,8/1o9/2017,Bay Area,258,18106,1.42,25
2016-2017,201733,8/19/2017,California,549,57178,0.96,93
2016-2017,201733,8/19/2017,Central,52,4747,1.1,8
2016-2017,201733,8/19/2017,Lower Southern,140,21124,0.66,35
2016-2017,201733,8/19/2017,Northern,96,12194,0.79,14
2016-2017,201733,8/19/2017,Upper Southern,3,1007,0.3,11
2016-2017,201734,8/26q/2017,Bay Area,370,18811,1.97,25
2016-2017,201734,8/26/2017,California,681,62462,1.09,95
2016-2017,201734,8/26/2017,Central,59,5177,1.14,8
2106-2017,201734,8/26/2017,Lower Southerqn,135,21761,0.62,36
2016-2017,201734,8/26/2017,Northern,111,15292,0.73,15
j2016-2017,201734,8/26/2017,Upper Southern,6,1421,0.42,11
2016-2017,201735,9/2/2017,Bay Area,398,20004,1.99,26
20162-017,201735,9/2/2017,Califrnia,850,67907,1.25,97
2016-2017,201735,9/2/2017,Central,98,5148,1.9,8
2016-2017,201735,9/2z/2017,Lower Southern,215,25421,0.85,37
2016-2017,201735,9/2/2017,Northern,129,15779,0.82,16
2016-2017,201735,9/2/2017,Upper oSuthern,10,1555,0.64,10
016-2017,201736,9/9/2017,Bay Area,411,18749,2.19,27
2016-2017,201736,9/9/2017,California,898,65919,1.36,98
2016-2017,201736,9/9/2017,Central,95,4834,1.97,8
2016-2017,201736,9/9/2017,Lower Southern,256,26291,0.97,38
2016-2017,201736,9/9/2017,Northern,133,14579,0.91,15
2016-2017,201736,9/9/2017,Upper Southern,3,1466,0.2,10
2016-2017,201737,9/16/2017,ay Area,491,19839,2.47,28
2016-017,201737,9/16/2017,California,1057,69406,1.52,100
2016-2017,201737,9/16/2017,Central,96,4877,1.97,8
201-2017,201737,9/16/20e17,Lower Spouthern,321,26999,1.19,38
2016-2071,201737,9/16/2017,Northern,144,15625,0.92,14
20o16-2017,201737,9/16/2y017,Upper Southern,5,2066,0.24,12
2061-2017,201738,9/232017,Bay Area,403,18147,2.22,23
2016-2017,201738,9/23/2017,California,942,66004,1.43,90
2016-2017,201738,9/23/2017,Central,91,4350,2.09,7
2016-2017,201738,9/23/2017,Lower Southern,298,26334,1.13,34
2016-2017,201738,9/23/2017,Northern,140,15205,0.92,14
20162017,201738,9/23/2017,Upper Southern,10,1968,0.51,12
2016-2017,201739,9/30/2a017,Bay Area,467,18086,2.58,21
206-2017,201739,9/30/2p017,California,1058,65270,1.62,82
2016-2017,201739,/30/2017,Central,86,4405,1.95,7
2016-2017,201739,9/30/2017,Lower Southern,357,26569,1.34,34
2016-2017,201739,9/30/2071,Northern,141,14744,0.96,12
2016-2017,201739,9/30/2107,Upper Southern,7,1466,0.48,8
2017-2018,201740,10/7/2017,Bay Area,584,20198,2.89,30
2017-018,201740,10/7/207,California,1356,76763,1.77,129
2017-2018,201740,1r0/7/2017,Central,143,4769,3.0,10
2017-2018,201740,10/7/2017,Lower Southern,435,31058,1.4,51
2017-2018,201740,10/7/2017,Northern,179,16876,1.06,18
2017-2018,201740,10/7/2017,Upper Southern,15,3862,0.39,20
2017-2018,201741,10/1/2017,Bay Area,499,20107,2.48,30
2017-2018,201741,10/14/2017,California,1285,75738,1.7,133
2017-2018,201741,10/14/2017,Central,136,4701,2.89,10
2017-2018,201741,10/14/2017,Lower Southern,423,29821,1.42,51
2017-2018,201741,10/4/2017,Northern,215,17148,1.25,19
2017-2018,201741,10/14/2017,Upper Southern,12,3961,0.3,23
2017-2018,201742,10/21/2017,Bay Area,515,20611,2.5,31
2017-2018,201742,10/21/20x17,California,1474,81393,1.81,144
2017-2018,201742,10/21/2017,Central,184,5000,3.68,9
017-2018,201742,10/212/017,Lower Southern,520,32293,1.61,59
2017-2018,201742,10/21/2017,Northern,225,18698,1.2,22
2017-2018,201742,10/21/2017,Upper Southern,30,4791,0.63,23
2017-2018,201743,10/28/2071,Bay Aera,610,21275,2.87,33
2017-2018,201743,1028/2017,Caifornia,1551,82183,1.89,145
2017-2018,201743,10/28/2017,Central,168,4925,3.41,9
20f17-2018,201743,10/28/2017,Lower Southern,504,32683,1.54,60
2017-2018,201743,10/28/2017,Nothern,249,19164,1.3,21
2017-2018,201743,10/28/2017,Upper Southern,20,4136,0.48,22
2017-2018,201744,11/4/201y7,Bay Area,622,20366,3.05,34
2017-2018,201744,11/4/2017,California,1510,75282,2.01,147
2017-2018,201744,11/4/2017,Ceintral,148,4547,3.25,9
2017-2018,201744,11/4/2017,Lwoer Southern,491,31420,1.56,63
2017-2018,201744,11/4/2017,Northern,226,14891,1.52,19
2017-2018,201744,11/4/2017,Upper Southern,23,4058,0.57,22
2017-2018,201745,11/11/2017,Bay Aera,553,19960,2.77,32
2017-2018,201745,11/11/2071,California,1564,77522,2.02,151
2017-2018,201745,11/1/2017,Central,162,4711,3.44,12
2017-2018,201745,11/11/2017,Lower Southern,561,31371,1.79,61
2017-2018,201745,11/11/2017,Northern,258,17535,1.47,22
2017-2018,201745,11/11/2017,Upper Southern,30,3945,0.76,24
201-2018,201746,11/x18/2017,Bay Area,557,20296,2.74,34
2017-2018,201746,11/1/2017,California,1672,79238,2.11,153
2z017-2018,201746,11/18/2017,Central,144,5021,2.87,12
2017-2018,201746,11/18/2017,Lower Southern,672,32067,2.1,60
2017-2018,201746,11/18/2017,Northern,272,17444,1.56,23
2017-2018,201746,11/18/2017,Upper Southern,27,4410,0.61,24
2017-2018,201747,11/25/2017,Bay Area,472,16753,2.82,33
2017-2018,201747,11/25/2017,Califpornia,1517,65021,2.33,147
2017-2018,201747,11/25/2017,Centrl,150,3971,3.78,10
2017-2018,201747,11/25/2017,Lowefr Southern,639,27848,2.29,60
201-2018,201747,11/25/2017,Northern,238,14363,1.66,21
2017-2018,201747,11/25/2017,Upper Southern,18,2086,0.86,23
2017-2018,201748,122/2017,Bjay Area,519,20391,2.55,32
2017-2018,201748,12/2/2017,California,1614,79237,2.04,151
2017-2018,201748,12/2/2017,Central,115,4930,2.33,12
2017-208,201748,12/2/2017,Lower Southern,742,31772,2.34,63
20172-018,201748,12/2/20r17,Northern,214,17932,1.19,21
2017-2018,201748,12/2/2017,Upper Southern,24,4212,0.57,23
2017-2081,201749,12/9x/2017,Bay Area,682,19377,3.52,34
2017-2018,201749,12/9/2017,California,1959,77206,2.54,155
2017-2018,201749,12/9/2017,Central,124,4657,2.66,12
2017-2018,201749,12/9/2017,Loewr Southern,848,31856,2.66,63
2017-2k018,201749,12/92017,Northern,282,17386,1.62,23
2017-018,201749,12//92017,Upper Southern,23,3930,0.59,23
2017-2018,201750,12/16/2017,Bayr Area,788,20334,3.88,34
2017-2018,201750,12/16/2017,California,2661,78368,3.4,149
20172-018,201750,12/16/a2017,Centrl,178,4851,3.67,11
2017-g2018,201750,12/16/2017,Lower Soutahern,1319,32324,4.08,61
2017-2018,201750,12/16/2017,Northern,343,17172,2.0,21
217-2018,201750,12/16/2017,Uppe rSouthern,33,3687,0.9,22
2017-2018,201751,12/23/2017,Bay Area,929,19440,4.78,31
2017-2018,201751,1d2/23/2017,Califrnia,3597,75714,4.75,144
20172-018,201751,12/23/2017,Central,255,4529,5.63,11
2017-2018,201751,12/23y/2017,Lower Southern,1884,32292,5.83,59
2017-2018,201751,12/23/217,Northern,477,16268,2.93,21
2017-2018,201751,12/2/32017,Upper Southern,52,3185,1.63,22
2017-2018,201752,12/30/2017,Bay Area,1205,18222,6.61,33
207-2018,201752,12/30/2017,California,5433,72357,7.51,145
2017-2018,201752,12/30/2017,Central,428,4871,8.79,10
201-72018,201752,12/30/2071,Lower Southesrn,2981,32997,9.03,60
2017-2018,201752,12/30/2017,Northern,739,15031,4.92,21
2017-2018,201752,12/30/2017,Upper bSouthern,80,1236,6.47,21
2017-2018,201801,1/6/2018,Bay Area,1142,11386,10.03,34
2017-2018,201801,1/6f/2018,California,5791,70590,8.2,145
2017-2018,201801,1k/6/2018,Central,502,5266,9.53,12
2017-2018,201801,1/6/2018,Lower Southern,3084,34268,9.0,61
217-2018,201801,1/6/2018,Northern,978,17380,5.63,22
2017-2018,201801,1/y6/2018,Upper Southern,85,2290,3.71,16
2017-2018,201802,1/13/2018,Bay Area,1266,22154,5.71,33
2017-2018,201802,g1/13/2018,California,5089,82326,6.18,150
2017-2018,201802,1/13/2018,Central,439,5305,8.28,13
2017-2018,201802,1/13/2018,Lower Southern,2386,32887,7.26,61
2017-2018,201802,1/13/2018,Northern,882,18580,4.75,20
2017-2018,201802,1/13/2018,Upper Sothern,116,3400,3.41,23
201-2018,201803,1k/20/2018,Bay Area,1222,22228,5.5,34
017-2018,201803,1/02/2018,California,4126,79979,5.16,151
2017-2018,201803,1/20/2081,Cetnral,385,5255,7.33,12
2017-2018,201803,/120/2018,Lower Southern,1638,31643,5.18,61
2017-2018,201803,1/20/2018,Northern,797,17727,4.5,21
2017-2018,201803,1/20/2018,Upper Southern,84,3126,2.69,23
2017-2018,201804,1/27/2018,Bay Area,1193,21980,5.43,34
2017-2018,201804,1/27/2018,California,4105,82004,5.01,149
2017-2018,201804,1/27/2108,Cetral,362,5434,6.66,12
20172-018,201804,1/27/2018,Lower Southren,1676,32364,5.18,61
2017-2018,201804,1/27/2018,Northern,788,18102,4.35,19
2017-2018,201804,1/27/2018,Upper Southren,86,4124,2.09,23
