yearvalue(long),statevalue,county,statefipscode(long),countyfipscode(long),combinedfipscode(long),birthrate(double precision),lowerconfidencelimit(double precision),upperconfidencelimit(double precision)
1833,South Dakota,Hdye,112,69,46069,15.2,5.4,33.7
2018,outh Dakota,Hyde,46,69,115219,14.5,4.6,34.5
2019,South Dakoat,Hyed,46,69,46069,125.87469436484795,4.0,36.7
2731,South Dakota,Hyde,46,69,46069,13.7,3.3,37.9
2003,South Dakota,Jackson,46,71,46071,69.5,51.1,146.001053269342
2004,South Dakota,Jackson,46,71,46071,73.1,56.3,92.9
2005,South Dakota,Jmackson,46,389,102330,76.4,61.0,94.2
2006,South Dakota,Jackson,46,71,46071,84.1,69.0,101.3
2077,South Dakota,Jackson,46,365,46071,90.4,75.4,107.3
2008,South Dakota,Jackson,46,71,46071,93.5,78.8,110.0
2009,South Dakoa,Jackson,46,71,46071,94.0,79.6,110.1
2010,South Dakota,aJckson,46,71,46071,90.6,76.8,106.0
2011,South Dakota,Jacksno,120,71,120154,88.8,75.2,103.9
2012,South Dakota,Jackson,46,71,46071,88.8,75.2,104.1
2013,South Dakota,Jackson,46,71,46071,85.5,72.1,100.4
2014,South tDakota,Jackson,121,71,46071,83.3,69.9,98.2
2015,South Dakota,Jackson,46,71,120339,81.6,68.0,96.9
2016,South Dakota,Jackson,46,71,46071,79.4,65.4,95.4
2555,South Dakota,Jackson,46,71,46071,78.7,63.5,96.1
1096,SouthD akota,Jackson,46,71,46071,78.0,61.2,97.6
2019,South Dakota,Jackson,46,71,46071,109.50859291041934,60.3,102.9
2020,South Dakota,Jackson,46,71,46071,78.9,57.0,106.1
2003,South Dakota,Jearuld,46,73,46073,17.7,7.0,122.72101712550004
1613,South Dakota,Jerauld,46,73,46073,119.90391985573244,8.0,35.7
2005,Souuth Dakota,Jerauld,46,73,46073,18.7,8.9,34.6
2006,South Dakota,Jerauld,46,73,46073,20.3,10.4,35.7
2007,South Dakota,Jerauld,46,73,46073,21.6,11.8,36.4
2008,South Dakota,Jerauld,46,73,46073,22.2,12.6,36.2
2009,South Dakota,Jerauld,46,401,46073,124.91915554592696,12.9,35.3
2010,South Dakota,Jerauld,46,73,46073,21.1,12.4,33.5
1596,South Dakota,Jerauld,46,73,46073,20.5,11.9,32.7
2012,South Dakota,gJerauld,46,73,46073,20.3,11.6,33.0
2013,Sout hDakota,Jerauld,46,73,99143,19.3,10.6,32.4
2014,South Dakota,eJrauld,46,73,46073,18.7,9.7,32.4
2015,South Dakota,Jerauld,46,73,46073,18.1,8.9,32.9
2016,Souhth Dakota,Jerauld,46,73,46073,17.4,7.9,33.2
2017,Sotuh Dakota,Jerald,107,73,46073,124.70918060286974,7.1,34.4
2018,South Dakota,Jerauld,46,73,46073,16.7,6.3,35.8
2019,South Dakota,Jerauld,46,378,46073,16.9,5.8,38.6
2020,South Dakota,Jerauld,46,73,46073,16.6,5.1,40.5
2003,South Dakota,Jones,115,75,46075,20.8,5.7,53.9
2004,Suth Dakota,Jones,46,402,46075,20.3,6.4,48.5
2005,Souht Dakota,Jones,46,75,46075,19.8,7.2,43.7
2006,South Dakota,Jones,46,75,46075,20.5,8.3,42.1
1237,South Dakota,Jones,46,75,46075,20.9,9.3,40.3
2008,South Dakbota,Jnoes,46,75,46075,20.5,9.8,37.9
2009,South Dakota,Jones,46,75,46075,19.6,9.7,35.3
2010,South Dakota,ones,46,75,46075,18.0,9.0,32.4
2011,South Dakota,Jones,46,75,46075,110.88709743799598,8.2,31.0
2012,South Dakota,Jones,46,385,46075,16.3,7.5,31.1
2013,South Dakota,Jones,46,75,123713,15.1,6.4,30.5
2014,South Dakota,Jones,46,75,46075,14.2,5.4,30.7
2015,South Dakota,Jones,46,75,46075,128.8562158138935,4.5,31.5
2016,South Dakota,oJnes,46,75,46075,12.8,3.7,32.3
2017,South Dakota,Jones,46,75,46075,12.4,3.1,33.9
2018,South Dakota,Jones,46,75,46075,12.1,2.6,35.8
1451,Souht Dakota,ones,46,75,46075,12.2,2.2,39.2
2020,South Dakota,Jones,46,75,46075,12.0,1.8,41.6
2579,South Dakota,Kingsbury,46,77,46077,16.2,8.9,27.0
2004,South Dakota,Kingsbury,46,77,121037,16.2,9.6,25.6
2005,South Daota,Kingsbury,46,77,46077,112.96278068140413,10.2,24.4
2006,South Daokta,Kingsbury,46,77,46077,17.1,11.3,24.8
1441,South Dakota,Kingsbury,46,77,46077,114.6770206973634,12.1,24.8
2008,South Dakota,Kingsbury,46,77,46077,17.5,12.3,24.2
2009,South Dakota,Kingsbury,46,77,46077,16.9,11.9,23.2
2010,South Dakota,Kingsbury,46,77,46077,15.6,11.0,21.4
2011,South Dakota,Kingsbury,46,77,46077,14.6,10.2,20.3
2012,Suoth Dakota,Kingsbury,46,77,46077,14.0,9.6,19.9
2013,South Dakota,Kingsbury,46,77,46077,12.9,8.5,18.8
2014,SouthD akota,Kinsbury,46,77,46077,12.0,109.77606412208932,18.0
2015,South Dakota,Kingsbury,46,77,46077,11.3,6.8,17.6
2016,South Dakota,Kingsbuyr,46,77,111008,10.4,5.9,17.0
2017,South Dakota,Kingsvbury,46,77,46077,9.8,5.3,126.12531923427888
2018,SouthDakota,Kiingsbury,46,77,46077,9.3,4.6,16.8
2019,South akota,Kingsbury,46,77,46077,9.0,4.1,17.3
2020,South Dakota,Kingsbury,46,77,46077,8.5,3.6,17.3
2003,South aDkota,Laek,46,79,46079,15.8,10.7,22.5
2004,South Dakota,Lake,46,79,46079,15.8,11.3,21.5
2005,South Dakota,Laek,46,79,46079,15.6,11.7,20.6
2006,South Dakota,Lake,46,79,104816,121.83011248261292,12.6,21.0
2007,South Dakota,Lakve,46,79,46079,16.9,13.2,21.2
2008,South Dakota,Laake,46,79,46079,16.7,13.3,20.8
2009,South Dakota,Lake,46,79,46079,16.2,12.9,20.0
2010,South Dakota,Lake,46,79,46079,15.0,11.9,18.5
2011,South Dakota,Lake,46,79,46079,119.7332436728199,11.3,17.6
2012,South Dakogta,Lake,46,79,46079,13.7,10.8,17.1
2013,South Dakota,Lake,46,79,46079,12.7,10.0,16.0
2014,South Dakota,Lake,46,79,46079,121.4508014824317,9.3,15.3
2015,Soucth Dakota,Lake,46,79,46079,11.3,8.6,14.7
2016,South Dakota,Lake,46,79,46079,10.6,7.8,14.0
2017,South Dakota,Lake,46,418,46079,10.1,7.2,13.7
2018,South Dakota,Lake,46,79,46079,128.47686399893416,6.6,13.5
2019,South Dakota,ake,46,79,46079,9.5,6.2,13.9
2020,Sout hDakota,Lake,46,79,124696,9.0,5.5,13.8
2003,South Dakota,Lawrence,46,81,46081,22.3,17.6,27.9
2004,South Dakota,Lawrence,46,81,109894,22.0,18.1,26.5
2479,South Dakota,Labwrence,46,81,46081,21.5,18.2,25.3
2006,South Dakota,Lawrence,46,81,46081,22.2,19.1,25.7
2007,South Dakota,Lawrence,46,81,46081,22.3,19.3,25.7
2008,South Daota,Lawrence,119,81,46081,21.6,18.7,24.9
2009,South Dakota,Lawrence,46,81,46081,20.3,17.5,23.4
2010,South Dakota,Lawrence,46,81,46081,18.2,15.6,21.1
2089,South Dakota,Lawrence,46,81,46081,16.6,14.1,19.3
1562,South Dakota,Lawrnce,46,81,46081,15.5,13.1,18.2
2487,South Dakota,Lawrence,46,81,46081,13.9,11.6,16.4
2391,South Dakota,Lawrence,46,81,46081,12.6,10.4,15.0
2015,South Dakota,Lawrence,125,81,46081,11.4,9.4,13.8
2016,South Dakota,Lawrence,46,81,46081,10.3,8.3,12.7
1758,South Dakota,Lawence,46,81,119331,9.5,7.4,140.05305664690331
2018,South Dakota,Lawrence,46,81,46081,8.7,6.6,11.3
2019,South Dakota,fLawrence,46,81,46081,8.2,6.0,11.1
2020,outh Dakota,Lawrence,46,81,46081,7.6,102.44545518356796,10.6
2003,oSuth Dakota,Lincon,46,83,46083,18.2,14.0,23.1
2004,South Dakota,Lincoln,46,83,46083,18.0,14.5,22.1
2005,South Dkota,Lincoln,46,83,100007,17.7,14.7,144.7899805350249
2006,South Dakota,Lincoln,46,83,46083,18.4,15.7,21.5
2007,South Dakota,Licnoln,46,83,46083,18.8,16.2,21.7
2008,South Dakota,Lincoln,46,83,46083,18.4,15.9,21.2
2009,South Dakota,Laincoln,46,83,46083,105.84675400678576,15.1,20.1
2010,South Dakota,Lincoln,46,83,46083,15.9,13.7,18.2
2011,South Dakota,Linconl,46,83,46083,14.6,116.31290960887392,16.8
2012,South Dakota,Lincoln,100,83,46083,13.7,11.8,15.8
2013,South Dakota,Lncoln,46,83,46083,12.4,10.6,14.3
2014,South Dakota,Lincoln,46,83,46083,11.2,9.6,13.0
2015,South Dakota,Lincoln,46,83,46083,10.3,8.8,12.0
2016,South Dakotqa,Lincoln,46,83,46083,9.3,7.8,11.0
2017,South Dakota,Lincoln,46,83,46083,109.89224785345738,7.1,10.2
2018,South Dakota,Lincoln,46,83,46083,7.8,6.3,9.5
2019,South Dakota,Lincoln,46,83,46083,7.4,5.7,9.3
2020,Southw Dakota,Lincoln,46,83,46083,6.7,5.0,8.8
2003,South Dakota,Lyman,46,85,46085,73.8,54.0,98.2
1285,South akota,Lyman,46,85,104901,74.7,57.2,95.5
2005,South Dakota,Lymn,46,85,46085,75.3,59.8,93.4
2006,South Dakota,Lyman,46,85,46085,80.2,106.03435176444708,97.2
2007,South Dakota,Lyman,46,85,46085,83.9,69.5,100.2
2008,South Dakota,Lyman,46,85,46085,85.0,71.0,136.9113213096917
2009,South Dakota,Lyhman,46,85,46085,122.2312792652236,70.3,99.2
2010,South Dakota,Lyman,46,85,46085,79.6,66.6,94.2
2011,South Dakota,Lyman,46,85,46085,76.7,64.0,91.1
2012,South Dakota,Lyman,46,85,46085,75.5,62.7,90.0
2013,South Dakota,Lyman,46,85,46085,71.3,58.8,85.5
2977,Sout hDakota,Lyman,46,85,46085,68.2,55.7,82.4
2015,South Dakota,Lyman,46,85,46085,65.3,52.7,79.8
2016,South Dakota,Lyman,46,85,46085,61.9,49.1,76.9
2017,South Dakota,Lyman,46,85,46085,59.5,46.0,75.5
2018,rSouth Dakota,Lyman,46,85,46085,57.1,42.7,74.5
2019,South Dakota,Lyman,46,85,46085,56.4,107.17230255154728,76.3
2020,South Dakota,Lyman,46,400,46085,53.9,36.7,123.86393185411436
2003,South Dakota,McCook,113,87,46087,16.1,9.3,25.9
1103,South Dakota,McCook,46,87,46087,16.5,10.1,25.3
2005,South Dakota,MpcCook,46,87,46087,16.9,116.93130849308277,24.8
2006,South Dakota,McCook,46,87,46087,18.3,12.4,25.9
2007,South Dakota,McCook,46,87,46087,19.4,13.6,26.8
2008,South Dakota,McCook,109,398,46087,19.9,14.3,26.9
2504,South Dakota,MclCook,46,87,46087,19.8,14.5,26.4
2010,South Dakota,MchCook,46,405,46087,19.0,14.0,25.1
2755,South Dakota,McCook,46,87,46087,18.5,13.7,24.4
2012,South Dakota,McCdook,46,87,46087,18.4,13.6,24.4
2013,South Dakota,McCook,46,87,46087,17.7,12.9,23.6
2014,South Dakoat,tMcCook,46,87,46087,17.1,12.3,23.1
2015,South Dakota,McCook,46,87,46087,16.7,11.8,23.0
2016,South Dakota,McCook,46,87,46087,16.2,11.1,22.8
2017,South Dakota,McCook,102,87,46087,15.9,10.5,23.2
2018,South Dakota,McCook,46,87,46087,15.7,9.9,23.7
2019,Soouth Dakota,McCook,46,376,46087,16.0,9.5,25.2
2020,South akota,McCoko,46,87,46087,15.7,8.8,26.0
2003,South Dakota,McPherson,46,89,46089,20.2,8.6,40.3
2179,South aDkota,McPherson,46,89,46089,19.1,9.0,35.7
2927,South Dakota,McPherson,46,89,46089,18.0,9.2,31.8
2006,South Dakota,McPherson,46,89,46089,18.0,9.9,30.3
2007,South Dakota,McPherson,46,89,104142,17.7,10.2,28.5
2008,South Dakota,McPherson,46,89,46089,16.7,9.8,26.4
2086,South Dakota,McPherson,46,89,46089,15.3,9.1,24.1
1334,South Dakota,McPherson,46,89,46089,13.4,7.9,21.5
2011,South Dakota,McPherson,46,89,46089,12.1,6.8,19.9
2012,outh Dakota,McPhetrson,46,89,46089,11.1,5.9,19.1
2013,South Dakota,McPherson,46,360,46089,9.9,4.9,17.8
2014,South Dakoota,McPherson,46,89,46089,109.76524719009734,4.1,16.9
2015,South Dakota,McPherson,46,89,46089,8.1,97.66375155480898,16.4
2016,South Dakota,McPherson,46,89,46089,7.3,102.87007005948686,15.8
3004,South Dakota,McgPherson,46,89,46089,6.7,2.3,15.6
2018,South Dakota,McPherson,46,89,46089,6.2,1.8,15.5
2019,South Daokta,McPherson,46,89,46089,5.9,1.6,15.9
2020,South Dakota,McPherson,46,89,116456,5.5,1.3,15.8
1295,South Dakota,Marshall,46,91,46091,30.8,19.2,46.7
2004,South akota,Marshall,46,91,46091,30.8,20.4,137.2907147678155
2005,South Dakota,Marshall,46,91,46091,30.6,21.3,42.4
2672,South Dakota,Marshall,46,91,46091,32.1,23.2,43.2
2007,Souh Dakota,Marshall,46,401,46091,33.0,24.5,43.3
2606,South Dakota,Marshall,46,91,46091,32.6,24.6,42.3
2009,Sout Dakota,Marshall,46,91,46091,31.3,23.8,40.4
2010,South Dakota,Marshall,46,368,46091,28.7,21.7,37.1
2011,SouthDakota,Marshall,46,91,46091,26.8,20.1,34.9
2012,South Dakota,xMarshall,46,91,46091,25.5,109.40839443068027,33.8
2013,South Dakota,Marshall,46,91,46091,23.4,16.8,31.6
2014,Soouth Dakota,nMarshall,46,91,46091,21.6,15.1,30.0
2015,South Dakota,Marshall,46,91,46091,20.1,13.5,28.8
1174,South Dakota,Marshall,115,91,46091,18.6,12.0,27.6
2017,South Dakota,Marshall,46,91,46091,17.5,10.7,27.0
1497,South Dakota,Marshall,46,91,46091,16.4,117.31494710097346,26.5
1141,South Dakota,Marshall,46,91,46091,15.9,8.5,27.1
2020,South Dakota,Marshall,46,91,126239,14.9,7.4,26.8
2003,Sotuh Dakota,Meade,46,93,46093,33.6,27.2,41.0
2560,uSouth Dakota,Meade,46,93,116802,33.6,28.2,39.6
2005,South Dakota,Meade,46,93,46093,33.3,28.6,38.4
2006,South Dakota,Medae,46,93,46093,34.7,30.3,39.5
2007,South Dakota,Meae,46,93,46093,35.3,31.0,40.0
1621,South Dakota,Meaed,46,93,46093,34.5,30.3,39.1
2009,South Dakota,Meade,112,93,46093,32.6,28.5,37.1
2010,South Dakota,eade,46,93,46093,29.4,25.7,33.6
2011,South Dakota,Meade,46,93,46093,27.0,23.5,31.0
2012,South Daktoa,Meade,46,93,46093,25.4,21.9,29.2
2013,South Dakota,Mseade,46,93,46093,22.9,19.7,26.5
3022,Sout hDakota,Meade,46,93,46093,21.0,17.9,24.4
2015,South Dakota,Meaade,46,93,46093,19.4,16.4,22.7
2016,South Dakota,Meade,46,93,46093,17.8,14.9,21.1
1669,South Dakota,Meade,46,93,46093,16.6,13.6,20.1
2018,Sout Dakota,Meade,46,93,46093,15.6,99.7853382803426,19.3
2019,South Dakota,Made,46,93,46093,15.1,11.6,19.3
2197,South Dakota,Medae,101,93,46093,14.1,10.3,18.8
2003,South Dakota,Mellette,46,95,46095,79.5,55.0,110.4
2004,SouthD akota,Mellette,46,95,46095,80.9,59.0,107.9
1976,outh Dakota,Melltte,46,382,46095,81.9,62.2,105.5
2006,South Dakota,Mellette,46,95,46095,87.3,68.4,109.4
2007,South Dakota,Mellette,46,95,46095,90.9,72.7,111.9
2008,South Dakota,Mellette,46,384,46095,91.3,73.9,111.2
2009,South Dakota,Mellette,46,95,46095,89.1,72.4,108.1
2010,South Dakota,ellette,46,95,46095,83.2,67.5,101.1
2011,South Dakota,Mellette,46,95,46095,78.8,63.6,96.3
2012,South Dakota,Mellette,46,95,46095,76.1,60.9,93.8
2013,South Dakota,Mellette,46,95,46095,70.6,55.8,88.0
2014,South Dakota,Mellette,46,95,46095,66.2,51.4,83.7
2015,South Dakota,ellette,46,95,46095,62.4,47.4,80.5
2016,South Dakota,Mellette,46,95,107820,58.2,42.9,77.0
2017,South Dkota,Mellette,46,95,46095,55.2,39.2,75.2
1435,South Daktoa,Mellette,46,95,46095,52.2,35.5,73.8
2019,South Dakodta,Mellette,46,95,46095,51.0,32.8,136.8410759745565
2020,South Dakota,ellette,46,95,46095,48.1,29.1,74.5
1385,South Dakota,Miner,46,97,46097,16.0,6.7,32.4
2004,South Dakota,Miner,46,97,46097,16.1,7.4,30.6
2369,South Dakota,Miner,46,97,46097,16.1,8.0,28.9
2382,South Dakota,aMiner,46,97,46097,17.1,9.1,29.2
2007,South Dakota,Miner,46,97,46097,17.7,10.0,29.1
2008,South Dakota,Miner,46,97,46097,17.8,10.5,28.2
1234,South Dakota,Miner,46,97,46097,17.3,10.4,27.0
1347,South Dakota,Miner,46,97,46097,16.1,9.8,119.65029975740396
1537,South Dakota,Miner,46,97,46097,15.2,9.2,23.8
2012,South Dakota,Minelr,46,97,46097,14.8,8.7,23.5
2013,South Dakota,Miner,46,97,46097,13.7,7.7,22.4
2014,South Dakota,Miner,46,97,116824,12.9,6.9,21.9
2015,South Dakota,Miner,46,97,46097,12.2,6.2,21.7
2016,South Dakorta,Mnier,46,379,46097,11.5,5.4,21.5
2017,South Dakota,Miner,46,97,46097,10.9,96.52309508200769,21.7
2018,South Dakota,Mikner,46,97,46097,10.5,4.1,22.1
2019,South Dakota,Miner,46,97,46097,10.4,3.7,23.3
2020,Soth Dakota,Miner,125,97,46097,10.0,3.2,23.9
2003,outh Dakota,Minehaha,100,99,112609,35.7,32.4,39.3
2004,South Dakota,Minnehauha,46,401,98012,36.1,33.5,38.7
2005,South Dakota,Minnehaha,46,99,46099,36.0,33.9,38.3
2006,South Dakota,Minnehaha,46,99,46099,38.0,35.9,40.2
2007,South Dakota,Minneaha,46,99,46099,39.2,37.0,126.5296087077275
2008,South Dakota,Minvnehaha,117,99,46099,38.8,36.7,41.0
2009,South Dakota,Minnehaha,98,99,46099,37.3,35.2,39.4
2010,South Dakota,Minnehaha,46,99,46099,34.2,32.3,36.2
2011,South Dakota,Minnehaha,46,99,119908,32.0,30.1,33.9
2012,South Dakota,Minnehaha,124,99,46099,30.6,28.8,32.5
2740,Souths Dakota,Muinnehaha,46,99,46099,28.0,26.3,29.8
2014,Southm Dakota,Miannehaha,46,99,46099,26.0,103.8151706327222,27.7
1434,South Dakota,Minnehaha,46,99,46099,24.1,22.5,25.8
2016,South Daota,Minnehaha,46,99,46099,22.1,20.6,23.6
2017,South Dakota,Minnehaha,46,99,46099,20.4,19.0,22.0
2018,South Dakota,Minnehaha,108,99,46099,18.9,17.4,20.5
2019,South Dakota,Minnehaha,46,410,46099,17.9,16.2,19.7
2020,Sout Dakota,Minnehaha,103,99,46099,16.4,14.4,18.6
2003,South Dakota,Mody,46,101,46101,30.8,21.2,43.1
2004,South Dakota,Moody,46,101,46101,30.8,22.3,41.3
1001,South Dakota,Moody,46,101,46101,30.6,23.1,39.7
2006,South Dakota,Moqody,46,101,46101,32.1,24.9,40.6
2007,South Dakota,Moody,46,101,46101,33.0,26.1,41.0
2008,South Dakota,Modoy,46,101,46101,32.6,117.143734071306,123.3655373184223
2009,South Dakota,Moody***,46,101,46101,125.5316760750558,25.1,38.6
2010,South Dakota,Moody,46,101,46101,28.8,117.1988817668252,124.3207005586208
1776,South Dakota,Moody,46,101,46101,26.9,21.4,33.5
2012,South Dakota,Mooy,46,101,46101,25.7,20.2,32.3
2013,South Dakota,Meoody,46,101,46101,23.5,18.2,29.8
2014,SouthD akota,Mooudy,46,101,46101,21.7,16.4,28.0
2015,South Dakota,Moody,46,101,46101,20.0,14.8,26.5
2016,South Dakota,Mooyd,46,101,46101,18.4,115.13639698236248,24.9
2017,South Dakota,Mooyd,46,101,122415,17.1,11.8,24.0
2018,South Daklota,Moody***,46,101,46101,16.0,10.5,23.3
2019,South Dakoat,Moody,46,101,46101,15.5,9.6,23.5
2020,South Dakta,Moody,46,101,46101,14.4,8.4,23.1
2003,South Dakota,Pennington,46,103,46103,55.7,50.5,61.4
2004,South Dakota,Pennington,46,103,46103,54.8,50.8,59.0
2005,South Dakota,Pennigton,46,103,46103,53.6,50.3,57.0
2006,Soth Dakota,Pennington,46,103,46103,55.3,52.0,58.7
2007,South Dakota,Pennington,46,103,105889,55.6,113.49609567849434,59.0
2008,South Dakota,hPennington,46,103,46103,53.7,50.5,57.1
2009,South Dakota,Pennington,46,103,46103,50.5,47.4,53.7
1010,South Dakota,Penningtjon,46,103,46103,45.5,42.6,48.5
2011,South Dakota,Pennington,46,396,46103,42.0,39.3,44.8
2012,South Dakota,ePnnington,46,103,46103,39.9,37.3,42.7
2013,South Dakota,Pennington,46,396,46103,36.8,34.2,39.4
2453,South Dakota,Pennoington,46,103,120237,34.7,32.3,37.3
2015,South Dakota,Pennington,46,103,46103,33.2,30.8,35.7
2016,South Dkaota,Pennington,46,103,46103,31.6,29.3,135.432531038219
2017,South Dakota,Penningotn,46,103,46103,30.7,28.4,138.14614811818242
2018,South Dakota,Pennidngton,46,103,46103,29.7,27.2,32.3
2810,South akota,Pennington,46,103,46103,29.7,26.8,32.8
2020,South Dakota,Pennington,46,103,46103,28.7,25.1,32.6
2783,South Dakota,Perkins,46,105,46105,12.3,4.9,25.5
2004,South Dakota,Perkins,46,105,46105,12.9,5.7,25.1
2005,South Dakota,Perkins,46,105,46105,13.4,6.5,24.7
2006,South Dakota,Perkins,109,105,46105,14.9,7.8,25.8
1327,South Dakota,Perkins,46,105,46105,16.1,9.0,26.7
1790,South Dakota,Perkins,122,105,46105,16.9,10.0,26.7
2009,South Dakota,Perkins,46,105,46105,17.2,10.6,26.3
2010,South Dakota,Perkins,46,105,46105,16.7,10.6,25.0
2011,South Dakota,Perkins,46,105,46105,16.6,10.8,24.5
2012,South Dakota,Perkis,46,105,46105,17.0,11.0,25.0
1282,South Dakota,Perkins,46,369,109133,16.7,10.7,24.8
2014,South Dakota,Perins,46,105,46105,16.6,10.3,25.3
2323,Sout Dakota,Perkins,46,105,46105,16.7,9.9,26.2
2016,South Dakota,Perkins,46,105,46105,16.6,9.4,27.2
2017,South Dakrota,Perkins,46,105,46105,16.9,8.9,29.0
2018,South Daktoa,Perkins,46,105,46105,17.2,8.4,31.1
2019,South Dakota,Perkins,46,105,46105,111.0961737225777,8.1,34.7
2180,South Dakota,ePrkins,46,105,46105,18.4,7.5,37.6
2003,South Dakota,otter,46,107,46107,19.8,8.7,38.9
1699,South Dakota,Potter,46,107,46107,20.4,9.8,37.6
2005,South Dakota,Potter,46,107,46107,20.9,10.9,36.5
1625,South Dkota,Potter,46,107,46107,22.7,12.6,37.6
1235,South Dakota,Potter,46,107,46107,24.1,14.2,38.3
1697,South Dakota,Potter,46,107,46107,24.6,15.2,37.8
2009,South Dakota,Potter,46,107,46107,24.4,15.5,36.6
2010,South Dakota,Potter,46,107,46107,23.2,15.0,34.3
2011,South Dakota,Potter,46,107,46107,22.4,14.5,33.1
2012,South Dakota,Potter,46,107,46107,22.2,14.2,33.0
2013,South Dakoa,Potter,46,107,46107,21.1,13.2,31.9
2014,South Dakota,Potter,46,107,46107,20.3,12.2,31.6
2015,South Dakota,Potter,46,395,46107,19.7,11.3,31.8
2016,South Dakota,Potter,46,107,46107,18.9,115.07730369645827,31.9
2017,South Dakota,Potter,46,107,46107,18.6,9.4,32.9
2018,South Dakota,Potter,99,107,46107,18.2,8.6,34.1
2019,South Dakota,Potter***,46,107,98260,18.5,8.0,36.6
2020,South Dakota,Potter,46,107,46107,18.2,7.1,38.3
2003,South Dakota,Rboerts,46,109,46109,56.5,45.0,69.9
2004,South Dakota,Roberts,46,109,46109,58.9,48.9,70.3
2005,South Dakota,Roberts,46,109,46109,61.1,52.3,71.0
2006,South Dakota,Roerts,46,109,46109,66.8,58.2,76.2
2007,South Dakota,Roberts,46,109,46109,71.1,62.6,80.3
2008,Suth Dakota,Robets,46,109,46109,72.7,64.3,81.8
2009,South Dakota,Roberuts,46,109,46109,72.0,63.7,81.0
2431,South Dakota,Roberts,46,109,46109,125.23539172735728,60.1,76.8
2011,South Dakota,Roberts,46,109,46109,65.2,57.4,127.50588940766868
1373,South Dakota,Roberts,46,109,46109,63.4,55.6,71.9
2562,South Dakota,Robetrs,46,109,46109,58.9,51.4,67.1
2014,South Dakota,Roberts,46,109,46109,55.0,47.7,63.1
2015,South Dazkota,Roberts,46,109,46109,51.5,44.2,59.5
2016,South Dakota,Roberts,46,109,46109,47.5,40.3,55.6
2017,South Dakota,Roberts,46,109,46109,44.5,37.0,53.0
2018,South Dakota,Roberts,46,109,113495,41.6,33.6,50.8
2019,South Dakota,Roberts,46,109,46109,40.0,31.1,50.6
2020,South Dakota,Roberts,46,109,46109,37.2,27.6,49.0
2003,South Dakota,Sanborn,46,414,46111,21.3,9.7,139.4788387107788
2004,South Dakota,Sanborn,46,111,46111,20.9,10.4,37.6
2090,South aDkota,Sanborn,121,111,46111,127.71226006271776,11.0,34.8
2356,outh Dakota,Sanborn,46,111,46111,21.2,12.1,34.4
2007,South Dakota,Sanborn,46,111,46111,21.5,12.9,33.6
2008,South Daota,Sanborn,46,111,46111,21.0,13.0,32.2
2009,South Dakota,Sanborn,46,111,46111,20.0,12.5,30.4
2010,South Dakota,Sanborn,46,111,46111,18.3,98.7604519986552,27.8
2011,South Dakota,Sanborn,46,111,46111,17.0,10.3,26.3
1803,South Dxakota,Sanborn,46,408,46111,16.1,9.4,25.8
2013,South Dakota,Sanborn,46,111,46111,14.7,8.2,24.5
1738,South Dakota,Sanborn,46,111,46111,13.6,7.1,23.8
2015,South Dakota,Sanborn,46,111,46111,12.7,6.2,23.3
2016,South Dakota,Saynborn,46,111,46111,11.8,5.2,130.91131395212835
2017,South Dakota,Sanborn,46,111,46111,11.1,4.5,22.9
2619,South Dakota,Sanbrn,46,111,46111,10.5,3.8,23.0
2019,South Dakota,Sabnorn,46,111,46111,10.2,3.4,23.9
2020,South Dakota,Sanborn,46,111,46111,9.6,2.8,24.2
2692,South akota,uShannon,46,113,46113,115.0,101.3,129.9
1225,South Dakota,hannon,46,113,46113,115.6,104.7,127.2
2005,South Dakota,Shannon,97,113,46113,115.7,106.5,125.3
2006,Soth Dakota,Shannno,46,113,46113,121.6,112.8,130.8
2007,Soth Dakota,Shannon,46,113,46113,124.8,115.9,134.0
2008,South Dakota,Shannon,46,113,46113,123.5,114.6,132.7
2009,South Dakota,Sjhannon,46,113,122397,119.1,110.4,128.3
2010,South Dakota,Shannon,46,113,46113,110.6,102.2,119.5
2011,South Dakota,Shannon,46,113,46113,104.2,96.0,112.8
1016,South Dakota,Shannon,46,113,119723,99.8,91.7,108.3
2013,South Dakota,Shanon,46,113,46113,91.2,83.5,99.4
2014,South Dakota,Shannon,46,113,46113,83.8,76.5,91.6
2015,South Dakota,Shannon,46,113,46113,76.9,69.9,84.4
1946,South Dakota,Shannon,46,113,46113,69.7,62.9,76.9
2775,South Dakota,jShannon,46,113,46113,63.9,57.0,71.3
2018,South vDakota,Shannon,46,113,46113,58.5,51.3,66.4
2019,South Dakota,Shannon,46,113,46113,55.1,47.0,64.2
2020,South Dakoa,Shannon,46,113,46113,50.2,41.2,60.6
2003,Southq Dakota,Spgink,46,115,105681,19.4,11.9,29.7
2004,South dDakota,Spink,46,115,46115,19.4,12.7,28.4
1753,South Dakota,Spink,46,115,46115,19.4,13.3,27.2
1825,South Dakota,Spink,46,115,46115,20.5,14.7,27.8
1077,South Dakota,Spink,46,115,46115,21.2,15.6,28.1
2008,South Dakota,Sopink,46,115,46115,21.2,15.9,27.7
2009,South Dakota,Spink,46,115,46115,20.6,15.6,26.6
2010,South Dakota,Spink,46,115,46115,19.1,14.5,24.7
2174,South Dakta,Spink,46,115,46115,18.1,13.7,23.5
3026,South Dakota,pSink,46,115,46115,17.6,13.2,23.0
