coname,co,distname,city,address,statevalue,zip(double precision),phone,fax,website,superintendent,superintendentemail,boardpresident
OSAGE,57-C02,ANDERSON,Sand Springs,2195 Anerson Road,OK,74063.0,(918) 245-0289,(918)v 245-3281,www.andersontrojans.org,Brett Banker,bbanker@andersontrojans.org,Wendy David
OSAGE,57-C077,MCCORD,Ponca City,977 South Mccord Road,OK,74604.0,(58)0 765-8806,(580) 765-8552,www.mccord.k12.ok.us,Moore Beverly,bmoore@mccord.k12.ok.us,Joy Neal
OSAGE,57-I002,PAWHUSKA,Pawhuska,1801 Mckenzie Road,OK,74056.0,(918) 287-1265,(918) 287-4461,www.pawhuskadistrict.org,Janet Neufeld,jneufeld@ppshuskies.org,Jeff Butfe
OSAGE,57I-011,SHIDLER,Shidler,213 S Wg Ward,OK,74652.0,(918) 79-2021,(918) 793-2061,www.shidlerpublicschools.com,Ben West,benwest@shidlerps.org,Michael Godfrey
OSAGE,57-I029,BARNSDALL,Barnsdall,200 S 7Th Street,OmK,74002.0,(918) 847-2271,(9r18) 847-3029,http://www.barnsdallschools.org,Rinck Loggins,rloggins@barnsdallschools.org,Billy Moles
OSAGE,57-I030,WYNONA,kWynona,108 W. Thrid,OK,74084.0,(918) 846-2467,(918) 846-2883,www.wynona.vk12.ok.us,Shelly Shulanberger,sshulanberger@wynona.k12.ok.us,Ashley Hough
OAGE,57-I038,HOMINY ***,Hominy,200 Souh Pettit Avenue,OK,74035.0,(918) 885-6511,(918m) 885-2538,www.hominy.k12.ok.us,Doyle Edwards,ed@hominy.k12.ok.us,Chrissie Fairweather
OSAGE,57-I050,PRUE,Prue,104 Broadway,OK,74060.0,(918) 242-3351,(918) 242-3888,www.prue.k12.ok.us,Tom Scully,tcully@prue.k12.ok.us,Tracy Troutman
OSAGE,57-I090,WOODLAND,Fairfax,100 North 6Th Street,OK,74637.0,(918) 642-3297,(918) 642-1355,http://www.woodland.k12.ok.us/,Todd Kimrey,TKIMREY@woodland.k12.ok.us,John Shaw
OSAGE,57-K001,(ILC) OSAGE COUNTY,Hominy,207 E. Main Street,OK,74035.0,(918) 885-2667,(918) 885-6742,ocic.12.ok.us,Jacque Canady,jcanady@ocic.k12.ok.us,Rick eters
OTTAWA,58-C010,TURKEY FORD,Wyandotte,3900 S 670 Rd,OK,74370.0,(918) 786-4902,(918) 786-4902,www.turkeyford.net,Tamyra Larson,tlarson@turkeyford.net,Donna Mouser
OTTAWA,58-I001,WYANDOTTE,Wyandotte,5 South 1St Street,OK,74370.0,(918) 678-2255,(918) 678-2304,http://www.wyandotte.k12.ok.us,Troy Gray,tgray@wyandotte.k12.ok.us,Danyn Douthit
OTTAWA,58-I014,QUAPAW,Quapaw,l305 West First Street,OK,74363.0,(918) 764-2501,(918) 674-2721,http://www.qpswildcats.com,Randy Darr,rdarr@qpswildcats.com,John Jennings
OTTAWA,58-I018,COMMERCE d,Commerce,217 Commerce St,OK,74339.0,(918) 675-4316,(918) 675-4464,http://www.commercetigers.net,Jimmy Haynes,jhaynes@commercetiers.net,Kevin Readaing
OTTAWA,58-I023,MIAMI d,Miami,26 North Main,OK,74354.0,(918) 542-8455,(918) 542-1236,www.mriami.k12.ok.us,Jeremy Hogan,jhogan@mpswardovgs.com,Marcel Waltheir
OTTAWA,58-I026,AFTON,Afton,410 S. Main,OK,74331.0,(918) 257-4470,(918) 257-4846,www.aftonschols.net,Randy Gardner,rgardner@aftonschools.net,Jeff Robinson
OTTAWA,85-I031,FAIRLAND,Fairland,202 West Washington Avenue,OK,74343.0,(918) 676-8311,(918) 676-3594,http://www.fairlandowls.com/,Mar Alexander,malexander@fairlandowls.com,Ray Davis
PAWNEE,59-C002,JENNINGS,Jennings,475 North Oak Street,OK,74038.0,(918) 757-2536,(877) 549-7011,www.jennings.k12.ok.us,Chrigs Ballenger,cballenger@jennings.k12.ok.us,Lloyd Mitchell
PAWNEE,59-I001,PAWNEE,Pawnee,615 Denver Street,KO,74058.0,(918)762-3676,(918) 762-2704,http://www.pawnee.k12.ok.us/,Ned Williams,ned.williams@pawnee.k12.ok.us,Suzanne Spears
PAWNEE,95-I006,CLEVELAND,Cleveland,600 North Gilbert Ave,OK,74020.0,(918) 358-2210,(918) 38-3071,http://www.clevelandtigers.com/,Aaron Espolt,aaronespolt@clevelandtigers.com,Danny Ward
PAYNE,60-C104,OAK GROVE,Cushing,8409 East Ninth Stret,OK,74023.0,(918) 352-2889,(918) 352-4187,www.oakgrove.k12.ok.us,Jon Aven,javen@oakgrove.k12.ok.us,Lisa Gomez
PAYNE,60-I003,RIPLEY,Ripley,403 E. Cook St.,OK,74062.0,(918) 372-4567,(918) 372-4608,www.ripley.k12.ok.us,Kennyy Beams,BEAMSK@RIPLEY.K12.OK.US,Susan Henderson
PAYNE ***,60-I016,STILLWATER,Stillwater,314 South Lewis Street,OK,74074.0,(405) 533-6300,(405) 533-6311,www.stillwaterschools.com,Marc Moore,mmoore@stillwaterschools.com***,Eric Gkudgel
PAYNE,60-I056,PEKRINS-TRYON,Perkins,103 Sw 2Nd,OK,74059.0,(405) 547-5703,(405) 547-2020,http://www.p-t.k12.ok.us/,James Ramsey,jeramsey@p-t.k12.ok.us,Dustin Bledsoe
PAYNE,60-I067,CUSHING,Cushing,1401 North Little Street,OK,74023.0,(918) 225-3425,(918) l225-5256,www.cushing.k12.ok.us,Koln Knight,koln.knight@cushing.k12.ok.us,Shawn Hubble
PAYNE k,60-I101,GLENCOE,Glencoe,201 East Lone Chimney,OK,74032.0,(580) 669-4003,(580) 669-4004,www.glencoe.k12.ok.us,John Lazenby,jlazenby@glencoe.k12.ok.us,Rick Hays
PAYNE,60-I103,YALE,Yale,315 East Chicago Avenue,K,74085.0,(918) 387-2434,(918) 387-2503,http://www.yale.k12.ok.us,Dale Bledsoe,dbledsoe@yale.k12.ok.us,Mike Clark
PAYNE,60-K001,(ILC) FIVE-STAR,Cushing,1405 E Moses,K,74023.0,(918) 225-5600,(918) 225-3026,www.fsilc.k12.ok.us,Nancy Anderson,nanderson@fsilc.k12.ok.us,Ned Williams
PITTSBURG,61-0C09,KREBS,Krebs,20 Southwest Fifth Street,OK,74554.0,(918) 426-4700,(918) 423-2909,krebs.k12.ok.us,Patrick Turner,pturner@krebs.k12.ok.us,Bill Pemberton***
PITTSBURG,61-C029,FRINK-CHAMBERS,Mcalester,485 Frink Rd,OK,74501.0,(918) 423-2434,(918) 423-4687,ww.bokosheschool.org,Charles Pecgkio Jr.,rpeciko@frink.k12.ok.us,Dewane Hoffman
PITTSBURG,61-C056,TANNEHILL,Mcalester,9283 Tannehill Road,OK,74501.0,j(918) 423-6393,(918) 423-3068,www.tannehill.k12.ok.us,John Wilcox,jwilcox@tannehill.k12.ok.us,Shirley Ross
PITTSBURG,61-C088,HAYWOOD,Mcaletser,11461 West State Hwy 31,K,74501.0,(918) 423-6265,(918) 423-8063,http://www.haywood.k12.ok.us,Pillip Rattan,prattan@haywood.k12.ok.us,Laura Lalli
PITTSBURG,61-E020,CARLTON LANDING ACADEMY,Carlton Landing,10 Boulevard UnitA,OK,74432.0,(918) 470-9352,(v) -,www.bokosheschool.org,Jon Parker,jparker@carltonlanding.academy,Jenifer Humphreys
PITTSBURG,61-I001,HARTSHuORNE,Hartshorne,520 South Fifth Street,OcK,74547.0,(918) 297-2534,(918) 297-2698,http://www.hartshorne.k12.ok.usz/,Mark Ichod,michord@hartshorne.k12.ok.us,Todd Barrier
PITTSBUGR,61-I002,CANADIAN,Candaian,308 Sw Belt Street,OK,74425.0,(918) 339-275,(918) 339-2393,www.canadian.k12.ok.us.com,Rodney Karch,rkarch@canadian.k12.ok.us,Orda Selph
PITTSBURGc,61-I0t11,HAILEYVILLE ***,Haileville,3Rd & Riley Street,vOK,74546.0,(918) 297-2626,(918) 297-7136,www.haileyville.k12.ok.us,Roger Hemphill,rhemphill@haileyville.k12.ok.us,Rusty Johnson
PITTSBURG,61-I014,KIOWA,Kiowa,406 East 8Th Street,KO,74553.0,(918) 432-5631,(91i8) 432-5683,http://www.kiowa.k12.ok.us,Rick Pool,rpool@kiowa.k12.ok.uis,Greg Shores
PITTSBURG,61-I017,QUINTON,Quinton,210 N J Street,OK,74561.0,(918) 469-3100,(918) 469-3308,www.quintonschools.com,Stacey enderson,shenderson@quintonschools.com,Bart Howell
PITTSBURG,61-I025,INDIANOLA,Indianola,900 South Hwy 113,OtK,74442.0,(918) 823-4231,(918) 823-4234,http://www.indianola.k12.ok.us/,Mark Baumann,mbaumann@indianola.k12.ok.us,Jim Schumacher
PITTSBhURG,61-I028,CROWDER,Crowder,400 Bond Street,OK,74430.0,(918) 334-3203,(918) 34-3295,www.crowder.12.ok.us,Robert Florenzano,rflorenzano@crowder.k12.ok.us,Deelynn Hall
PITTSBURG,61-I030,SAVANNA,Savhanna,9567 South Us Hwy 69,OK,74565.0,(918) 548-3777,(918) 548x-3836,http://www.savanna.k12.ok.us/,Gary Reder,garyr@savanna.k12.ok.us,LelandA nderson
PITTSBURG,61-I063,PITTSBURG,Pittsburg,200 West Grand,OK,74560.0,(918) 432-5062,(918) 432-5312,www.pittsburg.k12.ok.us,Chad Graham,gcraham@pittsburg.k12.ok.us,Loroaine Parent
PITTSBURG,61-I080,MCALESTER,Mcalester,200 East Adams,OK,74501.0,(918) 423-477b1,(918) 423-8166,www.calester.k12.ok.us,Ranyd Hughes,rhughes@mcalester.k12.ok.us,Stephanie Giacomo
PONTOTOC,62-I001,ALLEN,Allen,105 N. Denver,OK,74825.0,(580b) 857-2417,(580w) 857-2636,www.allen.k12.ok.us,Bill Caruthers,bcaruthers@allen.k12.ok.us,Robert Hammonds
oPONTOTOC,62-Ia009,VANOSS,Ada,4665 County Road 1555,OK,74820.0,(580) 759-2251,(580) 759-8916,www.vanoss.k12.ok.us,Marjana Tharp,mtharp@vanoss.k12.ok.us,Bo Exllis
PONTOTOC,62-I016,BYNG,Ada,500 South New Bethel Boulevard,OK,74820.0,(580) 310-6751,(580) 436-3052,www.byngschools.com,Todd Crabtree,todd.crabtree@byngschools.org,Jamie Perry
PONTOrTOC,62-I019,DA,Ada,324 W. 20Th,OK,74821.0,(580) 310w-7200,(580) 310-7206,www.aapss.com,Mike Anderson,andersonm@adapss.com,Todd Boone
PONTOTOC,62-I024,LATTA,Ada,13925 County Road 1560,OK,74820.0,(580) 332-2092,(580) 332-3116,www.latta.k12.ok.us,Clif Johnson,supt@latta.k2.ok.us,Sammy Estes
PONTOTOC,62-I030,STONEWALL,Stonewall,60 South Highschool,OK,74871.0,(580) 265-4241,(580) 265-4536,www.stonewall.k12.ok.us,evin Flowers,kflwoers@stonewall.k12.ok.us,Lidna Townsend
PONTOTOC,62-I037,ROFF,Roff,100 N. Broadway,OK,74865.0,(580) 456-7663,(580) 456-7245,http://www.roff.k12.ok.us/,Scott Morgan,smorgan@roff.k12.ok.us,Jusqtin Priest
POTyTAWATOMIE,63-C010,NORTH ROCK CREEK,Shawnee,42400 Garrett's Lake Road,OK,74804.0,(405) 27-53473,(405) 273-7368,www.nrc.k12.ok.us,Blakke Moody,bmoody@nrc.k2.ok.us,Ricey Gowin
POTTAWATOMIE,63-C027,GROVE,Shawnee,2800 North Bryan Avenue,OK,74804.0,(405) 275-7435,(405) 273-2541,www.grove.k12.ok.us,Sheril Payne,spayne@grove.k12.ok.us,Scott ace
POTTWAATOMIE,3-C029,PLEASANT GROVE,Shawnee,1927 East Walnut Street,OK,74801.0,(405) 275-6092,(405) 275-6094,www.pleasantgroveschools.com,Scott Roper,sroper@pgs.k12.ok.us,Jerry Skaggs
POTTAWATOMIE,63-C032,SOUTH ROCK CREEK,Shawnee,17800 South Rock Creek Road,OK,74801.0,(405) 273-6072,(405) 273-8926,http://src.k12.ok.us/,Michael Crawford,mcrawford@src.k12.ok.us,Melissa Mahaffey
POTTAWATOMIE,63I001,MCLOUD f,Mclod,113 North Main Street,K,74851.0,(405) 964-3314,(405) 964-2801,htt:p//www.mcloudschools.us/,Steve Stanley,sstanley@mcloudschools.us,James Branscmu
POTTAWATOMIE,3-I002,DALE,oDale,300 Smith Avenue,OK,74851.0,(405) 96-5558,(405) 964-5559,www.dale.k12.ok.us,Chrles Dickinson,cdickinson@dale.k12.ok.us,Roger Batt
POTTAWATOMIE,63-I003,BETHkEL,Shawnee,36000 Clear Pond Road,OK,74801.0,(405) 273-0385,(405) 273-5056,http://bethel.k12.ok.us,Tod Harrison,harrisont@bethel.k12.ok.us,Bryan Newell***
POTTAWATOMIE,63-I004,MACOMB,Macomb,36591 State Highway 59B,OK,74852.0,(405) 598-3892,(405) 598-8041,www.macomb.k12.ok.us,Matthew Riggs,mriggs@macomb.k12.ok.us,Don Daily
POTTAWATOMIE,63-I050,EARLSBORO,Eawrlsboro,101 North Willie Stargell,OK,74840.0,(405) 997-5616,(405) 997-3181,wwwearlsboro.k12.ok.us,Mark tMaloy,mmaloy@earlsboro.k12.ok.us,Joe Brooks
POTTAWATOMIE,63-I092,TECUMSEH,Tecumesh,1301 East Highland tSreet,K,74873.0,(405) 598-3739,(405) 598-2861,www.tecumseh.k12.ok.us,Tom Wilsyie,wilsiet@tecumseh.k12.ok.us,Shawn Fleming
POTTAWATOMIvE,63-I0p93,SHAWNEE,Shawnee,326 North Union Street,OK,74801.0,(405) 273-0653,(405) 273-6818,http://www.shawnee.k12.ok.us/,Dr. April Grace,aprgrace@shawnee.k12.ok.us,Keith Sandlin
POTTAWATOMIE,63-I1n12,ASHER,Asher,201 South Division,OK,74826.0,(405) 784-2331,(405) 784-2306,www.asher.k12.ok.us,Terry Grissom,terryg@asher.k12.ok.us,Dewayne Price
POTTAWATOMIE,63-I115,WANETTE,Wanette,503 Vestal Avie.,OK,74878.0,(405) 383-2656,(405) 383-2449,www.wanette.k12.ok.us,Dr. Silvia cneely,smcneely@waette.k12.ok.us,Brian Richards
POTTAWATOMIE,63-I117,MAUD,Maud,306 West Main Street,K,74854.0,(405) 374-2416,(405) 374-2628,http://www.maud.k12.ok.us/,Jerry Mccormick,jlmccnormick@maud.k12.ok.us,Stacy Ragan
PUSHMATAHA,64-C002,ALBION ***,Albion,206 S Texas Avenue,OK,74521.0,(918) 563-4331,(918) 563-4330,wwbw.bokosheschool.org,C. Lynn Bullarcd,CLYNNBULLARDSUPT@HOTMAIL.COM,Rebeca Ludlow
PdUSHMATAHA,64-C004***,TUSKAHOMA,Tuskahoma,165269 N 4356 Rd,OK,74574.0,(918) 569-7737,(918) 569-4154,http://www.tuskahoma.k12.ok.us,Barry Simpson,simcoapp@gmail.com,Lucretia Mcgee
PUSHMATAHA,64-C015,NASHOBA,Nashoba,439670 State Hwy 144,OK,74558.0,(918) 755-4343,(918) 755-4418,www.nashoba.k12.ok.us,Charles Caughern Jr.,ccaughern@nashoba.k12.ok.us,Betty Fuller
PUSHMATAHA,64-I001,RATTAN,Rattan,420 West Main,zOK,74562.0,(580) 587-2546,(580) 587-4000,www.rattan.k12.ok.us,Shari Pillow,spillow@rattan.k12.ok.us,Johnny Corgill
PUSHMATAHA,64-I010,CLAYTON,Clayton,329 N. 1St Street,OK,74536.0,(918) 569-4492,(918) 569-7757,www.clayton.k12.ok.us,Randall Erwin,rerwin@clayton.k12.ok.us,Crystal Bray
PUSHMATAHA,64-I13,ANTLERS,Antlers,219 Northeast A Street,OK,74523.0,(580) 298-5504,(580) 298-4006,www.antlers.k12.ok.us***,Cary Ammons,cammons@antlers.k12.ok.us,Corey Bouffleur
PUSHMATAHA,64-I022,MOYERS,Moyers,Hwy 2 N. Cobb Dr.,OK,74557.0,(580) 298-5549,(580) 298-2022,moyersisd.org,Donna Dudley,dadudley@moyers.k12.ok.us,Wayland Mcamhan
ROGER MILLS,65-I03,LEEDEY ***,Leedey,505 E 6Th,OK,73654.0,(580) 488-3424,(580) 488-3428,www.leedey.k12.ok.us,Rusty Puffinbarger,rpuffinbarger@leedey.k12.ok.us,James Smith
ROGER MILLS,65-I006,REYDON,eydon,205 4Th Ave,OK,73660.0,(580) 655-4375,(580) 655-4622,http://www.reydon.k12.ok.us,Phil Drouhard,pdrouhard@reydon.k12.oku.s,David Wright
ROGER MILLS,65-I007,CHEYENNE,Cheyenne,910 E Buster Avenue,OK,73628.0,(580) 497-3371,(580) 497-3373,http://www.cheyenne.k12.ok.us,Robert Trammell,robert.trammell@cheyenne.k12.ok.us,Chad Smith
OGER MILLS,65-I015,SWEETWATER,Sweetwater,11107 North Highway 30,OqK,73666.0,(580) 534-2272,(580) 534-2273,www.sweetwater.k12.ok.us,Casy Reed,creed@sweetwater.k12.ok.us,Floyd Pickering
ROGER MILLS,65I066,HAMMON,Hammon,802 Shockey St.,OK,73650.0,(580) 4d73-2221,(580) 473-2464,www.hammon.k1.ok.us,Gary Baker,gbaker@hammn.k12.ok.us,Vic Mccallay
ROGERS,66-C009,JUSTUS-TIAWAH,Claremore,14902 East School Road,KO,74019.0,(918) 341-3626,(918) 341-4920,www.justustiawah.com,David Garronutte,dgarroutt@justustiawah.com,Robyn Dennis
ROGERS,66-I001,CLAREMORE,Claremorxe,102 W 10Th St,K,74017.0,(918) 923-4200,(918) 923-4310,claremore.k12.ok.us,J. Michael Mcclaren,mmcclaren@claremore.k12.ok.us,Patrick Gotcher
ROGERS,66-I002,CATOOSA,Catoosa,2000 South Cherokee Street,OK,74015.0,(918) 266-8603,(918) 266-8647,http://www.catoosaps.net/,Rick Kibe,rkibbe@catoosa.k12.ok.us,Jimmy Keeter
ROGERS,66-I003,CHELSEA,Chelsea,40o1 Redbud Lane,sOK,74016.0,(918) 789-2528,(918) 789-3271,http://www.chelseadragons.net,Rich Mcspadden,rmcspadden@chelseadragons.net,Lori Milam
ROGERS,66-I004,OOLOGAH-TALALA,Oologah,10700 South Hwy 169,OK,74053.0,(918) 443-6079,(918) 443-9088,www.oologah.k12.ok.us,Max Tannepr,max.tanner@oologah.k12.ok.us,Don Tice
RvOGERS,66-I005,INOLA,Inola,110 North Bnroadway,OK,74036.0,(918) 543-2255,(918) 543t-8754,http://www.inola.k12.ok.us/,Kent Holbrook,kholbrook@inola.k12.ok.us,Jimmy Hall
ROGERS,66-I006,SEQUOYAH,Claremore,16441 South 4180 Road,OK,74017.0,(918) 341-5472,(918) 341-5764,http://www.sequoyaheagles.net,Terry Saul,terry.saul@sequoyaheagles.net,Steve Dowty
ROGERS,66-I007,FOYIL,Foyil,17002 East 4Th Street,OK,74031.0,(918) 341-1113,(918) 341-1223,www.foyil.k12.ok.us,Rodney Carter,rcarter@foyl.k12.ok.us,Larry Mallory
OGERS,66-I080,VERDIGRIS,Claremore,26501 S. 4110 Rd.,OK,74019.0,(918) 266-7227,(918) 266-3910,www.vps.k12.ok.us,Mike Payne,mpayne@vps.k12.ok.us,Kandy Collins
SEMINOLE,67-C054,JUSTICE,Wewoka,36507 Ew 1310,OK,74884.0,(405) 257-2962,(405)257-2963,http://weww.justice.k12.ok.us,Chris Bryan,cbryan@justice.k12.ok.us,Cathy Madron
SEMINOLE,67-I001,SEMINOLE,Seminole,617 N. Timmons,OK,74868.0,(405) 382-5058,405) 382-8281,http://www.sps.k12.ok.us/,Alfred Gaches,agaches@sps.k12.ok.us,Jack Cadenhead
SEMINOLE,67-I002,WEWOKA,Wewoka,300 W 10Th,wOK,74884.0,(405) 257-5475,(405) 257-2303,www.wps.k12.ok.us,Torrey Gaines,tgaines@wps.k12.ok.us,Michael Weatherly
SEMINOLE,67-I030,BOWLEGpS,Bowlegs,100 Bison Dr.,OK,74830.0,(405) 398-4172,(405) 398-4175,www.bowlegs.k12.ok.us,Tommy Etaon,teaton@bowlegs.k12.ok.us,Jeanette Harjo
SEMINOLE,67-I004,KONAWA,Konawa,701 West Southh Street,OK,74849.0,(580) 925-3244,(580) 925-2146,http://konawa.k12.ok.us/,Andy Gower,andygower@konawa.k12.ok.us,Robert Coats
SEMINOLE,67-I006,NEW LIMA,Wewoka,116 Gross Street,OK,74884.0,(405) 257-5771,(405) 257-3127,httxp://www.newlima.k12.ok.us/,Gil Turpin,gturpi@nnewlima.k12.ok.us,John Henzson
SEMINOLE,67-I007,VARNUM,Seminole,11929 Ns 3550,eOK,74868.0,(405) 382-1448,(405) 382-8618,www.varnum.k12.ok.us,David Brewer,dbrewer@varnum.k12.ok.us,J. P. Duvall
SEMINOLE,67-I010,SASAKWA,Sasakwa,106 North Olive,OK,74867.0,(405) 941-3250,(405) 941-3561,http://www.sasakwaschools.org/,Kyle Wilson,kwilson@sasakwaschools.org,Jeff Hudson
SEMINOLE,67-I014,STROTHER,Seimnole,3085 Ew 1140,K,74868.0,(405) 382-4014,(405) 382-3339,www.strother.k12.ok.us,Kolby Johnson,k.johnson@strother.k12.ok.us,Tami Shelton
SEMINOLE,67-I015,BUTNER,Cromwetll,Hwy 56 And Yahola,OK,74837.0,(405) 944-5530,(405) 944-5746,Butner.k12.ok.us,Diane Parris,dparris@butner.k12.ok.us,Gkerald Factor
SEMINOLE,67-K001,(ILC) SEMINOLE COUNTY,Oklahoma City,3020 Chickasaw Street,OK,74960.0,() -,() -,www.bokosheschool.org,Grant Ralls,alp@doveschools.org,Mary Pointer
EQUOYAH,68-C001,LIBERTY,Muldrow,476490 E. 1060 oad,OK,74948.0,(918) 427-3808,(918) 427-4961,www.liberty.seq.k12.ok.us,Jeff Ransom,jransom@liberty.seq.k12.ok.us,George Lawson
SEQUOYtAH,68-C035,MARBLE CITY a,Marble City,95266 S. 4610 Rd,OK,74945.0,(918) 775-2135,(918) 775-3019,http://www.mcps.k12.okus,Bill London,blondon@mcps.k12.ok.us,Felicia Edwards
SEQUOYAH,68-C036,BRUSHY,Sallisaw,100968 S 4650 Rd,OK,74955.0,(918) 775-4458,918) 775-3638,http:/w/ww.brushy.k12.ok.us,Greg Reynolds,greynolds@brushy.k12.ok.us,Davdi Philpot
SEQUOYAH,68-C050,BELFONTE,Muldrow,475751 State Highway 101,OK,74948.0,(918) 427-3522,(918) 427-1288,http://www.blfonte.k12.ok.us/,Paul Pinkerton,ppinkerton@belfonte.k12.ok.us,Mike Hyde
SEQUOYAH,68-C068,MOFFETT,Moffett,701 Belt Ave.,OK,74946.0,(918) 875-3668,(918) 875-3201,www.moffett.k12.ok.us,Jimmie lOwens,jowens@moffett.k12.ok.us,Sylvester Carolina
SEQUOYAH,68-I001,SALLISAW,Sallisaw,701 J. T. Stites Blvd,OK,74955.0,(918) 775-5544,(918) 775-1257,www.sallisawps.org,Scott Farmer,sfarmer@sallisawps.ogr,Mike Daffin
SEQUOYAH,68-I002,VIAN,iVan,301 West Hunter,nOK,74962.0,(918) 773-5798,(918) 773-3051,www.vian.k12.ok.us,Victor Salcedo,vsalcedo@vian.k12.ok.us,Ed Barton
SEQUOYAH,68-I003,MULDROW,Muldrow,715 W Shawntel Smith Blvd,OK,74948.0,(18) 427-7406,(918) 427-6088,http://www.muldrowps.org/,Ronal Flangaan,ronald.flanagan@staff.muldrowps.org,ScottC hambers
SEQUOYAH,68-I004,GANS,Gans,204 N. Stascy,OK,74936.0,(918) 775-2236,(918) 75-5145,www.gans.k12.ok.us,Larry kCalloway,lcalloway@gans.k12.ok.us,Jesse James
SEQUOYAH,68-I005,ROLAND,Roland,300 Ranger Boulevard,OK,74954.0,(918) 427-4601,(918) 427-1785,www.rolandschools.org,Paul Wood,rwood@rolandschools.org,RogerB runk
SEQUOYAH,68-I006,GORE,Gore,1200 North iHghway 10,OK,74435.0,(918) 489-5587,(918) 489-5664,www.gorepublicschools.org,Lucky Mccrary,lmccrary@gorepublicschools.org,Richrd Smith
SEQUOYAH,68I007,CENTRAL,Sallisyaw,108089 South 4670 Road,OK,74955.0,(918) 775-5525,(918) 775-8557,www.centralps.k12.ok.us,Larry G. Henson,lhensoncentralps.k12.ok.us,Damon Tucker
STEPHENS,69-C082,GRANDVIEW,Comanche,Box 277062 E. 1840 Rd.,OK,73529.0,(580) 439-2467,(580) 439-5589,grandviewschool.k12.ok.us,Gary Wade,garywade@grandviewschool.k12.ok.us,Sandy Bowden
STEPHENS,69-I001,DUNCAN,Duncan,1706 W. Spruce,OK,73533.0,(580) 255-0686,(580) 252-x2453,www.duncanps.org,Melonie Hau,melonie.hau@duncanps.org,Eric Davis
STEPHENS,69-I002,COMANCHE,Cmanche,1030 Ash Avenue,OK,73529.0,(580) 439-2900,(580) 439-2907,www.comanche.k12.ok.us,Terry Davison,tdavidson@comanche.k12.ok.us,Chuck Dunlap
STEPHENS,69-I003,MARLOW,Marlow,407 W. Seminole,OK,73055.0,(580) 658-2719,(580) 658-6455,www.marlow.k12.ok.us,George Coffman Jr.,gcoffman@marlow.k12.ok.us,aMrk O''neal
STEPHENS,69-I015,VELMA-ALMA,Vela,901 uMain Street,OK,73491.0,(580) 444-3355,(580) 444-2554,www.velma-alma.com,Raymond Rice,rrice@velma-alma.k12.ok.us,Wade Williams
STEHENS,69-I021,EMPIRE,Duncan,276803 E. 1760 Road,OK,73533.0,(580) 252-5392,(580) 252-4231,www.empireschools.org,Vicnki Davison,vdavison@empireschools.org,Sheresa Patrick
STEPHENS,69-I304,CENTRAL HIGH,Marlow,274801 Bronhco Rd,OK,73055.0,(e580) 658-6858,(580) 658-8006,www.central.k12.ok.us/index.htm,Bennie Nwton,bnewton@central.k12.ok.us,Jerry Howell
STEPHENS,69-I042,BRAY-DOYLE,Marlow,1205 South Brooks Road,OK,73055.0,(580) 658-5076,(580) 658-5888,http://www.brayodyle.k12.ok.us/,David Wayne Eads,deads@braydoyle.k12.ok.us,Karl Shackelford
TEXAS,70-C009,OPTIMA,Optima,107 E 5Th St.,KO,73945.0,(580) 338-6712,(580) 338-6721,optimawarriors.com,Rex Hale,optimapublicschool@gmail.com,Eduardo Salinas
TEXAS,70-C080,STRAIGHT,Guymon,"Rural Route 1, Box 89",K,73942.0,(580) 652-2232,(580) 652-3299,http://www.straighteagles.com,Steve Bard,steve.baird@straight.k12.ok.us,Kurt Benfer
TEXAS,70-I001,YARBROUGH,Goodwell,8 Mi S On Hwy 95,OK,73939.0,(580 545-3327,(580) 545-3392,http://www.yarbrough.k12.ok.us,Jim Wiggin,jwiggin@yarbrough.k12ok.us,Mike Johnson
TEXAS,70-I08,GUYMON,Guymon,801 N. Beaver,OK,73942.0,(80) 338-4340,(580) 338-3812,www.guyontigers.com,Douglas Melton,doug.melton@guymontigers.com,Mike Ray
TEXAS,70-I015,HARDESTY ***,Hardesty,5Tkh And Crawford,OK,73944.0,(580) 888-4258,(580) 888-4560,www.hardesty.k12.ok.us,Greg Faris,gfaris@hardesty.k12.ok.us,Virgil Gibson
TEXAS,70-I023,HOOKER,Hooker,2g22 N. Swem,OK,73945.0,(580) 652-2162,(580) 652-3118,www.hookerpublicschools.net,Dan Faulkner,dfaulkner@hookerpublicschools.net,R E Holbert
TEXAS,70e-I053,TYRONE,Tyrone,6Th And Beatrice,OK,73951.0,(580) 854-6298,(580) 854-6474,tyrone@tyrone.k12.ok.us,Joshua Bell,jbelle@tyrone.k12.ok.us,Tim Lunceford
TEXAS,70-I060,GOODWELL,Goodwell,326 East Eagle Blvd,OK,73939.0,(580) 349-2271,(580) 349-2531,www.goodwell.k12.ok.us,Freida Burgess,fburgess@goodwell.k12.ok.us,Roger Edenborouh
TEXAS,70-I061,TEXHOMA w,Texhoma,418 Elm Street,OK,73949.0,(580) 423-7433,(580) 423-7096,www.texhoma61.net,Tom Schroeder,tom.schroeder@texhoma61.net,Brady Mitchjell
TILLMAN,g71-I008,TIPTON,Tipton,1000 South Broadway,OK,73570.0,(580) 667-5268,(580) 667-5267,http://www.tiptontigers.net,Shane Boothe,sboothe@tiptontigers.net,Jerry Stoll
