Year,OSHPD_ID,Facility Name,County,Type of Ownership,Hospital Type,Teaching,Small/Rural,Licensed Beds,Available Beds,Staffed Beds,Patient Days by Payer,Total Patient Days,Total Patient Days Percent,Payer,LTC Patient Days,Location
2015,106362041,HI-DESERT MEDICAL CENTER,San Bernardino,District,Comparable,,Rural,179,179,118,$7690.00,45139,17%,Medicare,19972,"JOSHUA TREE, California
(34.126919, -116.315127)"
2010,106230949,FRANK R HOWARD MEMORIAL HOSPITAL,MENDOCINO,Non-Profit,Comparable,,Small,25,25,25,$3243.00,5533,58.6%,Medicare,108,"WILLITS, California
(39.409044, -123.353523)"
2010,106514030,SUTTER SURGICAL HOSPITAL-NORTH VALLEY,SUTTER,Non-Profit,Comparable,,,14,14,14,$806.00,1623,49.7%,Medicare,0,"YUBA CITY, California
(39.13222, -121.625147)"
2013,106150736,KERN MEDICAL CENTER,Kern,City/County,Comparable,Teaching,,222,194,167,$26532.00,49532,53.6%,MediCal,0,"BAKERSFIELD, California
(35.373405, -119.018911)"
2011,106160702,CORCORAN DISTRICT HOSPITAL,Kings,District,Comparable,,Rural,32,32,6,$366.00,1548,23.6%,Medicare,0,"CORCORAN, California
(36.098048, -119.559687)"
2015,106301258,"SOUTH COAST GLOBAL MEDICAL CENTER, INC.",Orange,Investor,Comparable,,,178,178,178,$22032.00,33340,66.1%,MediCal,0,"SANTA ANA, California
(33.749738, -117.869781)"
2011,106361458,COLORADO RIVER MEDICAL CENTER,San Bernardino,Investor,Comparable,,Rural,25,25,25,$344.00,1052,32.7%,Medicare,0,"NEEDLES, California
(34.848419, -114.614002)"
2012,106420491,LOMPOC VALLEY MEDICAL CENTER,Santa Barbara,District,Comparable,,Rural,170,170,170,$8469.00,45529,18.6%,Medicare,34429,"LOMPOC, California
(34.653385, -120.457727)"
2014,106430905,STANFORD UNIVERSITY HOSPITAL,Santa Clara,Non-Profit,Comparable,Teaching,,613,474,474,$20442.00,146626,13.9%,MediCal,0,"PALO ALTO, California
(37.445103, -122.160363)"
2014,106105029,FRESNO HEART & SURGICAL HOSPITAL,Fresno,Investor,Comparable,,,57,49,31,$7057.00,11990,58.9%,Medicare,0,"FRESNO, California
(36.731654, -119.785856)"
2015,106504038,STANISLAUS SURGICAL HOSPITAL,Stanislaus,Investor,Comparable,,,23,23,23,$727.00,1221,59.5%,Medicare,0,"MODESTO, California
(37.640735, -121.002435)"
2012,106250955,SURPRISE VALLEY COMMUNITY HOSPITAL,Modoc,District,Comparable,,Rural,26,26,26,$96.00,7948,1.2%,Medicare,7816,"CEDARVILLE, California
(41.529563, -120.171912)"
2013,106190547,MONTEREY PARK HOSPITAL,Los Angeles,Investor,Comparable,,,101,101,40,$5422.00,14956,36.3%,Medicare,0,"MONTEREY PARK, California
(34.062407, -118.127542)"
2010,106504038,STANISLAUS SURGERY CENTER,STANISLAUS,Investor,Comparable,,,23,23,23,$934.00,2307,40.5%,Medicare,0,"MODESTO, California
(37.640735, -121.002435)"
2014,106190696,PACIFICA HOSPITAL OF THE VALLEY,Los Angeles,Investor,Comparable,,,231,231,231,$43273.00,51915,83.4%,MediCal,12875,"SUN VALLEY, California
(34.217499, -118.3694)"
2013,106190782,TARZANA TREATMENT CENTER,Los Angeles,Non-Profit,Comparable,,,60,60,60,$917.00,14435,6.4%,Medicare,0,"TARZANA, California
(34.173302, -118.553101)"
2015,106190681,MIRACLE MILE MEDICAL CENTER,Los Angeles,Investor,Comparable,,,17,17,2,$83.00,515,16.1%,Medicare,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2010,106391010,SAN JOAQUIN GENERAL HOSPITAL,SAN JOAQUIN,City/County,Comparable,,,196,181,151,$22447.00,38503,58.3%,MediCal,0,"FRENCH CAMP, California
(37.885226, -121.271517)"
2012,106541123,PORTERVILLE STATE HOSPITAL,Tulare,State,State Hospitals,,,1210,448,460,$672.00,174042,0.4%,Medicare,0,"PORTERVILLE, California
(36.073039, -119.016146)"
2012,106010776,CHILDREN'S HOSPITAL AND RESEARCH CENTER OF OAKLAND,Alameda,Non-Profit,Comparable,,,190,190,190,$91.00,50571,0.2%,Medicare,0,"OAKLAND, California
(37.804828, -122.27248)"
2012,106521041,ST. ELIZABETH COMMUNITY HOSPITAL,Tehama,Non-Profit,Comparable,,Rural,76,66,66,$3974.00,8121,48.9%,Medicare,0,"RED BLUFF, California
(40.176607, -122.234146)"
2012,106191228,LAC/USC MEDICAL CENTER,Los Angeles,City/County,Comparable,Teaching,,676,648,548,$105035.00,204550,51.3%,MediCal,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2015,106104047,FRESNO SURGICAL HOSPITAL,Fresno,Investor,Comparable,,,27,27,27,$1685.00,3368,50%,Medicare,0,"FRESNO, California
(36.731654, -119.785856)"
2014,106571086,WOODLAND MEMORIAL HOSPITAL,Yolo,Non-Profit,Comparable,,,108,108,108,$8575.00,21182,40.5%,Medicare,0,"WOODLAND, California
(38.677493, -121.774715)"
2015,106370782,UNIVERSITY OF CALIFORNIA - SAN DIEGO MEDICAL CENTER,San Diego,Non-Profit,Comparable,Teaching,,563,542,542,$66506.00,169681,39.2%,MediCal,0,"SAN DIEGO, California
(32.71576, -117.163817)"
2012,106171395,SUTTER LAKESIDE HOSPITAL,Lake,Non-Profit,Comparable,,Rural,49,25,25,$3971.00,6982,56.9%,Medicare,201,"LAKEPORT, California
(39.043171, -122.915171)"
2014,106370782,UNIVERSITY OF CALIFORNIA - SAN DIEGO MEDICAL CENTER,San Diego,Non-Profit,Comparable,Teaching,,563,542,542,$63712.00,163704,38.9%,MediCal,0,"SAN DIEGO, California
(32.71576, -117.163817)"
2012,106190636,CITRUS VALLEY MEDICAL CENTER-QV CAMPUS,Los Angeles,Non-Profit,Comparable,,,518,518,328,$43190.00,110795,39%,MediCal,0,"WEST COVINA, California
(34.068896, -117.938239)"
2012,106291053,TAHOE FOREST HOSPITAL,Nevada,District,Comparable,,Rural,62,62,62,$2210.00,16622,13.3%,Medicare,8841,"TRUCKEE, California
(39.328161, -120.184054)"
2012,106141273,NORTHERN INYO HOSPITAL,Inyo,District,Comparable,,Rural,25,25,7,$1209.00,2434,49.7%,Medicare,0,"BISHOP, California
(37.361412, -118.39527)"
2013,106344017,SUTTER CENTER FOR PSYCHIATRY,Sacramento,Non-Profit,Comparable,,,73,73,73,$6313.00,18940,33.3%,Medicare,0,"SACRAMENTO, California
(38.582087, -121.50012)"
2011,106380865,LAGUNA HONDA HOSPITAL & REHAB CENTER,San Francisco,City/County,LTC Emphasis,,,780,780,774,$5270.00,275359,1.9%,Medicare,0,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2013,106190256,EAST LOS ANGELES DOCTOR'S HOSPITAL,Los Angeles,Investor,Comparable,,,127,127,127,$5208.00,16444,31.7%,Medicare,8526,"LOS ANGELES, California
(34.052238, -118.243344)"
2015,106190782,TARZANA TREATMENT CENTER,Los Angeles,Non-Profit,Comparable,,,60,60,60,$1076.00,15826,6.8%,Medicare,0,"TARZANA, California
(34.173302, -118.553101)"
2015,106190661,SILVER LAKE MEDICAL CENTER,Los Angeles,Investor,Comparable,,,234,211,211,$23205.00,50685,45.8%,MediCal,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2010,106190430,KAISER FND HOSPITAL - BELLFLOWER,LOS ANGELES,Non-Profit,Kaiser Foundation Health,,,352,352,258,$7271.00,18246,39.8%,Medicare,0,"BELLFLOWER, California
(33.882076, -118.125256)"
2012,106514030,SUTTER SURGICAL HOSPITAL - NORTH VALLEY,Sutter,Non-Profit,Comparable,,,14,14,14,$661.00,1290,51.2%,Medicare,0,"YUBA CITY, California
(39.13222, -121.625147)"
2015,106260011,MAMMOTH HOSPITAL,Mono,District,Comparable,,Rural,17,17,17,$340.00,1323,25.7%,Medicare,0,"MAMMOTH LAKES, California
(37.64696, -118.967479)"
2013,106191228,LAC/USC MEDICAL CENTER,Los Angeles,City/County,Comparable,Teaching,,676,648,539,$90927.00,196076,46.4%,MediCal,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2013,106541123,PORTERVILLE STATE HOSPITAL,Tulare,State,State Hospitals,,,1210,410,410,$753.00,157152,0.5%,Medicare,0,"PORTERVILLE, California
(36.073039, -119.016146)"
2014,106214034,NOVATO COMMUNITY HOSPITAL,Marin,Non-Profit,Comparable,,,47,47,18,$3079.00,4590,67.1%,Medicare,0,"NOVATO, California
(38.109189, -122.578257)"
2015,106190385,PROVIDENCE HOLY CROSS MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,377,377,315,$28323.00,94969,29.8%,MediCal,16775,"MISSION HILLS, California
(32.7528, -117.186096)"
2015,106301781,FAIRVIEW DEVELOPMENTAL CENTER,Orange,State,State Hospitals,,,1218,961,263,$319.00,99564,0.3%,Medicare,25255,"COSTA MESA, California
(33.663857, -117.904765)"
2011,106361144,CHINO VALLEY MEDICAL CENTER,San Bernardino,Investor,Comparable,,,126,126,126,$8552.00,17651,48.5%,Medicare,0,"CHINO, California
(34.010971, -117.689239)"
2014,106380868,LANGLEY PORTER PSYCHIATRIC INSTITUTE,San Francisco,Non-Profit,Comparable,,,67,22,22,$2828.00,6304,44.9%,Medicare,0,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2012,106214034,NOVATO COMMUNITY HOSPITAL,Marin,Non-Profit,Comparable,,,47,47,18,$3772.00,5601,67.3%,Medicare,0,"NOVATO, California
(38.109189, -122.578257)"
2014,106540816,TULARE REGIONAL MEDICAL CENTER,Tulare,District,Comparable,,,112,103,103,$5359.00,14043,38.2%,Medicare,0,"TULARE, California
(36.196549, -119.343523)"
2013,106150808,TEHACHAPI HOSPITAL,Kern,District,Comparable,,Rural,25,24,24,$97.00,234,41.5%,Medicare,0,"TEHACHAPI, California
(35.132317, -118.449074)"
2010,106191228,LAC/USC MEDICAL CENTER,LOS ANGELES,City/County,Comparable,Teaching,,712,653,590,$118703.00,212912,55.8%,MediCal,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2013,106104089,CRESTWOOD PHF - FRESNO,Fresno,Investor,Psychiatric Health Facilities,,,16,16,16,$456.00,5568,8.2%,Medicare,0,"FRESNO, California
(36.731654, -119.785856)"
2013,106514001,SUTTER-YUBA - PHF,Sutter,City/County,Psychiatric Health Facilities,,,16,16,16,$94.00,3153,3%,Medicare,0,"YUBA CITY, California
(39.13222, -121.625147)"
2010,106410782,SAN MATEO MEDICAL CENTER,SAN MATEO,City/County,Comparable,,,509,435,433,$99117.00,119177,83.2%,MediCal,97564,"SAN MATEO, California
(37.547166, -122.314351)"
2013,106100717,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,Fresno,Non-Profit,Comparable,Teaching,,808,803,671,$119701.00,246085,48.6%,MediCal,37051,"FRESNO, California
(36.731654, -119.785856)"
2011,106370673,RADY CHILDREN'S HOSPITAL-SAN DIEGO,San Diego,Non-Profit,Comparable,Teaching,,501,345,345,$300.00,74404,0.4%,Medicare,15650,"SAN DIEGO, California
(32.71576, -117.163817)"
2013,106190328,EAST VALLEY HOSPITAL MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,128,128,28,$8495.00,10335,82.2%,Medicare,0,"GLENDORA, California
(34.136001, -117.865485)"
2010,106300032,CHILDRENS HOSPITAL OF ORANGE COUNTY,ORANGE,Non-Profit,Comparable,,,235,235,235,$37.00,59310,0.1%,Medicare,0,"ORANGE, California
(33.791489, -117.853096)"
2012,106321016,SENECA HEALTHCARE DISTRICT,Plumas,District,Comparable,,Rural,26,26,19,$627.00,5880,10.7%,Medicare,4967,"CHESTER, California
(40.311547, -121.227165)"
2015,106190754,ST. FRANCIS MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,384,384,384,$53353.00,90882,58.7%,MediCal,0,"LYNWOOD, California
(33.928063, -118.199166)"
2012,106184008,BANNER LASSEN MEDICAL CENTER,Lassen,Non-Profit,Comparable,,Rural,38,25,25,$1710.00,4496,38%,Medicare,0,"SUSANVILLE, California
(40.415483, -120.648932)"
2013,106190680,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER-SAN PEDRO,Los Angeles,Non-Profit,Comparable,,,356,324,324,$34034.00,70737,48.1%,MediCal,34954,"SAN PEDRO, California
(33.735802, -118.291397)"
2014,106430883,SANTA CLARA VALLEY MEDICAL CENTER,Santa Clara,City/County,Comparable,Teaching,,574,554,338,$69040.00,123336,56%,MediCal,0,"SAN JOSE, California
(37.334807, -121.888128)"
2014,106491267,SONOMA DEVELOPMENTAL CENTER,Sonoma,State,State Hospitals,,,1413,1136,425,$133228.00,162171,82.2%,MediCal,0,"ELDRIDGE, California
(38.339376, -122.50875)"
2013,106050932,MARK TWAIN ST. JOSEPH'S HOSPITAL,Calaveras,Non-Profit,Comparable,,Rural,48,25,15,$3003.00,4514,66.5%,Medicare,0,"SAN ANDREAS, California
(38.196211, -120.68092)"
2012,106260011,MAMMOTH HOSPITAL,Mono,District,Comparable,,Rural,17,17,17,$332.00,1431,23.2%,Medicare,0,"MAMMOTH LAKES, California
(37.64696, -118.967479)"
2015,106454013,PATIENTS' HOSPITAL OF REDDING,Shasta,Investor,Comparable,,,10,10,10,$143.00,485,29.5%,Medicare,0,"REDDING, California
(40.574637, -122.38109)"
2012,106531059,TRINITY HOSPITAL,Trinity,District,Comparable,,Rural,51,51,40,$2072.00,8970,23.1%,Medicare,7191,"WEAVERVILLE, California
(40.732757, -122.940515)"
2015,106391010,SAN JOAQUIN GENERAL HOSPITAL,San Joaquin,City/County,Comparable,Teaching,,196,181,169,$5995.00,41850,14.3%,Medicare,0,"FRENCH CAMP, California
(37.885226, -121.271517)"
2014,106190673,SAN DIMAS COMMUNITY HOSPITAL,Los Angeles,Investor,Comparable,,,101,101,101,$8192.00,14776,55.4%,Medicare,0,"SAN DIMAS, California
(34.106678, -117.802753)"
2012,106334018,MENIFEE VALLEY MEDICAL CENTER,Riverside,District,Comparable,,,84,84,48,$8431.00,12541,67.2%,Medicare,0,"SUN CITY, California
(33.709202, -117.196404)"
2013,106100899,ST. AGNES MEDICAL CENTER,Fresno,Non-Profit,Comparable,,,436,436,436,$20735.00,86119,24.1%,MediCal,0,"FRESNO, California
(36.731654, -119.785856)"
2010,106564121,THOUSAND OAKS SURGICAL HOSPITAL,VENTURA,Investor,Comparable,,,21,21,21,$660.00,2436,27.1%,Medicare,0,"THOUSAND OAKS, California
(34.176083, -118.848743)"
2012,106560501,OJAI VALLEY COMMUNITY HOSPITAL,Ventura,Non-Profit,Comparable,,Rural,103,103,63,$6482.00,23798,27.2%,Medicare,21271,"OJAI, California
(34.447966, -119.242981)"
2012,106104089,CRESTWOOD PHF - FRESNO,Fresno,Investor,Psychiatric Health Facilities,,,16,16,16,$739.00,5489,13.5%,Medicare,0,"FRESNO, California
(36.731654, -119.785856)"
2014,106301781,FAIRVIEW DEVELOPMENTAL CENTER,Orange,State,State Hospitals,,,1218,916,305,$113803.00,115302,98.7%,MediCal,0,"COSTA MESA, California
(33.663857, -117.904765)"
2012,106560203,AURORA VISTA DEL MAR HOSPITAL,Ventura,Investor,Comparable,,,87,87,62,$5640.00,22310,25.3%,Medicare,0,"VENTURA, California
(34.280832, -119.293107)"
2012,106541123,PORTERVILLE STATE HOSPITAL,Tulare,State,State Hospitals,,,1210,448,460,$99519.00,174042,57.2%,MediCal,0,"PORTERVILLE, California
(36.073039, -119.016146)"
2013,106191231,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,Los Angeles,City/County,Comparable,Teaching,,355,275,220,$33974.00,66935,50.8%,MediCal,0,"SYLMAR, California
(34.3078, -118.448303)"
2011,106301781,FAIRVIEW DEVELOPMENTAL CENTER,Orange,State,State Hospitals,,,1218,834,400,$491.00,149659,0.3%,Medicare,0,"COSTA MESA, California
(33.663857, -117.904765)"
2011,106434040,LUCILE S PACKARD CHILDREN'S HOSPITAL AT STANFORD,Santa Clara,Non-Profit,Comparable,Teaching,,311,311,311,$379.00,80789,0.5%,Medicare,0,"PALO ALTO, California
(37.445103, -122.160363)"
2010,106150736,KERN MEDICAL CENTER,KERN,City/County,Comparable,Teaching,,222,194,169.25,$5048.00,52031,9.7%,Medicare,0,"BAKERSFIELD, California
(35.373405, -119.018911)"
2015,106334018,MENIFEE VALLEY MEDICAL CENTER,Riverside,District,Comparable,,,84,84,48,$7527.00,10884,69.2%,Medicare,0,"SUN CITY, California
(33.709202, -117.196404)"
2014,106190784,TEMPLE COMMUNITY HOSPITAL,Los Angeles,Investor,Comparable,,,170,170,130,$2410.00,5996,40.2%,Medicare,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2013,106060870,COLUSA REGIONAL MEDICAL CENTER,Colusa,Non-Profit,Comparable,,Rural,48,48,36,$1971.00,3474,56.7%,Medicare,1043,"COLUSA, California
(39.209238, -122.008373)"
2011,106392232,ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,San Joaquin,Non-Profit,Comparable,,,35,35,35,$5649.00,9148,61.8%,Medicare,0,"STOCKTON, California
(37.957541, -121.292451)"
2012,106190170,CHILDREN'S HOSPITAL - LOS ANGELES,Los Angeles,Non-Profit,Comparable,Teaching,,603,347,347,$274.00,99566,0.3%,Medicare,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2010,106560501,OJAI VALLEY COMMUNITY HOSPITAL,VENTURA,Non-Profit,Comparable,,Small,103,103,65.75,$8024.00,23744,33.8%,Medicare,20921,"OJAI, California
(34.447966, -119.242981)"
2013,106190766,COAST PLAZA HOSPITAL,Los Angeles,Investor,Comparable,,,117,105,105,$7155.00,13682,52.3%,Medicare,0,"NORWALK, California
(33.914183, -118.072494)"
2013,106340950,MERCY SAN JUAN HOSPITAL,Sacramento,Non-Profit,Comparable,,,370,370,370,$30753.00,97509,31.5%,MediCal,0,"CARMICHAEL, California
(38.636604, -121.327265)"
2010,106450936,MAYERS MEMORIAL HOSPITAL,SHASTA,District,Comparable,,Small,121,121,121,$24952.00,28949,86.2%,MediCal,27643,"FALL RIVER MILLS, California
(41.003555, -121.439959)"
2014,106331312,RIVERSIDE COMMUNITY HOSPITAL,Riverside,Investor,Comparable,,,372,345,345,$34359.00,105094,32.7%,MediCal,0,"RIVERSIDE, California
(33.980534, -117.377025)"
2010,106361166,MONTCLAIR HOSPITAL MEDICAL CENTER,SAN BERNARDINO,Investor,Comparable,,,102,102,102,$4074.00,15126,26.9%,Medicare,0,"MONTCLAIR, California
(34.077674, -117.693908)"
2010,106400466,ARROYO GRANDE COMMUNITY HOSPITAL,SAN LUIS OBISPO,Non-Profit,Comparable,,,65,65,58,$8108.00,11816,68.6%,Medicare,1618,"ARROYO GRANDE, California
(35.124098, -120.576388)"
2010,106014207,TELECARE HERITAGE-PHF,ALAMEDA,Investor,Psychiatric Health Facilities,,,26,26,26,$1477.00,7765,19%,Medicare,0,"OAKLAND, California
(37.804828, -122.27248)"
2013,106470871,MERCY HOSPITAL - MT. SHASTA,Siskiyou,Non-Profit,Comparable,,Rural,33,25,25,$1322.00,2650,49.9%,Medicare,0,"MOUNT SHASTA, California
(41.313274, -122.312285)"
2013,106190681,MIRACLE MILE MEDICAL CENTER,Los Angeles,Investor,Comparable,,,17,17,17,$130.00,594,21.9%,Medicare,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2013,106361370,VICTOR VALLEY GLOBAL MEDICAL CENTER,San Bernardino,Investor,Comparable,,Rural,101,101,101,$7837.00,24211,32.4%,Medicare,0,"VICTORVILLE, California
(34.5121, -117.323632)"
2014,106124004,SEMPERVIRENS - PHF,Humboldt,City/County,Psychiatric Health Facilities,,,16,16,16,$1770.00,3969,44.6%,Medicare,0,"EUREKA, California
(40.786143, -124.161309)"
2015,106514030,SUTTER SURGICAL HOSPITAL-NORTH VALLEY,Sutter,Non-Profit,Comparable,,,14,14,14,$775.00,1350,57.4%,Medicare,0,"YUBA CITY, California
(39.13222, -121.625147)"
2015,106141273,NORTHERN INYO HOSPITAL,Inyo,District,Comparable,,Rural,25,25,11,$2150.00,3763,57.1%,Medicare,0,"BISHOP, California
(37.361412, -118.39527)"
2013,106491076,SONOMA VALLEY HOSPITAL,Sonoma,District,Comparable,,,83,64,41,$7784.00,12099,64.3%,Medicare,0,"SONOMA, California
(38.291962, -122.458003)"
2013,106104047,FRESNO SURGICAL HOSPITAL,Fresno,Investor,Comparable,,,27,27,27,$1872.00,3810,49.1%,Medicare,0,"FRESNO, California
(36.731654, -119.785856)"
2015,106470871,MERCY HOSPITAL - MT. SHASTA,Siskiyou,Non-Profit,Comparable,,Rural,33,25,25,$1518.00,2908,52.2%,Medicare,0,"MOUNT SHASTA, California
(41.313274, -122.312285)"
2015,106014132,KAISER FDN HOSP - FREMONT,Alameda,Non-Profit,Kaiser Foundation Health,,,106,106,38,$7680.00,12119,63.4%,Medicare,0,"FREMONT, California
(37.550195, -121.980829)"
2014,106374055,SAN DIEGO COUNTY PSYCHIATRIC HOSPITAL,San Diego,City/County,LTC Emphasis,,,301,301,248,$288.00,83545,0.3%,Medicare,0,"SAN DIEGO, California
(32.71576, -117.163817)"
2013,106196168,EARL & LORRAINE MILLER CHILDRENS HOSPITAL,Los Angeles,Non-Profit,Comparable,,,373,373,222,$190.00,79045,0.2%,Medicare,0,"LONG BEACH, California
(33.767168, -118.193723)"
2011,106196168,EARL & LORRAINE MILLER CHILDRENS HOSPITAL,Los Angeles,Non-Profit,Comparable,,,324,324,210,$276.00,73981,0.4%,Medicare,0,"LONG BEACH, California
(33.767168, -118.193723)"
2011,106190681,MIRACLE MILE MEDICAL CENTER,Los Angeles,Investor,Comparable,,,17,17,17,$94.00,579,16.2%,Medicare,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2013,106141338,SOUTHERN INYO HOSPITAL,Inyo,District,Comparable,,Rural,37,37,37,$321.00,10885,2.9%,Medicare,10712,"LONE PINE, California
(36.604908, -118.062968)"
2014,106444013,WATSONVILLE COMMUNITY HOSPITAL,Santa Cruz,Investor,Comparable,,,106,106,92,$6371.00,17118,37.2%,Medicare,0,"WATSONVILLE, California
(36.910233, -121.756873)"
2013,106100797,ADVENTIST MEDICAL CENTER - REEDLEY,Fresno,District,Comparable,,Rural,49,49,12,$1188.00,4431,26.8%,Medicare,0,"REEDLEY, California
(36.597911, -119.456221)"
2011,106150782,RIDGECREST REGIONAL HOSPITAL,Kern,Non-Profit,Comparable,,Rural,98,98,78,$4319.00,9705,44.5%,Medicare,0,"RIDGECREST, California
(35.620715, -117.670069)"
2014,106420522,SANTA YNEZ VALLEY COTTAGE HOSPITAL,Santa Barbara,Non-Profit,Comparable,,Rural,11,11,11,$582.00,661,88%,Medicare,0,"SOLVANG, California
(34.595998, -120.138008)"
2013,106540798,SIERRA VIEW DISTRICT HOSPITAL,Tulare,District,Comparable,,,167,167,167,$19847.00,37536,52.9%,MediCal,0,"PORTERVILLE, California
(36.073039, -119.016146)"
2014,106474007,FAIRCHILD MEDICAL CENTER,Siskiyou,Non-Profit,Comparable,,Rural,28,25,25,$2220.00,4719,47%,Medicare,0,"YREKA, California
(41.731582, -122.635649)"
2015,106370759,PARADISE VALLEY HOSPITAL,San Diego,Non-Profit,Comparable,,,291,291,291,$25186.00,57163,44.1%,MediCal,0,"NATIONAL CITY, California
(32.671538, -117.105196)"
2014,106531059,TRINITY HOSPITAL,Trinity,District,Comparable,,Rural,51,51,40,$1476.00,8458,17.5%,Medicare,7076,"WEAVERVILLE, California
(40.732757, -122.940515)"
2010,106500852,DOCTORS MEDICAL CENTER,STANISLAUS,Investor,Comparable,,,462,462,284,$41576.00,102352,40.6%,MediCal,0,"MODESTO, California
(37.640735, -121.002435)"
2011,106331312,RIVERSIDE COMMUNITY HOSPITAL,Riverside,Investor,Comparable,,,372,345,345,$27803.00,102390,27.2%,MediCal,0,"RIVERSIDE, California
(33.980534, -117.377025)"
2010,106491267,SONOMA DEVELOPMENTAL CENTER,SONOMA,State,State Hospitals,,,1413,1413,624,$223543.00,226524,98.7%,MediCal,0,"ELDRIDGE, California
(38.339376, -122.50875)"
2014,106150737,KERN VALLEY HEALTHCARE DISTRICT,Kern,District,Comparable,,Rural,99,99,99,$2035.00,24424,8.3%,Medicare,21749,"LAKE ISABELLA, California
(35.604554, -118.486069)"
2012,106391056,SUTTER TRACY COMMUNITY HOSPITAL,San Joaquin,Non-Profit,Comparable,,,82,82,82,$6932.00,14136,49%,Medicare,0,"TRACY, California
(37.738534, -121.421127)"
2011,106191228,LAC/USC MEDICAL CENTER,Los Angeles,City/County,Comparable,Teaching,,676,650,580,$117352.00,209533,56%,MediCal,0,"LOS ANGELES, California
(34.052238, -118.243344)"
2015,106361266,MOUNTAINS COMMUNITY HOSPITAL,San Bernardino,District,Comparable,,Rural,37,37,30,$892.00,8836,10.1%,Medicare,7628,"LAKE ARROWHEAD, California
(34.251974, -117.181983)"
2014,106220733,JOHN C FREMONT HEALTHCARE DISTRICT,Mariposa,District,Comparable,,Rural,34,33,33,$1037.00,8748,11.9%,Medicare,0,"MARIPOSA, California
(37.484274, -119.964786)"
2015,106074039,JOHN MUIR BEHAVIORAL HEALTH CENTER,Contra Costa,Non-Profit,Comparable,,,73,70,70,$3293.00,19017,17.3%,Medicare,0,"CONCORD, California
(37.979103, -122.031333)"
2014,106434218,KAISER PERMANENTE PHF - SANTA CLARA,Santa Clara,Non-Profit,Psychiatric Health Facilities,,,24,24,24,$1419.00,6441,22%,Medicare,0,"SANTA CLARA, California
(37.352395, -121.953076)"
2010,106420493,MARIAN MEDICAL CENTER,SANTA BARBARA,Non-Profit,Comparable,,,262,262,242,$25694.00,66294,38.8%,MediCal,30749,"SANTA MARIA, California
(34.948403, -120.435881)"
2011,106334589,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,Riverside,Non-Profit,Comparable,,,106,106,78,$4639.00,9163,50.6%,Medicare,0,"MURRIETA, California
(33.559752, -117.220777)"
2013,106240924,MEMORIAL HOSPITAL - LOS BANOS,Merced,Non-Profit,Comparable,,Rural,46,46,46,$1186.00,3556,33.4%,Medicare,0,"LOS BANOS, California
(37.061242, -120.845795)"
2013,106491001,PETALUMA VALLEY HOSPITAL,Sonoma,Non-Profit,Comparable,,,80,59,29,$4247.00,8773,48.4%,Medicare,0,"PETALUMA, California
(38.232474, -122.636846)"
2013,106304159,HEALTHBRIDGE CHILDRENS HOSPITAL-ORANGE,Orange,Investor,Comparable,,,27,27,27,$12.00,7254,0.2%,Medicare,0,"ORANGE, California
(33.791489, -117.853096)"
2014,106370689,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER,San Diego,Non-Profit,Comparable,,,181,154,115,$6500.00,42371,15.3%,Medicare,36235,"CORONADO, California
(32.693926, -117.190481)"
2011,106191014,LANTERMAN STATE HOSPITAL AND DEVELOPMENTAL CENTER,Los Angeles,State,State Hospitals,,,1286,1258,390,$117085.00,125654,93.2%,MediCal,0,"POMONA, California
(34.055118, -117.750048)"
2010,106374024,AURORA SAN DIEGO,SAN DIEGO,Investor,Comparable,,,80,80,67.5,$5255.00,24468,21.5%,Medicare,0,"SAN DIEGO, California
(32.71576, -117.163817)"
2014,106391056,SUTTER TRACY COMMUNITY HOSPITAL,San Joaquin,Non-Profit,Comparable,,,81,81,39,$6147.00,12287,50%,Medicare,0,"TRACY, California
(37.738534, -121.421127)"
2011,106320859,EASTERN PLUMAS HEALTH CARE,Plumas,District,Comparable,,Rural,76,76,66,$2030.00,21789,9.3%,Medicare,20369,"PORTOLA, California
(39.812099, -120.464742)"
2015,106196168,EARL & LORRAINE MILLER CHILDREN'S HOSPITAL,Los Angeles,Non-Profit,Comparable,,,371,371,216,$168.00,74394,0.2%,Medicare,0,"LONG BEACH, California
(33.767168, -118.193723)"
