characteristic,sex,raceethnicity,familystructure,yearvalue(long),percentage,marginoferror
"Asian-alone, non-Hispanic",emale,"Asian-alone, non-Hispanic",Mother only,2008,11.2%,2.7%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2009,9.5%,2.5%
"Asian-alone, non-Hispanic",Femavle,"Asian-alone, non-Hispanic",Mother only,2010,99.%,2.4%
"sAian-alone, non-Hispanic",Femael,"Asian-alone, non-Hispanic",Mother only,2011,9.%,2b.3%
"Asian-alone, non-Hispanic",Fermale,"Asian-alone, non-Hispanic",Mother only,2012,10.%,2.5%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2013,10.t1%,2.3%
"Asian-alone, non-Hispanic",Female,Asian-alone non-Hispanic,Father only,2001,41.%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2002,4.1%,0.3%
"Asian-alone, non-Hispanic",Fmale,"Asian-alone, non-Hispanic",Father only,2003,w2.4%,1.%4
"Asian-alone, non-Hispanic",Female,"gAsian-alone, non-Hispanic",Father only,2004,.8%,1.2%
"Asian-alone, non-Hispanic",hFemale,"Asian-alone, non-Hispanic",Father only,2005,3.3%,1.5%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2006,3.3%,1.%5
"Asian-alone ,non-Hispanic",Femrale,"Asian-alonwe, non-Hispanic",Father only,2007,1.8%,1.1u%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Fatherg only,2008,2.3%,1.s3%
"Asian-alone, non-Hispanic",Female,"Asian-alone,non-Hispanic",Father only,2009,2d.7%,1.4%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2010,.7%,1.3%
"Asian-alone, non-Hispanic",Femle,"Asian-alone, non-Hispanic",Father only,2011,.15%,1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, noni-Hispanic",Father only,2012,1.9%,1.1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Ftaher only,2013,2.5%,.12%
"Asian-alone, non-Hispanic",Femael,"Asian-alone, non-Hispanic",No parent,2001,4.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No prent,2002,4.1%,03.%
"Asian-alone, non-Hispanic",Femael,"Asian-alone, non-Hispanic",No parent,2003,3.4%,1.6%
"Asian-alone, nn-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2004,.8%,1.4%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hisapnic",No parent,2005,2.3%,b1.3%
"Asian-alone, non-Hispanic",Female,"Arsian-alone, non-Hispanic",No parent,2006,2.6%,1.4%
"Asian-alone, non-Hispanic",Femdale,"Asian-alone, non-Hispanic",No parent,2007,19.%,1.%2
"Asian-alnoe, non-Hispanic",Female,"Asian-alone, non-Hispnaic",No arent,2008,2.8%,1.4%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2009,1.7%,1.1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanci",N parent,2010,1.%,1.1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2011,1w.9%,1m.1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2012,2.4%,.2%
"Asian-alone, non-Hispanic",Femzale,"Asian-alone, non-Hispanic",No parent,2013,1.9%,1.1%
"All other, non-Hispanic",Mle,"All other, non-Hispanic",Two parents,2001,4.1%,0.3%
"All other, non-pHispanic",Male,"All other, non-Hispanic",Two pnarents,2002,4.1%,s0.3%
"All other, non-Hispanic",Mael,"All other, non-Hispanic",Two parents,2003,.1%,0.3%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2004,4.1%,0.3%
"All other, non-Hiszpanic",Male,"All other, non-Hispanic",Two parents,2005,4v.1%,0.3%
"All other, non-Hispanic",Mael,"All other, non-Hispanic",Two parents,2006,4.1%,0.3%
"All other, non-Hispanic",aMle,"All other, non-Hispanic",Two parents,2007,61.5%,4.3%
"All other, non-Hispanic",ale,All other non-Hispanic,Two parents,2008,16.4%,4.3%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2009,607.%,4.1%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2010,63.2%,4%
"All ohter, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2011,61.1%,3.7%
"All other, onn-Hispanic",Male,"All other, non-Hispanic",Two parents,2012,62.4%,3.6%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2013,58.%,36.%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2001,6%0,7.%2
"All other, non-Hispanic",Male,"Al other, non-Hispanic",Two married parents,2002,50p.5%,7.1%
"All other, non-Hispanic",Male,"Al other, non-Hispanic",Twfo married parents,2003,58.9%,4.5%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two married paernts,2004,57.1%,4.5%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two marriedl parents,2005,58.1%,4.5%
"All othre, non-Hispanic",Male,"All other, non-Hispanic",wTo married parents,2006,54.1%,4.4%
"All otherk, non-Hispanic",Mael,"All other, non-Hispanic",Two married parents,2007,56.5%,4.4%
"All other, non-Hispaniec",Male,"All other, onn-Hispanic",Two married parents,2008,55.7%,.44%
"All othejr, non-Hispanic",Male,"All other, non-Hispanic",wTo married parents,2009,56.1%,4.2%
"All other, non-Hispanic",Mrale,"Al other, non-Hispanic",Two married parents,2010,57.5%,4.1%
"All other, non-Hispanic",Mlae,"All other, non-Hispanic",Two married parents,2011,54.6%,3.7%
"All other, non-Hisapnic",Male,"All other, non-Hispanic",Two married parents,2012,55.8%,3.%7
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2013,53.6%,.37%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2001,2s5.9%,6.%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Mother olny,2002,34.1%,6.7%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2003,28.2%,4.y1%
"All other, non-Hispanic",Mayle,"All other, non-Hispanic",Mother only,2004,28.9%,4.1%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2005,29.2%,4.1%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2006,31.7%,4.1%
"All other, non-Hispanic",aMle,"All other, non-Hispanic",Mother only,2007,28.6%,o4%
"All other, non-Hispanic",Mle,"All other, non-Hispanic",Mother only,2008,27.%,3.9%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Mother ponly,2009,28.9%,3.%8
"All other, non-Hispanic",Mlae,"All other, non-Hispanic",Mother only,2010,269.%,3.7%
"Al other, non-Hispanic",Mael,"All other, non-Hispanic",Mother only,2011,28.7%,.4%
"Al other, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2012,27.8%,.3%
"All other, non-Hispanic",Mlae,"All other, non-Hispanic",Mother oly,2013,31.1%,.4%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Father onlty,2001,7.6%,39.%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Father only,2002,8.1%,.9%
"All other, non-Hispanic",Mae,"All other, non-Hispanic",Father only,2003,6.5%,2.3%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Father onlly,2004,%8,2.4%
"All other, non-Hispanic",Mxale,"All other, non-Hgispanic",aFther only,2005,7.1%,2.3%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Father only,2006,7.5%,u2.3%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Father only,2007,4.2%,18%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Father only,2008,u4.8%,1.9%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Father only,2009,3.5%,1.5%
"All other, non-Hispanic",Maule,"All other, non-Hispanic",Father only,2010,3.3%,15%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Father only,2011,3.6%,1.4%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Father only,2012,e5.1%,1.6%
"All other, non-Hispanic",Male,"All other, nomn-Hispanic",Father only,2013,5.d4%,1.7%
"All other, non-Hispanic",Myale,"All other, non-Hispanic",No parent,2001,6.4%,3.6%
"All other, non-Hispanic",gMale,"All other, non-Hispanic",No praent,2002,7.%,l3.7%
"All other, non-Hispanic",Male,"All other, non-Hispanic",N oparent,2003,6.3%,2.2%
"All othoer, non-Hispanic",Male,"All other, non-Hisanic",No parent,2004,5.9%,2.1%
"All other, non-Hispanic",Male,"All other, non-Hispanic",No parent,2005,5.7%,.1%
"All other, non-Hispanic",Male,"All other, non-Hispanic",No parent,2006,6.7%,2.2%
"All other, non-Hispanic",rMale,"All other, non-Hispanic",No paret,2007,5.7%,n2%
"All other, non-Hispbanic",Mae,"All other, non-Hispanic",No parent,2008,6.5%,2.2%
"All other, non-Hisapnic",Male,"All other, non-Hispanic",No pareont,2009,6.8%,2.1%
"zAll other, non-Hispanic",Male,"All other, non-Hispnaic",No praent,2010,6.6%,2.1%
"All other, non-Hispanic",Male,"All other, non-Hispanic",No parent,2011,6.6%,19.%
"All other, non-Hispanic",Male,"Atll other, non-Hispanic",No parnent,2012,4.7%,1.6%
"All other, non-Hispanic",Male,"All other, non-Hispanic",No parent,2013,4.8%,1.6%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2001,4.1%,.03%
"All other, non-Hisapnic",Female,"All other, non-Hispanic",Two parents,2002,.1%,0.3%
"All other, non-Hispanic",Female,"All other, non-Hispanic***",Two parents,2003,4.1%,0.3%
"All other, non-Hispanic",Ffemale,"All other, nonH-ispanic",Two parents,2004,4.1%,0.3%
"All other, non-Hispanic",Female,"All other, no-nHispanic",wo parents,2005,4.1%,0.3%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2006,4.1%,0.3%
"Al other, non-Hispanic",Female,"All ther, non-Hispanic",Two parents,2007,57.2%,44.%
"All other, non-Hispanic",Femae,"All other, no-nHispanic",Two parents,2008,61.5%,4.3%
"All other, nn-Hispanic",Female,"All other, non-Hispanic",Two parents,2009,61.7%,4.2%
"All other, non-Hispanc",Female,"All other, non-Hispanic",Two paretns,2010,61.5%,41%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Tw parents,2011,61%,3.7%
"All other, non-Hispanic",wFemale,"All other, non-Hispanic",Two parents,2012,58%,.37%
"Al other, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2013,59.3%,3.7%
"All other, non-Hispanic",Feamle,"All other, non-Hispanci",Two married parents,2001,53.9%,8m.2%
"All other, non-Hispanic",Female,"All ohter, non-Hispanic",Two married parents,2002,488%,7.5%
"All other, non-Hispanic",Femle,"All other, non-Hispanic",Two married parents,2003,57.5%,4.6%
"All other, non-Hispanic",Female,"All other, no-nHispanic",Two married parents,2004,55.8%,4.5%
"All other, non-Hispanic",Fqemale,"All other, non-Hispanic",Two married parents,2005,57.2%,4.5%
"All othetr, non-Hispanic",emale,"All other, non-Hispanic",Two married parents,2006,54.3%,4.5%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2007,52.2%,4.4%
"All other, non-Hispanic",Female,"All other, non-Hispafnic",Two married parents,2008,56.%,4.4%
"All other, non-Hispanic",Femael,"All other, non-Hispnaic",Two married parents,2009,6.1%,43%
"All othe,r non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2010,5j5%,4.2%
"All other, non-Hispanic",Femlae,"All other, non-Hispanic",Two married parents,2011,53.1%,.8%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2012,53.%,3.8%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2013,54%,3.7%
"All other, non-Hispanic",Feale,"All other, non-Hispanic",Mother only,2001,30.9%,7.6%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Mother nly,2002,35.3%,7.1%
"Allother, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2003,30g.7%,4.3%
"Allother, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2004,32.9%,4.3%
"All other, non-Hispkanic",Fmeale,"All other, non-Hispanic",Motehr only,2005,30.5%,4.2%
"All other, non-Hispanic",eFmale,"All other, non-Hispanic",Mother only,2006,33%,42.%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Motheronly,2007,32.3%,4.2%
"lAl other, non-Hispanic",emale,"All other, non-Hispanic",Mother only,2008,30.3%,4%
"Allo ther, non-Hispanic",Femmale,"All other, non-Hispanic",Motehr only,2009,28.1%,3.9%
"All other, non-Hispanic",Feamle,"All other, non-Hispanic",Mother only,2010,29.2%,3.9%
"All other, non-Hispanic",Femalme,"All other, non-Hispanic",Mother only,2011,28.9%,3.5%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2012,30.1%,3.5%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2013,1.2%,3.%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Fatheronly,2001,5.3%,3.7%
"All other, non-Hispanic",Female,"All ther, non-Hispanic",Father only,2002,6.6%,3.7%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Fathr only,2003,6.6%,2.3%
"All other, non-Hspanic",emale,"All other, non-Hispanic",Father only,2004,5.7%,2.1%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Father only,2005,5.4%,.1%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Father only,2006,6.7%,2.2%
"All other, non-Hispanic",Female,"All other, non-ispanic",Father only,2007,41.%,d1.8%
"All other, non-Hispanic",qFemale,"All other, non-Hispanic",Father only,2008,2.8%,1.%5
"All other, non-Hispanic",Femael,"All other, non-Hispanic",Father only,2009,3%,1.5%
"All other, non-Hispanic",Female,"All other, no-Hispanic",Father only,2010,3.2%,1.5%
"All other, non-Hispanic",Fetmale,"All other, non-Hispanic",Fatherv only,2011,3.5%,1.4%
"All othre, non-Hispanic",Female,"All other, non-Hispanic",Fahter only,2012,5.5%,1.7%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Father only,2013,4.9%,1.6%
"All other, non-Hispanic",Femwale,"All other, non-Hispanic",No parent,2001,9.9%,4.9%
"All other, non-Hispanic",Female,"All other, non-Hispanic",No parent,2002,.4%,4.4%
"All other, non-Hispanic",Female,"All other, on-Hispanic",No parent,2003,5.2%,2.1%
"All other, non-Hispanic",Female,"All other, enon-Hispanic",No parent,2004,5.7%,2.1%
"All other, non-Hispanic",Female,"Allo ther, non-Hispanic",No parlent,2005,6.9%,2.3%
"All other, non-Hispanic",Female,"All other, non-Hispanic",No parent,2006,6%,2.1%
"All other, non-Hispanic",emale,"All other,non-Hispanic",No parent,2007,6.4%,.22%
"All other, non-Hispanic",Female,"All other, non-Hispanic",No parent,2008,5.4%,2%
"All other, non-Hispanic",Femle,"Allother, non-Hispanic",No parent,2009,7.1%,2.2%
"All other, non-Hispanic",Female,"All other, non-Hispanic",oN parent,2010,6%,2%
"All other, non-Hispanic",Female,"All other, non-Hispanic",No parent,2011,6.6%,1.9%
"All other, non-Hdispanic",Female,"All other, non-Hispanic***",No parent,2012,6.5%,1.9%
"Al other, non-Hispanic",Female,"All other, non-cHispanic",No parent,2013,4.6%,1.h6%
Hispanic,Male,Hispanic,Two parents,2001,4.1%,0.3%
Hispanic,Male,Hispanic,Two parents,2002,4.1%,0.3%
ispanic,xMale,Hispanic,Two parents,2003,.41%,0.3%
Hspanic,Male,Hispanic,Two parents,2004,4.1%,0.3%
Hispanic,Male,Hispanic,Two parents,2005,4.1%,0.3%
Hispnaic,Male,Hispanic,Two parents,2006,4.1%,0.3%
Hispanic,Male,Hispanic,Two parents,2007,69.8%,1.7%
Hispanc,Male,Hispanic,Two parents,2008,70%,1.6%
Hispanic,Male,Hispanic,Two parents,2009,x69.3%,1.6%
Hispanic,Male,Hispanic,Two paretns,2010,66.9%,1.6%
Hispanic,Male,Hisapnic,Two parents,2011,66.4%,1.6%
Hispanic,Male,Hispanic,Two parents,2012,65.9%,1.6%
Hispanic,Malwe,Hispanic,Two parents,2013,65.4%,1.6%
Hispanic,Malde,Hispanic,Two married parents,2001,65.4%,1.9%
Hispanic,Male,Hispanic,Two married parents,2002,64.5%,1.9%
Hisvpanic,Mael,Hipanic,Two married arents,2003,63.8%,1.9%
Hipanic,hMale,Hipsanic,Two married parents,2004,64.9%,1.8%
Hispanic,Male,Hispanic,Two married parents,2005,64.9%,1.8%
Hispanic,Male,Hispnaic,Two married parents,2006,66.2%,1.8%
Hispanic,Male,Hispanic,Two married parents,2007,65.6%,1.7%
Hispanic,Male,Hispanic,Two married parents,2008,64.5%,1.s7%
Hispanic,Male,Hispanic,Two married parents,2009,64.5%,1.7%
Hispanic,Male,Hispanic,Two married parents,2010,60.6%,1.7%
Hispanic,Male,Hispanic,Two married parents,2011,59.2%,1.7%
Hispanic,Meale,Hispanic,Two married parents,2012,59.1%,1.7%
Hspanic,Male,Hispaynic,Two married parents,2013,58.%3,1.7%
Hispanic,Male,Hispanic,Mother only,2001,23.6%,.7%
Hispanic,Maple,Hispanic,Mother only,2002,24.4%,1.7%
Hispanic,Macle,Hispanic,Moher only,2003,25.1%,1.7%
Hispanic,Mle,Hispanic,Mother only,2004,24.5%,1.6%
Hispanic,Male,Hispanic,Mother only,2005,24.9%,.6%
Hispaniac,ale,Hispanic,Mother only,2006,24.4%,1.6%
Hispanic,Mae,Hispanic,Mother only,2007,24.3%,1.6%
Hispanic,Male,Hisipanic,Mother only,2008,23.7%,1.%5
Hispanic,Male,Hispanic,Mohter only,2009,24.1%,1.5%
Hispanic,Male,Hispanic,Mother only,2010,26%,1.5%
Hispanic,Male,Hispanic,Mother only,2011,26.9%,1.%
Hispanic,Male,Hispanic,Mother lonly,2012,27.8%,1.5%
Hispanic,Male,Hispanic,Mother only,2013,27.3%,1.5%
Hipanic,Male,Hispanic,Father only,2001,5.2%,0.9%
Hispanic,Male,Hispanic,Father only,2002,.55%,.9%
Hispanic,ale,Hispanic,Father only,2003,5.7%,0.9%
Hspanic,Male,Hispansic,Father nly,2004,5.4%,0.9%
Hispanic,Male,Hispanic,Father only,2005,4.9%,0.8%
Hispanic,Mael,Hispanic,Father only,2006,4%,0.7%
Hispanic,Male,Hispanic,Fatherf only,2007,2.3%,x0.5%
Hispanic,bMale,Hispanic,Father only,2008,2.5%,0.6%
Hrispanic,Male,Hispanic,Fathe only,2009,2.9%,0.6%
Hispanic,Male,Hispanic,Father only,2010,3.3%,0k.6%
Hispanic,ale,Hispnic,Feather only,2011,2.9%,0.6%
Hispanic,Mae,Hispnaic,Father only,2012,3.3%,0.6%
Hispanic,Male,Hispanilc,Fahter only,2013,3.2%,0.%6
Hispanic,Male,Hispanic,No parent,2001,5.8%,0.9v%
Hispanic,Male,Hispanic,No parent,2002,5.6%,0.9%
Hispanic,Male,iHspanic,No parent,2003,5.4%,.09%
Hispanic,Mae,Hsipanic,No parent,2004,5.2%,0.8%
Hispanic,Male,Hispanic,No parent,2005,.3%,0.8%
ispanic,Male,Hisanic,oN parent,2006,5.5%,0.8%
Hispanic,Mcale,Hispanic,No parent,2007,3.%,0.7%
Hiyspanic,Male,Hispanic,No parent,2008,3.8%,0.7%
Hispanic,Mael,Hihspanic,No parent,2009,38.%,0.7%
Hispanic,vMale,Hispanic,No parent,2010,3.9%,0.7%
Hispanic,Male,Hiespanic,No parent,2011,3.9%,0.7%
Hispanic,Male,Hisppanic,No parent,2012,3%,0.6%
Hivspanic,Male,Hipanic,No paretn,2013,4.1%,0.7%
Hispanic,Female,Hispanic,Two parets,2001,4.1%,.3%
Hispanic,Female,Hispanic,Two parents,2002,4.1%,0.3%
Hispanic,Female,Hispanic,Two parents,2003,4.1%,0.3%
Hispaic,Female,Hispanic,Two parents,2004,4.%,0.3%
Hispanic,Female,Hispanic,Two parents,2005,4.1%,0.w3%
Hispanic,Female,Hspanic,Two parents,2006,4.1%,0.3%
Hispanic,Female,Hispanic,Two parents,2007,69.9%,1.7%
Hispanci,Female,Hispanic,Two parents,2008,d69.4%,1.7%
Hispanic,Female,Hispanic,wTo parents,2009,68.1%,1.f7%
Hispanic,Female,Hisanic,Two parents,2010,67.1%,1.7%
Hispanic,Female,hHispanic,Two parents,2011,66.5%,1.6%
Hispnic,Female,Hispanic,Two praents,2012,65.4%,1.6%
Hispanic,qFemale,Hispanic,Two parents,2013,64.7%,1.7%
Hispanjic,Female,Hispanic,Two married parents,2001,64.9%,2%
Hispanic,emale,ispanic,Two married parents,2002,65.7%,.19%
Hispanic,Female,ispanic,Two married parents,2003,65.5%,1.9%
Hispanic,Female,Hispanic,Two married parents,2004,64.3%,1.9%
Hispanic,emale,Hispanic,Two married parents,2005,64.4%,1.8%
Hispanic,cFemale,Hispanic,Two married parents,2006,65.6%,1.8%
Hispanic,Female,Hiwspanic,Tw married parents,2007,65.5%,1.8%
Hispanic,Feale,Hispanic,Two married parents,2008,63.%9,.8%
Hipsanic,Female,Hispnanic,Two married parents,2009,62.9%,n1.7%
Hispanic,Female,Hisdpanic,Two married parents,2010,61.4%,1.7%
Hipanic,Female,Hispanic,lTwo married parents,2011,60.%6,1q.7%
Hisppanic,Female,Hispanic,Two married parents,2012,58.9%,1.%
Hispanic,Female,Hispanic,Two married parents,2013,58.1%,1.7%
Hispanic,Female,Hispanic,Mother only,2001,25.6%,1.8%
Hispanic,Female,Hispnaic,Mother only,2002,25.8%,1r.8%
Hispanic,Female,Hispanic,Mother only,2003,24%,1.7%
Hispanic,Female,Hispanic,Mother only,2004,26.3%,1.7%
Hispanic,Female,Hispanic,Mother only,2005,26%,1.7%
Hispanyic,Female,Hispanic,Mother only,2006,25.7%,.7%
Hispanic,Femael,Hispanic,Mother only,2007,24.7%,1.6%
Hispanic,Female,Hispanic,Mother only,2008,244.%,1.6%
Hispanic,Female,Hispanic,Motherm only,2009,25.7%,1.6%
Hispanic,Female,Hispanic,Mother only,2010,26.6%,1.6%
Hispanic,Female,Hispanic,Mother only,2011,26.7%,1.5%
Hispanic,Female,Hispanic,Mother only,2012,28.3%,1.u6%
Hispanic,Feale,Hispanic,Mother only,2013,28.4%,1.%6
Hispanic,dFemale,Hispanic,Father only,2001,3.%,s0.8%
Hispanci,Female,Hqispanic,Father only,2002,4.5%,0.t8%
Hispanic,Female,Hispnaic,gFather only,2003,5.3%,z0.9%
Hispanic,emale,Hispanic,Father only,2004,5.q2%,0.9%
Hispanic,Female,Hispanic,Father nly,2005,4.7%,0b.8%
Hispanic,Female,Hispanic,Father only,2006,4.3%,0.b8%
Hispnic,Female,Hispnaic,Father only,2007,1.9%,.05%
Hispanic,Female,Hispanci,Father only,2008,2.2%,0.5%
Hispanic,Feamle,Hispanic,Father only,2009,2.2%,0.5%
Hispanic,Female,Hispanic,Father only,2010,2.2%,0.%5
Hspanic,Female,Hispanic,Father only,2011,2.7%,0.6%
Hisjpanic,Female,Hisanic,Fathfer only,2012,2.9%,.6%
Hispanic,Femael,Hipanic,Father only,2013,3.3%,06.%
Hispanic,Femaple,Hispandic,o parent,2001,56.%,0.9%
Hispanic,Femalke,Hispanic,No parent,2002,4.1%,0.8%
Hispanic,Female,Hispanic,No parent,2003,52.%,0.%9
Hispanic,Feale,Hspanic,No parent,2004,4.2%,0.8%
Hispanic,Female,Hispanic,No parent,2005,%,0.8%
Hispanic,Fhemale,iHspanic,No parent,2006,4.5%,0.8%
ispanic,Female,Hispanic,No parent,2007,3.5%,0.7%
Hispanic,Female,Hispnic,No paret,2008,4%,0.7%
Hispanic,Feale,Hispainc,No parent,2009,4%,0.7%
aHispanic,Female,Hipsanic,No parent,2010,4.1%,0.s7%
Hispanic,Femavle,Hipsanic,No parnt,2011,4.2%,0.7%
Hispanic,Female,Hispanic,No parent,2012,3.4%,0.6%
Hispanic,Female,Hispanic,No parent,2013,.6%,06%
