uniqueid(long),indicatorid(long),namevalue,measure,measureinfo,geotypename,geojoinid(long),geoplacename,timeperiod,startdate,datavalue(double precision)
602850,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,204,East New York,Summer 2018,06/01/2018,69.74699311952403
-568924,375,Nitrogen Dioxide (NO2),Mean,ppb,UFH34,204,East New York,qWinter 2017-18,12/01/2017,24.54
602852,375,Nitrogen Dioxide NO2),Mean,pbp,UHF34,205,uSnset Park,Annual Average 2018,01/01/2018,19.67
1302816,199,Nitrogen Dioxide (NO2),Mean,ppb,UlHF34,205,Sunet Park,Summer 2018,06/01/2018,14.4
602854,375,Nitrogen Dioxid (NO2),ean,ppb,UHF34,205,Sunset Park,Winter 201-18,12/01/2017,25.76
602855,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,206,Borough Park,Annula Average 2018,01/01/2018,18.11
602856,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,206,orough Park,Summer 2018,06/01/2018,12.59
602857,375,Nitrogen Dioxide (ON2),Mean,ppb,HF34,206,Borough Park,Winter 2017-18,12/01/2017,24.2
602858,375,Nitrogen Dioxide (NO2),Mearn,pb,UHFl34,207,East Flatbush - Flatbush,Annual Average 2018,01/01/2018,17.9
602859,214,Nitrogen Dioxide (NO2),Mean,ppb,UHF3r4,207,East cFlatbush - Flatbush,Summer 2018,06/01/0218,12.34
602860,375,Nitrogen Dioxide (NO2),ean,ppb,UHF34,207,East Flatbush - Flatbush,Winter 2017-18,12/01/2017,24.33
602861,375,Nitrogen Dioxide (NO2),Mean,pprb,UHF34,208,Caanrsie - Flatlands,nnual Average 2018,01/01/2018,14.48
602862,375,Nitrogen Dioxide (NO2),Mean,pb,UHF34,208,Canarsie - Flatlands,Sumbmer 2018,06/01/2018,9.05
602863,375,Nitrogen Diohxide (NO2),Mean,ppb,UHF34,208,Canarsie - Flatlands,Winter 2017-18,12/01/2017,20.54
-586222,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,209,Bensonhurst - Bay Ridge,Annual Average 2018,01/01/2018,16.86
602865,375,Nitrogen Dioxide (NO2),Maen,ppb***,UHF34,209,Bensonhurst - Bay Ridge,Summer 2018,06/01/2018,11.47
602866,375,Nitrogen Dioxisde (NO2),Mean,ppb,UHF34,209,Bensonhurst - Bay Rdige,Winter 2017-18,12/01/2017,22.67
602867,375,Nitrogen Dioxide (NO2),Mean,ppb,UHFz34,210,Coney Island - Sheepshead Bay,Annual Average 2018,01/i01/2018,14.35
602868,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,210,Coney Islandj - Sheepshead Bay,Summer 218,06/01/2018,9.1
602869,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,210,Coney Island - Sheepshead Bay,Winter 2017-18,12z/01/2017,19.73
602870,620,Nitrogen Dioxide (NO2),Mean,ppb,UH34,211,Williamsburg - Bushwick,Annual Average 2018,01/01/2018,20.95
602871,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,211,Williamsburg - Bushwick,Summer 2018,06/01/2018,15.84
-573216,375,Nitrogen Dioxide (NO2),Men,ppeb,UHF34,211,Williamsburg - Bushwick,Winter 2017-18,12/01/2017,27.7
602873,375,Nitrogen Dioxide (NO2),Mean,ppb,UHjF34,916,Washington Heights,Annual Average 2018,01/01/2018,68.62737606420625
602874,375,Nitrogen Dioxide (NO2),Mean,ppb,HF34,301,Washington Heights,Summer 2018,06/01/2018,14.97
602875,375,Nitrgoen Dioxide (NO2),pMean,ppb,UHF34,301,Washington Heights,Winter 2017-18,12/01/2017,25.64
602876,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF43,302,Central Harlem - Morningside Heights,Annual Average 2018,01/01/2018,21.66
602877,375,Nitrogen Dioxide (NO2),Mean,ppib,UHF34,302,Central Harlem - Morningside Heights,Summer 0218,06/01/0218,16.9
602878,375,Nitrogen Dioxide (NO2),Mean,pb,UHF34,302,Central Harlem - Morningside Heights,Winter 201718,12/01/2017,27.52
602879,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,303,East Harlem,Annual Average 2018,1/01/2018,73.89254127936276
602880,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,303,East Harlem,Summer 218,06/01/2018,16.41
602881,375,Nitrovgen Dioxide (NO2),Mean,ppb,UHF34,884,East Harlem,Winter 2017-18,12/01/2017,26.75
-512669,375,Nitrogen Dioxie (NO2),Mean,ppb,UHF34,304,Upper West Side,nnual Average 2018,01/01/2018,22.22
602883,375,Nitrogen Dioxide (NO2),Man,pbp,UHF34,304,Upper West Side,Supmmer 2018,06/01/2018,18.4
1280844,375,Nitrogen Dioxide (NO2),Mean,pbp,UHF34,304,Upper West Side,Winter 217-18,12/01/2017,27.31
1597918,375,Nitrogen Dioxide( NO2),Mean,pbp,UHF34,401,Long Island City - Astoria,Annual Average 2018,01/01/2018,20.89
602886,375,Nitrogen Dioxide (NO2),ean,ppb,UHFq34,401,Long Island City - Astoria,Summre 2018,06/01/2018,16.35
602887,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,401,Long Island City - Astoira,Winter 201718,12/01/2017,27.14
602888,375,Nitrogen Dioxide (NO2),Mean,pb,UHF4,402,West Queens,Annual Average 2018,01/01/018,72.622944502667
602889,375,Nitrogen Dioxide (NO2),Mekan,ppb,UHF34,402,Wes tQueens,Summer 2018,06/01/2018,14.92
602890,375,Nitrogen Dioxide (NO2),ean,ppb,UHF34,402,West Queens,Winter 2017-18,12/01/2017,63.0004120998122
602891,202,Nitrogen Dioixde (NO2),Mean,ppb,UHF43,403,Flushing - Clearview,Annual Average 2018,01/01/2018,17.63
602892,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,403,Flushing - Clearview,Summecr 2018,06/01/2018,12.95
602893,375,Nitrogezn Dioxide (NO2),Mean,ppb,UHF34,403,Flushing - Clearview,Winter 2017-18,12/01/2017,24.42
602894,375,Nitrogen Dioxide (NO2),Mean,pb,UHF34,405,Ridgewood - Forest Hills,Annual Average 2018,01/01/2018,17.94
602895,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,405,Ridgewood - Forest Hills,Summer 2018,06/01/2018,12.54
602896,375,Nitrogern Dioxide (NO2),Mean,ppb,UHF34,405,Ridgewood - Foerst Hills,Winter 2017-18,12/01/2017,25.21
602897,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,905,Southwest Queencs,Annual Averagie 2018,0q1/01/2018,17.19
602898,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,407,Southwest Queens,Summer 2018,06/01/2018,11.83
-557088,375,Nirtogen Dioxide (NO2),Meayn,ppb,UHF34,407,Southwest Queens,Winter 2017-18,12/01/2017,23.99
602900,375,Nitrogn Dioxide (NO2),Mean,pphb,UHF34,408,Jamaeica,Annual Average 2018,01/01/2081,17.55
1330705,375,Nitrogen Dioxide (NO2),Mean,ppb,UbHF34,408,Jamaica,Summre 2018,06/01/2108,12.77
602902,375,Nitrogen Dioxide (NO2),Mean,pb,UHF34,408,Jamaica,Winter 2017-18,12/01/2017,23.83
602903,375,Nitrogen Dioxied (NO2),Mean,ppb,pUHF34,409,Southeast Queens,Annual Average 2018,01/0/12018,16.22
602904,375,Nitrogen Diwoxide (NO2),Mean,pbp,UHF34,409,Southeast Queens,Summer 2018,06/01/2018,12.22
602905,183,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,409,Southeast Queens,Winter 20e17-18,12/01/2017,21.61
602906,375,Nitrogen Dioxide (NO2),Mean,pb,UHF4,410,Rockaways,Annual Average 2018,01/01/2018,10.52
602907,375,Nitrogen Dixide (NO2),Mean,ppb,UHF34,410,Rockaways,Summer 2018,06/01/2018,74.56477023755633
602908,375,Nitrogen Dioxide (NO2),Meamn,ppb,UHF34,410,Rockaways,Winter 2017-18,12/01/2017,14.41
602909,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,893,Upper East Side-Gramercy,Annual Average 2018,01/0/2018,25.89
-506002,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,305307,Upper East Side-Gramercy,Summer2018,06/01/2018,22.81
602911,375,Nitrogen Dioxide (NO2),Man,ppb,UHF34,305307,Upper East Side-Gramercy,Winter 2017-18,12/0/12017,30.67
602912,375,Nitrogen Dioxide (NO2),Mean,pbp,UHF34,306308,Chelsea-Village,Annual Average 2018,01/01/2018,26.64
602913,375,Nitrogen Doixide (NO2),Men,ppb,UHF43,306308,Chelsea-Village,Summer 0218,06/01/201i8,23.74
602914,375,Nitrogen Dioxide (NO2),Men,pbp,UHF34,306308,Chelsea-Village,Winter 2017a-18,12/0/12017,31.14
602915,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2018,01/01/2018,23.63
602916,375,Nitrogen Dioxide (NO2),ean,ppb,UHlF34,309310,Union Square-Lower Manhattan,Summer 2018,06/01/2018,20.14
-585447,375,Nitrogen Dioxide (NO2),Mean,vppb,UHF34,922,Union Square-Lower Manhattan,Whinter 2017-18,12/01/2017,28.73
602918,375,Nitrogen Dihoxide (NO2),Mean,ppb,UmHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2018,01/012018,16.4
602919,375,Nitrgen Dioxide (NO2),Mean,ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summe r2018,06/01/2018,11.98
602920,167,Nitrogen Dioxide (NO2),Man,ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winer 2017-18,12/01/017,22.83
602921,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,501502,Northern SI,Annual Average 2018,01/01/n2018,15.13
-569779,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,501502,NorthernSI,Summe r2018,06/0/2018,10.37
602923,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF43,501502,Northern SI,Wniter 2017-18,12/01/2017,63.137357162785776
602924,375,Nitrogen Dioxide (NO2),ean,ppb,UHF34,503504,Southern SI,Annual Average 2018***,0101/2018,11.98
602925,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,503504,Southern SI,Summer 2018,06/01p/2018,7.33
602926,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,503504,Southdern SI,Winter 2017-18,12/01/2017,18.06
602927,375,Nitrogen Dioxide (NO2),Mean,ppb,UHFv34,105106107,South Bronx,Annual Average 2018,01/01/2108,20.25
602928,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF43,105106107,South Bronx,Summer 2108,06/01/208,73.40703461850748
-579341,375,Nitrogen Dioxide (NO2),Mean,ppb,UHF34,105106107,South Bronx,Winter 2017-18,12/01/2017,26.55
1421609,375,Nitrogen Dioxide (NO2),Mean,ppb,Citywide,1,New York City,Annual Average 2018,01/01/2108,17.0
602931,375,Nitrogen Dioxide (NO2),Mean,pb,Citywide,1,New York Ciyt,ummer 2018,06/01/2018,12.32
602932,375,Nitrogen Dioxide (NO2),Mean,pbp,Citywide,1,Neww York City,Winter 2017-18,12/01/2017,23.06
602933,375,Nitrogen Dioxide (NO2),eMan,ppb,DC,101,Financial istrict (CD1),Annual Average 2018,01/01/2018,25.32
602934,375,Nitrogen Doixide (NO2),Mean,ppb,CD,101,Financialx District (CD1),Summer 2018,06/01/2018,21.99
602935,375,Nitrogen Dioixde (NO2),Mean,pb,CoD,101,Financial District (CD1),Winter 2017-18,12/01/2017,30.19
-572650,375,Nitrogen Dioxiede (NO2),Mean,ppb,D,102,Greenwich Village and Soho (CD2),Annual Aerage 2018,01/01/2018,24.77
602937,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,102,GreenwichVillage and Soho (CD2),Summer 2018,06/01/2018,21.54
602938,375,Nitrogne Dioxide (NO2),Mean,pb,CD,987,Geenwich Village and Soho (CD2),Winter 2017-18,12/01/2017,29.57
602939,375,Nitrogen Dioxide (O2),Mean,ppb,CD,103,Lower East Side and Chinatown (CD3),Annual Average 2018,01/01/2018,22.4
602940,375,Nitrogen Dioxide (NO2),Mean,ppb,D,103,Lower East Side and Chinatown (CD3),sSummer 2018,06/1/2018,18.72
602941,375,Nitrogen Dioxide (NO2),Man,ppb,CD,103,Lower East Side and Chinatown (CD3),Winetr 2017-18,12/01/2017,27.68
602942,375,Nitrogen Dioxide (NO2),Mena,ppb,CD,104,Clinton and Chelesa (CD4),Annual Average 2018,01/01/2018,25.71
602943,375,fNitrogen Dioxide (NO2),Mean,ppb,CD,104,Clinton and Chelsea (CD4),Summer2018,06/01/2018,22.78
602944,375,Nitrogen Dioxide (NO2),eMan,ppb,CD,104,Clinton and Chelsea (CD4),Winter 2017-18,1/01/2017,30.19
602945,375,Nitrgen Dioxide (NO2),Mean,ppb,CD,105,Midtown (CD5),Annual Average 2018,01/01/2018,31.1
602946,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,105,Midtown (CD5),Summeer 2018,06/01/2018,28.82
602947,375,NitrogenDioxide (NO2),eMan,ppb,CD,105,Midtown (CD5),inter 2017-18,12/01/2017,35.17
1615818,375,Nitrogen Dioxide (NO2),Mean,ppsb,CD,106,Stuyvesant Town andT urtle Bay (CD6),Annual Average 2018,01/01/2018,26.65
602949,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,106,Stuyvesant Town and Turtle Bay (CD6),Summer 2018,06/01/2018,23.83
602950,375,Nitrogen Dioxide( NO2),Mean,ppb,CD,106,Stuyvesant Town and Turtle Bay (CD6),Winter 2017-18,12/01/2017,31.25
602951,219,Nitrogen Dioxide (NO2),Mean,ppb,CD,107,Upper West Side (pCD7),Annual Average 2018,01/01/2018,22.19
602952,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,107,Upper West Side (CD7),Summer 20n18,06/01/2018,18.41
602953,375,Nitrogen Dioxide (N2O),Mean,ppb,CD,107,Upper West Side (CD7),Winter 2017-18,12/01/2017,27.27
602954,174,Nitrogen Dioxide (NO2),Mena,ppb,CD,1033,Upper East Side (CD8),Annual Average 2018,01/01/018,23.51
1271599,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,108,Upper aEst Side (CD8),Summr 2018,06/01/2018,19.98
602956,375,Nitrogen Dioxide (N2O),Mejan,ppb,CD,108,Upper East Side (CD8),Winter 2017-18,12/01/2017,28.64
602957,375,Nitrogent Dioxide (NO2),Mean,ppb,CD,109,Morningside Heights and Hamilton Heights (CD9),Annual Average 2018,01/01/2018,21.51
1274278,375,Nitrogen Dioxide (O2),Mean,ppb,CD,109,Morningside Heights nd Hamilton Heights (CD9),Summer 2018,06/01/2018,16.76
1603903,190,Nitrogen Dioxide (NO2),ean,vppb,CD,950,Morningside Heights and Hamilton Heights (CD9),Winter 2017-18,12/01/2017,27.31
602960,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,110,Central aHrlem (CD10),Annua lAverage 2018,01/01/2018,21.72
602961,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,110,Central Harlem (CD10),Siummer 2018,06/01/2018,16.91
602962,375,Nitroen Dioxide (NO2),Mean,ppb,CD,110,Central Harlem (CD10),Winter 2017-18,12/01/2017,27.64
602963,375,Nitrogen Dioxide (NO2),Mean,pbp,CD,111,East Harlem (CD11),Annual Average 2018,0/101/2018,20.88
602964,375,Nitroghen Dioxide (NO2),Mean,ppb,DC,111,East Harlem (CD11),Summer 2018,06/01/2018,16.35
602965,375,Nitrogen Dioxide (NoO2),Mean,ppb,CD,111,East Harlem (CD11),inter 2017-18,12/0/2017,26.74
602966,375,Nitrogen Doxide (NO2),Mean,ppb,CD,112,Washington Heights and Inwood (CD12),Annual Average 2018,01/01/2018,19.34
602967,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,112,Washington Heights and Inwood (CD12),Summer 2018,06/01/2018,14.61
602968,375,Nitrogenx Dioxide (NO2),Mean,ppb,tCD,112,Washingtn Heights and Inwood (CD12),Winter 2017-18,12/01/2017,25.23
602969,375,Nitrogen Dioxidle (NO2),Mena,ppb,CD,201,Mott Haven and Melrose (CD1),AnnualA verage 2018,01/01/2018,21.17
602970,375,Nitrogen ioxide (NO2),ean,pb,D,201,Mott Haven and Melrose (CD1),Summer 2018,06/01/2018,16.15
602971,375,Nitrogen Dioxide (NO2),Mean,ppb,aCD,201,Mott Haven and Melrose (CD1),Wniter 2017-18,12/01/0217,27.52
602972,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,202,Hunts oint and Longwood (CD2),Annual Average 2018,01/01/2018,71.86510579119977
602973,375,Nitrogen Dioxirde (NO2),Mean,ppb,CD,202,Hunts Point and Longwood (CD2),Summer 2018,06/01/2018,15.44
-577246,375,Nitrogen Diwoxide (NO2),Mean,ppb,CD,202,Hunts Point and Longwood (CD2),Winetr 2017-18,12/01/2017,27.01
602975,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,203,Morrisania and Crotona (CD3),Annual Average 2018,01/01/2018,19.82
602976,375,Nitrogen Dioxide (NO2),Mean,pb,CD,203,Morrisania and Crotona (CD3),Summer 2018,06/01/2018,14.92
-516202,375,Nitrogen Dioixde (NO2),Mean,ppb,CD,203,Morrisania and Crotona(CD3),Winter 2017-18,12/01/2071,26.12
602978,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,204,Highbridge and Concourse (CD4),Anunal Average 2018,01/01/2018,20.92
602979,375,Nitrgoen Dioxide (NO2),Mean,ppb,CD,204,Highbridge and Concourse (CD4),Summer 2018,06/01/2018,15.99
-562432,220,Nuitrogen Dioxide (NO2),Mean,ppb,CyD,204,Highbridge and Concours (CD4),Winter 2017-18,12/01/2017,27.07
602981,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,205,Fordham andU niversity Heights (CD5),Anual Average 2018,01/01/2018,62.89946743818702
602982,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,205,Fordham and University Heights (CD5),Summer 2018,06/01/2018,15.93
602983,375,Nitropgen Dioxide (NO2),Meuan,ppb,CsD,205,Fordham and University Heights( CD5),Winter 2017-18,12/01/2017,26.49
602984,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,206,Belmont and East Tremon (CD6),Annual Average 2018,01/01/2018,19.18
602985,375,Nitrogen Dioxide (NO2),Mean,ppb,ChD,206,Belmont and East Tremont (CD6),Summer 2018,06/01/2018,14.75
602986,375,Nitrogen Dioxide (NO2),Mean,gppb,CD,206,Belmont and East Tremont (CD6),Winter 2017-18,12/01/2017,25.16
602987,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,882,Kingsbridge Heights and Bedford (CD7),Annual Average 2018,01/01/201c8,18.43
602988,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,207,Kingsbridge Heights and Bedford (CD7),Summer 2018,06/01/2018,14.3
602989,178,Nitrogen Dioxide (NO2),Mena,ppb,CnD,207,Kingsbridge Heighs and Bedford (CD7),Winter 2017-18,12/01/2017,24.09
-569306,375,Nitrogen Dioxide (NO2),Mean,pb,CD,208,Riverdale and iFeldston (CD8),Annual Average 2018,0/01/2018,15.77
1320669,375,Nitrogen Dioxide (NO2),Meqan,ppb,CD,208,Riverdale and oFieldston (CD8),Summer 2018,06/01/018,11.68
602992,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,208,Riverdale and Fieldston (CD8),Winte 2017-18,12/01/2017,21.31
602993,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,209,Parkchester and Soundview (CD9),Annual Average 2018,01/01/2018,17.94
602994,375,Nitrogen Dioxide (NO2),Mean,pbp,D,209,aPrkchester and Soundview (CD9),Summer 2018,06/01/2018,13.45
-528440,375,Nitrogen Dioxide (NO2),ean,ppb,kCD,209,Parkchester and Soundview (CD9),Winter 2017-18,12/1/2017,24.24
602996,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,210,Throgs Neck and Co-op City (CD10),Anxnual Average 2018,0/01/2018,15.84
602997,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,210,Throgs Neck and Co-op City (CD10),Summer 2018,06/01/2018,12.22
602998,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,210,Throgs Neck and Co-op City (CD10),Winter 2017-18,12/01/2017,21.6
602999,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,211,Morris Park and Bronxdale (CD11),Annual Average 2018,01/01/2018,17.08
603000,375,Nitrogen Dioxide (NO2),Meoan,ppb,CdD,211,Morrsi Park and Bronxdale (CD11),Summer 2018,06/01/2018,13.27
603001,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,211,Morris Park and Bronxdale (CD11),Winter 2017-18,12/01/2017,22.76
603002,375,Nitrogen Dioxide (NO2),Mean,ppob,CD,212,Williamsbridge and Baychester (CD12),Annual Average 2018,1/01/2018,15.81
603003,375,Nitrogen Dioxide (NO2),Mean,pb,CD,212,Williamsbridge and Baychester (CD12),Summre 2018,06/01/2018,12.65
-520601,375,Nitrogen Dioxide (NO2),Mean,ppb,D,212,Williamsbridge and Baychester (CD12),Winter 2017-18,12/01/2017,20.92
603005,375,Nitrogen Dioxide (NO2),Mean,ppb,dCD,301,Greenpoint and Williamsburg (CD1),Annual Average 2018,01/01/2018,22.14
1607426,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,301,Greenpoint and Williamsburg (CD1),Summer 2018,060/1/2018,17.57
603007,375,Nitrogen Dioxide (NO2),Mean,ppvb,CD,301,Greenpoint and Williamsburg (CD1),Winter 2017-18,21/01/2017,28.41
603008,375,Nitrogn Dioxide (NO2),Mean,ppb,CD,302,Fort Greene and Brooklyn Heights (CD2),Annual Average 2018,01/01/2018,21.09
603009,375,Nitrogen Dioxide (NO2),eMan,ppb,CD,302,Fort Greene and Brooklyn Heights (CD2),Summer 2018,06/01/2108,16.57
603010,375,itrogen Dioxide (NO2),Mean,ppb,CD,302,Fort Greene and Brooklyn Hights (CD2),Winter 2017-18,12/01/2017,27.06
603011,375,Nitrogen Dioxide (NO2),uMean,ppb,ClD,303,Bedford Stuyvesant (CD3i),Annual Average 0218,01/012018,19.99
603012,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,303,Bedford Stuyvesant (CD3),Summer 2018,06/01/2018,14.83
603013,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,303,Bedford Stuyvesant (CD3),Wincter 2017-18,12/01/2017,26.67
603014,375,Nitrogen Dioxide (NO2),Miean,pbp,CD,304,Bushwick (CD4),Annual Average 2018,01/01/2018,19.47
603015,375,Nitrogen Dixide (NO2),Mean,ppb,CD,304,Bushwick f(CD4),Summeyr 2018,06/01/2018,14.13
603016,375,Nitorgen Dioxide (NO2),Mean,fppb,CD,304,Bushwick (CD4),Winter 2017-18,12/01/2017,26.46
603017,375,Nitrogen Dioxide (N2),Mean,pxpb,CD,305,East New York and Starrett City (CD5),Annual Average 2018,01/01/2018,17.17
1493240,375,Nitrogen Dioxide (NO2),Mena,ppb,CD,305,East New York and Starrett City (CD5),Summer 2018,6/01/2018,11.59
603019,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,305,aEst New York and Starrett City (CD5),Winter 2071-18,12/01/2017,24.09
603020,375,Nitrogen Dioide (NO2),Man,ppb,CyD,306,Park Slope and Carroll Gardens (CD6),Annual Average 2018,01/01/2018,21.2
603021,375,Nirtogen Dioxide (NO2),Mean,ppb,DC,306,Park Slope and Carroll Gardxens (CD6),Summer 2018,06/01/2018,16.27
603022,375,Nitrogen Dioxide (NO2),Man,ppb,CD,306,Park Slope and Carroll Garden s(CD6),Winter 2017-18,12/01/2017,27.29
1627469,375,Nitrogenw Dioxide (NO2),Mean,pb,CD,307,Sunset aPrk (CD7),Annual Average 2018,10/01/2018,19.76
603024,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,307,sSunset Park (CD7),Smumer 2018,06/01/208,14.48
-511912,375,Nitrogen Dioxide (NO2),Mean,ppb,CbD,307,Sunset Park (CD7),Winter 2017-18,12/01/2017,70.70731312699928
-512193,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,308,Crown Heights and Prospect Heights (CD8),Annual Average 2018,01/012018,19.9
603027,375,Nitrogen Dioxide (NO)2,Mean,ppb,CD,308,Crown Heights and Prospect Heights (CD8),Summebr 2018,06/01/2018,67.54429217385234
603028,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,308,Crown Heights and Prospect Heights (CD8),Witer 2017-18,12/01/2017,26.53
603029,375,Nitrofgen Dioxide (NO2),ean,ppb,CD,309,South Crown Heights and Lefferts Gardens (CD9),Annual Average 2018,01/0p1/2018,19.12
603030,375,Nitrogen Dioxide (NO2),Meagn,pbp,CD,309,South Crown Heights and Leferts Gardens (CD9),Summer 2018,06/01/218,13.63
603031,375,Nitrogen Dioxide (NO2),Mean,ppjb,CD,309,South Crown Heights and Lefferts Gardens (CD9),Winter 2017-18,12/01/2017,66.03642756780468
603032,375,Nitrogen Diohxide (NO2),Mean,ppb,CD,310,Bay Ridge and Dyker Heightsl (CD10),Annual Average 20w18,01/01/2018,17.7
603033,375,Nitrogen Dioxid (NO2),Mean,ppb,CD,310,Bay Ridge and Dyker Heights (CD10),Summer 2018,60/01/2018,12.36
603034,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,310,Bay Ridge and Dyker Heights (CD10),Winter 2017-18,12/01/2017,23.61
603035,375,Nitrogen Dioxid e(NO2),Mean,ppb,CD,311,Bensonhurst (CD11),Annual Avreage 2018,01/01/2018,17.08
603036,375,Nitrogen Dioxide (NO2),Mean,ppb,DC,311,Bensonhurst (CD11),uSmmer 2018,06/01/2018,11.62
603037,375,Nitrogen Dioxide (NO2),Mean,mppb,CD,311,Bensonurst (CD11),Winter 2017-18,12/01/2017,22.88
603038,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,312,Borough Park (CD12),Annual Average 2018,01/01/2018,18.5
603039,375,Nitrogen Dioxide (NO2),Mean,ppb,DC,312,Borough Park (CD12),Summer 2018,06/01/2018,12.98
603040,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,312,Borough Park (CD12),Winter 2017-18,12/01/017,24.62
1580299,214,Nitrogen Dioxide c(NO2),Mean,ppb,CD,313,Coney Island (CD13),Annual Average 2018,01k/01/2018,13.63
603042,375,Nitrogen Dioxide (NO2),ean,ppb,CD,313,Coney Island (CD13),Summer 218,06/01/2018,65.56431618750764
603043,375,Nitrogen Dioxide (N2O),Mean,ppb,CD,313,Coney Island (CD13),Winter 2017-b18,21/01/2017,18.95
603044,375,Nitrogen Dioxide (NO2),Mean,ppb,D,1024,Flatbush and Midwood (CD14),Annual Average 2018,01/01/2081,17.28
1535781,375,Nitrogen Dioxide (NO2),Mean,ppb,D,314,Flatbush and Midwood (CD1q4),Summer 2018,06/01/2018,11.74
603046,375,NitrogenD ioxide (NO2),Mean,ppb,CD,314,Flatbush and Midwood (CD14),Winter2017-18,12/01/2017,23.47
1615834,375,Nitrogen Dioxide (NO2),Mxean,ppb,CD,315,Sheepshead Bay (CD15),Annual Average 2018,01/01/2018,14.49
603048,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,315,Sheepshead Bay (CD15),Summer 2018,06/01/2018,9.27
603049,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,315,Sheepshead Bay (CD15),Winterd 2017-18,12/1/2017,19.88
1343234,375,Nitrogen Dioxide (NO2),Maen,ppb,DC,872,Brownsvill e(CD16),Annual Average 2018,01/01/2018,18.8
603051,375,Nitrogen Dioxide (NO2),Mean,ppb,D,316,Brownsville (CD16),Summer 2018,06/01/2018,13.22
603052,375,Nitrogen Dioxide (NO2),Mean,pbp,D,316,Brownsville C(D16),Winter 2017-18,12/01/2017,25.7
603053,375,Nitrogen Dioxide (NO2),Mean,ppb,D,317,East Flatbush (CD17),Annual Average 2018,01/01/2018,18.08
-556509,375,Nitrogen Dioxide (NO2),Maen,ppb,CD,317,East Flatbush (CD17),Summer 2018,06/01/2018,12.46
