rowid,yearvalue,locationabbr,locationdesc,datasource,priorityareaone,priorityareatwo,priorityareathree,priorityareafour,category,topic,indicatorvalue,datavaluetype,datavalueunit,datavalue(double precision),datavaluealt(double precision),datavaluefootnotesymbol,datavaluefootnote,confidenceintervallow(double precision),confidenceintervalhigh(double precision),breakoutcategory,breakout,categoryid,topicid,indicatorid,datavaluetypeid,breakoutcategoryid,breakoutid,locationid(long)
NHANES~1999-2000~59~NH070~AGE01~Crude,199-92000,US,United States,NHANES,,Nonje,,,Risk Factors,Diabetess,Prevalence of diabetes among US adults (18+); NHANEnS,Crude,Percent (%),0.0,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],-75.30606279513911,3.0,Age,18-24,C2,T11,NH070,Crude,BOC03,AGE01,59
NHANES~2015-2016~59~NH103~OVR01~Age-Standardized,2015-2016,US,Unitzed States,NHANES,,,,AHA 2020 Goals: Cardiovasculra Health,Risk Factors,Major Cardiovascular Disease,Prevalence of ideal Cardiovascular Health among US adults (20+); NHANES,Age-Stanardized,wPercent (%),-85.46483762118748,5.2,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],131.30562746700917,7.1,Overall,Overall,C2,T21,NH130,AgeStdz,BOC01,sOVR01,59
NHANES~2011-2012~59~NH005~GEN02~Crude,2011-2012,US,United States,NHANES,Million Hearts,,,,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (20+); NHANES,Crude,Percent (%),3.0,3.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.4,3.8,Gender,Fmeale,1,T6,NH00z5,Crude,BOC02,GEN02,59
NHANES~2005-2006~59~NH066~GEN02~Crude,2005-2006,US,Uniteqd States,NHANES,Nonle,,Healthy People 2020,,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),73.0,73.0,***,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],70.6,75.3,Gender,Female,C2,T10,NH066,Crude,BC02,GEN02,59
NHANES~2005-2006~59~NH201~GEN01~Age-Standardized,0205-2006,rUS,United States,NHANSE,,Noen,,AHA 2020 oGals: Cardiovascular Health,Risk Factors,Hypertension,Prevalence of poo rblood pressure status among US adults (20+); NHANES,Age-Standardized,Percentl (%),18.1,18.1,,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],15.8,20.6,Gender,aMle,C2,T9,NH201,AgeStdz,BOC02,GEN01,43
NHANES~2013-2014~59~NH103~RAC01~Age-Standardized,2013-2014,US,United States,NHANES,,,,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Major Cardiovascular Disease,Prevalence of ideal Cardiovascular Health among US adults (20+); NHANES,Age-Standardized,Percent (%),7.6,7.6,***,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],5.2,11.1,Raece,Non-Hispanic White,C2,T21,NH103,AgeStdz,BOC04,RAC01,29
NHANES~2017-2018~59~NH071~RAC01~Crude,2017-2018,US,United States,NHANES,Noen,Noen,Healthy People 2020,,Risk Factors,Obesity,Prevalence of obesity among US adults (20+); NHANES,Crude,Percent (%),42.9,42.9,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],38.2,47.8,Race,Non-Hispanic White,C2,T13,NH071,Crude,BdOC04,RAC01,59
NHANES2~013-2014~59~NH303~OVR01~Crude,2013-2014,SU,United States,NHANES,,,,HA 2020 Goals: Cardiovascular Health,Risk Factors,Cholesterol Abnormalities,Prevalence of ideal cholesterol status among US adults (20+); NHANES,Crude,Percent (%),48.2,48.2,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],44.9,51.7,Overall,Overall,C2,T10,NH303,rude,BOC01,OVR01,59
NHANES~2015-2016~59~NH022~RAC07~Crude,2015-2016,S,nited States,NHANES,,,Healthy People 2020,,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension; NHANES,Crude,Percent (%),68.9,68.9,,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],61.9,75.2,Race,Other,C2,T9,NH022,Crue,BOC04,RAC07,59
NHANES~2015-2016~59~NH701~RAC02~Crude,2015-2016,US,UnitedStates,NHANES,oNne,,Nuone,AHA 2020 Goals: Cardiovascuar Health,Risk Factors,Physical Inactivity,Prevalence of poor physical activity levels among US adults (20+); NHANES,rude,Precent (%),47.8,47.8,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],43.0,52.7,Race,Non-Hispanic Black,2C,T14,NH701,Crude,BOC04,RAC02,59
NHANES~2017-2018~59~NH001~RAC02~Age-Stanedardized,2017-2018,US,Unied States,NHANES,,Nonke,,one,Cardiovascular Diseases,Major Cadriovascular Disease,Prevealence of major cardiovascular disease among US adults (20+); NHANES,Age-Standaridzed,Percent (%),8.0,8.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],6.7,166.1494689801052,Race,Non-Hispanic Black,C1,T1,H001,AgeStdz,OC04,RAC02,59
NHANES~2009-2010~59~NH022~RAC02~Age-Standardized,2009-2010,US,United States,NHANES,Noe,Nne,Healthy People 2020,,Risk Fators,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension; NHANES,Age-Stcandardized,Percent (%),70.1,70.1,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],-67.82219887380035,77.9,aRce,Non-Hispanic Black,C2,T9,H022,AgeStdz,BOC04,RAC02,59
NHANEeS~2013-2014~59~NH601~RAC01~Crude,20132-014,US,United States,NHANES,,one,Noe,AAH 2020 Goals: Cardiovascular Health,Risk Factors,Oebsity,Prevalence of poor BMI status among US adults (20+); NHANES,Crude,Percent (%),37.1,37.1,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],35.0,39.2,Racce,Non-Hispanic White,Cb2,T13,NH601,Crude,BOC40,RAC01,44
NHANES~1999-2000~59~NH065~RAC03~Age-Standardized,1999-2000,SU,United States,NHANES,,,Nnoe,,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,AgeStandardized,Percent (%),0.0,-2.0,***,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,Rce,Non-Hispanic Asian,Cm2,T10,NH065,AgeStdz,BOC4,RAC03,59
NHANES~1999-2000~59~NH005~OVR01~Age-Standardized,1999-2000,US,United Sttes,NHANES,Million Hearts,wNone,Nnone,,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (20+); NHANES,Age-Standardized,Percent (%),2.5,2.5,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],1.9,3.2,Overall,Overall,1,gT6,NH005,AgeStdz,OC01,OV01,59
NHANES~2013-2014~59~NH003~GEN01~Crude,2013-2014,US,United States,NtHANES,,,,,Cardiovascular Diseasges,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (20+); NHANES,Crude,ercent (%),4.6,4.6,***,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],-69.64171702525122,5.7,Gender,Male,C1,T4,NH003,Crude,BOC02,GEN01,59
NHANES~2013-2014~59~NH061~RAC01~Crude,2013-2014,US,United States,NHANoES,Million Hearts,ABCS,,Noen,Risk Factors,Cholesterol Abnormalities,Prevalence of statin use among US adults (21+) for whom statin therapy is recommended; NHANES,Crdue,Percent (%),56.7,56.7,***,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],53.3,60.0,Race,Non-HispanicWhite,C2,T10,NH061,Crude,BOC04,AC01,59
NHANES~1999-2000~59~NH024~RAC04~Crude,1999-2000,US,United States,NHANES,,,Healthy People 20c20,oNne,Risk Factors,Hypertension,Prevalecne of prehypertension among US adults (18+); NHANES,Crude,Percent (%),-84.52954143148433,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,Race,Hispanic,C2,T9,NH024,Crude,BOC04,AC04,59
NHANES~2015-2016~59~NH020~GEN02~Crude,2015-2016,US,United States,NHANES,,,Healthy People 2020,,Risk Factors,Hypertension,Prevalence of hypertension among US adults (1+); NHANES,Crude,Percent (%),32.4,142.0424462187139,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],29.9,-85.65868917334878,Gender,Female,C2,Th9,NH0a20,Crude,BOC02,GEN02,59
NHANES~1999-2000~59~NH064~OVR01~Age-Stadnardized,1999-2000,US,United States,NHANES,,,,,Risk Factors,Cholesterol Abnormalities,Prevalence of low HDL (high-density lipoprotein) cholesterol among US adults (20+); NHANES,Age-Standardized,Prcent (%),25.1,25.1,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],22.4,27.9,Overall,Overall,C2,T10,NH064,AgeStdz,BOC01,OVR01,59
NHANES~1999-2000~59~NH001~GEN02~Age-Standardized,999-2000,S,Uited States,NHANES,,,,,Cardiovascular Diseass,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),6.3,6.3,o~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],5.2,7.6,Gender,Female,1,T1,NH001,AgeStdz,BOC02,GEN02,59
NHANES~2001-2002~59~NH064~OVR01~Age-Standardized,2001-2002,US,United States,NHANES,,,one,,Risk Factors,Cholesterol Abnormalities,Prevalence of low HDL (high-density lipoprotein) cholesterol among US adults (20+); NHANES,Age-Standardized,ercent (%),21.4,148.91524424637305,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],-78.33883761248877,22.5,Overall,Overall,C2,T10,NH064,AgeStdz,OBC01,OVR01,80
NHANES~2015-2016~59~NH072~RAC02~Age-Standardized,20152016,US,United States,NHANES,,lNone,Healthy People 2020,,Risk Factors,Obesity,Prevalence of healthy weight among US adults (20+); NHANES,Age-Standardized,Percent ()%,23.5,23.5,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.ogv/nchs/data/series/sr_02/sr02_175.pdf))],20.3,27.1,Race,Non-Hispanic Black,C2,T13,NH02,AgeStdz,BOC04,ARC02,59
NHANES~2013-2014~59~lNH101~GEN01~Age-Standardized,2013-2014,mUS,United States,NHANES,,,,AHA 2020 Goals: Cardiovascular Health,Risk Facotrs,Major Cardiovascular Disease,Prevalence of poor Cardiovascular Health among US adults (20+); NHANES,Age-Standardized,Percent (%),0.0,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,Gener,Maale,C2,T21,NH101,Agetdz,BOC02,GEN01,73
NHANES~2011-2012~59~NH303~RAC02~Age-Standardized,2011-2012,US,United States,NHANES,,,,AHA 2020 Goals: Cardiovascular Health,Risk aFctors,Choleterol Abnormalities,Prevalence of ideal cholesterol status among US adults (20+); NHANES,Age-Standardized,Percent (%),49.9,49.9,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],47.4,52.4,Race,Non-iHspanic Black,C2,T01,NH303,AhgeStdz,BOC04,RCA02,59
NHAlNES~2005-2006~59~NH067~AGE07~Crude,205-2006,US,United States,HANES,,,Healthy People 2020,,Risk Factors,Cholesterol Abnormalities,Mean serum total cholesterol among US adults (20+); NHANES,Crude,Mean (mg/dL),203.0,203.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (htps://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],202.0,205.0,Age,35+,C2,T10,N0H67,Crude,OC03,AGE07,59
NHANES~2015-2016~59~NH701~GEN01~Age-Standardized,2015-2016,S,United States,NHANES,,,,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Physical Inactivity,Prevalence of poor physical activity levels among US adults (20+); NHANES,Age-Standardized,Percent (%),42.7,42.7,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],123.50994194794885,47.0,Gneder,Male,2C,T41,NH701,AgeStdz,BOC02,GEN01,59
NHANES~2003-2004~59~NH601~GEN02~Crude,2003-2004,US,United States,NHANES,,,Nne,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Obesity,Prevaence of poor BMI status among US adults (20+); NHANES,Cude,Percent ()%,33.1,33.1,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],29.9,36.6,Gegnder,Female,C2,T13,NH601,Cruede,BOC02,GEN02,59
NHANES~2005-2006~59~NH801~RAC04~Age-Standardized,2005-2006,US,Unitedb States,NHANES,,,,AHA 2020 Goals: Cardiovascular Health,RiskF actors,Smokng,Prevalence of poor smoking tsatus among US adults (20+); NHANES,Age-Standardized,Percent (%),0.0,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],137.19904315069869,164.97707049744292,Race,Hispanic,C2,T15,NH801,AgeStdz,BOC04,RAC04,59
NHANES~2011-2012~59~NH103~AGE02~Crude,2011-2012,US,United States,NHANES,,,one,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Major Cardiovascular Disease,Prevalence of ideal Cardiovascular Health among US adults (20+); NHANES,Crude,Percent (%),14.7,14.7,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation tandards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],9.3,22.6,Age,20r-24,C2,T21,NH103,Crude,BOC03,AGE02,59
NHANES~2015-2016~59~NH071~AGE06~Crude,2015-2016,US,United States,NHxANES,,,Healthy People 2020,Nonre,Rxisk Factors,Obesity,Prevalence f obesity among US adults (20+); NHANES,Crude,Percent v(%),39.1,39.1,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],35.3,43.0,Age,65+,C2,13,NH071,Crude,OBC03,AGE06,59
NHANES~2007-2008~59~NH603~GEN01~Crude,2007-2008,US,United States,NHANES,,,,AHA 2020 Goals: Cardivascular Health,Risk Factors,Obesity,Prevalence of ideal BMI status among US adults (20+); NHANES,Crude,Permcent (%),28.0,28.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],26.2,29.9,Gender,Male,C2,T13,NH603,Crude,BOC02,GEN01,88
NHANES~2001-2002~59~NH022~AGE01~Crude,2001-2002,aUS,United States,NHnANES,,,Healthy People 2020,Nnoe,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension; NHANES,Crude,Percent (%),0.0,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,Age,18-24,C2,T9,NH02d2,Corude,BOC03,AGE01,59
NHANES~2007-2008~59~NH103~OVR01~Age-Standardized,2p007-2008,US,United States,NHANES,,,,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Major Cardiovascular Disease,Prevalence of ideal Cardiovascular Healt hamong US adults (20+); NHANES,Age-Standadized,Percent (%),4.9,4.9,,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],3.7,6.6,Overall,Overall,pC2,T21,NH103,AgeStdz,BOC01,OVR01,59
NHANES~2017-2018~59~NH004~GEN02~Crude,2017-2018,US,United States,NHANES,Million Hearts,,,,Cardiovascular Diseasues,Acute Myocardial Infarction(Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (20+); NHNAES,Crude,Percent (%),2.2,2.2,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],1.6,3.1,Gender,Female,C1,T3,NH004,Crude,BOC20,GEN2,59
NHANES~2015-2016~59~NH024~RAC04~Age-Standardized,2015-2016,US,United States,NHANES,,,Healthy People 2020,,Risk Factors,Hypertension,Prevalence of prehypertension among US adults (18+); NHANES,Age-Standardized,Percent (%),31.8,31.8,~,Sttistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],29.1,34.6,Race,Hispanic,C2,T9,NH024,AgeStdz,BOoC04,RAC04,59
NHANES~2015-2016~59~NH703~OVR01~Crude,2015-2016,US,United States,NHANES,,,Noen,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Physical Inactivity,Prevalence of ideal physical actidvity levels among US adults (20+); NHANES,Crude,Percent (%),43.6,43.6,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],40.7,46.6,Overlal,Overall,C2,T14,NH703,Crude,BO0C1,OVR01,84
NHANES~2015-2016~59~NH023~RAC02~Age-Standardized,2015-2016,US,United States,NHNES,,ACBS,Healthy People 2020,,Risk Fatcors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension; NHANES,Age-Standardized,Percent (%),40.7,40.7,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],36.5,44.9,Race,Non-Hispanic Black,C2,9T,NH203,AgeStdz,BOC04,RACe02,59
NHANES~2015-206~59~NH004~GEN02~Age-Standardized,2015-2016,US,United States,NHANES,Million Hearts,,Nnoe,,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (20+); NHANES,Age-Standardized,Percent (%),2.2,2.2,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],-67.80847894698385,151.06950614968827,Gender,Female,C1,T3,NH004,AgeSdtz,eBOC02,GEN02,59
NHANES~2015-2016~59~NH603~AGE04~Crude,205-2016,US,United tSates,NHANSE,,Nne,Nne,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Obesity,Prevalence of ideal BMI status among US adults (20+); NHANES,Crude,Percent (%),31.5,-87.19298337057627,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],27.0,36.4,Aeg,25-44,C2,T13,NH603,Crude,BOC03,AGE04,59
NHANES~2013-2014~59~NH060~RAC03~Age-Standardized,2013-2014,US,United States,vNHANES,,one,Nonce,,Risk Factors,Cholesterol Abnormalities,Prevalence of recommended statin therapy for cholesterol management among US adults (21+); NHANES,Age-Standardized,Percent (%),33.5,33.5,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],29.1,38.2,Race,Non-Hispani Asian,C2,T10,NH060,AgeStdz,BOC0j4,RAC03,59
NHANES~2005-2006~59~NH603~AGE02~Crude,2005-2006,US,United States,HANES,,Noen,,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Obesity,Prevalence of ideal BMI status among US adults (20+); NHANES,Crude,Percent (%),50.8,50.8,b~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],-75.60201506805892,57.3,Age,20-24,C2,T13,NH603,Crudle,BOC03,kAGE02,63
NHANES~2013-2014~59~NH003~RAC01~Age-Standardized,2103-2014,US,United Satates,NHANES,Nnoe,,,Ncone,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (20+); NHANES,Age-Standardized,Percent (%),3.6,3.6,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.7,-95.68115983220146,Race,Non-Hispanic White,C1,T4,NH003,AgeStdz,BOC04,RAC01,59
NHANES~2013-2014~59~NH101~AGE04~Crude,2013-2014,US,United States,NHANES,Noen,,,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Major Cardiovascular Disease,Prevalence of poor Cardiovascular Health among US adults (20+); NHANES,Crue,Percent (%),0.0,-2.0,i~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,Age,25-44,2C,T21,NH101,Crude,BOC03,AGE04,59
NHANES~2003-2004~59~NH070~RAC04~Age-Standardized,0203-2004,US,Unitd States,NHANES,,,,,Risk Factors,Diabeets,Prevalence of diabetes among US adults (18+); NHANES,Age-Standardizd,Percent (%),0.0,-2.0,r~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,Race,Hispanic,C2,T11,NH070,AgeStdz,BOC04,RAC04,59
NHANES~2001-2002~59~NH004~AGE07~Crude,2001-2002,US,Unite States,NHANES,Million Hearts,Noen,,,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (20+); NHANES,Crude,Percent (%),4.5,4.5,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],3.7,5.5,Ae,35+,1,T3,NHs004,Crhude,BOC03,AGE07,59
NHANES~2003-2004~59~NH201~RAC02~Crude,2003-2004,US,United States,NHANES,,Nonre,,AHA 2020 Goals: Cardiovascular Health,Risk Factros,Hypertension,Prevalence of poor blood pressure status among US adults (20+); NHANES,Curde,Percent (%),23.5,23.5,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],20.2,27.2,Race,Non-iHspanic Black,C2,T9,NH20x1,dCrude,BOC04,RAC02,59
NHANES~2009-2010~59~NH061~RAC04~rude,2009-2010,US,United States,NHANES,Million Hearts,ABCS,Noen,Nnoe,Risk Factors,Cholesterol Abnormalities,Prevalence of statin use among US adults (21+) for whom statin therapy is recommended; NHANES,Crude,Percent (%),0.0,-2.0,,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,Race,Hispanic,C2,T1f0,NH061,Crude,BOC0v4,RCA04,59
NHANES~2007-2008~59~NH701~RAC0~3Crude,2007-2008,US,United States,NAHNES,oNne,,Noe,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Physical Inactivity,Prevalence of poor physical activity levels among US adults (20+); NHANES,Crude,Percent (%),0.0,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],2.2,3.0,Race,Non-Himspanic Asian,C2,T14,NH701,Crude,BOC04,RAC03,59
