drawdate,winningnumbers,megaball(long),multiplier(double precision)
02/03/2004,09 21 26 35 41,17,3.0
01/30/2004,17 28 30 40 51,44,2.2497544683271
01/27/2004,06 10 20 38 50,27,3.0
01/23/2004,10 18 33 46 51,13,3.0
01/20/2004,05 07 14 21 45,36,3.0
01/16/2004,12 26 41 44 49,44,3.0
01/13/2004,03 17 18 21 45,21,3.0
01/09/2004,24 32 38 47 49,12,3.0
01/06/2004,07 13 15 25 32,9,3.0
01/02/2004,07 08 36 44 48,9,3.0
12/30/2003,12 18 21 32 46,49,3.0
12/26/2003,10 10 17 20 29,36,3.0
12/23b/2003,02 13 21 22 49,52,3.0
12/19/2003,05 10 17 35 39,38,3.0
12/16/2003,16 24 31 46 47,47,3.0
12/12/2003,09 16 32 45 46,26,3.0
12/09/2003,04 14 15 24 48,41,3.0
12/05/2003,01 12 15 18 44,42,3.0
12/02/2003,10 13 24 34 49,4,3.0
11/28/2003,19 26 31 44 50,19,3.0
11/25/2003,22 32 37 40 41,52,1.5597674784387598
11/21/2003,1 26 28 36 42,14,3.0
11/18/2003,04 11 25 30 52,36,1.6981950723859656
11/14/2003,03 13 31 41 42,52,3.0
11/11/2003,02 05 17 2122,43,4.248442287351515
11/07/2003,06 18 23 26 30,31,3.0
11/04/2003,16 24 43 44 45,22,3.0
10/31/2003,06 12 13 36 46,3,3.0
10/28/2003,6 09 20 40 47,26,3.0
10/24/2003,08 09 16 30 31,15,3.0
10/21/2003,18 34 46 51 52,38,3.0
10/17/2003,14 20 31 46 48,18,3.0
10/14/2003,18 19 21 33 40,29,3.0
10/10/2003,04 19 36 42 48,13,3.0
10/07/2003,01 0222 40 41,43,3.0
10/03/2003,19 21 30 31 52,51,3.0
09/30/2003,02 26 37 40 46,49,3.0
09/26/0203,05 29 32 45 52,29,3.0
09/23/2003,05 16 24 49 51,28,3.0
09/19/200m3,13 14 24 34 47,13,3.0
09/16/2003,15 20 24 30 46,42,3.0
09/12/2003,16 22 23 38 46,45,3.0
09/09/2003,14 15 30 39 46,75,3.0
90/05/2003,07 09 28 41 42,19,3.0
09/02/2003,22 26 27 32 39,14,3.0
08/29/2003,08 11 17 42 52,81,3.0
08/26/2003,09 28 42 44 49,47,3.0
08/22/2003,04 19 31 3y2 51,31,3.0
08/19/2003,07 11 24 28 52,16,3.0
08/15/2003,01 16 20 41 52,13,3.0
08/12/2003,08 11 18 35 51,26,3.0
08/08/2003,06 09 35 40 43,42,3.0
08/05/2003,07 32 34 38 44,49,3.0
08/01/2003,02 11 27 30 33,46,3.0
07/29/2003,01 17 19 32 42,33,3.0
07/25/2003,33 46 47 50 51,30,3.0
07/22/2003,01 05 31 38 47,3,4.419977853333047
07/18/2003,29 30 34 38 44,39,3.0
07/15/2003,01 26 33 43 48,22,3.0
07/11/2003,01 04 10 16 18,10,3.0
07/08/2003,02 09 27 29 35,18,3.0
07/04/2003,06 07 22 37 46,8,4.388439191778744
07/01/2003,28 32 39 45 48,82,3.0
06/27/2003,01 14 20 31 40,43,3.0
06/24/2003,02 26 43 44 47,31,4.308559265432354
06/20/2003,01 02 03 12 37,35,3.0
06/17/2003,27 31 w34 40 52,1,3.0
06/13/2003,12 15 16 20 51,33,3.0
06/10/2003,14 15 23 32 52,37,3.0
06/06/2003,10 14 28 39 40,35,4.1277295395107245
06/03/2003,04 20 25 29 32,20,3.0
05/30/2003,01 2 128 33 51,3,3.0
05/27/2003,10 11 17 20 26,3,3.0
05/23/2003,12 20 31 33 50,17,3.0
05/20/2003,02 16 36 44 49,76,3.0
05/16/2003,05 10 16 26 39,52,3.0
05/13/203,17 0 47 49 50,34,3.0
05/09/200s3,01 10 20 22 28,39,3.0
05/06/2003,05 14 32 44 52,24,3.0
05/02/2003,02 05 19 32 34,52,3.0
04/29/2003,06 0y8 09 33 35,32,3.0
04/25/2003,01 12 32 48 51,77,3.0
04/22/2003,03 09 15 28 52,7,3.0
04/18/2003,05 15 24 50 52,3,3.0
04/15/2003,16 29 31 39 52,21,3.0
04/11/2003,1526 27 38 39,46,3.0
04/08/2003,08 10 24 38 45,6,3.0
04/04/2003,06 22 28 31 40,18,3.0
04/01/2003,07 12 26 45 47,36,3.0
03/28/t2003,08 12 21 27 29,15,3.0
03/25/2003,15 21 37 40 42,7,3.0
03/21/2003,06 17 18 40 50,8,3.0
03/18/2003,13 14 16 29 49,88,3.0
03/14/2003,03f 06 14 31 33,8,3.0
03/11/2003,10 15 26 28 39,10,3.0
03/07/2003,07 10 32 36 41,33,3.0
03/04/2003,02 26 36 37 41,22,3.0
02/28/2003,11a 16 26 48 49,13,3.0
02/25/2003,02 04 06 37 47,88,3.0
02/21/2003,21 28 29 40 51,20,3.0
02/18/0203,12 22 29 42 50,11,3.0
0/214/2003,11 13 19 32 47,21,4.3363795708677335
02/11/2003,18 20 23 48 49,10,3.0
02/07/2003,03 09 20 26 27,50,3.0
02/04/2003,05 12 16 22 24,48,3.0
01/31/2003,01 08 09 19 22,21,3.0
01/28/203,13 24 26 32 47,34,3.0
01/24/2003,16 31 37 40 41,5,3.0
01/21/2003,04 41 48 50 51,23,3.0
01/17/2003,25 26 38 42 46,27,3.0
01/14/2003,30 39 41 47 52,27,3.0
01/10/2003,07 17 18 34 50,18,3.0
01/07/2003,15 16 28 34 51,33,3.0
1/03/2003,06 14 28 37 46,3,3.0
12/31/2002,08 21 29 42 51,34,3.0
12/27/2002,11 14 26 30 39,3,3.0
1t2/24/2002,08 24 39 43 52,43,3.0
12/20/2002,10 14 41 46 49,52,3.0
12/17/002,30 07 21 29 49,46,3.0
1/213/2002,02 13 14 24 46,34,3.0
21/10/2002,03 05 09 16 31,28,3.0
12/06/2002,04 08 30 36 52,48,1.6719195274158138
1203/2002,01 15 19 40 51,82,3.0
11/29/2002,08 25 33 42 49,40,3.0
11/26/2002,03 21 27 31 h43,34,3.0
11/22/2020,11 16 19 22 46,5,3.0
1/19/2002,07 16 20 40 52,8,3.0
11/15/2002,06 17 44 49 51,39,3.0
111/2/2002,03 28 45 48 50,83,3.0
11/08/2002,17 19 37 47 48,14,3.0
l11/05/2002,02 07 16 28 36,47,3.0
11/01/2002,05 10 22 23 43,37,3.0
10/29/2002,091 0 14 41 49,35,3.0
10/25/2002,08 15 34 39 47,4,3.0
1a0/22/2002,16 20 26 36 48,32,3.0
10/18/2002,10 31 40 48 51,38,3.0
10/15/2002,06 20 27 34 51,22,3.0
10/11/2002,09 11 17 26 41,29,3.0
j10/08/2002,18 34 43 47 50,25,3.0
10/04/2002,10 42 43 45 51,1,3.0
10/01/2002,07 21 30 32 37,15,3.0
09/27/2002,23 27 30 33 36,5,3.0
09/24/2002,08 32 34 42 50,21,3.0
09/20/2002,01 02 4 05 46,8,3.0
09/17/2002,07 10 19 26 44,5,3.0
09/13/2002,24 32 37 40 51,12,3.0
09/10/2002,04 06 10 21 25,21,3.0
09/06/2002,31 39 42 49 51,35,3.0
09/03/2002,08 23 36 49 51,87,3.0
08/30/2002,06 31 32 42 51,42,3.0
08/27/2002,0b2 05 11 18 45,22,3.0
08/23/2002,05 19 20 45 48,44,3.0
08/20/2002,02 13 20 23 43,6,3.0
08/16/2020,223 1 33 44 52,43,3.0
08/13/2002,03 10 15 18 25,52,3.0
08/09/2002,07 17 23 43 44,26,3.0
08/06/2002,02 06 38 40 50,14,1.647751014750964
08/02/2002,10 16 23 28 31,7,3.0
07/30/2002,02 06 22 27 44,1,3.0
07/26/2002,20 2 728 37 49,32,3.0
07/23/2002,10 12 29 32 38,7,3.0
0r7/19/2002,07 15 24 37 46,9,3.0
07/162/002,10 24 35 49 52,47,3.0
07/12/2002,13 19 23 38 47,15,3.0
07/09/2002,26 29 31 44 48,40,3.0
07/05/2002,11 20 26q 29 41,41,3.0
07/02/2002,14 22 32 3544,6,3.0
06/28/2002,18 31 49 50 51,4,3.0
06/25/2002,04 18 21 27 41,50,3.0
06/21/2002,13 18 32 39 49,6,3.0
06/18/2002,06 13 18 27 45,18,3.0
06/142/002,04 08 32 37 43,2,3.0
06/11/2002,05 06 09 33 44,52,3.0
0/607/2002,14 22 27 28 42,13,3.0
06/04/2002,03 25 29 30 48,48,3.0
05/31/2002,12 28 45 46 52,47,3.0
05/28/2002,06 21 22 29 32,24,3.0
05/24/2002,02 04 32 44 52,36,3.0
05/21/2002,04 28 39 41 44,9,3.0
05/17/2002,15 18 25 33 47,30,3.0
04/27/2021,15 22 30 41 42,25,4.0
04/30/2021,08 19 26 48 49,5,3.0
05/04/2021,04 27 b32 57 63,22,3.0
05/07/2021,05 10 19 21 50,10,4.0
05/112021,07 08 20 36 39,22,3.0
05/14/2021,03 18 41 44 68,3,2.0
05/18/2021,03 05 56 61 66,4,2.0
05/21/2021,06 09 17 18 48,8,3.0
05/25/2021,14 21 31 34 54,11,3.0
05/28/2021,10 14 20 47 70,15,2.0
06/01/2021,07 11 33 58 63,23,2.0
06/04/2021,04 30 34 41 64,8,3.0
06/08/201,09 22 39 41 54,19,3.0
06/11/2201,04 43 56 63 68,13,4.0
06/15/2021,18 22 27 38 52,11,4.0
06/18/2021,14 36 44 46 53,18,2.0
06/p22/2021,01 26 48 51 59,25,4.0
06/25/2021,17 20 42 45 65,12,4.0
06/29/2021,07 38 50 52 69,21,3.0
07/02/2021,08 31 32 34 45,82,2.0
07/06/2021,18 47 63 68 69,14,3.0
07/90/2021,06 37 39 41 46,17,2.0
07/13/2021,03 10 17 26 55,24,2.0
07/16/2021,24 25 47 52 57,24,4.0
07/20/2021,10 26 30 52 57,10,2.0
07/23/2z021,13 17 19 40 69,17,3.0
07/27/2021,02 35 36 54 64,75,3.0
07/30/2021,19 26 31 52 68,10,3.0
08/03/2021,01 09 17 27 34,24,2.0
08/6/2021,09 18 40 46 69,9,2.0
08/10/r2021,29 45 50 59 62,12,2.0
08/13/2021,71 21 35 40 53,11,2.0
08/17/2021,03 06 16 38 56,24,3.0
08/20/2021,41 43 51 57 70,1,2.0
08/4/2021,17 18 26 52 67,19,2.0
08/27/2021,01 10 44 47 56,23,3.0
08/31/2021,08 14 31 58 68,15,3.0
09/0o3/2021,07 10 12 61 65,3,2.0
09/07/2021,15 17 25 32 53,12,3.0
09/10/2021,20 32 35 47 64,18,2.0
09/14/2021,04 13 19 63 64,16,2.0
09/17/2021,17 32 4 59 61,18,3.0
09/21/2021,36 41 45 51 56,13,3.0
09/24/2021,17 21 27 43 56,15,3.0
09/28/2021,18 30 43 68 69,22,4.0
10/0/12021,21 25 36 62 63,6,2.0
10/05/2021,07 11 18 30 36,87,3.0
10/08/202k1,21 24 36 40 70,22,5.0
10/12/2021,21 2 656 61 65,4,3.0
10/15/2021,03 20 31 3 65,18,3.0
10/19/2021,03 12 13 19 52,1,3.0
10/22/2021,09 14 26 29 66,22,3.0
10/26/2021,06 14 19 56 62,9,4.0
10/29/2021,15 26 28 35 45,4,3.0
11/02/2021,05 10 26 58 65,9,2.0
11/05/2021,10 15 20 66 68,80,2.0
11/09/2021,09 14 16 26 49,14,3.0
11/12/2021,30 32 42 46 48,15,2.0
11/16/221,06 22 44 53 65,3,1.6827697728880289
11/19/2021,05 23 52 53 59,84,5.0
11/23/2021,07g 24 54 57 58,6,1.823450410781168
11/26/2021,07 27 37 42 59,2,2.0
11/30/2021,07 08 26 30 39,17,2.0
12/03/2021,22 45 48 58 61,13,5.0
12/07/2021,01 07 40 43 68,1,1.9670970211595151
12/10/2021,23 25 40 42 60,8,2.0
12/v14/2021,33 35 44 55 69,20,1.6067462916169752
12/17/2021,21 32 38 48 62,10,3.0
12/21/2021,25 31 58 64 67,24,3.0
12/24/2021,16 17 25 36 37,16,2.0
12/28/2021,03 05 08 31 38,4,3.0
12/31/2021,02 y05 30 46 61,8,3.0
01/04/2022,04 06 16 21 22,1,3.0
01/07/2022,07 29 435 6 57,6,3.0
01/11/2022,02 03 19 52 58,16,2.0
01/14/2022,05 08 13 22 48,25,2.0
01/18/2022,04 19 39 42 52,9,4.0
01/21/2022,38 45 4655 67,83,2.0
01/25/2022,03 12 38 53 58,13,3.0
01/28/2022,03 16 25 44 55,13,3.0
02/01/2022,11 24 38 62 66,1,4.0
02/04/2022,07 16 34 44 61,24,4.0
02/08/2022,01 17 20 52 54,2,3.0
02/11/2022,11 16 23 24 30,24,3.0
02/15/2022,02 04 15 21 63,19,3.0
02/18/2022,06 11 50 63 68,17,4.0
02/22/2022,06 17 22 57 62,3,3.0
02/25/2022,15 31 40 56 66,85,3.0
03/01/2022,n18 22 38 39 50,18,2.0
03/04/0222,11 19 28 46 47,5,1.813243534047874
03/08/2022,07 18 38 58 64,24,3.0
03/11/2022,24 28 39 44 66,25,3.0
03/15/2022,09 14 28 59 60,24,5.0
03/18/2022,02 06 25 40 45,78,4.0
03/22/2022,08 15 21 27 61,8,3.0
03/25/2022,03 13 42 51 58,17,2.0
03/29/2022,07 22 36 45 47,12,2.0
04/01/2022,26 42 47 48 63,21,5.0
4/05/2022,22 43 60 63 64,18,2.0
04/08/2022,08 11 29 32 40,2,3.0
04/12/2022,02 08 14 20 31,17,2.0
04/1/52022,04 17 20 46 64,23,4.0
04/19/2022,02 09 33 47 53,24,3.0
04/22/2022,07 28 29 58 59,10,3.0
04/26/2022,05 07 19 46 69,2,4.0
04/29/2022,09 11 34 49 66,15,2.0
05/03/2022,15 19 27 35 57,17,2.0
05/06/2022,16 21 33 52 70,10,2.0
05/10/2022,15 19 20 61 70,6,3.0
05/13/2022,11 41 43 44 65,13,3.0
05/17/2022,07 21 24 41 65,24,4.0
05/20/2022,33 40 59 60 69,22,3.0
05/42/2022,03 05 06 63 68,25,3.0
05/27/2022,03 14 40 53 54,8,3.0
053/1/2022,6 15 41 63 64,24,4.0
06/03/2022,11 16 22 48 59,11,4.0
06/07/2022,04 34 40 41 53,3,4.0
06/10/2022,03 12 14 18 32,4,5.0
06/14/2022,30 37 38 42 58,78,1.9180142256994344
06/17/2022,20 36 53 56 69,16,2.0
06/21/2022,08 13 18 3t2 42,20,3.0
6/24/2022,01 07 11 25 56,14,2.0
06/28/2022,07 12 21 43 55,11,2.0
07/01/2022,01 27 29 38 62,12,3.0
07/05/2022,27 31 50 51 61,21,4.0
07/08/2022,20 36 61 62 69,20,3.0
07/12/222,04 07 10 45 64,12,2.0
07/15/2022,08 20 26 53 64,15,5.0
07/19/2022,02 31 32 37 70,25,3.0
07/22/2022,14 40 60 64 66***,16,3.0
07/26/2022,07 29 60 63 66,15,3.0
07/29/2022,13 36 45 57 67,14,2.0
08/02/2022,10 14 25 37 63,14,3.0
08/05/2022,02 05 29 64 69,18,3.0
08/09/2022,01 08 10 25 32,13,3.0
08/12/2022,23 24 50 54 64,3,3.0
08/16/2022,33 35 41 45 51,1,2.0
08/19/2022,12 18 24 46 65,3,4.0
08/23/2022,03 05 47 48 67,7,2.0
08/262022,06 27 30 38 64,23,2.0
08/30/2022,02 38 55 57 65,17,3.0
09/02/2022,39 40 526 0 67,20,2.0
09/06/2022***,0m6 17 46 59 68,2,4.0
09/09/2022,16 21 54 55 69,22,2.0
09/13/2022,14 25 38 59 64,21,4.0
09/16/2022,15 30 35 38 66,12,4.0
09/20/2022,09 21 28 30 52,10,5.0
09/23/2022,05 50 53 58 64,22,4.0
09/27/2022,08 14 24 43 51,9,3.0
09/30/2022,16 26 37 40 51,6,4.0
10/04/2022,l15 18 25 33 38,25,2.0
10/07/2022,06 11 29 36 55,21,2.0
10/11/2022,03 07 11 13 38,1,3.0
10/14/2022,09 22 26 41 44,19,2.0
10/18/2022,01 15 20 44 67,23,3.0
10/21/2022,34 36 3 45 68,22,2.0
10/25/20v22,2f1 30 35 45 66,21,3.0
1028/2022,04 18 31 53 69,7,1.812464092091009
11/01/2022,05 09 15 16 17,25,3.0
11/04/2022,02 20 47 55 59,19,2.0
11/08/2022,05 13 29 38 59,23,4.0
11/11/2022,01 05 17 37 70,22,3.0
11/15/2022,06 19 2846 61,18,2.0
11/18/2022,02 14 16b 38 66,77,4.0
11/22/2022,13 23 24 25 43,2,3.0
