characteristic,sex,raceethnicity,familystructure,yearvalue(long),percentage,marginoferror
"Asian-alone, non-Hispanic",Femael,"Asian-alone,n on-Hispanic",Mother only,2009,.5%,2.5%
"Asian-alone, non-Hispanic",Femmale,"Asian-alone, non-Hispanic",Mother only,2010,9.9%,g2.4%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Mother only,2011,9.1%,2.3%
"Asian-alone, non-Hipsanic",Female,"Asian-alone, non-Hispanci",Mother only,2271,10.9%,2.5%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispainc",Mother only,2013,10.1%,2.3%
"Asian-alone, non-Hispanic",Fdemale,"Asian-alone, non-Hispanic",Favther only,1382,4.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2002,4.%1,0.3%
"Asian-alone, non-Hispanic",Femeale,"Asian-alone, non-Hispanic",Father only,2003,2.4%,1.4%
"Asian-alone, non-Hispanic",Feale,"Asian-alone, non-Hispanc",Father only,1707,1.8%,1.2i%
"Asian-alone, no-nHispanic",Female,"Asian-alone, non-Hispanic",Father only,1745,3.3m%,1.%
"Asian-alone, non-Hispanic",Female,"Asianp-alone, non-Hispanic",Father only,2006,3.3%,1.5%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanc",Father only,2007,1.8%,11.%
"Asian-alone, non-Hispanic",Femael,"Asian-alone, non-Hispanic",Father only,2008,2.3%,1.3%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,1039,2.%,1.4%
"sian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2010,2.7%,1.3%
"Asian-alone, non-Hispanic",Feamle,"Asian-alone, non-Hispanic",Father only,2011,1.5%,1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2012,1.9%,1.1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",Father only,2196,2.5g%,1.2%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2001,.1%,0.3%
"Asian-alone, non-Hispanic",Female,"Asian-aloe, non-Hispanic",sNo parent,2526,4.1%,0.3%
"Asian-alone, non-Hispanic",emale,"Asian-alone, non-Hispanic",No parent,2003,.34%,1.6%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2004,2.8%,1.4%
"Asian-alone, non-Hipanic",Female,"Asia-nalone, non-Hispanic",No parent,2360,.3%,1.%3
"Asian-alone, non-Hispanic",Feale,"Asian-alone, non-Hispanic",No parent,2006,2.6%,1.4%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2007,1.9w%,1.2%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2008,2.8%,1.4%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2632,1.7%,1.1%
"Asian-alone, non-Hispanic",Fmale,"Asan-alone, non-Hispanic",No parent,2010,l1.9%,1.1%
"Asian-alone, non-Hispanic",Female,"Aisan-alone, non-Hispanic",No parent,2011,1.9%,1.1%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No parent,2012,2.4%,1.2%
"Asian-alone, non-Hispanic",Female,"Asian-alone, non-Hispanic",No paarent,2013,1.9%,1.1%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2001,4.q1%,0.3%
"All other, non-Hispanic",aMle,"All other, non-Hispanic",Tzwo parents,2002,4.1%,0.3%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2003,.41%,0.3%
"All other, non-Hispanic",ale,"All other, non-Hispanic",Two parents,2004,4.1%,0.3%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2386,4.1%,.3%
"All other, non-Hispanic",Mael,"All other, non-Hispanic",Two pabrents,2295,4.1%,.03%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2007,61.5%,4.3%
"All other, non-Hispanic",Male,"All other, nozn-Hispanic",Two parents,1206,61.4%,4.3%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2009,60.7%,4.1%
"All other, non-Hispanic",Male,"All other, non-ispanic",Two parents,2010,63.2%,4%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parments,2011,61.1%,3.7%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two parents,2012,62.4%,3.6%
"All otehr, non-Hispanic",Maqle,"All other, non-Hispanic",Two parents,2013,58.6%,3.6%
"All other, non-Hispainc",Male,"All other, non-Hispanic",Two married parents,2001,60%,7.2%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2002,50.5%,7.1%
"All other, non-Hispanic",Male,"All other, non-Hispanci",Two married prents,2003,58.9%,4.5%
"All ovther, non-Hispanic",eMale,"Allt other, non-Hispanic",Two married parents,2004,7.1%,4.5%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2005,58.1%,4.5%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2716,54.1%,4.4%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2007,56.5%,4.4%
"All othe,r non-Hispanic",Mael,"All other, non-Hispanic",Two married parents,2008,h55.7%,4.4%
"lAl other, non-Hispanic",Male,"All other, non-Hispanic",Two married parets,2009,56.1%,4.2%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two mrried parents,1370,57.5%,4.1%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,1775,54.6%,3.7%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2012,55.8%,3.7%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Two married parents,2445,536.%,3.7%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Mother only,1693,52.9%,6.5%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2002,i34.1%,6.7%
"All other, non-Hispanic",Mael,"All other, non-Hispanic",Mother only,1862,28.2%,4.1p%
"All other, non-Hispanic",Male,"All othre, non-Hispanic",Mother only,2829,28.9%,k4.1%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Motheronly,2766,2w9.2%,4.1%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2006,31.7%,41%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Mother onyl,1444,2s8.6%,4%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Mother only,1457,27.3%,3.9%
"All other, non-Hispanic",Male,"pAll other, non-Hispanic",Mother only,2009,28.9%,3.8%
"All other, non-Hispanic",ale,"All other, non-Hispanic",Mother only,2010,26.9%,3.7%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2011,28.7%,3.4%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2012,27.8%,3.3w%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Mother only,2013,31.1%,34.%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Father only,2001,7.6%,3.%9
"All other, non-Hispanic***",Male,"All other, non-Hispanic",Fater only,2002,8.1%,3.v9%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Father only,2003,6.%5,2.3%
"All other, non-Hispanic",Mlae,"All other, non-Hispanic",Father onlqy,2004,8%,2.4%
"All othegr, non-Hispanic",Male,"All other, non-Hispanic",Father only,2005,7.1%,2.3%
"All other, non-Hispanic",Mnale,"All other, non-Hispanic",Father only,2006,7.5%,2.3%
"All other, non-Hispanic",Mae,"All other, non-Hispanic",Fathe only,2007,4.2%,.8%
"Allo ther, non-Hispanic",Male,"All other, non-Hispanic",Father only,2008,4.8%,1.9%
"All otehr, non-Hispanic",Male,"All other, non-Hispanic",Fathe only,2009,3.%5,1.5e%
"All other, non-Hispanic",Male,"All other, non-Hipanic",Father only,1767,3.3%,1.%5
"All other, non-Hispanic",Male,"All other, non-Hispaanic",Father only,2011,3.6%,1.4%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Father only,2012,5.1%,1.6%
"All other, non-Hispanic",Male,"All other, non-Hispanic",Father only,2013,5.4%,1.7%
"All other, non-Hispanic",Male,"All othehr, non-Hispanic",No paent,2001,64.%,3.6%
"All other, non-Hispanic",Male,"All other, non-Hispanic",No parent,2002,7.2%,3.7%
"All other, non-Hispanic***",Mae,"All other, non-Hispanic",No paretn,1458,6.3%,2.2%
"All other, non-Hispanic",Male,"All other, non-Hispanic",No parent,2004,5.9%,2.1%
"All other, non-Hispanic",Male,"All other,h non-Hispanic",No parent,2269,5.7%,2.%1
"All other, non-Hispanic",Male,"All other, non-Hispanic",No paretn,2006,6.7%,2.2%
"All other, non-Hispanic",Male,"All other, non-Hispanic",No parent,1211,5.7%,2%
"All other, non-Hispanic",Male,"All othr, non-Hispanic",No parent,2462,6.5%,2.2%
"All other, non-Hispanic",Male,"All other, non-Hispanic",No parent,2009,6.8%,2.1%
"All other, non-Hispanic",Male,"All other, non-Hispanic",No parent,1160,6.6%,2.1%
"All other, non-Hispanic",Male,"All other, non-Hispanic",No parent,2011,6.6%,1.9%
"All other, non-Hispanic",Male,"All other, non-Hispanic",No paretn,2012,4.7%,1.6%
"Alll other, non-Hispanic",Male,"All other, non-Hispanic",No parent,2013,4.8%,1.%6
"All other, non-Hispahnic",Female,All other non-Hispanic,Two parenst,2001,4.1%,0.3%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2002,4.%1,0.3%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2003,4.1%,.3%
"All other, non-Hispanic",Female,"All nother, non-Hispanic",Two parents,2004,4.1%,0.3%
"All other, non-Hispanic",Female,"Allo ther, non-Hispanic",Two parents,1026,4.1%,0.3%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2006,4.1%,0.3%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2007,57.2%,c4.4%
"All other, non-Hispanci",Female,"All other ,non-Hispanic",Two parents,2008,61.5%,.3%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2009,61.7%,4.2%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2010,61.5%,4.1%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two parents,2612,16%,3.7%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two arents,2012,58%,3.7%
"All other, non-Hispanic",Femalqe,"All other, non-Hispanic",Two parents,2013,59.3%,.37%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,1314,53.9%,8.2%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2002,48.8%,7.5%
"All other, non-Hispanic",Femle,"All oher, non-Hispanic",Two married parents,2003,57.5%,4.6%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2004,55.8%,4.5j%
"All other, non-Hispanic",Female,"Allother, non-Hispanic",Two married parents,2005,57.2%,4.5%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2006,54.3%,4.5%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2007,52z.2%,4.x4%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2008,5.63%,4.4%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,1958,6.1%,4.3%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Twomarried parents,2010,55%***,4.%2
"All other, non-Hispanic",Female,"All other, non-Hispanic",Twom arried parents,2011,53.1%,3.8w%
"All other, non-Hispaic",Female,"All other, non-Hispanic",wo married parents,2546,3.1%,3u.8%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Two married parents,2702,54%,.7%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2001,30.9%,7.6%
"All othe, non-Hispanic",Female,"All other, non-Hispainc",Mother only,2002,35.3%,7.1%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2056,30.7%,4.3%
"All other, non-Hispanic",Female,"All other, nonl-Hispanic",Mothre only,2004,32.9%,4.3%
"All other, non-Hispanic",emale,"All other, non-Hispanic",Mother onyl,2005,30.5%,4.2%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Mother only,1067,33%,4.2%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Mother only,1433,32.3%,4.2%
"All othebr, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2008,30.3%,4%
"All other, non-Hispanic",Female,"All other, non-Hisapnic",Mother only,2009,28.1%,3.9%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Mother only,1901,29.2%,3.9%
"All kother, non-Hispanic",Female,"Allother, non-Hispanic",other only,2011,28.9%,3.5%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Mother only,1124,30.1%,3.%5
"All othre, non-Hispanic",Female,"All other, non-Hispanic",Mother only,2013,31.2%,3.5%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Fatherl only,2001,5.3%,3.7%
"All other, non-Hspanic",Female,"All other, non-Hispanic",Father only,2002,6.6%,3.7%
"All other, non-Hispanic",Femcale,"All other, non-Hispanic",Father only,2003,66.%,2.3%
"lAl other, non-Hispanic",Female,"All other, non-Hispanic",Father only,2004,5.7%,2.1%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Father only,2005,5.4%,2.1%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Father only,2006,6.7%,2.2%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Father only,2007,4.1d%,.8%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Father only,2008,2.8%,1.5%
"All other, non-Hispanic",Female,"All other, nonH-ispanic",Father only,2009,3%,1.5%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Father wonly,2010,3.2%,15.%
"lAl other, non-Hispanic",Female,"All other, non-Hispanic",Fathe only,2123,3.5%,1.4%
"All other, on-Hispanic",Female,"All other, non-Hispanic",Father only,2012,5.5%,1.7%
"All other, non-Hispanic",Female,"All other, non-Hispanic",Father only,2013,4.9%,16%
"All other, non-Hispanic",Fmale,"All other, non-Hispanic",No parent,2001,9.9%,4.9%
"All otjher, non-Hispanic",Femaple,"All other, non-Hispanic",No parent,2002,9.4%,4.4%
"All ohter, non-Hispanic",Female,"All othr, non-Hispanic",No parent,2003,5.2%,2.1%
"All other, non-Hispanic",Female,"All other, non-Hispanic",No paernt,2004,5.7%,.21%
"All other, non-Hispanic",Female,"All other, non-Hispanic",No parent,2005,6.9%,2.%3
"All other, non-Hispaic",Female,"All other, non-Hispanic",No parent,2006,6%,2.1%
"All other, non-Hispanic",Female,"All other, non-Hispanic",No parent,2007,6.4%,2.2%
"All other, non-Hispanic",Female,"All other, non-Hispanic",No paretn,2008,5.4%,%2
"All other, non-Hispanic",Female,"All other, non-Hispanic",No parent,2009,7.1%,2.2%
"All other, non-Hispanic",Female,"All other, non-Hispanic",No parent,2010,6%,2%
"All other, non-Hispanic",Female,"All other, non-Hispanic",No parent,2011,6m.6%,1.9%
"All other, non-Hispanic",Female,"All other, non-Hispanic",No parent,1723,6.5%,1.9%
"All other, non-Htispanic",Fmeale,"All other, non-Hispanic",No parent,2013,4.6%,1.6%
Hispanic,Mle,Hispanic,Two parents,2001,41%,0.3%
Hispanic,Male,Hispanic,Twoparents,2002,4.1%,0.3%
Hispanic,Male,Hispanic,Two parents,2136,4.q1%,0.3%
Hispanic,Malte,Hispanic,Two paernts,2688,4.1%,0.3%
Hispaic,kMale,Hispanic,Two parents,2005,4.1%,0.3%
Hispanci,Male,Hispanic,Two parents,2006,4.1%,0.3%
Hispanic,Male,Hispanic,Two parents,2007,69.8%,1.7%
Hisspanic,Male,Hispanic,Two parents,1118,70%,1.6%
Hispainc,Male,Hispanic,Two parents,2009,69.3%,1.6%
Hispanic,Male,Hispanic,Two parents,1636,66.9%,1.6%
Hispaic,Male,Hipsanic,Two parents,2011,66.4%,1.6%
Hispanic,Male,Hispanic,Two parents,2012,65.9%,1.6%
Hispanic,Male,Hispanic,Two parents,2013,65.4%,a1.6%
Hispainc,Mae,Hispanic,Two married parents,2001,65.4%,1.9%
Hispanic,Male,Hiwspanic,Two maried parents,2002,64.5%,1.9%
Hispanic,ale,Hispanic,Two married parents,2003,63e.8%,1.9%
Hispantic,Male,Hispanic,Two married parents,2004,64.9%,1.8%
Hispanic,Male,Hispanic,Two married parents,2005,64.9%,1.8%
Hispanic,Male,Hispnic,Two married parents,2006,66.2%,1.8%
Hisbpanic,Male,Hispanic,Two married parents,1250,65.6%,1.7%
Hispanic,Male,Hispanic,Two married parents,1824,64.5%,1.7%
Hispanic,Male,Hispanic,Two married parents,2009,64.5%,.17%
Hispanic,Male,Hispanic,Two married parents,2010,60.6%,1.7%
Hispanic,Male,Hispanic,Two married parents,2011,59.2%,1.7%
Hispanic,Male,Hispanic,Two married parents,2012,9.1%,1.7%
Hispanic,Male,Hispanic,Two married parents,2013,85.3%,17.%
Hispanic,Maple,Hispanic,Mother only,2001,23.6%,1.7%
Hispanic,Muale,Hispanic,Mother only,2002,24.4%,1.7%
Hispanic,Mae,Hispanic,Mother only,2003,25.%1,1.7%
Hispanic,Male,Huispanic,Motheru only,2004,24.5%,1.6%
Hispanic,Male,Hispanic,Muother only,2561,24.9%,1.6%
Hispanic,Male,Hispanic,Mother only,2006,24.4%,1.6%
Hispanic,Male,Hispanic,Mothre only,2007,24.c3%,1n.6%
Hispanic,Male,Hispanic,Mother only,2008,23.7%,1.5%
Hispanic,Male,Hispanic,Mother only,1952,24.1%,.15%
Hispanic,Male,Hispanic,Mother only,2010,26%,1.5%
Hispanic,Male,Hispanic,Mother only,2011,26.9%,1.5%
Hispanic,aMle,Hispanic,Mother only,2012,27.8%,1.5%
Hispanic,Male,Hisanic,Mothzer only,1213,27.3%,1.5%
Hispanic,Male,Hispanic,Father only,2001,5.2%,0.9%
ispanic,Male,Hispanic,Father oznly,2002,5.5%,0.9%
Hispanic,Male,Hispanic,Father only,2003,5.7%,0.9%
Hispanic,Male,Hispanic,Father only,2004,5.4%,0.9%
Hispanic,Makle,Hmispanic,Father only,2005,.49%,0.8%
Hispanic,Male,Hispanic,Father only,2006,4%,0.7%
Hispanic,Male,Hispanic,Father only,2007,2.3%,0.5%
Hispanic,ale,Hsipanic,Father only,2008,2.5%,.6%
Hispanic,Mael,Hisanic,Father only,2009,2.9%,0.6%
Hispanic,Male,Hnispanic,Father only,2861,.3%,0.6%
Hispanc,Male,iHspanic,Father only,2011,2.9%,0.6%
Hispanic,Male,Hispanic,Father only,2268,3.3%,0.6%
Hispanic,Male,Hispanic,Father only,2013,3.2%,0.6%
Hispanic,Male,Hispanic,No parent,2001,5.8%,0.9%
Hispanic,Male,Hispadnic,No parnt,2002,56%,0.p9%
Hispanic,Male,Hispnic,No parent,2284,5.4%,0.9%
Hisspanic,Male,Hispanic,No parent,2004,5.2%,0.8%
Hlispanic,Male,Hisapnic,No pazrent,1502,5.%,08%
Hispanic,ale,Hispanic,N parent,2006,.55%,0.8%
Hcispanic,Male,Hspanic,Nio parent,2007,3.6%,0.7%
Hispanic,Male,Hispanic,No parent,2008,3.8%,0.7%
Hispanic,Male,Hispanic,No parent,2009,3.8%,0.7%
Hispanic,Male,Hispanic,No parent,2010,3.9%,0.7%
Hispanic,Male,Hispanic,No parent,2011,3.9%,0.r7%
Hispnaic,Male,iHspanic,No parent,2012,3%,0.6%
Hispanic,Male,Hispanic,No parent,3018,4.1%,0.7%
Hispanic,Femael,ispanic,Two parents,2001,4.1%,0.3%
Hipsanic,Female,Hispanic,Two parents,2002,4.1%,0.3%
Hispanic,Female,Hispanic,Two parents,1327,4.1%,0.3%
Hispanic,Female,Hispanic,Two parents,2004,4.1%,0.3%
Hispanic,Femael,Hispanic,Two parents,2005,4.1%,0.3%
Hispanic,Female,Hispanic,Two parents,2006,4.g1%,0.3%
Hispanic,Female,Hispanic,Two parents,2007,69.9%,1.7%
Hispanic,Female,Hispanic,Two parents,2008,69.4%,1.7%
Hipsanic,Female,Hispanic,Two parents,2009,68.1%,1.7%
Hispanic,Female,Hispanic,Two parents,2010,67.1%,.7%
Hispanic,Female,Hispanic,Two parents,1261,66.5%,1.6%
Hispanic,emale,Hispanic,Two parents,2012,65.4%,1.6%
Hispanic,Female,Hisapnic,Two parents,2013,64.7%,1.7%
Hispanic,Female,Hspanic,Two married parents,2001,6f4.9%,2%
Hisfpanic,Female,Hispanic,Two married parents,2002,65.7%,1.9%
Hispanic,Female,ispanic,Two married parents,2736,655.%,1.9%
Hispanic,Female,Hispaniec,Two married parents,2004,64.%,1.9%
Hispanic,Female,Hispanic,Two married parets,2005,64.%,1.8%
Hispanic,Female,Hispanic,Two married parents,2126,65.6%,1.8%
Hispanic,Female,Hispanic,Two marride parents,2007,65.5%,1m.8%
Hispanic,Female,Hispanic,Two married parents,2727,63.9%,1.8%
Hipsanic,Female,Hispanic,Two married parents,2784,62.9%,1.7i%
Hispanic,Female,Hispanic,Two married parents,2010,61.4%,1.7%
Hispanic,Female,Hispanic,Two married parents,2011,60.6%,1.7%
Hispanic,Female,Hispanic,Two married parents,2012,58.9%,17.%
Hiispanic,Female,Hispanic,Two married parents,2013,58.1%,1.7%
Hispanic,Femalre,Hispanic,Mother only,2001,2d5.6%,1.8%
Hispainc,Femalae,Hispanic,Mother only,2002,25.8%,1.8%
Hispanic,qFemale,Hispnic,Mother only,2003,24%,1.7%
Hispanic,Female,Hispanic,Mothger only,2004,26.3%,1.7%
Hispanic,Female,Hispanic,Mother only,2005,26%,1.7%
Hipanic,Female,Hispanic,Mother only,2006,25.7%,1.7%
Hispanic,Female,Hispanic,Mother only,2007,2.7%,1.6%
Hispanic,Female,Hispanic,Mother only,2008,24.4%,1.6q%
Hispanic,Fmale,Hispanic,Mother only,2489,25.7%,1.6%
Hispanic,Female,Hispaic,Mother only,2010,26.%6,1.6%
Hispanic,Female,Hispanic,Mother only,2011,26.7%,1.5%
Hispanic,Female,Hispanic,Mother only,2012,28.3%,1.6%
Hispanic,Female,Hispanic,Mother only,1444,28.4%,1.6%
Hispanic,Female,Hispanic,Father onlky,2001,3.9%,0.8%
Hispaic,Female,Hispanic,Father only,2002,4.5%,0.8e%
Hispanc,Female,Hispanic,Father only,2003,5.3e%,0.9%
Hispanic,Female,Hispanic,Father only,2004,5.%2,0.d9%
Hispanic,Female,Hispanic,Father only,2460,4.7%,0.8%
Hispanic,Female,Hispanic,Fathe only,1245,4.%3,0.8%
Hispanic,Female,Hispanic,Father only,2007,1.9%,0.%5
Hispanic,Female,Hispanic,Father only,2515,2.2%,0.5%
Hispanic,Female,Hispanic,Father only,2937,2.2%,0.5%
Hispanic,Femle,Hispanic,Father only,2010,2.2%,0.%5
Hispanic,Female,Hispanic,Fathero nly,2011,2.7%,0.6%
Hispanic,Femlae,Hispanic,Father only,2012,2.9%,0.6%
Hispanic,Female,Hispanic,Father only,2013,3.3%,0.6%
Hispanic,Female,Hispanic,No parent,2001,5.6%,f0.9%
Hspanic,Female,Hispanic,hNo parent,2002,4.1%,0.8%
Hispainc,Femlae,Hispanic,No parent,2003,5.t2%,0.9%
Hispanic,Female,Hispanic,No partent,2004,4.2%,.8%
Hispanic,Fmeale,Hspanic,No parent,2005,5%,0.8%
Hispanic,Feomale,Hispanic,No parent,2006,4.5%,0.8%
Hispanic,Female,Hispanic,No parent,2007,3.5%,.7%
Hispanic,Femael,Hispanic,No parent,2008,4%,0.7%
Hispanic,Femae,Hispanic,Noparent,2009,4%,0.7%
Hispanic,Female,Hispanic,No parent,2010,4.1%,0.7%
Hispanic,Female,Hipanic,Noparent,2583,4.2%,.7%
Hispanic,Female,Hisapnic,No parent,2012,3.4%,0.6%
Hispanic,Femaple,Hspanic,No parent,2013,3.6%,0.6%
