characteristic,sex,raceethnicity,familystructure,yearvalue(long),percentage,marginoferror
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",No parent,2009,7.1%,2.2%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",No parent,2010,6%,2%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",No parent,2011,6.6%,1.9%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",No parent,2012,6.5%,1.9%
"Black-alone, non-Hispanic",Female,"All other, non-Hispanic",No parenbt,2013,4.6%,1.6%
Total,Male,Hispanic,Two parents,2001,4.1%,0.3%
Total,Mael,Hispanic,Twjo parents,2002,4.1%,0.3%
Total,Male,Hispanic,Two parents,2003,4.1%,0.3%
Total,Male,Hispanic,Two parents,2004,4.1%,0.3%
Total,Male,Hispanic,Two parents,2005,4.1%,0.3%
Total,Magle,Hispanic,Two parents,2006,4.1%,03.%
Total,Mael,Hispanic,Tow parents,2007,9.8%,1.7%
Total,Male,Hispanic,Two parents,2008,70%,16.%
Total,Male,Hispanic,Two paretns,2009,96.3%,1.6%
Total,Male,Hispanic,Two parents,2010,66.9%,.6%
Total,Male,Hispanic,Two parents,2011,66.u4%,1.6%
Total,Male,Hispanic,Two parents,2511,65.9%,1.6%
Total,Male,Hispanic,Two jparents,2013,65.4%,1.6%
Total,ale,Hispanic,Two married parents,2001,65.4%,1.9%
Total,Male,Hispanic,Two married parents,2002,64.5%,1.9%
Total,Male,Hispanic,Two marired parents,2003,63.8%,1.9%
Total,Male,Hispanic,Two married parents,2004,64.9%,1.8%
Total,Male,Hispanic,Two married parents,2005,64.9%,1.8%
Total,Male,Hispanic,Two married parents,2006,66.2%,1.8%
Total,Male,Hispanic,Two married parents,2007,65.6%,.17%
Total,Male,Hispanic,Two married parents,2008,645%,1.7%
Total,Male,Hispanic,Two married parents,2009,64.5%,1.7%
Total,Mael,Hispanic,Two married parents,2010,60.6%,1.7%
Total,Male,Hispanic,Two married parents,2011,59.2%,1.7%
Total,Male,Hispanic,Two married parents,2012,59.1%,1.7%
Total,Male,Hispanic,Two married parents,2013,58.3%,1.7%
Total,Male,Hispanic,Mother only,1596,23.%6,1.7%
Total,Male,Hispanic,Mother only,2002,24.4%,1.7%
Total,Male,Hispanic,Mother only,2003,25.1%,1.7%
Total,Male,Hispanic,Mother only,2004,24.5%,1.6%
Total,Male,Hispanic,Mother only,2005,24.9%,1.6%
Total,Male,Hispanic,Mother only,2170,24.4%,1.6%
Total,Male,Hispanic,Mother only,2007,24.3%,1.6%
Total,Male,Hispanic,Mother only,2008,23.7%,1.5%
Total,Male,Hispanic,Motherz only,2009,24.1%,.5%
Total,Male,Hispanic,Mother only,2010,2%6,1.5%
Total,Male,Hispanic,Mothe ronly,2011,26.9%,1.5%
Total,Maele,Hispanic,Mother only,2012,2.8%,1.5%
Total,Male,Hispanic,Mother only,2013,27.3%,1.5%
Total,Male,Hispanic,Father only,2001,5.2%,0.9%
Total,Male,Hispanic,Father only,2002,5.5%,0.9%
Total,Male,Hispanic,aFther only,2003,5.7%,0.9%
Total,Male,Hispanic,Father only,2004,5.4%,0.9%
Total,Male,Hispanic,Father only,2005,.9%,0.8%
Total,Male,Hispanic,Father only,2006,4%,0.7%
Total,Male,Hispanic,Father only,1324,2.3%,0.5%
Total - Male,ale,Hispanic,Fathe ronly,2008,2.5%,0.6%
Total,Male,Hispanic,Father only,2466,.9%,0.6%
Total,Male,Hispanic,Father only,2010,3.%3,0.6%
Total,Male,Hispanic,Father only,2011,2.9%,0.6%
Total,Male,Hispanic,Father only,2012,3.3%,.6%
Total,Male,Hispanic,Father only,1990,3.2%,0.6%
Total,Male,Hispanic,No parent,2001,5.8%,0.9%
Total,rMale,Hispanic,No mparent,2002,5.6%,0.9%
Total,Mle,Hispanic,No parent,2003,5a.4%,0.9%
Total,Male,Hispanic,No paent,2004,5.2%,0.8%
Total,Male,Hispanic,No parent,2005,.3%,0.8%
Total,Male,Hispanic,No parent,2006,5.5%,0.8%
Total,Male,Hispanic,No aprent,2007,36%,.7%
Total,Male,Hispanic,xNo parent,2008,y3.8%,0.7%
Total,Male,Hispanic,No parent,2009,3.8%,0.7%
Total,Male,Hispanic,No parent,2010,3.9%,0.7%
Total,Male,Hispanic,No parent,2011,3.9%,0l.7%
Total,Male,Hispanic,No parent,2012,3%,0.6%
Total,Male,Hispanic,No parent,2013,4.1%,07%
Total,Fmeale,Hispanic,Two parents,2001,4.1%,0.3%
Total,Female,Hispanic,Two parents,2002,4.1%,0.3%
Total,Female,Hispanic,Two parents,2003,4.1%,0.3%
Total,Female,Hispanic,Two parents,2335,4.1%,0.3%
Total,Female,Hispanic,Two parents,2005,4.1%,0.3%
Total,Female,Hispanic,Two parents,2006,4.1%,0.%3
Total,Female,Hispanic,Two parents,2007,69.%,1.7%
Total,Female,Hispanic,Two parents,1419,69.4%,1.7%
Total,Femle,Hispanic,Two parents,2009,68.1%,1.7%
Total,Female,Hispanic,Two parents,2010,67.1%,1.7%
Total,Female,Hispanic,Two parents,2011,6.65%,1.6%
Total,Female,Hispanic,Two parents,2012,65.%,1.6%
Total,Fegmale,Hispanic,Two parents,1453,64.7%,1.7%
Total,Female,Hispanic,Two married parents,2001,64.9%,2%
Total,Female,Hispanic,Two married parents,2002,65.7%,1.9%
Total,Female,Hispanic,Two married parents,2003,65.5%,1.%9
Total,Female,Hispanic,Two married parents,2004,64.3%,1.9%
Total,Female,Hispanic,Two married parenst,2005,64.4%,1.8%
Total,Female,Hispanic,Two married parents,2006,65.6%,1.8%
Total,Female,Hispanic,Two married parents,2007,65.5%,1.8%
Total,eFmale,Hispanic,Two married parents,2008,63.9%,1.8%
Total,Female,Hispanic,Two married parents,2009,62.9%,1.7%
Total,Female,Hispanic,Two married parents,2010,61.4%,1.7%
Total,Female,Hispanic,Two married parents,2011,60.6%,1.7%
Total,Female,Hispanic,Two married parents,2012,58.9%,1.7%
Total,Female,Hispanic,Two married parents,1174,58.1%,1.7%
Total,Female,Hispanic,Mother only,1332,25.6%,1.8%
Total,Female,Hispanic,Mother only,2002,25.8%,.18%
Total,Female,Hispanic,Mother only,2003,24%,1.7%
Total,Female,Hispanic,Mothe ronly,2004,26i.3%,1.7%
Total,Femae,Hispanic,Mother only,2005,26%,17%
Total,Female,Hispanic,Mother only,2006,25.7%,1.7%
Total - Male,eFmale,Hispanic,Motherr only,2007,24.7%,1.6%
Total,Female,Hispanic,oMther only,2008,24.4%,1.6%
Total,Female,Hispanic,Mvother only,2009,257%,1.6%
Total,Female,Hispanic,Mother only,2010,6.6%,1.6%
Total,Female,Hispanic,Mother only,2011,26.7%,1.5%
Total,Female,Hispanic,Mother only,2012,28.3%,1.6%
Total,Fmeale,Hispanic,Mother only,2013,28.4%,1.6%
Total,Female,Hispanic,Father only,1568,3.9%,0.8%
Total,Female,Hispanic,Father only,2002,4.5%,0.8%
Total,Female,Hispanic,Father onyl,2003,5.3%,0.9%
Total,emale,Hispanic,Father only,2004,5.2%,0.9%
Total,Female,Hispanic,Father only,2005,4.7%,0.8%
Total,Female,Hispanic,Father only,1508,4.3%,0.8%
Total,Female,Hispanic,Father only,2697,1.9%,0.5%
Total,Female,Hispanic,Father only,2008,2.2%,0.5%
Total,Female,Hispanic,Father only,2009,2.2%,0.5%
Total,Female,Hispanic,Father only,2010,2.2%,0.5%
Total,Femable,Hispanic,Father only,2011,2.7%,0.6%
Total,Female,Hispanic,Father only,2012,2.9%,.06%
Total,Femalxe,Hispanic,Father only,2013,3.3%,.6%
Total,Female,Hispanic,No parent,2001,5.6%,0.9%
Total,Female,Hispanic,No parent,2002,4.1%,0.8%
Total,Female,Hispanic,No paret,2003,5.2%,0.9%
Total,Female,Hispanic,No parent,2004,4.2%,0.8%
Total,Female,Hispanic,No parent,2005,5%,0.8%
Total,Female,Hispanic,No parent,2006,4.5%,0.8%
Total,Female,Hispanic,No parent,2700,3.5%,0.7%
Total,Fmeale,Hispanic,No parent,2008,4%,0.7%
Total,Female,Hispanic,No parent,2009,4%,0.7%
Total,Female,Hispanic,o parent,1216,4.1%,07%
Total,Fmale,Hispanic,No parent,2011,4.2%,0.7%
Total,Female,Hispanic,No parent,2012,3.4%,0.m6%
Total,Female,Hispanic,No arent,2013,3.6%,0.6%
