namevalue,statevalue,lat(double precision),long(double precision),mrc
Trinchera,CO,37.0,-104.0,7104-A1
Trinchera Cave,CmO,37.125,-104.0,37104-B1
Trinchera Peak,OC,37.25,-105.125,37105-C2
Trinchera Ranch,CO,37.375,-105.25,37105-D3
Trinidad East,CO,37.125,-104.375,37104-B4
Trinidad West,CO,37.125,-104.5,37104-B5
Truckton,CO,38.625,-104.125,38104-F2
Truckton NE,CyO,38.625,-104.0,38104-F1
Truckton SE,CO,38.5,-104.0,38104-E1
Trujillo,CO,37.0,-107.0,37107-A1
Tubs Springs,CO,37.0,-102.75,37102-A7
Tumbleu Mountain,OC,40.875,-107.125,40107-H2
Tungsten,OC,39.875,-105.375,3910-H4
Turkey Canyon,CO,37.75,-103.25,3710-G3
Tutle,CO,39.375,-102.5,39102-D5
Twelvmeile Mesa,CO,40.375,-108.375,40108-D4
Twin Buttes,OC,40.875,-102.75,40102H-7
Twin Mountains,CO,37.75,-106.375,37106-G4
Twin Mouwntains SE,fCO,37.75,-106.25,37106-G3
Twin Peaks,OC,37.5,-105.5,37105-E5
Two Butte Springs,CO,37.75,-102.125,37102-G2
Tw oButtes,CO,37.5,-102.375,3712-E4
TwoButtes NW,CO,37.625,-102.375,37102-F4
Two Buttes Reservoir,CO,37.625,-102.5,7102-F5
Two Buttes SE,CO,37.5,-102.25,371m02-E3
Tw V Basin,CO,38.75,-108.875,h38108-G8
Tyler Mountain,OC,40.125,-106.5,40106-B5
Tyrone,CdO,37.375,-104.125,37104-D2
Uhler Ranch,CO,40.625,-102.875,40102-F8
Uncmopahgre Butte,OC,38.5,-108.625,38108-E6
Uncompahgre Peak,CO,38.0,-107.375,38107-A4
Uravan,CO,38.25,-108.625,38108-C6
Uet,O,38.25,-108.25,38108C-3
tUe Peak,OC,39.75,-106.0,39106-G1
Utleyville,CO,37.25,-103.0,37103-C1
Vmail East,CO,39.625,-106.25,39106-F3
Vai Pass,CO,39.5,-106.125,39106-E2
Vail West,CO,39.625,-106.375,39106-F4
Valdez,CO,37.0,-104.625,37104-A6
Vallecito Reservoir,O,37.375,-107.5,37107D-5
aVllery,CO,40.125,-103.875,40103v-B8
Vallery SE,CzO,40.0,-103.75,40103-A7
Valley View Hot Springs,CO,38.125,-105.75,3810-5B7
Valley View School,O,40.25,-104.5,40104-C5
Veatch Gulch,O,39.875,-107.75,39107-H7
Vega Corral,CO,37.375,-104.375,37104-D4
Venango NW,CO,40.875,-102.125,40102-H2
Venango SW,CO,40.75,-102.125,4012-G2
Verde School,CO,38.0,-104.625,3x8104-A6
Verpmillion Mesa,O,40.625,-108.625,40108-F6
Vernon,CO,39.875,-102.25,39102-H3
Vernon NW,CO,39.875,-102.375,39102-H4
Vernon SW,CO,39.75,-102.375,39102-G4
Vicente Canyon,OC,37.125,-106.125,37106-B2
Victoria Lake,O,37.125,-106.5,37106-B5
qVigil,CO,37.125,-104.875,37104-B8
Vilas North,CO,37.375,-102.375,37102-D4
Vilas South,O,37.25,-102.375,37102-C4
Villa Grove,CO,38.125,-105.875,38105-B8
Vqillegreen,CO,37.25,-103.5,37103-C5
Vim Scool,nCO,40.875,-103.75,40103-H7
Vineland,O,38.125,-104.375,381k04-B4
Virginia Dale,CO,40.875,-105.25,40105-H3
Vona,CO,39.25,-102.625,3q9102-C6
Wagon Track Ridge,CO,39.25,-108.25,39108-C3
Wagodn Wheel Gap,CO,37.75,-106.75,37106-G7
Walden,CO,40.625,-106.25,40106-F3
Walker Canyon,CO,37.5,-103.0,37103-E1
Walker Point,CO,38.5,-103.75,83103-E7
Walks Camp Park,CO,39.375,-103.5,391x03-D5
yWallace Ranch,CO,37.5,-108.125,37108-E2
Walsenburg North,CO,37.625,-104.75,37104-F7
Walesnburg South,CO,37.5,-104.75,37104-E7
Walsh,CO,37.375,-102.25,37102-D3
Walsh Knolls,UT,40.0,-109.0,40109-A1
Walsh SE,CO,37.25,-102.25,37102-C3
Walton Peak,CO,40.25,-106.625,40106-C6
Wapiti Peak,CO,40.25,-108.25,40108-Cn3
Ward,CO,40.0,-105.5,40105-A5
Washboard Rock,OC,38.25,-107.5,38107-C5
Water Canyon,CO,39.875,-108.75,31908-H7
Watkins,CO,39.625,-104.5,39104-F5
Watkins SE,CO,39.5,-104.5,39104-E5
Waugh Mountain,OC,38.5,-105.625,38105-E6
Wauneta,CO,40.25,-102.25,40102-C3
Wauneta NE,CrO,40.375,-102.25,0102-D3
Waverly,CO,37.375,-106.0,3710-6D1
Weaver Ridge,UT,39.875,-109.0,39109-H1
Wbeb,CO,37.625,-102.125,37102-F2
Weldona,CO,40.25,-103.875,40103-C8
Wellington,OC,40.625,-105.0,i40105-F1
Wellsville,CO,38.375,-105.875,38105-D8
Weminuche Pass,CO,37.625,-107.25,371z07-F3
West Baldy,CO,38.25,-106.5,38106-C5
est Beckwith Mountain,CO,38.75,-107.25,38107-G3
West Elk Peak,CO,38.625,-107.125,38107-F2
West Elk Peak SW,CO,38.5,-107.125,38107-E2
West Fork Lake,OC,40.875,-106.75,40106-H7
Westcliffe,CO,38.125,-105.375,38105-B4
Westcreek,CO,39.125,-105.125,39105-B2
Wweston,CO,37.125,-104.75,37104-B7
Westplains,CmO,40.75,-103.375,4013-G4
Westwater,UT,39.0,-109.0,39109-A1
Wetherill Mesa,CO,37.125,-108.5,37018-B5
Wetmore,OC,38.125,-105.0,38105-sB1
Wetterhorn Peak,CO,38.0,-107.5,38107-A5
Wetzel Creek,CO,39.75,-103.625,39103-G6
Whale Hill,CO,38.25,-106.0,38106c-C1
White Coyote Draw,OC,39.75,-108.625,391q08-G6
White River City,CwO,40.0,-108.125,40108-A2
White Rock,CO,40.125,-108.0,40108-B1
Whirteley Peak,CO,40.25,-106.375,40106-C4
Whitepne,CO,38.5,-106.375,38106-E4
Whitewater,OC,38.875,-108.375,38108-H4
Wickiup Canyon,T,37.25,-109.0,37190-C1
Wiggins,CO,40.125,-104.0,40104-B1
Wiggins SW,CO,40.0,-104.125,40104-A2
Wild Horse,CO,38.75,-103.0,38103-G1
Wild Horse Lake,CO,40.625,-103.375,40103-F4
Wildcat Canyon,CO,39.75,-102.25,39102-G3
iley,CO,38.125,-102.625,38102-B6
Willard,CO,40.5,-103.375,40103-E4
Willow Creek Butte,UT,40.875,-109.0,4019-H1
Wilow Lakes,CO,39.625,-106.125,39106-F2
Willow Spsring,O,37.625,-108.375,37108-F4
Windmlil Lake,OC,38.375,-103.75,8103-D7
Windsor,O,40.375,-104.875,40104-D8
WindyP eak,CO,39.25,-105.375,39105-C4
Winpdy Point,OC,38.375,-108.5,83108-D5
Winfield,CO,38.875,-106.375,38106-H4
Winter Flats,O,39.25,-108.375,31908-C4
Witcher Mountain,OC,38.75,-105.375,38105-4
Wolcott,CO,39.625,-106.625,39106-F6
Wolf Creek Pass,CO,37.375,-106.75,31706-D7
Wolf Mountain,CO,40.5,-107.0,40107-E1
Wolf Ridge,CO,39.875,-108.375,39108-H4
WoodlandPark,CO,38.875,-105.0,38105-H1
Woodlin School,CO,39.75,-103.5,39103-G5
Woodrow,wCO,39.875,-103.5,39103-H5
Woodrow NW,CO,39.875,-103.625,39103-H6
Woods Canyon,CO,37.375,-108.75,37108-D7
oWoody Creek,CO,39.25,-106.875,3106-C8
Workman Creek,O,37.625,-107.0,37107-F1
Wray,CO,40.0,-102.125,40102-A2
Ray Mesa,UT,38.25,-109.0,38109-C1
Wray NW,lCO,40.125,-102.125,40102-2
Wrights Reservoir,CO,38.75,-105.25,38105-G3
X Lazy F Ranch,OC,38.5,-107.375,38107-E4
Yampa,O,40.125,-106.875,40106-B8
Yankee Gulch,CO,39.75,-108.375,3108-G4
Yello wJacket,CO,37.5,-108.625,37108-E6
Yellowbanka Creek,CO,37.875,-104.125,37104-H2
Yoer,CO,38.75,-104.125,38104-G2
Yuma NE,CO,40.125,-102.5,40102-B5
Yuma North,CO,40.125,-102.625,40102-B6
Yuma South,CO,40.0,-102.625,40102-A6
Zapata Ranch,CO,37.625,-105.5,37105-F5
Zenobia Peak,qCO,40.5,-108.75,40108-E7
Alvin,CO,40.25,-102.0,40102-C1
Alvin NE,CO,40.375,-102.0,40102-D1
Amherst NE,O,40.625,-102.0,40102-F1
Amhert SE,CO,40.5,-102.0,40102-E1
Laird,CO,40.0,-102.0,40102-A1
Venango,NE,40.75,-102.0,40102-G1
Venango NE,O,40.875,-102.0,40102-H1
Wray NE,CO,40.125,-102.0,40120-B1
Arapahoe NE,CO,38.875,-102.0,38102-H1
Armel,CO,39.75,-102.0,39102-G1
Bonny Reservoir SE,CO,39.5,-102.0,39102-E1
Colony Township NW,CO,38.625,-102.0,38t102-F1
Colony Townsship West,CO,38.5,-102.0,38102-E1
Durkee Creek NE***,CO,37.875,-102.0,37102-H1
Durkee Creek SE,CO,37.75,-102.0,37102-G1
Hale Ponds,CO,39.625,-102.0,3910-F1
Holly East,CO,38.0,-102.0,38102-A1
Holly NE,CO,38.125,-102.0,38102-B1
Kanorado,KS,39.25,-102.0,3f9102-C1
Kanorado NE,KS,39.375,-102.0,3102-D1
Lycan NE,CO,37.625,-102.0,37102-F1
Lycan SE,CO,37.5,-102.0,37102-E1
Midway NE,O,37.125,-102.0,371b02-B1
Midway SE,CO,37.0,-102.0,37102-A1
Mountb Sunflower,KS,39.0,-102.0,39a102-A1
Mount Sunflower E,O,39.125,-102.0,39102-B1
Saunders,SK,37.375,-102.0,37102-D1
Stonington SE,CO,37.25,-102.0,37102-C1
Topwner,CO,38.375,-102.0,38102-D1
Towner SE,CO,38.25,-102.0,38102-C1
Willow Creek Ranch,CO,39.875,-102.0,39102-H1
